Code,Name,All ages
E40000003,London,"21,11,469"
E40000003,London,"15,26,582"
E40000003,London,"20,36,470"
E40000003,London,"18,18,226"
E40000003,London,"15,09,741"
E40000005,South East,"18,68,199"
E40000005,South East,"7,46,739"
E40000005,South East,"2,14,692"
E40000005,South East,"16,16,781"
E40000005,South East,"6,80,874"
E40000005,South East,"4,92,747"
E40000005,South East,"5,49,826"
E40000005,South East,"10,52,425"
E40000005,South East,"2,91,738"
E40000005,South East,"5,58,852"
E40000005,South East,"8,60,949"
E40000006,South West,"5,75,525"
E40000006,South West,"12,09,773"
E40000006,South West,"5,63,851"
E40000006,South West,"9,69,256"
E40000006,South West,"9,29,964"
E40000006,South West,"7,76,780"
E40000006,South West,"6,40,650"
E40000007,East of England,"8,96,725"
E40000007,East of England,"10,32,661"
E40000007,East of England,"4,12,068"
E40000007,East of England,"3,44,553"
E40000007,East of England,"2,30,556"
E40000007,East of England,"9,59,098"
E40000007,East of England,"5,75,013"
E40000007,East of England,"6,00,834"
E40000007,East of England,"3,12,214"
E40000007,East of England,"2,64,800"
E40000007,East of England,"1,78,151"
E40000007,East of England,"3,98,041"
E40000007,East of England,"1,82,773"
E40000007,East of England,"1,75,531"
E40000008,Midlands,"1,38,310"
E40000008,Midlands,"1,31,224"
E40000008,Midlands,"2,19,786"
E40000008,Midlands,"2,27,695"
E40000008,Midlands,"1,57,906"
E40000008,Midlands,"2,64,873"
E40000008,Midlands,"5,06,737"
E40000008,Midlands,"10,30,393"
E40000008,Midlands,"7,66,333"
E40000008,Midlands,"10,52,195"
E40000008,Midlands,"3,41,856"
E40000008,Midlands,"3,54,036"
E40000008,Midlands,"4,11,705"
E40000008,Midlands,"13,80,809"
E40000008,Midlands,"11,79,731"
E40000008,Midlands,"9,63,173"
E40000008,Midlands,"7,91,685"
E40000008,Midlands,"7,40,111"
E40000009,North East and Yorkshire,"2,48,071"
E40000009,North East and Yorkshire,"1,18,280"
E40000009,North East and Yorkshire,"3,12,785"
E40000009,North East and Yorkshire,"2,64,984"
E40000009,North East and Yorkshire,"5,89,214"
E40000009,North East and Yorkshire,"2,08,871"
E40000009,North East and Yorkshire,"3,23,820"
E40000009,North East and Yorkshire,"1,51,133"
E40000009,North East and Yorkshire,"2,77,846"
E40000009,North East and Yorkshire,"5,08,774"
E40000009,North East and Yorkshire,"3,19,669"
E40000009,North East and Yorkshire,"5,33,149"
E40000009,North East and Yorkshire,"6,77,170"
E40000009,North East and Yorkshire,"3,19,753"
E40000009,North East and Yorkshire,"2,59,126"
E40000009,North East and Yorkshire,"1,59,364"
E40000009,North East and Yorkshire,"1,72,748"
E40000009,North East and Yorkshire,"3,68,525"
E40000009,North East and Yorkshire,"4,29,207"
E40000009,North East and Yorkshire,"2,11,439"
E40000009,North East and Yorkshire,"3,51,592"
E40000009,North East and Yorkshire,"7,98,786"
E40000009,North East and Yorkshire,"5,93,410"
E40000009,North East and Yorkshire,"4,41,290"
E40000010,North West,"2,88,248"
E40000010,North West,"1,90,708"
E40000010,North West,"2,23,659"
E40000010,North West,"2,37,628"
E40000010,North West,"2,62,697"
E40000010,North West,"2,94,197"
E40000010,North West,"2,60,721"
E40000010,North West,"2,37,579"
E40000010,North West,"3,30,712"
E40000010,North West,"5,55,741"
E40000010,North West,"1,29,759"
E40000010,North West,"1,52,452"
E40000010,North West,"5,00,474"
E40000010,North West,"1,59,713"
E40000010,North West,"1,16,186"
E40000010,North West,"1,81,095"
E40000010,North West,"2,09,397"
E40000010,North West,"3,24,336"
E40000010,North West,"7,30,490"
E40000010,North West,"1,50,030"
E40000010,North West,"1,38,381"
E40000010,North West,"1,79,497"
E40000010,North West,"3,84,162"
E40000010,North West,"1,14,496"
E40000010,North West,"1,95,906"
E40000010,North West,"2,04,896"
E40000010,North West,"3,34,287"
