areaCode,areaName,areaType,date,newCasesByPublishDate,newAdmissions,newAdmissionsRollingRate
E40000003,London,nhsRegion,2023-01-04,1483,,
E40000003,London,nhsRegion,2023-01-03,1407,,
E40000003,London,nhsRegion,2023-01-02,1515,97,9.7
E40000003,London,nhsRegion,2023-01-01,1506,88,9.8
E40000003,London,nhsRegion,2022-12-31,1498,97,10.1
E40000003,London,nhsRegion,2022-12-30,1512,139,10.2
E40000003,London,nhsRegion,2022-12-29,1502,145,10.0
E40000003,London,nhsRegion,2022-12-28,1407,156,10.4
E40000003,London,nhsRegion,2022-12-27,1401,150,10.5
E40000003,London,nhsRegion,2022-12-26,1357,107,10.8
E40000003,London,nhsRegion,2022-12-25,1347,113,10.8
E40000003,London,nhsRegion,2022-12-24,1338,107,10.9
E40000003,London,nhsRegion,2022-12-23,1340,125,11.0
E40000003,London,nhsRegion,2022-12-22,1299,174,10.5
E40000003,London,nhsRegion,2022-12-21,1237,165,10.1
E40000003,London,nhsRegion,2022-12-20,1219,181,9.6
E40000003,London,nhsRegion,2022-12-19,1217,104,8.9
E40000003,London,nhsRegion,2022-12-18,1161,126,9.1
E40000003,London,nhsRegion,2022-12-17,1122,114,9.0
E40000003,London,nhsRegion,2022-12-16,1087,84,8.5
E40000003,London,nhsRegion,2022-12-15,1062,134,8.5
E40000003,London,nhsRegion,2022-12-14,1026,120,8.0
E40000003,London,nhsRegion,2022-12-13,1026,121,8.1
E40000003,London,nhsRegion,2022-12-12,1010,124,7.9
E40000003,London,nhsRegion,2022-12-11,990,112,7.9
E40000003,London,nhsRegion,2022-12-10,983,71,7.4
E40000003,London,nhsRegion,2022-12-09,958,83,7.3
E40000003,London,nhsRegion,2022-12-08,916,92,7.3
E40000003,London,nhsRegion,2022-12-07,915,122,7.1
E40000003,London,nhsRegion,2022-12-06,909,105,6.6
E40000003,London,nhsRegion,2022-12-05,872,122,6.4
E40000003,London,nhsRegion,2022-12-04,854,68,6.0
E40000003,London,nhsRegion,2022-12-03,823,69,5.9
E40000003,London,nhsRegion,2022-12-02,849,77,5.6
E40000003,London,nhsRegion,2022-12-01,849,75,5.4
E40000003,London,nhsRegion,2022-11-30,866,82,5.2
E40000003,London,nhsRegion,2022-11-29,842,80,5.3
E40000003,London,nhsRegion,2022-11-28,846,85,5.4
E40000003,London,nhsRegion,2022-11-27,848,63,5.2
E40000003,London,nhsRegion,2022-11-26,853,45,5.2
E40000003,London,nhsRegion,2022-11-25,889,55,5.2
E40000003,London,nhsRegion,2022-11-24,907,61,5.3
E40000003,London,nhsRegion,2022-11-23,876,88,5.3
E40000003,London,nhsRegion,2022-11-22,928,93,5.3
E40000003,London,nhsRegion,2022-11-21,915,67,5.1
E40000003,London,nhsRegion,2022-11-20,915,57,5.1
E40000003,London,nhsRegion,2022-11-19,909,48,5.0
E40000003,London,nhsRegion,2022-11-18,964,62,5.0
E40000003,London,nhsRegion,2022-11-17,919,63,5.0
E40000003,London,nhsRegion,2022-11-16,968,83,5.0
E40000003,London,nhsRegion,2022-11-15,1022,79,4.8
E40000003,London,nhsRegion,2022-11-14,1027,65,4.8
E40000003,London,nhsRegion,2022-11-13,1033,51,4.8
E40000003,London,nhsRegion,2022-11-12,1001,51,4.9
E40000003,London,nhsRegion,2022-11-11,1013,59,4.9
E40000003,London,nhsRegion,2022-11-10,1060,59,5.1
E40000003,London,nhsRegion,2022-11-09,996,65,5.2
E40000003,London,nhsRegion,2022-11-08,1139,78,5.5
