areaCode,areaName,areaType,date,newCasesByPublishDate,newAdmissions,newAdmissionsRollingRate
E40000007,East of England,nhsRegion,2023-01-04,1002,,
E40000007,East of England,nhsRegion,2023-01-03,911,,
E40000007,East of England,nhsRegion,2023-01-02,892,102,11.4
E40000007,East of England,nhsRegion,2023-01-01,883,112,11.5
E40000007,East of England,nhsRegion,2022-12-31,870,84,10.9
E40000007,East of England,nhsRegion,2022-12-30,1005,74,11.6
E40000007,East of England,nhsRegion,2022-12-29,1035,141,12.1
E40000007,East of England,nhsRegion,2022-12-28,1018,123,11.9
E40000007,East of England,nhsRegion,2022-12-27,925,113,12.1
E40000007,East of England,nhsRegion,2022-12-26,997,111,12.7
E40000007,East of England,nhsRegion,2022-12-25,989,72,13.5
E40000007,East of England,nhsRegion,2022-12-24,1025,127,14.1
E40000007,East of England,nhsRegion,2022-12-23,1019,106,13.4
E40000007,East of England,nhsRegion,2022-12-22,985,130,13.6
E40000007,East of England,nhsRegion,2022-12-21,966,136,13.3
E40000007,East of England,nhsRegion,2022-12-20,922,151,12.6
E40000007,East of England,nhsRegion,2022-12-19,874,166,12.2
E40000007,East of England,nhsRegion,2022-12-18,833,109,11.1
E40000007,East of England,nhsRegion,2022-12-17,808,80,11.0
E40000007,East of England,nhsRegion,2022-12-16,769,121,10.9
E40000007,East of England,nhsRegion,2022-12-15,742,107,10.4
E40000007,East of England,nhsRegion,2022-12-14,726,93,10.0
E40000007,East of England,nhsRegion,2022-12-13,686,123,9.8
E40000007,East of England,nhsRegion,2022-12-12,627,98,9.0
E40000007,East of England,nhsRegion,2022-12-11,604,100,8.8
E40000007,East of England,nhsRegion,2022-12-10,577,72,8.2
E40000007,East of England,nhsRegion,2022-12-09,553,91,8.2
E40000007,East of England,nhsRegion,2022-12-08,536,82,7.5
E40000007,East of England,nhsRegion,2022-12-07,522,74,7.3
E40000007,East of England,nhsRegion,2022-12-06,512,76,6.9
E40000007,East of England,nhsRegion,2022-12-05,477,82,6.8
E40000007,East of England,nhsRegion,2022-12-04,466,64,6.8
E40000007,East of England,nhsRegion,2022-12-03,449,69,6.8
E40000007,East of England,nhsRegion,2022-12-02,434,47,6.3
E40000007,East of England,nhsRegion,2022-12-01,440,64,6.2
E40000007,East of England,nhsRegion,2022-11-30,431,54,6.2
E40000007,East of England,nhsRegion,2022-11-29,431,67,6.2
E40000007,East of England,nhsRegion,2022-11-28,413,84,6.0
E40000007,East of England,nhsRegion,2022-11-27,402,59,5.5
E40000007,East of England,nhsRegion,2022-11-26,392,41,5.2
E40000007,East of England,nhsRegion,2022-11-25,421,41,5.5
E40000007,East of England,nhsRegion,2022-11-24,399,62,5.6
E40000007,East of England,nhsRegion,2022-11-23,390,55,5.6
E40000007,East of England,nhsRegion,2022-11-22,373,54,5.5
E40000007,East of England,nhsRegion,2022-11-21,405,50,5.5
E40000007,East of England,nhsRegion,2022-11-20,422,38,5.7
E40000007,East of England,nhsRegion,2022-11-19,397,58,5.9
E40000007,East of England,nhsRegion,2022-11-18,395,53,5.7
E40000007,East of England,nhsRegion,2022-11-17,429,62,5.6
E40000007,East of England,nhsRegion,2022-11-16,440,46,5.8
E40000007,East of England,nhsRegion,2022-11-15,451,54,5.9
E40000007,East of England,nhsRegion,2022-11-14,439,61,5.9
E40000007,East of England,nhsRegion,2022-11-13,439,52,6.0
E40000007,East of England,nhsRegion,2022-11-12,443,45,5.9
E40000007,East of England,nhsRegion,2022-11-11,449,48,6.0
E40000007,East of England,nhsRegion,2022-11-10,472,72,5.9
E40000007,East of England,nhsRegion,2022-11-09,489,57,5.6
E40000007,East of England,nhsRegion,2022-11-08,536,51,5.7
E40000007,East of England,nhsRegion,2022-11-07,560,68,6.0
E40000007,East of England,nhsRegion,2022-11-06,583,48,6.0
E40000007,East of England,nhsRegion,2022-11-05,597,51,6.7
E40000007,East of England,nhsRegion,2022-11-04,625,37,6.7
E40000007,East of England,nhsRegion,2022-11-03,677,58,7.1
E40000007,East of England,nhsRegion,2022-11-02,732,60,7.7
E40000007,East of England,nhsRegion,2022-11-01,784,70,8.6
E40000007,East of England,nhsRegion,2022-10-31,823,69,9.0
E40000007,East of England,nhsRegion,2022-10-30,836,92,9.7
E40000007,East of England,nhsRegion,2022-10-29,861,54,9.8
E40000007,East of England,nhsRegion,2022-10-28,923,61,10.2
E40000007,East of England,nhsRegion,2022-10-27,912,101,11.0
E40000007,East of England,nhsRegion,2022-10-26,944,119,11.3
E40000007,East of England,nhsRegion,2022-10-25,990,93,11.3
E40000007,East of England,nhsRegion,2022-10-24,1004,116,11.8
E40000007,East of England,nhsRegion,2022-10-23,1021,98,11.9
E40000007,East of England,nhsRegion,2022-10-22,1020,82,12.5
E40000007,East of England,nhsRegion,2022-10-21,1053,113,12.8
E40000007,East of England,nhsRegion,2022-10-20,1097,121,12.8
E40000007,East of England,nhsRegion,2022-10-19,1172,119,13.0
E40000007,East of England,nhsRegion,2022-10-18,1191,125,13.4
E40000007,East of England,nhsRegion,2022-10-17,1200,125,13.8
E40000007,East of England,nhsRegion,2022-10-16,1209,136,14.2
E40000007,East of England,nhsRegion,2022-10-15,1206,102,14.3
E40000007,East of England,nhsRegion,2022-10-14,1233,113,14.5
E40000007,East of England,nhsRegion,2022-10-13,1236,135,14.7
E40000007,East of England,nhsRegion,2022-10-12,1269,144,15.4
E40000007,East of England,nhsRegion,2022-10-11,1292,152,15.2
E40000007,East of England,nhsRegion,2022-10-10,1287,150,15.7
E40000007,East of England,nhsRegion,2022-10-09,1260,141,15.8
E40000007,East of England,nhsRegion,2022-10-08,1270,115,16.0
E40000007,East of England,nhsRegion,2022-10-07,1143,126,15.9
E40000007,East of England,nhsRegion,2022-10-06,1111,183,15.3
E40000007,East of England,nhsRegion,2022-10-05,1064,132,14.4
E40000007,East of England,nhsRegion,2022-10-04,1017,185,14.3
E40000007,East of England,nhsRegion,2022-10-03,921,158,13.1
