areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Aberdeen City,2023-01-05,34887,0,-100,-100
Aberdeen City,2023-01-04,34887,0,-100,-100
Aberdeen City,2023-01-03,34887,0,-100,-100
Aberdeen City,2023-01-02,34887,0,-100,-100
Aberdeen City,2023-01-01,34887,0,-100,-100
Aberdeen City,2022-12-31,34887,0,-100,-100
Aberdeen City,2022-12-30,34887,0,-100,-100
Aberdeen City,2022-12-29,34887,0,-100,-100
Aberdeen City,2022-12-28,34887,0,-100,-100
Aberdeen City,2022-12-27,34887,0,-100,-100
Aberdeen City,2022-12-26,34887,0,-100,-100
Aberdeen City,2022-12-25,34887,0,-100,-100
Aberdeen City,2022-12-24,34887,0,-100,-100
Aberdeen City,2022-12-23,34887,0,-100,-100
Aberdeen City,2022-12-22,34887,0,-100,-100
Aberdeen City,2022-12-21,34887,35,-100,-100
Aberdeen City,2022-12-20,34852,0,-100,-100
Aberdeen City,2022-12-19,34852,0,-100,-100
Aberdeen City,2022-12-18,34852,0,0,1
Aberdeen City,2022-12-17,34852,0,0,3
Aberdeen City,2022-12-16,34852,0,0,1
Aberdeen City,2022-12-15,34852,0,0,3
Aberdeen City,2022-12-14,34852,39,0,3
Aberdeen City,2022-12-13,34812,0,0,3
Aberdeen City,2022-12-12,34812,0,0,3
Aberdeen City,2022-12-11,34812,0,0,3
Aberdeen City,2022-12-10,34812,0,0,2
Aberdeen City,2022-12-09,34812,0,0,2
Aberdeen City,2022-12-08,34812,0,0,4
Aberdeen City,2022-12-07,34812,38,0,3
Aberdeen City,2022-12-06,34773,0,0,6
Aberdeen City,2022-12-05,34773,0,0,4
Aberdeen City,2022-12-04,34773,0,0,1
Aberdeen City,2022-12-03,34773,0,0,5
Aberdeen City,2022-12-02,34773,0,0,3
Aberdeen City,2022-12-01,34773,0,0,3
Aberdeen City,2022-11-30,34773,31,0,5
Aberdeen City,2022-11-29,34742,0,0,5
Aberdeen City,2022-11-28,34742,0,0,4
Aberdeen City,2022-11-27,34742,0,0,3
Aberdeen City,2022-11-26,34742,0,0,1
Aberdeen City,2022-11-25,34742,0,0,3
Aberdeen City,2022-11-24,34742,0,0,1
Aberdeen City,2022-11-23,34742,40,0,3
Aberdeen City,2022-11-22,34701,0,0,2
Aberdeen City,2022-11-21,34701,0,0,3
Aberdeen City,2022-11-20,34701,0,0,3
Aberdeen City,2022-11-19,34701,0,0,3
Aberdeen City,2022-11-18,34701,0,0,3
Aberdeen City,2022-11-17,34701,0,0,2
