areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Aberdeenshire,2023-01-05,33915,0,-100,-100
Aberdeenshire,2023-01-04,33915,0,-100,-100
Aberdeenshire,2023-01-03,33915,0,-100,-100
Aberdeenshire,2023-01-02,33915,0,-100,-100
Aberdeenshire,2023-01-01,33915,0,-100,-100
Aberdeenshire,2022-12-31,33915,0,-100,-100
Aberdeenshire,2022-12-30,33915,0,-100,-100
Aberdeenshire,2022-12-29,33915,0,-100,-100
Aberdeenshire,2022-12-28,33915,0,-100,-100
Aberdeenshire,2022-12-27,33915,0,-100,-100
Aberdeenshire,2022-12-26,33915,0,-100,-100
Aberdeenshire,2022-12-25,33915,0,-100,-100
Aberdeenshire,2022-12-24,33915,0,-100,-100
Aberdeenshire,2022-12-23,33915,0,-100,-100
Aberdeenshire,2022-12-22,33915,0,-100,-100
Aberdeenshire,2022-12-21,33915,40,-100,-100
Aberdeenshire,2022-12-20,33874,0,-100,-100
Aberdeenshire,2022-12-19,33874,0,-100,-100
Aberdeenshire,2022-12-18,33874,0,0,6
Aberdeenshire,2022-12-17,33874,0,0,3
Aberdeenshire,2022-12-16,33874,0,0,4
Aberdeenshire,2022-12-15,33874,0,0,3
Aberdeenshire,2022-12-14,33874,39,0,6
Aberdeenshire,2022-12-13,33835,0,0,3
Aberdeenshire,2022-12-12,33835,0,0,6
Aberdeenshire,2022-12-11,33835,0,0,2
Aberdeenshire,2022-12-10,33835,0,0,3
Aberdeenshire,2022-12-09,33835,0,0,3
Aberdeenshire,2022-12-08,33835,0,0,2
Aberdeenshire,2022-12-07,33835,34,0,4
Aberdeenshire,2022-12-06,33800,0,0,4
Aberdeenshire,2022-12-05,33800,0,1,5
Aberdeenshire,2022-12-04,33800,0,0,3
Aberdeenshire,2022-12-03,33800,0,0,2
Aberdeenshire,2022-12-02,33800,0,0,1
Aberdeenshire,2022-12-01,33800,0,0,2
Aberdeenshire,2022-11-30,33800,32,0,4
Aberdeenshire,2022-11-29,33767,0,0,0
Aberdeenshire,2022-11-28,33767,0,0,6
Aberdeenshire,2022-11-27,33767,0,0,4
Aberdeenshire,2022-11-26,33767,0,0,4
Aberdeenshire,2022-11-25,33767,0,0,1
Aberdeenshire,2022-11-24,33767,0,0,1
Aberdeenshire,2022-11-23,33767,35,0,3
Aberdeenshire,2022-11-22,33732,0,0,3
Aberdeenshire,2022-11-21,33732,0,0,5
Aberdeenshire,2022-11-20,33732,0,0,3
Aberdeenshire,2022-11-19,33732,0,0,2
Aberdeenshire,2022-11-18,33732,0,0,2
Aberdeenshire,2022-11-17,33732,0,0,2
Aberdeenshire,2022-11-16,33732,37,0,6
Aberdeenshire,2022-11-15,33695,0,0,3
Aberdeenshire,2022-11-14,33695,0,0,4
Aberdeenshire,2022-11-13,33695,0,0,3
Aberdeenshire,2022-11-12,33695,0,0,2
Aberdeenshire,2022-11-11,33695,0,0,3
Aberdeenshire,2022-11-10,33695,0,0,3
Aberdeenshire,2022-11-09,33695,31,0,5
Aberdeenshire,2022-11-08,33663,0,0,3
Aberdeenshire,2022-11-07,33663,0,0,3
Aberdeenshire,2022-11-06,33663,0,0,4
Aberdeenshire,2022-11-05,33663,0,0,3
Aberdeenshire,2022-11-04,33663,0,0,2
Aberdeenshire,2022-11-03,33663,0,0,1
Aberdeenshire,2022-11-02,33663,47,0,1
