areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Angus,2023-01-05,34736,0,-100,-100
Angus,2023-01-04,34736,0,-100,-100
Angus,2023-01-03,34736,0,-100,-100
Angus,2023-01-02,34736,0,-100,-100
Angus,2023-01-01,34736,0,-100,-100
Angus,2022-12-31,34736,0,-100,-100
Angus,2022-12-30,34736,0,-100,-100
Angus,2022-12-29,34736,0,-100,-100
Angus,2022-12-28,34736,0,-100,-100
Angus,2022-12-27,34736,0,-100,-100
Angus,2022-12-26,34736,0,-100,-100
Angus,2022-12-25,34736,0,-100,-100
Angus,2022-12-24,34736,0,-100,-100
Angus,2022-12-23,34736,0,-100,-100
Angus,2022-12-22,34736,0,-100,-100
Angus,2022-12-21,34736,30,-100,-100
Angus,2022-12-20,34706,0,-100,-100
Angus,2022-12-19,34706,0,-100,-100
Angus,2022-12-18,34706,0,0,0
Angus,2022-12-17,34706,0,0,2
Angus,2022-12-16,34706,0,0,3
Angus,2022-12-15,34706,0,0,4
Angus,2022-12-14,34706,36,0,3
Angus,2022-12-13,34670,0,0,3
Angus,2022-12-12,34670,0,0,0
Angus,2022-12-11,34670,0,0,3
Angus,2022-12-10,34670,0,0,2
Angus,2022-12-09,34670,0,0,1
Angus,2022-12-08,34670,0,0,4
Angus,2022-12-07,34670,24,0,5
Angus,2022-12-06,34646,0,0,1
Angus,2022-12-05,34646,0,0,4
Angus,2022-12-04,34646,0,0,0
Angus,2022-12-03,34646,0,0,2
Angus,2022-12-02,34646,0,0,3
Angus,2022-12-01,34646,0,0,0
Angus,2022-11-30,34646,32,0,1
Angus,2022-11-29,34613,0,0,3
Angus,2022-11-28,34613,0,0,3
Angus,2022-11-27,34613,0,0,0
Angus,2022-11-26,34613,0,0,3
Angus,2022-11-25,34613,0,0,2
Angus,2022-11-24,34613,0,0,5
Angus,2022-11-23,34613,37,0,0
Angus,2022-11-22,34575,0,0,3
Angus,2022-11-21,34575,0,0,1
Angus,2022-11-20,34575,0,0,6
Angus,2022-11-19,34575,0,0,3
Angus,2022-11-18,34575,0,0,1
Angus,2022-11-17,34575,0,0,1
Angus,2022-11-16,34575,58,0,5
Angus,2022-11-15,34516,0,0,3
Angus,2022-11-14,34516,0,0,4
Angus,2022-11-13,34516,0,0,3
Angus,2022-11-12,34516,0,0,5
Angus,2022-11-11,34516,0,0,6
Angus,2022-11-10,34516,0,0,3
Angus,2022-11-09,34516,51,0,3
Angus,2022-11-08,34464,0,0,10
Angus,2022-11-07,34464,0,0,9
Angus,2022-11-06,34464,0,0,8
Angus,2022-11-05,34464,0,0,6
Angus,2022-11-04,34464,0,0,2
Angus,2022-11-03,34464,0,0,6
Angus,2022-11-02,34464,54,0,4
Angus,2022-11-01,34410,0,0,2
Angus,2022-10-31,34410,0,0,8
Angus,2022-10-30,34410,0,0,2
Angus,2022-10-29,34410,0,0,4
Angus,2022-10-28,34410,0,0,0
Angus,2022-10-27,34410,0,0,5
Angus,2022-10-26,34410,56,0,8
Angus,2022-10-25,34353,0,0,6
Angus,2022-10-24,34353,0,1,6
Angus,2022-10-23,34353,0,0,5
Angus,2022-10-22,34353,0,0,1
Angus,2022-10-21,34353,0,0,6
Angus,2022-10-20,34353,0,0,2
Angus,2022-10-19,34353,60,0,3
Angus,2022-10-18,34292,0,0,5
Angus,2022-10-17,34292,0,1,4
Angus,2022-10-16,34292,0,1,6
Angus,2022-10-15,34292,0,0,4
Angus,2022-10-14,34292,0,1,6
Angus,2022-10-13,34292,0,0,4
Angus,2022-10-12,34292,69,0,6
Angus,2022-10-11,34223,0,0,9
Angus,2022-10-10,34223,0,1,3
Angus,2022-10-09,34223,0,0,8
Angus,2022-10-08,34223,0,0,9
Angus,2022-10-07,34223,0,0,6
Angus,2022-10-06,34223,0,0,4
Angus,2022-10-05,34223,40,1,7
Angus,2022-10-04,34183,0,0,3
Angus,2022-10-03,34183,0,0,10
Angus,2022-10-02,34183,0,0,5
Angus,2022-10-01,34183,0,0,2
Angus,2022-09-30,34183,0,0,5
Angus,2022-09-29,34183,0,0,5
Angus,2022-09-28,34183,38,0,2
Angus,2022-09-27,34144,0,0,1
Angus,2022-09-26,34144,0,1,5
Angus,2022-09-25,34144,0,0,2
Angus,2022-09-24,34144,0,1,0
Angus,2022-09-23,34144,0,0,4
Angus,2022-09-22,34144,37,0,2
Angus,2022-09-21,34107,0,0,4
Angus,2022-09-20,34107,0,0,6
Angus,2022-09-19,34107,0,0,5
Angus,2022-09-18,34107,0,0,5
Angus,2022-09-17,34107,0,1,4
Angus,2022-09-16,34107,0,0,3
Angus,2022-09-15,34107,0,0,3
Angus,2022-09-14,34107,56,0,3
Angus,2022-09-13,34051,0,0,1
Angus,2022-09-12,34051,0,0,6
Angus,2022-09-11,34051,0,0,6
Angus,2022-09-10,34051,0,0,4
Angus,2022-09-09,34051,0,0,7
Angus,2022-09-08,34051,0,0,5
Angus,2022-09-07,34051,50,0,4
Angus,2022-09-06,34000,0,0,6
Angus,2022-09-05,34000,0,0,7
Angus,2022-09-04,34000,0,0,5
Angus,2022-09-03,34000,0,0,4
Angus,2022-09-02,34000,0,0,6
Angus,2022-09-01,34000,0,0,2
Angus,2022-08-31,34000,63,0,5
Angus,2022-08-30,33937,0,0,7
Angus,2022-08-29,33937,0,0,6
Angus,2022-08-28,33937,0,1,6
Angus,2022-08-27,33937,0,0,4
Angus,2022-08-26,33937,0,0,9
Angus,2022-08-25,33937,0,0,4
Angus,2022-08-24,33937,67,0,6
Angus,2022-08-23,33869,0,0,5
Angus,2022-08-22,33869,0,1,8
Angus,2022-08-21,33869,0,0,8
Angus,2022-08-20,33869,0,0,3
Angus,2022-08-19,33869,0,0,7
Angus,2022-08-18,33869,0,0,10
Angus,2022-08-17,33869,73,0,3
Angus,2022-08-16,33796,0,0,6
Angus,2022-08-15,33796,0,0,10
Angus,2022-08-14,33796,0,1,8
Angus,2022-08-13,33796,0,0,4
Angus,2022-08-12,33796,0,0,6
Angus,2022-08-11,33796,0,0,7
Angus,2022-08-10,33796,87,0,6
Angus,2022-08-09,33709,0,0,10
Angus,2022-08-08,33709,0,0,9
Angus,2022-08-07,33709,0,0,8
Angus,2022-08-06,33709,0,0,1
Angus,2022-08-05,33709,0,1,6
Angus,2022-08-04,33709,0,0,10
Angus,2022-08-03,33709,120,0,6
Angus,2022-08-02,33589,0,2,8
Angus,2022-08-01,33589,0,1,11
Angus,2022-07-31,33589,0,0,14
Angus,2022-07-30,33589,0,0,7
Angus,2022-07-29,33589,0,0,11
Angus,2022-07-28,33589,0,0,10
Angus,2022-07-27,33589,153,0,8
Angus,2022-07-26,33435,0,0,14
Angus,2022-07-25,33435,0,1,20
Angus,2022-07-24,33435,0,1,9
Angus,2022-07-23,33435,0,0,18
Angus,2022-07-22,33435,0,0,14
Angus,2022-07-21,33435,0,0,15
Angus,2022-07-20,33435,233,0,14
Angus,2022-07-19,33201,0,0,16
Angus,2022-07-18,33201,0,1,13
Angus,2022-07-17,33201,0,1,25
Angus,2022-07-16,33201,0,0,19
Angus,2022-07-15,33201,0,2,24
Angus,2022-07-14,33201,0,0,20
Angus,2022-07-13,33201,289,1,24
Angus,2022-07-12,32912,0,1,31
Angus,2022-07-11,32912,0,4,31
Angus,2022-07-10,32912,0,0,26
Angus,2022-07-09,32912,0,0,21
Angus,2022-07-08,32912,0,0,34
Angus,2022-07-07,32912,0,1,28
Angus,2022-07-06,32912,391,3,39
Angus,2022-07-05,32521,0,1,36
Angus,2022-07-04,32521,0,3,37
Angus,2022-07-03,32521,0,0,40
Angus,2022-07-02,32521,0,0,26
Angus,2022-07-01,32521,0,0,28
Angus,2022-06-30,32521,0,4,28
Angus,2022-06-29,32521,238,0,31
Angus,2022-06-28,32282,0,4,40
Angus,2022-06-27,32282,0,3,36
Angus,2022-06-26,32282,0,0,36
Angus,2022-06-25,32282,0,5,37
Angus,2022-06-24,32282,0,1,26
Angus,2022-06-23,32282,0,2,43
Angus,2022-06-22,32282,297,3,37
Angus,2022-06-21,31984,0,3,48
Angus,2022-06-20,31984,0,2,25
Angus,2022-06-19,31984,0,2,43
Angus,2022-06-18,31984,0,0,38
Angus,2022-06-17,31984,0,0,33
Angus,2022-06-16,31984,0,4,29
Angus,2022-06-15,31984,209,1,39
Angus,2022-06-14,31775,0,1,27
Angus,2022-06-13,31775,0,3,27
Angus,2022-06-12,31775,0,0,27
Angus,2022-06-11,31775,0,1,25
Angus,2022-06-10,31775,0,0,19
Angus,2022-06-09,31775,0,1,23
Angus,2022-06-08,31775,94,0,28
Angus,2022-06-07,31681,0,0,24
Angus,2022-06-06,31681,0,0,20
Angus,2022-06-05,31681,0,1,19
Angus,2022-06-04,31681,0,0,19
Angus,2022-06-03,31681,0,0,18
Angus,2022-06-02,31681,74,1,24
Angus,2022-06-01,31606,0,0,14
Angus,2022-05-31,31606,0,0,25
Angus,2022-05-30,31606,53,1,16
Angus,2022-05-29,31553,0,0,6
Angus,2022-05-28,31553,0,0,14
Angus,2022-05-27,31553,0,0,9
Angus,2022-05-26,31553,50,0,13
Angus,2022-05-25,31502,0,1,6
Angus,2022-05-24,31502,0,0,13
Angus,2022-05-23,31502,50,0,17
Angus,2022-05-22,31451,0,0,7
Angus,2022-05-21,31451,0,0,8
Angus,2022-05-20,31451,0,0,12
Angus,2022-05-19,31451,51,1,11
Angus,2022-05-18,31399,0,0,12
Angus,2022-05-17,31399,0,0,8
Angus,2022-05-16,31399,66,0,17
Angus,2022-05-15,31333,0,0,14
Angus,2022-05-14,31333,0,0,10
Angus,2022-05-13,31333,0,1,10
Angus,2022-05-12,31333,53,1,13
Angus,2022-05-11,31279,0,2,14
Angus,2022-05-10,31279,0,1,9
Angus,2022-05-09,31279,59,0,12
Angus,2022-05-08,31219,0,3,14
Angus,2022-05-07,31219,0,0,7
Angus,2022-05-06,31219,16,0,18
Angus,2022-05-05,31203,21,1,9
Angus,2022-05-04,31182,15,1,13
Angus,2022-05-03,31166,101,1,11
Angus,2022-05-02,31065,0,2,18
Angus,2022-05-01,31065,0,0,14
Angus,2022-04-30,31065,0,2,10
Angus,2022-04-29,31065,32,2,16
Angus,2022-04-28,31032,50,0,25
Angus,2022-04-27,30981,52,4,28
Angus,2022-04-26,30929,63,6,26
Angus,2022-04-25,30865,112,5,37
Angus,2022-04-24,30752,0,4,18
Angus,2022-04-23,30752,0,4,20
Angus,2022-04-22,30752,117,5,20
Angus,2022-04-21,30635,0,3,20
Angus,2022-04-20,30635,63,4,26
Angus,2022-04-19,30571,375,10,34
Angus,2022-04-18,30195,0,6,38
Angus,2022-04-17,30195,0,7,46
Angus,2022-04-16,30195,0,11,31
Angus,2022-04-15,30195,0,10,31
Angus,2022-04-14,30195,64,7,45
Angus,2022-04-13,30131,85,7,50
Angus,2022-04-12,30045,107,12,36
Angus,2022-04-11,29938,192,6,60
Angus,2022-04-10,29746,0,11,36
Angus,2022-04-09,29746,0,6,27
Angus,2022-04-08,29746,82,10,35
Angus,2022-04-07,29663,96,6,45
Angus,2022-04-06,29566,107,12,49
Angus,2022-04-05,29459,84,12,59
Angus,2022-04-04,29374,265,8,51
Angus,2022-04-03,29108,0,8,39
Angus,2022-04-02,29108,0,12,50
Angus,2022-04-01,29108,121,12,57
Angus,2022-03-31,28987,129,12,50
Angus,2022-03-30,28857,139,17,66
Angus,2022-03-29,28718,137,25,57
Angus,2022-03-28,28581,379,12,80
Angus,2022-03-27,28202,0,20,84
Angus,2022-03-26,28202,0,14,60
Angus,2022-03-25,28202,155,15,68
Angus,2022-03-24,28046,211,22,86
Angus,2022-03-23,27835,175,28,87
Angus,2022-03-22,27660,209,26,100
Angus,2022-03-21,27450,470,27,118
Angus,2022-03-20,26979,0,29,106
Angus,2022-03-19,26979,0,22,70
Angus,2022-03-18,26979,321,18,90
Angus,2022-03-17,26658,182,23,90
Angus,2022-03-16,26476,195,35,127
Angus,2022-03-15,26280,893,30,139
Angus,2022-03-14,25386,0,38,141
Angus,2022-03-13,25386,0,34,133
Angus,2022-03-12,25386,0,18,121
Angus,2022-03-11,25386,277,31,120
Angus,2022-03-10,25109,603,33,138
Angus,2022-03-09,24506,248,38,148
Angus,2022-03-08,24257,230,46,169
Angus,2022-03-07,24026,495,37,121
Angus,2022-03-06,23531,0,31,115
Angus,2022-03-05,23531,0,25,105
Angus,2022-03-04,23531,213,27,96
Angus,2022-03-03,23318,196,38,97
Angus,2022-03-02,23121,181,26,115
Angus,2022-03-01,22939,942,21,96
Angus,2022-02-28,21997,347,26,115
Angus,2022-02-27,21649,0,27,88
Angus,2022-02-26,21649,0,23,56
Angus,2022-02-25,21649,130,18,60
Angus,2022-02-24,21518,139,14,61
Angus,2022-02-23,21379,128,23,61
Angus,2022-02-22,21251,125,30,63
Angus,2022-02-21,21125,268,24,79
Angus,2022-02-20,20857,0,18,64
Angus,2022-02-19,20857,0,19,52
Angus,2022-02-18,20857,156,17,43
Angus,2022-02-17,20701,152,11,58
Angus,2022-02-16,20548,172,28,81
Angus,2022-02-15,20375,121,29,90
Angus,2022-02-14,20253,343,32,68
Angus,2022-02-13,19910,0,21,69
Angus,2022-02-12,19910,0,21,63
Angus,2022-02-11,19910,131,26,50
Angus,2022-02-10,19778,1955,16,46
Angus,2022-02-09,17823,106,28,69
Angus,2022-02-08,17717,30,31,80
Angus,2022-02-07,17686,165,36,59
Angus,2022-02-06,17521,0,18,51
Angus,2022-02-05,17521,0,18,45
Angus,2022-02-04,17521,88,18,50
Angus,2022-02-03,17432,178,14,63
Angus,2022-02-02,17253,0,31,72
Angus,2022-02-01,17253,37,25,93
Angus,2022-01-31,17215,172,30,85
Angus,2022-01-30,17042,0,18,79
Angus,2022-01-29,17042,0,17,63
Angus,2022-01-28,17042,81,16,62
Angus,2022-01-27,16961,68,23,57
Angus,2022-01-26,16893,82,25,73
Angus,2022-01-25,16810,37,19,60
Angus,2022-01-24,16772,148,21,73
Angus,2022-01-23,16624,0,25,75
Angus,2022-01-22,16624,0,19,44
Angus,2022-01-21,16624,63,18,57
Angus,2022-01-20,16560,100,25,50
Angus,2022-01-19,16460,104,21,69
Angus,2022-01-18,16355,57,26,63
Angus,2022-01-17,16297,189,28,69
Angus,2022-01-16,16108,0,29,62
Angus,2022-01-15,16108,0,14,41
Angus,2022-01-14,16108,108,22,38
Angus,2022-01-13,15999,97,19,51
Angus,2022-01-12,15902,138,25,50
Angus,2022-01-11,15764,175,24,32
Angus,2022-01-10,15588,635,34,51
Angus,2022-01-09,14953,0,29,44
Angus,2022-01-08,14953,0,21,35
Angus,2022-01-07,14953,302,31,45
Angus,2022-01-06,14651,176,46,49
Angus,2022-01-05,14474,1289,57,19
Angus,2022-01-04,13184,0,-100,-100
Angus,2022-01-03,13184,0,-100,-100
Angus,2022-01-02,13184,0,-100,-100
Angus,2022-01-01,13184,0,-100,-100
Angus,2021-12-31,13184,181,-100,-100
Angus,2021-12-30,13002,213,-100,-100
Angus,2021-12-29,12789,612,-100,-100
Angus,2021-12-28,12177,0,-100,-100
Angus,2021-12-27,12177,0,-100,-100
Angus,2021-12-26,12177,0,-100,-100
Angus,2021-12-25,12177,0,-100,-100
Angus,2021-12-24,12177,77,-100,-100
Angus,2021-12-23,12099,120,-100,-100
Angus,2021-12-22,11978,18,-100,-100
Angus,2021-12-21,11959,44,-100,-100
Angus,2021-12-20,11915,207,-100,-100
Angus,2021-12-19,11707,0,-100,-100
Angus,2021-12-18,11707,0,-100,-100
Angus,2021-12-17,11707,31,-100,-100
Angus,2021-12-16,11676,51,-100,-100
Angus,2021-12-15,11624,42,-100,-100
Angus,2021-12-14,11582,27,-100,-100
Angus,2021-12-13,11554,104,-100,-100
Angus,2021-12-12,11450,0,-100,-100
Angus,2021-12-11,11450,0,-100,-100
Angus,2021-12-10,11450,60,-100,-100
Angus,2021-12-09,11390,49,-100,-100
Angus,2021-12-08,11340,50,-100,-100
Angus,2021-12-07,11289,39,-100,-100
Angus,2021-12-06,11250,41,-100,-100
Angus,2021-12-05,11208,39,-100,-100
Angus,2021-12-04,11169,34,-100,-100
Angus,2021-12-03,11134,23,-100,-100
Angus,2021-12-02,11111,50,-100,-100
Angus,2021-12-01,11060,49,-100,-100
Angus,2021-11-30,11011,56,-100,-100
Angus,2021-11-29,10954,56,-100,-100
Angus,2021-11-28,10897,44,-100,-100
Angus,2021-11-27,10853,46,-100,-100
Angus,2021-11-26,10806,54,-100,-100
Angus,2021-11-25,10752,89,-100,-100
Angus,2021-11-24,10662,80,-100,-100
Angus,2021-11-23,10581,40,-100,-100
Angus,2021-11-22,10541,77,-100,-100
Angus,2021-11-21,10463,67,-100,-100
Angus,2021-11-20,10396,69,-100,-100
Angus,2021-11-19,10326,56,-100,-100
Angus,2021-11-18,10269,95,-100,-100
Angus,2021-11-17,10173,82,-100,-100
Angus,2021-11-16,10091,49,-100,-100
Angus,2021-11-15,10042,67,-100,-100
Angus,2021-11-14,9974,102,-100,-100
Angus,2021-11-13,9872,61,-100,-100
Angus,2021-11-12,9810,92,-100,-100
Angus,2021-11-11,9718,73,-100,-100
Angus,2021-11-10,9645,94,-100,-100
Angus,2021-11-09,9550,56,-100,-100
Angus,2021-11-08,9494,49,-100,-100
Angus,2021-11-07,9444,84,-100,-100
Angus,2021-11-06,9360,70,-100,-100
Angus,2021-11-05,9289,75,-100,-100
Angus,2021-11-04,9214,81,-100,-100
Angus,2021-11-03,9133,66,-100,-100
Angus,2021-11-02,9066,47,-100,-100
Angus,2021-11-01,9019,186,-100,-100
Angus,2021-10-31,8832,0,-100,-100
Angus,2021-10-30,8832,0,-100,-100
Angus,2021-10-29,8832,48,-100,-100
Angus,2021-10-28,8784,75,-100,-100
Angus,2021-10-27,8708,35,-100,-100
Angus,2021-10-26,8672,37,-100,-100
Angus,2021-10-25,8635,36,-100,-100
Angus,2021-10-24,8599,48,-100,-100
Angus,2021-10-23,8551,40,-100,-100
Angus,2021-10-22,8510,53,-100,-100
Angus,2021-10-21,8457,41,-100,-100
Angus,2021-10-20,8415,49,-100,-100
Angus,2021-10-19,8366,37,-100,-100
Angus,2021-10-18,8328,44,-100,-100
Angus,2021-10-17,8283,56,-100,-100
Angus,2021-10-16,8226,44,-100,-100
Angus,2021-10-15,8181,46,-100,-100
Angus,2021-10-14,8135,50,-100,-100
Angus,2021-10-13,8084,59,-100,-100
Angus,2021-10-12,8025,36,-100,-100
Angus,2021-10-11,7989,44,-100,-100
Angus,2021-10-10,7945,27,-100,-100
Angus,2021-10-09,7917,45,-100,-100
Angus,2021-10-08,7871,44,-100,-100
Angus,2021-10-07,7826,45,-100,-100
Angus,2021-10-06,7781,56,-100,-100
Angus,2021-10-05,7724,27,-100,-100
Angus,2021-10-04,7696,19,-100,-100
Angus,2021-10-03,7676,25,-100,-100
Angus,2021-10-02,7650,20,-100,-100
Angus,2021-10-01,7629,25,-100,-100
Angus,2021-09-30,7604,26,-100,-100
Angus,2021-09-29,7577,43,-100,-100
Angus,2021-09-28,7534,28,-100,-100
Angus,2021-09-27,7505,35,-100,-100
Angus,2021-09-26,7470,38,-100,-100
Angus,2021-09-25,7431,35,-100,-100
Angus,2021-09-24,7395,50,-100,-100
Angus,2021-09-23,7345,41,-100,-100
