areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Antrim and Newtownabbey,2022-05-20,38481,15,-100,-100
Antrim and Newtownabbey,2022-05-19,38465,18,-100,-100
Antrim and Newtownabbey,2022-05-18,38447,15,-100,-100
Antrim and Newtownabbey,2022-05-17,38431,22,-100,-100
Antrim and Newtownabbey,2022-05-16,38409,107,-100,-100
Antrim and Newtownabbey,2022-05-15,38302,0,-100,-100
Antrim and Newtownabbey,2022-05-14,38302,0,-100,-100
Antrim and Newtownabbey,2022-05-13,38302,0,-100,-100
Antrim and Newtownabbey,2022-05-12,38302,0,-100,-100
Antrim and Newtownabbey,2022-05-11,38302,0,-100,-100
Antrim and Newtownabbey,2022-05-10,38302,24,-100,-100
Antrim and Newtownabbey,2022-05-09,38278,57,-100,-100
Antrim and Newtownabbey,2022-05-08,38221,0,-100,-100
Antrim and Newtownabbey,2022-05-07,38221,0,-100,-100
Antrim and Newtownabbey,2022-05-06,38221,24,-100,-100
Antrim and Newtownabbey,2022-05-05,38196,21,-100,-100
Antrim and Newtownabbey,2022-05-04,38175,23,-100,-100
Antrim and Newtownabbey,2022-05-03,38151,73,-100,-100
Antrim and Newtownabbey,2022-05-02,38078,0,-100,-100
Antrim and Newtownabbey,2022-05-01,38078,0,-100,-100
Antrim and Newtownabbey,2022-04-30,38078,0,-100,-100
Antrim and Newtownabbey,2022-04-29,38078,26,-100,-100
Antrim and Newtownabbey,2022-04-28,38051,25,-100,-100
Antrim and Newtownabbey,2022-04-27,38026,23,-100,-100
Antrim and Newtownabbey,2022-04-26,38003,20,-100,-100
Antrim and Newtownabbey,2022-04-25,37982,86,-100,-100
Antrim and Newtownabbey,2022-04-24,37896,0,-100,-100
Antrim and Newtownabbey,2022-04-23,37896,0,-100,-100
Antrim and Newtownabbey,2022-04-22,37896,43,-100,-100
Antrim and Newtownabbey,2022-04-21,37853,36,-100,-100
Antrim and Newtownabbey,2022-04-20,37816,40,-100,-100
Antrim and Newtownabbey,2022-04-19,37775,173,-100,-100
Antrim and Newtownabbey,2022-04-18,37602,0,-100,-100
Antrim and Newtownabbey,2022-04-17,37602,0,-100,-100
Antrim and Newtownabbey,2022-04-16,37602,0,-100,-100
Antrim and Newtownabbey,2022-04-15,37602,0,-100,-100
Antrim and Newtownabbey,2022-04-14,37602,52,-100,-100
Antrim and Newtownabbey,2022-04-13,37549,43,-100,-100
Antrim and Newtownabbey,2022-04-12,37506,52,-100,-100
Antrim and Newtownabbey,2022-04-11,37453,102,-100,-100
Antrim and Newtownabbey,2022-04-10,37350,0,-100,-100
