areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Ards and North Down,2022-05-20,34125,17,-100,-100
Ards and North Down,2022-05-19,34107,15,-100,-100
Ards and North Down,2022-05-18,34092,26,-100,-100
Ards and North Down,2022-05-17,34066,22,-100,-100
Ards and North Down,2022-05-16,34043,109,-100,-100
Ards and North Down,2022-05-15,33933,0,-100,-100
Ards and North Down,2022-05-14,33933,0,-100,-100
Ards and North Down,2022-05-13,33933,0,-100,-100
Ards and North Down,2022-05-12,33933,0,-100,-100
Ards and North Down,2022-05-11,33933,0,-100,-100
Ards and North Down,2022-05-10,33933,32,-100,-100
Ards and North Down,2022-05-09,33901,57,-100,-100
Ards and North Down,2022-05-08,33843,0,-100,-100
Ards and North Down,2022-05-07,33843,0,-100,-100
Ards and North Down,2022-05-06,33843,21,-100,-100
Ards and North Down,2022-05-05,33822,20,-100,-100
Ards and North Down,2022-05-04,33801,17,-100,-100
Ards and North Down,2022-05-03,33783,55,-100,-100
Ards and North Down,2022-05-02,33727,0,-100,-100
Ards and North Down,2022-05-01,33727,0,-100,-100
Ards and North Down,2022-04-30,33727,0,-100,-100
Ards and North Down,2022-04-29,33727,15,-100,-100
Ards and North Down,2022-04-28,33712,23,-100,-100
Ards and North Down,2022-04-27,33688,27,-100,-100
Ards and North Down,2022-04-26,33661,31,-100,-100
Ards and North Down,2022-04-25,33629,101,-100,-100
Ards and North Down,2022-04-24,33528,0,-100,-100
Ards and North Down,2022-04-23,33528,0,-100,-100
Ards and North Down,2022-04-22,33528,42,-100,-100
Ards and North Down,2022-04-21,33485,45,-100,-100
Ards and North Down,2022-04-20,33440,48,-100,-100
Ards and North Down,2022-04-19,33392,227,-100,-100
Ards and North Down,2022-04-18,33165,0,-100,-100
Ards and North Down,2022-04-17,33165,0,-100,-100
Ards and North Down,2022-04-16,33165,0,-100,-100
Ards and North Down,2022-04-15,33165,0,-100,-100
Ards and North Down,2022-04-14,33165,59,-100,-100
Ards and North Down,2022-04-13,33105,62,-100,-100
Ards and North Down,2022-04-12,33043,68,-100,-100
Ards and North Down,2022-04-11,32975,151,-100,-100
Ards and North Down,2022-04-10,32823,0,-100,-100
Ards and North Down,2022-04-09,32823,0,-100,-100
Ards and North Down,2022-04-08,32823,78,-100,-100
Ards and North Down,2022-04-07,32745,71,-100,-100
Ards and North Down,2022-04-06,32673,78,-100,-100
Ards and North Down,2022-04-05,32595,98,-100,-100
Ards and North Down,2022-04-04,32496,179,-100,-100
Ards and North Down,2022-04-03,32317,0,-100,-100
Ards and North Down,2022-04-02,32317,0,-100,-100
Ards and North Down,2022-04-01,32317,80,-100,-100
Ards and North Down,2022-03-31,32237,82,-100,-100
Ards and North Down,2022-03-30,32154,97,-100,-100
Ards and North Down,2022-03-29,32056,107,-100,-100
Ards and North Down,2022-03-28,31949,273,-100,-100
Ards and North Down,2022-03-27,31675,0,-100,-100
Ards and North Down,2022-03-26,31675,0,-100,-100
Ards and North Down,2022-03-25,31675,133,-100,-100
Ards and North Down,2022-03-24,31541,163,-100,-100
Ards and North Down,2022-03-23,31378,129,-100,-100
Ards and North Down,2022-03-22,31248,183,-100,-100
Ards and North Down,2022-03-21,31064,364,-100,-100
Ards and North Down,2022-03-20,30699,0,-100,-100
Ards and North Down,2022-03-19,30699,0,-100,-100
Ards and North Down,2022-03-18,30699,233,-100,-100
Ards and North Down,2022-03-17,30466,0,-100,-100
Ards and North Down,2022-03-16,30466,148,-100,-100
Ards and North Down,2022-03-15,30317,149,-100,-100
Ards and North Down,2022-03-14,30167,368,-100,-100
Ards and North Down,2022-03-13,29799,0,-100,-100
Ards and North Down,2022-03-12,29799,0,-100,-100
Ards and North Down,2022-03-11,29799,147,-100,-100
Ards and North Down,2022-03-10,29652,153,-100,-100
Ards and North Down,2022-03-09,29499,160,-100,-100
Ards and North Down,2022-03-08,29338,185,-100,-100
Ards and North Down,2022-03-07,29152,373,-100,-100
Ards and North Down,2022-03-06,28779,0,-100,-100
Ards and North Down,2022-03-05,28779,0,-100,-100
Ards and North Down,2022-03-04,28779,265,-100,-100
Ards and North Down,2022-03-03,28514,11,-100,-100
Ards and North Down,2022-03-02,28503,137,-100,-100
Ards and North Down,2022-03-01,28365,163,-100,-100
Ards and North Down,2022-02-28,28201,328,-100,-100
Ards and North Down,2022-02-27,27873,0,-100,-100
