areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Argyll and Bute,2023-01-05,32224,0,-100,-100
Argyll and Bute,2023-01-04,32224,0,-100,-100
Argyll and Bute,2023-01-03,32224,0,-100,-100
Argyll and Bute,2023-01-02,32224,0,-100,-100
Argyll and Bute,2023-01-01,32224,0,-100,-100
Argyll and Bute,2022-12-31,32224,0,-100,-100
Argyll and Bute,2022-12-30,32224,0,-100,-100
Argyll and Bute,2022-12-29,32224,0,-100,-100
Argyll and Bute,2022-12-28,32224,0,-100,-100
Argyll and Bute,2022-12-27,32224,0,-100,-100
Argyll and Bute,2022-12-26,32224,0,-100,-100
Argyll and Bute,2022-12-25,32224,0,-100,-100
Argyll and Bute,2022-12-24,32224,0,-100,-100
Argyll and Bute,2022-12-23,32224,0,-100,-100
Argyll and Bute,2022-12-22,32224,0,-100,-100
Argyll and Bute,2022-12-21,32224,55,-100,-100
Argyll and Bute,2022-12-20,32169,0,-100,-100
Argyll and Bute,2022-12-19,32169,0,-100,-100
Argyll and Bute,2022-12-18,32169,0,0,12
Argyll and Bute,2022-12-17,32169,0,0,4
Argyll and Bute,2022-12-16,32169,0,0,7
Argyll and Bute,2022-12-15,32169,0,0,5
Argyll and Bute,2022-12-14,32169,43,0,3
Argyll and Bute,2022-12-13,32125,0,0,4
Argyll and Bute,2022-12-12,32125,0,0,5
Argyll and Bute,2022-12-11,32125,0,0,2
Argyll and Bute,2022-12-10,32125,0,1,8
Argyll and Bute,2022-12-09,32125,0,0,3
Argyll and Bute,2022-12-08,32125,0,0,0
Argyll and Bute,2022-12-07,32125,39,1,1
Argyll and Bute,2022-12-06,32085,0,0,4
Argyll and Bute,2022-12-05,32085,0,0,4
Argyll and Bute,2022-12-04,32085,0,0,3
Argyll and Bute,2022-12-03,32085,0,0,3
Argyll and Bute,2022-12-02,32085,0,0,1
Argyll and Bute,2022-12-01,32085,0,0,2
Argyll and Bute,2022-11-30,32085,26,0,8
Argyll and Bute,2022-11-29,32058,0,1,1
Argyll and Bute,2022-11-28,32058,0,0,5
Argyll and Bute,2022-11-27,32058,0,0,1
Argyll and Bute,2022-11-26,32058,0,0,1
Argyll and Bute,2022-11-25,32058,0,0,2
Argyll and Bute,2022-11-24,32058,0,0,2
Argyll and Bute,2022-11-23,32058,25,0,5
Argyll and Bute,2022-11-22,32033,0,0,2
Argyll and Bute,2022-11-21,32033,0,2,5
