areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
"Armagh City, Banbridge and Craigavon",2022-05-20,37645,10,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-19,37635,15,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-18,37620,17,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-17,37603,15,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-16,37587,59,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-15,37527,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-14,37527,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-13,37527,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-12,37527,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-11,37527,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-10,37527,20,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-09,37507,42,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-08,37464,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-07,37464,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-06,37464,14,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-05,37449,16,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-04,37433,20,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-03,37412,60,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-02,37351,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-05-01,37351,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-30,37351,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-29,37351,12,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-28,37338,11,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-27,37326,17,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-26,37309,24,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-25,37285,55,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-24,37229,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-23,37229,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-22,37229,32,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-21,37197,44,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-20,37152,23,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-19,37128,98,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-18,37029,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-17,37029,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-16,37029,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-15,37029,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-14,37029,26,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-13,37003,23,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-12,36979,11,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-11,36968,77,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-10,36890,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-09,36890,0,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-08,36890,45,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-07,36845,47,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-06,36798,40,-100,-100
"Armagh City, Banbridge and Craigavon",2022-04-05,36757,48,-100,-100
