areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Barking and Dagenham,2020-07-05,308,0,-100,-100
Barking and Dagenham,2020-07-06,308,0,-100,-100
Barking and Dagenham,2020-07-07,308,0,-100,-100
Barking and Dagenham,2020-07-08,309,0,-100,-100
Barking and Dagenham,2020-07-09,309,0,-100,-100
Barking and Dagenham,2020-07-10,309,0,-100,-100
Barking and Dagenham,2020-07-11,310,1,-100,-100
Barking and Dagenham,2020-07-12,311,0,-100,-100
Barking and Dagenham,2020-07-13,311,0,-100,-100
Barking and Dagenham,2020-07-14,311,0,-100,-100
Barking and Dagenham,2020-07-15,311,0,-100,-100
Barking and Dagenham,2020-07-16,311,0,-100,-100
Barking and Dagenham,2020-07-17,313,1,-100,-100
Barking and Dagenham,2020-07-18,314,1,-100,-100
Barking and Dagenham,2020-07-19,314,0,-100,-100
Barking and Dagenham,2020-07-20,315,0,-100,-100
Barking and Dagenham,2020-07-21,315,0,-100,-100
Barking and Dagenham,2020-07-22,315,0,-100,-100
Barking and Dagenham,2020-07-23,316,0,-100,-100
Barking and Dagenham,2020-07-24,318,1,-100,-100
Barking and Dagenham,2020-07-25,318,0,-100,-100
Barking and Dagenham,2020-07-26,318,0,-100,-100
Barking and Dagenham,2020-07-27,320,2,-100,-100
Barking and Dagenham,2020-07-28,322,2,-100,-100
Barking and Dagenham,2020-07-29,324,2,-100,-100
Barking and Dagenham,2020-07-30,326,1,-100,-100
Barking and Dagenham,2020-07-31,329,3,-100,-100
Barking and Dagenham,2020-08-01,332,2,-100,-100
Barking and Dagenham,2020-08-02,332,0,-100,-100
Barking and Dagenham,2020-08-03,333,1,-100,-100
Barking and Dagenham,2020-08-04,334,0,-100,-100
Barking and Dagenham,2020-08-05,335,0,-100,-100
Barking and Dagenham,2020-08-06,335,0,-100,-100
Barking and Dagenham,2020-08-07,337,1,-100,-100
Barking and Dagenham,2020-08-08,339,1,-100,-100
Barking and Dagenham,2020-08-09,339,0,-100,-100
Barking and Dagenham,2020-08-10,341,1,-100,-100
Barking and Dagenham,2020-08-11,341,0,-100,-100
Barking and Dagenham,2020-08-12,343,1,-100,-100
Barking and Dagenham,2020-08-13,343,0,-100,-100
Barking and Dagenham,2020-08-14,346,3,-100,-100
Barking and Dagenham,2020-08-15,348,2,-100,-100
Barking and Dagenham,2020-08-16,350,1,-100,-100
Barking and Dagenham,2020-08-17,352,2,-100,-100
Barking and Dagenham,2020-08-18,354,2,-100,-100
Barking and Dagenham,2020-08-19,357,2,-100,-100
Barking and Dagenham,2020-08-20,360,3,-100,-100
Barking and Dagenham,2020-08-21,360,0,-100,-100
Barking and Dagenham,2020-08-22,361,0,-100,-100
Barking and Dagenham,2020-08-23,363,2,-100,-100
Barking and Dagenham,2020-08-24,364,0,-100,-100
Barking and Dagenham,2020-08-25,367,3,-100,-100
Barking and Dagenham,2020-08-26,370,3,-100,-100
Barking and Dagenham,2020-08-27,372,2,-100,-100
Barking and Dagenham,2020-08-28,376,3,-100,-100
Barking and Dagenham,2020-08-29,376,0,-100,-100
Barking and Dagenham,2020-08-30,377,0,-100,-100
Barking and Dagenham,2020-08-31,377,0,-100,-100
Barking and Dagenham,2020-09-01,380,2,-100,-100
Barking and Dagenham,2020-09-02,382,2,-100,-100
Barking and Dagenham,2020-09-03,386,3,-100,-100
Barking and Dagenham,2020-09-04,392,5,-100,-100
Barking and Dagenham,2020-09-05,396,4,-100,-100
Barking and Dagenham,2020-09-06,399,3,-100,-100
Barking and Dagenham,2020-09-07,404,4,-100,-100
Barking and Dagenham,2020-09-08,407,3,-100,-100
Barking and Dagenham,2020-09-09,409,1,-100,-100
Barking and Dagenham,2020-09-10,413,4,-100,-100
Barking and Dagenham,2020-09-11,416,3,-100,-100
Barking and Dagenham,2020-09-12,423,6,-100,-100
Barking and Dagenham,2020-09-13,430,7,-100,-100
Barking and Dagenham,2020-09-14,432,1,-100,-100
Barking and Dagenham,2020-09-15,436,3,-100,-100
Barking and Dagenham,2020-09-16,439,3,-100,-100
Barking and Dagenham,2020-09-17,443,4,-100,-100
Barking and Dagenham,2020-09-18,446,2,-100,-100
Barking and Dagenham,2020-09-19,457,10,-100,-100
Barking and Dagenham,2020-09-20,461,4,-100,-100
Barking and Dagenham,2020-09-21,463,1,-100,-100
Barking and Dagenham,2020-09-22,471,7,-100,-100
Barking and Dagenham,2020-09-23,482,11,-100,-100
Barking and Dagenham,2020-09-24,492,9,-100,-100
Barking and Dagenham,2020-09-25,502,10,-100,-100
Barking and Dagenham,2020-09-26,509,6,-100,-100
Barking and Dagenham,2020-09-27,520,11,-100,-100
Barking and Dagenham,2020-09-28,526,5,-100,-100
Barking and Dagenham,2020-09-29,530,4,-100,-100
Barking and Dagenham,2020-09-30,535,4,-100,-100
Barking and Dagenham,2020-10-01,543,8,-100,-100
Barking and Dagenham,2020-10-02,546,3,-100,-100
Barking and Dagenham,2020-10-03,557,11,-100,-100
Barking and Dagenham,2020-10-04,575,17,-100,-100
Barking and Dagenham,2020-10-05,585,10,-100,-100
Barking and Dagenham,2020-10-06,592,7,-100,-100
