areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Barnet,2020-07-05,607,0,-100,-100
Barnet,2020-07-06,608,0,-100,-100
Barnet,2020-07-07,608,0,-100,-100
Barnet,2020-07-08,609,0,-100,-100
Barnet,2020-07-09,610,0,-100,-100
Barnet,2020-07-10,610,0,-100,-100
Barnet,2020-07-11,612,1,-100,-100
Barnet,2020-07-12,613,1,-100,-100
Barnet,2020-07-13,613,0,-100,-100
Barnet,2020-07-14,615,1,-100,-100
Barnet,2020-07-15,617,1,-100,-100
Barnet,2020-07-16,618,1,-100,-100
Barnet,2020-07-17,621,3,-100,-100
Barnet,2020-07-18,622,1,-100,-100
Barnet,2020-07-19,623,0,-100,-100
Barnet,2020-07-20,624,1,-100,-100
Barnet,2020-07-21,625,1,-100,-100
Barnet,2020-07-22,625,0,-100,-100
Barnet,2020-07-23,628,2,-100,-100
Barnet,2020-07-24,628,0,-100,-100
Barnet,2020-07-25,629,1,-100,-100
Barnet,2020-07-26,631,1,-100,-100
Barnet,2020-07-27,633,1,-100,-100
Barnet,2020-07-28,634,1,-100,-100
Barnet,2020-07-29,636,1,-100,-100
Barnet,2020-07-30,637,1,-100,-100
Barnet,2020-07-31,641,3,-100,-100
Barnet,2020-08-01,643,1,-100,-100
Barnet,2020-08-02,644,1,-100,-100
Barnet,2020-08-03,646,1,-100,-100
Barnet,2020-08-04,648,2,-100,-100
Barnet,2020-08-05,649,1,-100,-100
Barnet,2020-08-06,651,1,-100,-100
Barnet,2020-08-07,653,2,-100,-100
Barnet,2020-08-08,654,1,-100,-100
Barnet,2020-08-09,658,3,-100,-100
Barnet,2020-08-10,659,0,-100,-100
Barnet,2020-08-11,661,1,-100,-100
Barnet,2020-08-12,661,0,-100,-100
Barnet,2020-08-13,661,0,-100,-100
Barnet,2020-08-14,667,6,-100,-100
Barnet,2020-08-15,671,3,-100,-100
Barnet,2020-08-16,675,4,-100,-100
Barnet,2020-08-17,677,1,-100,-100
Barnet,2020-08-18,678,1,-100,-100
Barnet,2020-08-19,683,4,-100,-100
Barnet,2020-08-20,685,1,-100,-100
Barnet,2020-08-21,687,2,-100,-100
Barnet,2020-08-22,689,1,-100,-100
Barnet,2020-08-23,692,3,-100,-100
Barnet,2020-08-24,697,4,-100,-100
Barnet,2020-08-25,699,2,-100,-100
Barnet,2020-08-26,700,1,-100,-100
Barnet,2020-08-27,703,2,-100,-100
Barnet,2020-08-28,706,2,-100,-100
Barnet,2020-08-29,709,2,-100,-100
Barnet,2020-08-30,713,4,-100,-100
Barnet,2020-08-31,717,4,-100,-100
Barnet,2020-09-01,722,4,-100,-100
Barnet,2020-09-02,725,2,-100,-100
Barnet,2020-09-03,732,6,-100,-100
Barnet,2020-09-04,738,5,-100,-100
Barnet,2020-09-05,742,4,-100,-100
Barnet,2020-09-06,750,7,-100,-100
Barnet,2020-09-07,755,4,-100,-100
Barnet,2020-09-08,761,6,-100,-100
Barnet,2020-09-09,765,3,-100,-100
Barnet,2020-09-10,770,5,-100,-100
Barnet,2020-09-11,776,5,-100,-100
Barnet,2020-09-12,784,8,-100,-100
Barnet,2020-09-13,787,3,-100,-100
Barnet,2020-09-14,791,4,-100,-100
Barnet,2020-09-15,793,1,-100,-100
Barnet,2020-09-16,796,3,-100,-100
Barnet,2020-09-17,799,3,-100,-100
Barnet,2020-09-18,807,8,-100,-100
Barnet,2020-09-19,811,4,-100,-100
Barnet,2020-09-20,814,2,-100,-100
Barnet,2020-09-21,817,3,-100,-100
Barnet,2020-09-22,822,5,-100,-100
Barnet,2020-09-23,830,7,-100,-100
Barnet,2020-09-24,842,12,-100,-100
Barnet,2020-09-25,853,11,-100,-100
Barnet,2020-09-26,863,9,-100,-100
Barnet,2020-09-27,868,5,-100,-100
Barnet,2020-09-28,872,3,-100,-100
Barnet,2020-09-29,884,12,-100,-100
Barnet,2020-09-30,890,5,-100,-100
Barnet,2020-10-01,899,9,-100,-100
Barnet,2020-10-02,913,13,-100,-100
Barnet,2020-10-03,936,23,-100,-100
Barnet,2020-10-04,971,35,-100,-100
Barnet,2020-10-05,988,17,-100,-100
Barnet,2020-10-06,1004,15,-100,-100
Barnet,2020-10-07,1027,22,-100,-100
Barnet,2020-10-08,1055,28,-100,-100
Barnet,2020-10-09,1086,30,-100,-100
Barnet,2020-10-10,1110,24,-100,-100
Barnet,2020-10-11,1123,12,-100,-100
Barnet,2020-10-12,1139,15,-100,-100
Barnet,2020-10-13,1169,29,-100,-100
Barnet,2020-10-14,1194,24,-100,-100
Barnet,2020-10-15,1224,30,-100,-100
Barnet,2020-10-16,1249,24,-100,-100
