areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Barnsley,2020-07-05,1626,6,-100,-100
Barnsley,2020-07-06,1630,3,-100,-100
Barnsley,2020-07-07,1632,2,-100,-100
Barnsley,2020-07-08,1640,7,-100,-100
Barnsley,2020-07-09,1646,6,-100,-100
Barnsley,2020-07-10,1648,1,-100,-100
Barnsley,2020-07-11,1649,1,-100,-100
Barnsley,2020-07-12,1654,4,-100,-100
Barnsley,2020-07-13,1655,0,-100,-100
Barnsley,2020-07-14,1658,3,-100,-100
Barnsley,2020-07-15,1660,1,-100,-100
Barnsley,2020-07-16,1662,1,-100,-100
Barnsley,2020-07-17,1663,1,-100,-100
Barnsley,2020-07-18,1669,6,-100,-100
Barnsley,2020-07-19,1674,4,-100,-100
Barnsley,2020-07-20,1687,12,-100,-100
Barnsley,2020-07-21,1690,3,-100,-100
Barnsley,2020-07-22,1697,6,-100,-100
Barnsley,2020-07-23,1697,0,-100,-100
Barnsley,2020-07-24,1696,0,-100,-100
Barnsley,2020-07-25,1699,2,-100,-100
Barnsley,2020-07-26,1701,2,-100,-100
Barnsley,2020-07-27,1702,0,-100,-100
Barnsley,2020-07-28,1706,3,-100,-100
Barnsley,2020-07-29,1706,0,-100,-100
Barnsley,2020-07-30,1708,1,-100,-100
Barnsley,2020-07-31,1711,2,-100,-100
Barnsley,2020-08-01,1718,6,-100,-100
Barnsley,2020-08-02,1719,1,-100,-100
Barnsley,2020-08-03,1725,5,-100,-100
Barnsley,2020-08-04,1731,6,-100,-100
Barnsley,2020-08-05,1732,1,-100,-100
Barnsley,2020-08-06,1734,1,-100,-100
Barnsley,2020-08-07,1738,3,-100,-100
Barnsley,2020-08-08,1739,1,-100,-100
Barnsley,2020-08-09,1750,10,-100,-100
Barnsley,2020-08-10,1754,4,-100,-100
Barnsley,2020-08-11,1757,3,-100,-100
Barnsley,2020-08-12,1765,7,-100,-100
Barnsley,2020-08-13,1765,0,-100,-100
Barnsley,2020-08-14,1784,18,-100,-100
Barnsley,2020-08-15,1789,5,-100,-100
Barnsley,2020-08-16,1797,7,-100,-100
Barnsley,2020-08-17,1802,5,-100,-100
Barnsley,2020-08-18,1807,4,-100,-100
Barnsley,2020-08-19,1808,1,-100,-100
Barnsley,2020-08-20,1812,3,-100,-100
Barnsley,2020-08-21,1815,3,-100,-100
Barnsley,2020-08-22,1818,2,-100,-100
Barnsley,2020-08-23,1819,0,-100,-100
Barnsley,2020-08-24,1820,0,-100,-100
Barnsley,2020-08-25,1826,6,-100,-100
Barnsley,2020-08-26,1826,0,-100,-100
Barnsley,2020-08-27,1831,4,-100,-100
Barnsley,2020-08-28,1835,4,-100,-100
Barnsley,2020-08-29,1836,0,-100,-100
Barnsley,2020-08-30,1838,1,-100,-100
Barnsley,2020-08-31,1842,4,-100,-100
Barnsley,2020-09-01,1842,0,-100,-100
Barnsley,2020-09-02,1845,2,-100,-100
Barnsley,2020-09-03,1853,8,-100,-100
Barnsley,2020-09-04,1862,8,-100,-100
Barnsley,2020-09-05,1871,9,-100,-100
Barnsley,2020-09-06,1883,11,-100,-100
Barnsley,2020-09-07,1897,14,-100,-100
Barnsley,2020-09-08,1902,4,-100,-100
Barnsley,2020-09-09,1910,8,-100,-100
Barnsley,2020-09-10,1919,8,-100,-100
Barnsley,2020-09-11,1927,8,-100,-100
Barnsley,2020-09-12,1935,7,-100,-100
Barnsley,2020-09-13,1943,7,-100,-100
Barnsley,2020-09-14,1948,5,-100,-100
Barnsley,2020-09-15,1963,14,-100,-100
Barnsley,2020-09-16,1972,9,-100,-100
Barnsley,2020-09-17,1979,6,-100,-100
Barnsley,2020-09-18,1986,6,-100,-100
Barnsley,2020-09-19,1994,7,-100,-100
Barnsley,2020-09-20,2010,15,-100,-100
Barnsley,2020-09-21,2018,8,-100,-100
Barnsley,2020-09-22,2032,13,-100,-100
Barnsley,2020-09-23,2046,13,-100,-100
Barnsley,2020-09-24,2056,10,-100,-100
Barnsley,2020-09-25,2070,13,-100,-100
Barnsley,2020-09-26,2089,18,-100,-100
Barnsley,2020-09-27,2110,20,-100,-100
Barnsley,2020-09-28,2121,11,-100,-100
Barnsley,2020-09-29,2140,18,-100,-100
Barnsley,2020-09-30,2178,37,-100,-100
Barnsley,2020-10-01,2198,19,-100,-100
Barnsley,2020-10-02,2222,24,-100,-100
Barnsley,2020-10-03,2286,63,-100,-100
Barnsley,2020-10-04,2363,76,-100,-100
Barnsley,2020-10-05,2425,62,-100,-100
Barnsley,2020-10-06,2499,74,-100,-100
Barnsley,2020-10-07,2547,47,-100,-100
Barnsley,2020-10-08,2630,83,-100,-100
Barnsley,2020-10-09,2674,44,-100,-100
Barnsley,2020-10-10,2771,96,-100,-100
Barnsley,2020-10-11,2883,112,-100,-100
Barnsley,2020-10-12,2958,74,-100,-100
Barnsley,2020-10-13,3054,96,-100,-100
Barnsley,2020-10-14,3183,128,-100,-100
Barnsley,2020-10-15,3296,113,-100,-100
Barnsley,2020-10-16,3392,95,-100,-100
Barnsley,2020-10-17,3526,133,-100,-100
Barnsley,2020-10-18,3685,159,-100,-100
Barnsley,2020-10-19,3863,177,-100,-100
Barnsley,2020-10-20,4030,166,-100,-100
Barnsley,2020-10-21,4258,227,-100,-100
Barnsley,2020-10-22,4427,169,-100,-100
Barnsley,2020-10-23,4557,129,-100,-100
Barnsley,2020-10-24,4727,170,-100,-100
Barnsley,2020-10-25,4878,151,-100,-100
Barnsley,2020-10-26,5025,146,-100,-100
Barnsley,2020-10-27,5158,133,-100,-100
Barnsley,2020-10-28,5352,193,-100,-100
Barnsley,2020-10-29,5530,177,-100,-100
Barnsley,2020-10-30,5707,176,-100,-100
Barnsley,2020-10-31,5893,186,-100,-100
Barnsley,2020-11-01,6055,162,-100,-100
Barnsley,2020-11-02,6209,153,-100,-100
Barnsley,2020-11-03,6357,147,-100,-100
Barnsley,2020-11-04,6509,151,-100,-100
Barnsley,2020-11-05,6694,184,-100,-100
Barnsley,2020-11-06,6817,123,-100,-100
Barnsley,2020-11-07,6964,146,-100,-100
Barnsley,2020-11-08,7111,147,-100,-100
Barnsley,2020-11-09,7207,95,-100,-100
Barnsley,2020-11-10,7335,127,-100,-100
Barnsley,2020-11-11,7447,112,-100,-100
Barnsley,2020-11-12,7633,185,0,-100
Barnsley,2020-11-13,7756,123,0,-100
Barnsley,2020-11-14,7863,106,0,-100
Barnsley,2020-11-15,7984,121,0,-100
Barnsley,2020-11-16,8039,54,0,-100
Barnsley,2020-11-17,8128,89,0,0
Barnsley,2020-11-18,8242,113,0,0
Barnsley,2020-11-19,8343,100,0,0
Barnsley,2020-11-20,8424,81,0,0
Barnsley,2020-11-21,8500,75,0,0
Barnsley,2020-11-22,8549,49,0,0
Barnsley,2020-11-23,8634,85,0,0
Barnsley,2020-11-24,8703,68,0,0
Barnsley,2020-11-25,8773,70,0,0
Barnsley,2020-11-26,8827,53,0,0
Barnsley,2020-11-27,8901,74,0,0
Barnsley,2020-11-28,8954,52,0,0
Barnsley,2020-11-29,8995,41,0,0
Barnsley,2020-11-30,9034,38,0,0
Barnsley,2020-12-01,9077,43,0,0
Barnsley,2020-12-02,9132,54,0,0
Barnsley,2020-12-03,9182,50,0,0
Barnsley,2020-12-04,9231,49,0,0
Barnsley,2020-12-05,9265,33,0,0
Barnsley,2020-12-06,9309,44,0,0
Barnsley,2020-12-07,9340,31,0,0
Barnsley,2020-12-08,9361,21,0,0
Barnsley,2020-12-09,9408,46,0,0
Barnsley,2020-12-10,9465,56,0,0
Barnsley,2020-12-11,9520,55,0,0
Barnsley,2020-12-12,9550,29,0,0
Barnsley,2020-12-13,9606,56,0,0
Barnsley,2020-12-14,9641,35,0,0
Barnsley,2020-12-15,9707,65,0,0
Barnsley,2020-12-16,9762,55,0,0
Barnsley,2020-12-17,9807,44,0,0
Barnsley,2020-12-18,9857,50,0,0
Barnsley,2020-12-19,9898,40,0,0
Barnsley,2020-12-20,9943,44,0,0
Barnsley,2020-12-21,10014,71,0,0
Barnsley,2020-12-22,10091,76,0,0
Barnsley,2020-12-23,10176,84,0,0
Barnsley,2020-12-24,10261,85,0,0
Barnsley,2020-12-25,10314,52,0,0
Barnsley,2020-12-26,10342,28,0,0
Barnsley,2020-12-27,10398,56,0,0
Barnsley,2020-12-28,10511,112,0,0
Barnsley,2020-12-29,10590,79,0,0
Barnsley,2020-12-30,10660,69,0,0
Barnsley,2020-12-31,10737,76,0,0
Barnsley,2021-01-01,10811,74,0,0
Barnsley,2021-01-02,10926,114,0,0
Barnsley,2021-01-03,10991,64,0,0
Barnsley,2021-01-04,11069,78,0,0
Barnsley,2021-01-05,11164,94,0,0
Barnsley,2021-01-06,11271,107,0,0
Barnsley,2021-01-07,11356,84,1,0
Barnsley,2021-01-08,11443,87,0,0
Barnsley,2021-01-09,11505,62,0,0
Barnsley,2021-01-10,11587,82,0,0
Barnsley,2021-01-11,11635,47,1,0
Barnsley,2021-01-12,11695,60,0,0
Barnsley,2021-01-13,11797,101,0,0
Barnsley,2021-01-14,11881,83,1,0
Barnsley,2021-01-15,11947,66,5,0
Barnsley,2021-01-16,11989,41,1,0
Barnsley,2021-01-17,12044,55,0,0
Barnsley,2021-01-18,12121,76,3,0
Barnsley,2021-01-19,12212,91,0,2
Barnsley,2021-01-20,12301,88,4,0
Barnsley,2021-01-21,12393,91,2,0
Barnsley,2021-01-22,12490,96,1,0
Barnsley,2021-01-23,12572,82,0,0
Barnsley,2021-01-24,12646,73,1,1
Barnsley,2021-01-25,12711,64,0,0
Barnsley,2021-01-26,12780,69,0,0
Barnsley,2021-01-27,12851,71,0,1
Barnsley,2021-01-28,12940,88,0,0
Barnsley,2021-01-29,13009,69,0,0
Barnsley,2021-01-30,13080,70,4,0
Barnsley,2021-01-31,13139,58,0,0
Barnsley,2021-02-01,13179,40,2,4
Barnsley,2021-02-02,13241,61,5,0
Barnsley,2021-02-03,13306,65,3,2
Barnsley,2021-02-04,13360,53,1,0
Barnsley,2021-02-05,13423,63,0,2
Barnsley,2021-02-06,13501,77,0,0
Barnsley,2021-02-07,13559,58,3,0
Barnsley,2021-02-08,13610,50,3,4
Barnsley,2021-02-09,13649,38,0,0
Barnsley,2021-02-10,13717,68,1,2
Barnsley,2021-02-11,13783,65,0,0
Barnsley,2021-02-12,13840,56,0,1
Barnsley,2021-02-13,13903,63,0,0
Barnsley,2021-02-14,13938,35,0,0
Barnsley,2021-02-15,13982,43,1,0
Barnsley,2021-02-16,14034,52,0,3
Barnsley,2021-02-17,14102,67,1,0
Barnsley,2021-02-18,14159,57,0,1
Barnsley,2021-02-19,14230,70,1,0
Barnsley,2021-02-20,14273,43,0,0
Barnsley,2021-02-21,14315,41,0,0
Barnsley,2021-02-22,14375,60,0,0
Barnsley,2021-02-23,14416,40,0,0
Barnsley,2021-02-24,14463,47,6,2
Barnsley,2021-02-25,14526,63,0,2
Barnsley,2021-02-26,14577,50,0,0
Barnsley,2021-02-27,14633,55,0,0
Barnsley,2021-02-28,14670,37,0,0
Barnsley,2021-03-01,14709,39,1,2
Barnsley,2021-03-02,14753,43,0,3
Barnsley,2021-03-03,14804,51,2,3
Barnsley,2021-03-04,14859,54,0,1
Barnsley,2021-03-05,14907,48,2,1
Barnsley,2021-03-06,14952,44,0,0
Barnsley,2021-03-07,14988,36,1,0
Barnsley,2021-03-08,15018,29,6,3
Barnsley,2021-03-09,15061,43,0,4
Barnsley,2021-03-10,15120,58,6,2
Barnsley,2021-03-11,15165,45,3,2
Barnsley,2021-03-12,15219,53,7,4
Barnsley,2021-03-13,15278,58,5,0
Barnsley,2021-03-14,15322,44,6,2
Barnsley,2021-03-15,15394,71,3,9
Barnsley,2021-03-16,15454,59,10,5
Barnsley,2021-03-17,15506,52,8,2
Barnsley,2021-03-18,15588,82,7,4
Barnsley,2021-03-19,15637,48,7,3
Barnsley,2021-03-20,15696,59,3,3
Barnsley,2021-03-21,15727,31,10,5
Barnsley,2021-03-22,15782,54,3,1
Barnsley,2021-03-23,15834,51,5,5
Barnsley,2021-03-24,15875,41,12,7
Barnsley,2021-03-25,15939,63,5,5
Barnsley,2021-03-26,15994,55,6,2
Barnsley,2021-03-27,16028,33,6,0
Barnsley,2021-03-28,16059,31,8,4
Barnsley,2021-03-29,16102,43,1,3
Barnsley,2021-03-30,16127,25,0,1
Barnsley,2021-03-31,16158,31,12,0
Barnsley,2021-04-01,16200,41,4,3
