areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Bath and North East Somerset,2020-07-05,233,0,-100,-100
Bath and North East Somerset,2020-07-06,233,0,-100,-100
Bath and North East Somerset,2020-07-07,233,0,-100,-100
Bath and North East Somerset,2020-07-08,233,0,-100,-100
Bath and North East Somerset,2020-07-09,233,0,-100,-100
Bath and North East Somerset,2020-07-10,233,0,-100,-100
Bath and North East Somerset,2020-07-11,233,0,-100,-100
Bath and North East Somerset,2020-07-12,235,1,-100,-100
Bath and North East Somerset,2020-07-13,235,0,-100,-100
Bath and North East Somerset,2020-07-14,235,0,-100,-100
Bath and North East Somerset,2020-07-15,235,0,-100,-100
Bath and North East Somerset,2020-07-16,235,0,-100,-100
Bath and North East Somerset,2020-07-17,235,0,-100,-100
Bath and North East Somerset,2020-07-18,236,1,-100,-100
Bath and North East Somerset,2020-07-19,237,0,-100,-100
Bath and North East Somerset,2020-07-20,237,0,-100,-100
Bath and North East Somerset,2020-07-21,237,0,-100,-100
Bath and North East Somerset,2020-07-22,237,0,-100,-100
Bath and North East Somerset,2020-07-23,237,0,-100,-100
Bath and North East Somerset,2020-07-24,238,0,-100,-100
Bath and North East Somerset,2020-07-25,239,1,-100,-100
Bath and North East Somerset,2020-07-26,241,1,-100,-100
Bath and North East Somerset,2020-07-27,242,0,-100,-100
Bath and North East Somerset,2020-07-28,242,0,-100,-100
Bath and North East Somerset,2020-07-29,242,0,-100,-100
Bath and North East Somerset,2020-07-30,242,0,-100,-100
Bath and North East Somerset,2020-07-31,242,0,-100,-100
Bath and North East Somerset,2020-08-01,242,0,-100,-100
Bath and North East Somerset,2020-08-02,245,2,-100,-100
Bath and North East Somerset,2020-08-03,245,0,-100,-100
Bath and North East Somerset,2020-08-04,246,0,-100,-100
Bath and North East Somerset,2020-08-05,246,0,-100,-100
Bath and North East Somerset,2020-08-06,247,0,-100,-100
Bath and North East Somerset,2020-08-07,248,0,-100,-100
