areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Bedford,2020-07-05,763,2,-100,-100
Bedford,2020-07-06,767,3,-100,-100
Bedford,2020-07-07,781,14,-100,-100
Bedford,2020-07-08,782,1,-100,-100
Bedford,2020-07-09,781,0,-100,-100
Bedford,2020-07-10,782,0,-100,-100
Bedford,2020-07-11,782,0,-100,-100
Bedford,2020-07-12,784,2,-100,-100
Bedford,2020-07-13,785,0,-100,-100
Bedford,2020-07-14,786,1,-100,-100
Bedford,2020-07-15,787,1,-100,-100
Bedford,2020-07-16,790,2,-100,-100
Bedford,2020-07-17,792,1,-100,-100
Bedford,2020-07-18,794,1,-100,-100
Bedford,2020-07-19,799,4,-100,-100
Bedford,2020-07-20,799,0,-100,-100
Bedford,2020-07-21,801,1,-100,-100
Bedford,2020-07-22,803,1,-100,-100
Bedford,2020-07-23,805,1,-100,-100
Bedford,2020-07-24,809,4,-100,-100
Bedford,2020-07-25,810,0,-100,-100
Bedford,2020-07-26,817,6,-100,-100
Bedford,2020-07-27,820,3,-100,-100
Bedford,2020-07-28,821,0,-100,-100
Bedford,2020-07-29,824,3,-100,-100
Bedford,2020-07-30,828,3,-100,-100
Bedford,2020-07-31,831,3,-100,-100
Bedford,2020-08-01,835,4,-100,-100
Bedford,2020-08-02,836,0,-100,-100
Bedford,2020-08-03,840,4,-100,-100
Bedford,2020-08-04,842,2,-100,-100
Bedford,2020-08-05,845,2,-100,-100
Bedford,2020-08-06,847,1,-100,-100
Bedford,2020-08-07,850,3,-100,-100
Bedford,2020-08-08,853,2,-100,-100
Bedford,2020-08-09,854,1,-100,-100
Bedford,2020-08-10,855,0,-100,-100
Bedford,2020-08-11,855,0,-100,-100
Bedford,2020-08-12,856,0,-100,-100
Bedford,2020-08-13,856,0,-100,-100
Bedford,2020-08-14,859,3,-100,-100
Bedford,2020-08-15,862,3,-100,-100
Bedford,2020-08-16,861,0,-100,-100
Bedford,2020-08-17,862,0,-100,-100
Bedford,2020-08-18,862,0,-100,-100
Bedford,2020-08-19,865,2,-100,-100
Bedford,2020-08-20,868,3,-100,-100
Bedford,2020-08-21,868,0,-100,-100
Bedford,2020-08-22,870,1,-100,-100
Bedford,2020-08-23,871,1,-100,-100
Bedford,2020-08-24,871,0,-100,-100
Bedford,2020-08-25,876,4,-100,-100
Bedford,2020-08-26,876,0,-100,-100
Bedford,2020-08-27,877,1,-100,-100
