areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Belfast,2022-05-20,37753,17,-100,-100
Belfast,2022-05-19,37736,14,-100,-100
Belfast,2022-05-18,37722,18,-100,-100
Belfast,2022-05-17,37704,22,-100,-100
Belfast,2022-05-16,37681,84,-100,-100
Belfast,2022-05-15,37597,0,-100,-100
Belfast,2022-05-14,37597,0,-100,-100
Belfast,2022-05-13,37597,0,-100,-100
Belfast,2022-05-12,37597,0,-100,-100
Belfast,2022-05-11,37597,0,-100,-100
Belfast,2022-05-10,37597,23,-100,-100
Belfast,2022-05-09,37574,47,-100,-100
Belfast,2022-05-08,37526,0,-100,-100
Belfast,2022-05-07,37526,0,-100,-100
Belfast,2022-05-06,37526,20,-100,-100
Belfast,2022-05-05,37506,17,-100,-100
Belfast,2022-05-04,37489,17,-100,-100
Belfast,2022-05-03,37471,39,-100,-100
Belfast,2022-05-02,37431,0,-100,-100
Belfast,2022-05-01,37431,0,-100,-100
Belfast,2022-04-30,37431,0,-100,-100
Belfast,2022-04-29,37431,17,-100,-100
Belfast,2022-04-28,37414,17,-100,-100
Belfast,2022-04-27,37396,23,-100,-100
Belfast,2022-04-26,37373,21,-100,-100
Belfast,2022-04-25,37351,68,-100,-100
Belfast,2022-04-24,37283,0,-100,-100
Belfast,2022-04-23,37283,0,-100,-100
Belfast,2022-04-22,37283,31,-100,-100
Belfast,2022-04-21,37251,38,-100,-100
Belfast,2022-04-20,37212,30,-100,-100
Belfast,2022-04-19,37182,143,-100,-100
Belfast,2022-04-18,37038,0,-100,-100
Belfast,2022-04-17,37038,0,-100,-100
Belfast,2022-04-16,37038,0,-100,-100
Belfast,2022-04-15,37038,0,-100,-100
Belfast,2022-04-14,37038,38,-100,-100
Belfast,2022-04-13,37000,40,-100,-100
Belfast,2022-04-12,36959,49,-100,-100
Belfast,2022-04-11,36909,117,-100,-100
Belfast,2022-04-10,36792,0,-100,-100
Belfast,2022-04-09,36792,0,-100,-100
Belfast,2022-04-08,36792,57,-100,-100
Belfast,2022-04-07,36735,59,-100,-100
Belfast,2022-04-06,36676,65,-100,-100
Belfast,2022-04-05,36610,79,-100,-100
Belfast,2022-04-04,36531,138,-100,-100
Belfast,2022-04-03,36392,0,-100,-100
Belfast,2022-04-02,36392,0,-100,-100
Belfast,2022-04-01,36392,63,-100,-100
Belfast,2022-03-31,36329,84,-100,-100
Belfast,2022-03-30,36244,70,-100,-100
Belfast,2022-03-29,36174,92,-100,-100
Belfast,2022-03-28,36081,193,-100,-100
Belfast,2022-03-27,35887,0,-100,-100
Belfast,2022-03-26,35887,0,-100,-100
Belfast,2022-03-25,35887,101,-100,-100
Belfast,2022-03-24,35786,138,-100,-100
Belfast,2022-03-23,35648,122,-100,-100
Belfast,2022-03-22,35525,163,-100,-100
Belfast,2022-03-21,35362,260,-100,-100
Belfast,2022-03-20,35102,0,-100,-100
Belfast,2022-03-19,35102,0,-100,-100
Belfast,2022-03-18,35102,194,-100,-100
Belfast,2022-03-17,34907,0,-100,-100
Belfast,2022-03-16,34907,114,-100,-100
Belfast,2022-03-15,34793,138,-100,-100
Belfast,2022-03-14,34654,291,-100,-100
Belfast,2022-03-13,34363,0,-100,-100
Belfast,2022-03-12,34363,0,-100,-100
Belfast,2022-03-11,34363,118,-100,-100
Belfast,2022-03-10,34245,154,-100,-100
Belfast,2022-03-09,34090,153,-100,-100
Belfast,2022-03-08,33937,134,-100,-100
Belfast,2022-03-07,33802,296,-100,-100
Belfast,2022-03-06,33506,0,-100,-100
Belfast,2022-03-05,33506,0,-100,-100
Belfast,2022-03-04,33506,264,-100,-100
Belfast,2022-03-03,33242,7,-100,-100
Belfast,2022-03-02,33235,124,-100,-100
Belfast,2022-03-01,33110,144,-100,-100
Belfast,2022-02-28,32965,281,-100,-100
Belfast,2022-02-27,32683,0,-100,-100
Belfast,2022-02-26,32683,0,-100,-100
Belfast,2022-02-25,32683,117,-100,-100
Belfast,2022-02-24,32566,135,-100,-100
Belfast,2022-02-23,32431,126,-100,-100
Belfast,2022-02-22,32304,170,-100,-100
Belfast,2022-02-21,32133,342,-100,-100
Belfast,2022-02-20,31790,0,-100,-100
Belfast,2022-02-19,31790,0,-100,-100
Belfast,2022-02-18,31790,135,-100,-100
Belfast,2022-02-17,31655,169,-100,-100
Belfast,2022-02-16,31485,157,-100,-100
Belfast,2022-02-15,31328,156,-100,-100
Belfast,2022-02-14,31171,399,-100,-100
Belfast,2022-02-13,30771,0,-100,-100
Belfast,2022-02-12,30771,0,-100,-100
Belfast,2022-02-11,30771,156,-100,-100
Belfast,2022-02-10,30614,226,-100,-100
Belfast,2022-02-09,30388,231,-100,-100
Belfast,2022-02-08,30156,236,-100,-100
Belfast,2022-02-07,29920,527,-100,-100
Belfast,2022-02-06,29393,0,-100,-100
Belfast,2022-02-05,29393,0,-100,-100
Belfast,2022-02-04,29393,221,-100,-100
Belfast,2022-02-03,29171,226,-100,-100
Belfast,2022-02-02,28945,265,-100,-100
Belfast,2022-02-01,28679,274,-100,-100
Belfast,2022-01-31,28405,721,-100,-100
Belfast,2022-01-30,27684,0,-100,-100
Belfast,2022-01-29,27684,0,-100,-100
Belfast,2022-01-28,27684,194,-100,-100
Belfast,2022-01-27,27489,230,-100,-100
Belfast,2022-01-26,27258,211,-100,-100
Belfast,2022-01-25,27047,246,-100,-100
Belfast,2022-01-24,26801,520,-100,-100
Belfast,2022-01-23,26281,0,-100,-100
Belfast,2022-01-22,26281,0,-100,-100
Belfast,2022-01-21,26281,169,-100,-100
Belfast,2022-01-20,26112,185,-100,-100
Belfast,2022-01-19,25926,215,-100,-100
Belfast,2022-01-18,25711,212,-100,-100
Belfast,2022-01-17,25498,402,-100,-100
Belfast,2022-01-16,25096,0,-100,-100
Belfast,2022-01-15,25096,0,-100,-100
Belfast,2022-01-14,25096,159,-100,-100
Belfast,2022-01-13,24936,154,-100,-100
Belfast,2022-01-12,24782,147,-100,-100
Belfast,2022-01-11,24634,172,-100,-100
Belfast,2022-01-10,24461,505,-100,-100
Belfast,2022-01-09,23956,0,-100,-100
Belfast,2022-01-08,23956,0,-100,-100
Belfast,2022-01-07,23956,307,-100,-100
Belfast,2022-01-06,23648,374,-100,-100
Belfast,2022-01-05,23274,375,-100,-100
Belfast,2022-01-04,22899,1450,-100,-100
Belfast,2022-01-03,21448,0,-100,-100
Belfast,2022-01-02,21448,0,-100,-100
Belfast,2022-01-01,21448,0,-100,-100
Belfast,2021-12-31,21448,362,-100,-100
Belfast,2021-12-30,21086,227,-100,-100
Belfast,2021-12-29,20858,1224,-100,-100
Belfast,2021-12-28,19634,0,-100,-100
