areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Bexley,2020-07-05,1225,1,-100,-100
Bexley,2020-07-06,1225,0,-100,-100
Bexley,2020-07-07,1225,0,-100,-100
Bexley,2020-07-08,1226,1,-100,-100
Bexley,2020-07-09,1232,5,-100,-100
Bexley,2020-07-10,1234,2,-100,-100
Bexley,2020-07-11,1238,3,-100,-100
Bexley,2020-07-12,1241,3,-100,-100
Bexley,2020-07-13,1241,0,-100,-100
Bexley,2020-07-14,1244,2,-100,-100
Bexley,2020-07-15,1248,4,-100,-100
Bexley,2020-07-16,1250,1,-100,-100
Bexley,2020-07-17,1250,0,-100,-100
Bexley,2020-07-18,1252,2,-100,-100
Bexley,2020-07-19,1255,3,-100,-100
Bexley,2020-07-20,1257,1,-100,-100
Bexley,2020-07-21,1263,5,-100,-100
Bexley,2020-07-22,1265,2,-100,-100
Bexley,2020-07-23,1267,2,-100,-100
Bexley,2020-07-24,1268,1,-100,-100
Bexley,2020-07-25,1274,5,-100,-100
Bexley,2020-07-26,1278,3,-100,-100
Bexley,2020-07-27,1281,3,-100,-100
Bexley,2020-07-28,1281,0,-100,-100
Bexley,2020-07-29,1289,8,-100,-100
Bexley,2020-07-30,1289,0,-100,-100
Bexley,2020-07-31,1294,4,-100,-100
Bexley,2020-08-01,1296,2,-100,-100
Bexley,2020-08-02,1296,0,-100,-100
Bexley,2020-08-03,1296,0,-100,-100
Bexley,2020-08-04,1296,0,-100,-100
Bexley,2020-08-05,1296,0,-100,-100
Bexley,2020-08-06,1298,1,-100,-100
Bexley,2020-08-07,1299,1,-100,-100
Bexley,2020-08-08,1301,2,-100,-100
Bexley,2020-08-09,1302,1,-100,-100
Bexley,2020-08-10,1306,3,-100,-100
Bexley,2020-08-11,1308,2,-100,-100
Bexley,2020-08-12,1309,1,-100,-100
Bexley,2020-08-13,1309,0,-100,-100
Bexley,2020-08-14,1318,8,-100,-100
Bexley,2020-08-15,1318,0,-100,-100
Bexley,2020-08-16,1321,3,-100,-100
Bexley,2020-08-17,1322,1,-100,-100
Bexley,2020-08-18,1323,1,-100,-100
Bexley,2020-08-19,1323,0,-100,-100
Bexley,2020-08-20,1327,3,-100,-100
Bexley,2020-08-21,1328,1,-100,-100
Bexley,2020-08-22,1337,9,-100,-100
Bexley,2020-08-23,1337,0,-100,-100
Bexley,2020-08-24,1341,3,-100,-100
Bexley,2020-08-25,1344,3,-100,-100
Bexley,2020-08-26,1347,2,-100,-100
Bexley,2020-08-27,1350,3,-100,-100
Bexley,2020-08-28,1353,2,-100,-100
Bexley,2020-08-29,1356,3,-100,-100
Bexley,2020-08-30,1366,9,-100,-100
Bexley,2020-08-31,1375,9,-100,-100
Bexley,2020-09-01,1376,1,-100,-100
Bexley,2020-09-02,1382,5,-100,-100
Bexley,2020-09-03,1389,7,-100,-100
Bexley,2020-09-04,1395,5,-100,-100
Bexley,2020-09-05,1397,2,-100,-100
