areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Birmingham,2020-07-05,2205,6,-100,-100
Birmingham,2020-07-06,2208,2,-100,-100
Birmingham,2020-07-07,2211,3,-100,-100
Birmingham,2020-07-08,2216,4,-100,-100
Birmingham,2020-07-09,2219,3,-100,-100
Birmingham,2020-07-10,2225,5,-100,-100
Birmingham,2020-07-11,2228,2,-100,-100
Birmingham,2020-07-12,2234,5,-100,-100
Birmingham,2020-07-13,2243,9,-100,-100
Birmingham,2020-07-14,2248,4,-100,-100
Birmingham,2020-07-15,2253,5,-100,-100
Birmingham,2020-07-16,2263,10,-100,-100
Birmingham,2020-07-17,2276,12,-100,-100
Birmingham,2020-07-18,2286,9,-100,-100
Birmingham,2020-07-19,2298,11,-100,-100
Birmingham,2020-07-20,2304,6,-100,-100
Birmingham,2020-07-21,2316,11,-100,-100
Birmingham,2020-07-22,2320,4,-100,-100
Birmingham,2020-07-23,2335,14,-100,-100
Birmingham,2020-07-24,2344,8,-100,-100
Birmingham,2020-07-25,2357,13,-100,-100
Birmingham,2020-07-26,2366,9,-100,-100
Birmingham,2020-07-27,2374,8,-100,-100
Birmingham,2020-07-28,2384,9,-100,-100
Birmingham,2020-07-29,2392,8,-100,-100
Birmingham,2020-07-30,2403,11,-100,-100
Birmingham,2020-07-31,2411,7,-100,-100
Birmingham,2020-08-01,2418,6,-100,-100
Birmingham,2020-08-02,2427,8,-100,-100
Birmingham,2020-08-03,2443,16,-100,-100
Birmingham,2020-08-04,2448,5,-100,-100
Birmingham,2020-08-05,2460,11,-100,-100
Birmingham,2020-08-06,2475,15,-100,-100
Birmingham,2020-08-07,2486,10,-100,-100
Birmingham,2020-08-08,2495,9,-100,-100
Birmingham,2020-08-09,2524,29,-100,-100
Birmingham,2020-08-10,2535,10,-100,-100
Birmingham,2020-08-11,2565,30,-100,-100
Birmingham,2020-08-12,2592,26,-100,-100
Birmingham,2020-08-13,2592,0,-100,-100
Birmingham,2020-08-14,2646,54,-100,-100
Birmingham,2020-08-15,2671,24,-100,-100
Birmingham,2020-08-16,2695,23,-100,-100
Birmingham,2020-08-17,2705,10,-100,-100
Birmingham,2020-08-18,2724,18,-100,-100
Birmingham,2020-08-19,2737,13,-100,-100
Birmingham,2020-08-20,2763,26,-100,-100
Birmingham,2020-08-21,2782,18,-100,-100
Birmingham,2020-08-22,2803,21,-100,-100
Birmingham,2020-08-23,2817,14,-100,-100
Birmingham,2020-08-24,2830,12,-100,-100
Birmingham,2020-08-25,2850,20,-100,-100
Birmingham,2020-08-26,2865,14,-100,-100
Birmingham,2020-08-27,2898,32,-100,-100
Birmingham,2020-08-28,2921,23,-100,-100
Birmingham,2020-08-29,2938,16,-100,-100
Birmingham,2020-08-30,2971,33,-100,-100
Birmingham,2020-08-31,2999,28,-100,-100
Birmingham,2020-09-01,3016,16,-100,-100
Birmingham,2020-09-02,3043,27,-100,-100
Birmingham,2020-09-03,3077,34,-100,-100
Birmingham,2020-09-04,3116,39,-100,-100
Birmingham,2020-09-05,3154,37,-100,-100
Birmingham,2020-09-06,3243,89,-100,-100
Birmingham,2020-09-07,3341,97,-100,-100
Birmingham,2020-09-08,3383,41,-100,-100
Birmingham,2020-09-09,3450,66,-100,-100
Birmingham,2020-09-10,3510,60,-100,-100
Birmingham,2020-09-11,3581,70,-100,-100
Birmingham,2020-09-12,3636,54,-100,-100
Birmingham,2020-09-13,3708,72,-100,-100
Birmingham,2020-09-14,3778,69,-100,-100
Birmingham,2020-09-15,3849,71,-100,-100
Birmingham,2020-09-16,3916,66,-100,-100
Birmingham,2020-09-17,3977,61,-100,-100
Birmingham,2020-09-18,4054,76,-100,-100
Birmingham,2020-09-19,4143,88,-100,-100
Birmingham,2020-09-20,4236,93,-100,-100
Birmingham,2020-09-21,4319,83,-100,-100
Birmingham,2020-09-22,4440,121,-100,-100
Birmingham,2020-09-23,4616,175,-100,-100
Birmingham,2020-09-24,4740,124,-100,-100
Birmingham,2020-09-25,4847,106,-100,-100
Birmingham,2020-09-26,4950,102,-100,-100
Birmingham,2020-09-27,5039,89,-100,-100
Birmingham,2020-09-28,5093,53,-100,-100
Birmingham,2020-09-29,5193,100,-100,-100
Birmingham,2020-09-30,5254,60,-100,-100
Birmingham,2020-10-01,5352,98,-100,-100
Birmingham,2020-10-02,5414,61,-100,-100
Birmingham,2020-10-03,5588,174,-100,-100
Birmingham,2020-10-04,5831,243,-100,-100
Birmingham,2020-10-05,5966,134,-100,-100
Birmingham,2020-10-06,6115,148,-100,-100
Birmingham,2020-10-07,6250,135,-100,-100
Birmingham,2020-10-08,6395,144,-100,-100
Birmingham,2020-10-09,6479,83,-100,-100
Birmingham,2020-10-10,6638,158,-100,-100
Birmingham,2020-10-11,6743,105,-100,-100
Birmingham,2020-10-12,6856,112,-100,-100
Birmingham,2020-10-13,6997,140,-100,-100
Birmingham,2020-10-14,7231,234,-100,-100
Birmingham,2020-10-15,7376,144,-100,-100
Birmingham,2020-10-16,7613,237,-100,-100
Birmingham,2020-10-17,7743,129,-100,-100
Birmingham,2020-10-18,7901,157,-100,-100
Birmingham,2020-10-19,8059,157,-100,-100
Birmingham,2020-10-20,8238,179,-100,-100
Birmingham,2020-10-21,8523,285,-100,-100
Birmingham,2020-10-22,8726,202,-100,-100
Birmingham,2020-10-23,8959,233,-100,-100
Birmingham,2020-10-24,9183,224,-100,-100
Birmingham,2020-10-25,9314,130,-100,-100
Birmingham,2020-10-26,9528,214,-100,-100
Birmingham,2020-10-27,9746,217,-100,-100
Birmingham,2020-10-28,9998,252,-100,-100
Birmingham,2020-10-29,10214,216,-100,-100
Birmingham,2020-10-30,10439,224,-100,-100
Birmingham,2020-10-31,10607,168,-100,-100
Birmingham,2020-11-01,10911,304,-100,-100
Birmingham,2020-11-02,11069,157,-100,-100
Birmingham,2020-11-03,11293,223,-100,-100
Birmingham,2020-11-04,11602,309,-100,-100
Birmingham,2020-11-05,11811,208,-100,-100
Birmingham,2020-11-06,12083,272,-100,-100
Birmingham,2020-11-07,12310,226,-100,-100
Birmingham,2020-11-08,12553,243,-100,-100
Birmingham,2020-11-09,12826,272,-100,-100
Birmingham,2020-11-10,13085,258,-100,-100
Birmingham,2020-11-11,13308,223,-100,-100
Birmingham,2020-11-12,13672,364,-100,0
Birmingham,2020-11-13,13947,274,-100,0
Birmingham,2020-11-14,14251,304,-100,0
Birmingham,2020-11-15,14551,299,-100,0
Birmingham,2020-11-16,15279,728,-100,0
Birmingham,2020-11-17,15575,295,-100,0
Birmingham,2020-11-18,15798,223,-100,0
Birmingham,2020-11-19,16151,353,-100,0
Birmingham,2020-11-20,16483,331,-100,0
Birmingham,2020-11-21,16740,256,-100,0
Birmingham,2020-11-22,17033,293,-100,0
Birmingham,2020-11-23,17240,207,-100,0
Birmingham,2020-11-24,17339,99,-100,0
Birmingham,2020-11-25,17580,240,-100,0
Birmingham,2020-11-26,17845,264,-100,0
Birmingham,2020-11-27,18032,186,-100,0
Birmingham,2020-11-28,18202,169,-100,0
Birmingham,2020-11-29,18302,100,-100,0
Birmingham,2020-11-30,18469,166,-100,0
Birmingham,2020-12-01,18613,144,-100,0
Birmingham,2020-12-02,18760,147,0,0
Birmingham,2020-12-03,18906,145,0,0
Birmingham,2020-12-04,19055,148,0,0
Birmingham,2020-12-05,19191,135,0,0
Birmingham,2020-12-06,19370,179,0,0
Birmingham,2020-12-07,19515,145,0,0
Birmingham,2020-12-08,19635,120,0,0
Birmingham,2020-12-09,19782,146,0,0
Birmingham,2020-12-10,19935,153,0,0
Birmingham,2020-12-11,20073,138,0,0
Birmingham,2020-12-12,20239,165,0,0
Birmingham,2020-12-13,20417,178,0,0
Birmingham,2020-12-14,20553,135,0,0
Birmingham,2020-12-15,20708,155,0,0
Birmingham,2020-12-16,20918,209,0,0
Birmingham,2020-12-17,21092,174,0,0
Birmingham,2020-12-18,21280,187,0,0
Birmingham,2020-12-19,21456,176,0,0
Birmingham,2020-12-20,21717,261,1,0
Birmingham,2020-12-21,21898,181,2,0
Birmingham,2020-12-22,22110,211,1,0
Birmingham,2020-12-23,22523,413,2,0
Birmingham,2020-12-24,22726,203,4,2
Birmingham,2020-12-25,23004,278,0,0
Birmingham,2020-12-26,23325,320,0,0
Birmingham,2020-12-27,23457,132,0,0
Birmingham,2020-12-28,23667,209,2,0
Birmingham,2020-12-29,24102,435,4,3
Birmingham,2020-12-30,24471,368,4,2
Birmingham,2020-12-31,24993,522,6,2
Birmingham,2021-01-01,25247,254,2,0
Birmingham,2021-01-02,25981,734,4,1
Birmingham,2021-01-03,26235,254,2,1
Birmingham,2021-01-04,26968,733,7,3
Birmingham,2021-01-05,27511,542,9,1
Birmingham,2021-01-06,28206,695,10,4
Birmingham,2021-01-07,28727,520,5,3
Birmingham,2021-01-08,29323,596,11,3
Birmingham,2021-01-09,29884,561,6,3
Birmingham,2021-01-10,30426,541,7,3
Birmingham,2021-01-11,31128,702,14,5
Birmingham,2021-01-12,31630,501,6,4
Birmingham,2021-01-13,32151,521,13,4
Birmingham,2021-01-14,32714,562,6,5
Birmingham,2021-01-15,33498,783,11,4
Birmingham,2021-01-16,34078,579,5,1
Birmingham,2021-01-17,34424,345,5,2
Birmingham,2021-01-18,34968,544,9,3
Birmingham,2021-01-19,35408,439,9,2
Birmingham,2021-01-20,35871,463,12,3
Birmingham,2021-01-21,36402,530,4,4
Birmingham,2021-01-22,36857,455,6,3
Birmingham,2021-01-23,37329,471,3,2
Birmingham,2021-01-24,37759,430,0,0
Birmingham,2021-01-25,38043,284,8,4
Birmingham,2021-01-26,38161,117,9,4
Birmingham,2021-01-27,38462,301,5,7
Birmingham,2021-01-28,38813,350,4,6
Birmingham,2021-01-29,39211,398,4,4
Birmingham,2021-01-30,39585,374,3,3
Birmingham,2021-01-31,39878,292,7,3
Birmingham,2021-02-01,40112,234,8,10
Birmingham,2021-02-02,40322,209,4,5
Birmingham,2021-02-03,40549,226,5,11
Birmingham,2021-02-04,40794,244,5,7
Birmingham,2021-02-05,41048,254,3,6
Birmingham,2021-02-06,41271,222,2,2
Birmingham,2021-02-07,41473,202,4,2
Birmingham,2021-02-08,41655,181,5,5
Birmingham,2021-02-09,41814,159,3,2
Birmingham,2021-02-10,42000,185,1,3
Birmingham,2021-02-11,42164,163,3,5
Birmingham,2021-02-12,42362,198,2,2
Birmingham,2021-02-13,42520,158,1,1
Birmingham,2021-02-14,42654,133,4,2
Birmingham,2021-02-15,42762,108,2,6
Birmingham,2021-02-16,42877,115,2,1
Birmingham,2021-02-17,43038,160,4,3
Birmingham,2021-02-18,43180,141,1,2
Birmingham,2021-02-19,43332,152,3,1
Birmingham,2021-02-20,43441,108,2,3
Birmingham,2021-02-21,43584,142,2,2
Birmingham,2021-02-22,43703,118,3,5
Birmingham,2021-02-23,43785,82,2,3
Birmingham,2021-02-24,43909,124,1,3
Birmingham,2021-02-25,44012,103,1,1
Birmingham,2021-02-26,44106,93,2,1
Birmingham,2021-02-27,44196,89,0,0
Birmingham,2021-02-28,44273,76,0,3
Birmingham,2021-03-01,44339,66,4,6
Birmingham,2021-03-02,44417,77,3,3
Birmingham,2021-03-03,44497,80,1,4
Birmingham,2021-03-04,44575,77,0,4
Birmingham,2021-03-05,44642,66,1,4
Birmingham,2021-03-06,44720,78,0,1
Birmingham,2021-03-07,44775,54,3,1
Birmingham,2021-03-08,44832,57,2,8
Birmingham,2021-03-09,44878,46,2,8
Birmingham,2021-03-10,44950,71,2,7
Birmingham,2021-03-11,45021,71,2,5
Birmingham,2021-03-12,45089,67,3,7
Birmingham,2021-03-13,45146,57,4,1
Birmingham,2021-03-14,45190,44,3,2
Birmingham,2021-03-15,45235,44,8,14
Birmingham,2021-03-16,45292,57,4,5
Birmingham,2021-03-17,45358,65,5,5
Birmingham,2021-03-18,45420,61,5,5
Birmingham,2021-03-19,45450,29,3,3
Birmingham,2021-03-20,45511,61,3,4
Birmingham,2021-03-21,45570,58,6,11
Birmingham,2021-03-22,45618,48,6,11
Birmingham,2021-03-23,45681,63,6,8
Birmingham,2021-03-24,45744,62,7,11
Birmingham,2021-03-25,45800,56,2,7
Birmingham,2021-03-26,45866,66,4,5
Birmingham,2021-03-27,45911,45,3,2
Birmingham,2021-03-28,45958,46,8,18
Birmingham,2021-03-29,46003,45,1,1
Birmingham,2021-03-30,46046,42,3,3
Birmingham,2021-03-31,46077,31,4,3
Birmingham,2021-04-01,46118,40,2,2
Birmingham,2021-04-02,46151,33,0,0
Birmingham,2021-04-03,46183,31,0,1
Birmingham,2021-04-04,46204,21,1,1
Birmingham,2021-04-05,46223,19,1,2
Birmingham,2021-04-06,46239,16,3,1
Birmingham,2021-04-07,46268,29,4,4
Birmingham,2021-04-08,46293,24,2,1
Birmingham,2021-04-09,46260,0,0,2
Birmingham,2021-04-10,46285,24,0,1
Birmingham,2021-04-11,46304,19,1,1
Birmingham,2021-04-12,46323,18,1,3
Birmingham,2021-04-13,46344,20,2,1
Birmingham,2021-04-14,46361,16,0,3
Birmingham,2021-04-15,46385,24,1,3
Birmingham,2021-04-16,46406,20,0,1
Birmingham,2021-04-17,46420,13,1,2
Birmingham,2021-04-18,46435,14,4,12
Birmingham,2021-04-19,46468,33,2,5
Birmingham,2021-04-20,46491,23,1,1
Birmingham,2021-04-21,46514,23,1,5
Birmingham,2021-04-22,46536,22,1,3
Birmingham,2021-04-23,46557,20,0,4
Birmingham,2021-04-24,46576,18,0,2
Birmingham,2021-04-25,46587,11,1,4
Birmingham,2021-04-26,46599,12,1,6
Birmingham,2021-04-27,46619,19,0,1
Birmingham,2021-04-28,46631,11,1,5
Birmingham,2021-04-29,46653,21,0,5
Birmingham,2021-04-30,46663,10,0,2
Birmingham,2021-05-01,46677,13,1,1
Birmingham,2021-05-02,46684,6,1,2
Birmingham,2021-05-03,46696,11,1,2
Birmingham,2021-05-04,46703,7,4,9
Birmingham,2021-05-05,46721,17,1,4
Birmingham,2021-05-06,46737,15,1,5
Birmingham,2021-05-07,46752,15,0,3
Birmingham,2021-05-08,46766,13,1,0
Birmingham,2021-05-09,46778,11,2,7
Birmingham,2021-05-10,46790,12,2,3
Birmingham,2021-05-11,46804,14,0,4
Birmingham,2021-05-12,46822,17,2,2
Birmingham,2021-05-13,46837,15,0,3
Birmingham,2021-05-14,46848,11,1,1
Birmingham,2021-05-15,46857,8,0,0
Birmingham,2021-05-16,46866,9,0,4
Birmingham,2021-05-17,46885,18,1,2
Birmingham,2021-05-18,46864,0,1,5
Birmingham,2021-05-19,46877,12,5,4
Birmingham,2021-05-20,46906,29,1,3
Birmingham,2021-05-21,46930,24,3,1
Birmingham,2021-05-22,46949,19,1,1
Birmingham,2021-05-23,46959,9,2,3
Birmingham,2021-05-24,46972,13,4,2
Birmingham,2021-05-25,46999,27,7,3
Birmingham,2021-05-26,47040,40,4,3
Birmingham,2021-05-27,47079,39,4,3
Birmingham,2021-05-28,47123,44,3,3
Birmingham,2021-05-29,47144,21,3,2
Birmingham,2021-05-30,47178,34,6,1
Birmingham,2021-05-31,47206,28,9,4
Birmingham,2021-06-01,47244,38,6,5
Birmingham,2021-06-02,47282,37,12,5
Birmingham,2021-06-03,47334,51,10,6
Birmingham,2021-06-04,47390,56,7,4
Birmingham,2021-06-05,47448,57,9,4
Birmingham,2021-06-06,47500,52,11,5
Birmingham,2021-06-07,47566,65,9,7
Birmingham,2021-06-08,47617,51,11,4
Birmingham,2021-06-09,47685,68,8,8
Birmingham,2021-06-10,47754,69,6,5
Birmingham,2021-06-11,47846,91,9,5
Birmingham,2021-06-12,47900,54,13,8
Birmingham,2021-06-13,47983,82,16,5
Birmingham,2021-06-14,48070,87,20,14
Birmingham,2021-06-15,48148,77,15,8
Birmingham,2021-06-16,48234,85,26,5
Birmingham,2021-06-17,48361,127,18,8
Birmingham,2021-06-18,48458,97,12,8
Birmingham,2021-06-19,48545,87,17,8
Birmingham,2021-06-20,48636,91,28,6
Birmingham,2021-06-21,48740,103,31,8
Birmingham,2021-06-22,48859,118,32,6
Birmingham,2021-06-23,49000,140,39,11
Birmingham,2021-06-24,49156,156,34,7
Birmingham,2021-06-25,49318,161,28,11
Birmingham,2021-06-26,49509,191,33,9
Birmingham,2021-06-27,49667,158,39,9
