areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Blackburn with Darwen,2020-07-05,466,2,-100,-100
Blackburn with Darwen,2020-07-06,469,2,-100,-100
Blackburn with Darwen,2020-07-07,469,0,-100,-100
Blackburn with Darwen,2020-07-08,476,6,-100,-100
Blackburn with Darwen,2020-07-09,479,2,-100,-100
Blackburn with Darwen,2020-07-10,484,5,-100,-100
Blackburn with Darwen,2020-07-11,492,7,-100,-100
Blackburn with Darwen,2020-07-12,497,5,-100,-100
Blackburn with Darwen,2020-07-13,501,4,-100,-100
Blackburn with Darwen,2020-07-14,506,5,-100,-100
Blackburn with Darwen,2020-07-15,512,6,-100,-100
Blackburn with Darwen,2020-07-16,516,3,-100,-100
Blackburn with Darwen,2020-07-17,531,14,-100,-100
Blackburn with Darwen,2020-07-18,545,14,-100,-100
Blackburn with Darwen,2020-07-19,554,8,-100,-100
Blackburn with Darwen,2020-07-20,559,4,-100,-100
Blackburn with Darwen,2020-07-21,562,3,-100,-100
Blackburn with Darwen,2020-07-22,571,8,-100,-100
Blackburn with Darwen,2020-07-23,580,9,-100,-100
Blackburn with Darwen,2020-07-24,591,11,-100,-100
Blackburn with Darwen,2020-07-25,598,6,-100,-100
Blackburn with Darwen,2020-07-26,605,7,-100,-100
Blackburn with Darwen,2020-07-27,613,7,-100,-100
Blackburn with Darwen,2020-07-28,625,12,-100,-100
Blackburn with Darwen,2020-07-29,631,5,-100,-100
Blackburn with Darwen,2020-07-30,641,10,-100,-100
Blackburn with Darwen,2020-07-31,648,6,-100,-100
Blackburn with Darwen,2020-08-01,652,4,-100,-100
Blackburn with Darwen,2020-08-02,662,9,-100,-100
Blackburn with Darwen,2020-08-03,680,18,-100,-100
Blackburn with Darwen,2020-08-04,683,2,-100,-100
Blackburn with Darwen,2020-08-05,694,10,-100,-100
Blackburn with Darwen,2020-08-06,700,6,-100,-100
Blackburn with Darwen,2020-08-07,705,5,-100,-100
Blackburn with Darwen,2020-08-08,711,5,-100,-100
Blackburn with Darwen,2020-08-09,718,7,-100,-100
Blackburn with Darwen,2020-08-10,728,9,-100,-100
Blackburn with Darwen,2020-08-11,737,9,-100,-100
Blackburn with Darwen,2020-08-12,750,12,-100,-100
Blackburn with Darwen,2020-08-13,750,0,-100,-100
Blackburn with Darwen,2020-08-14,773,23,-100,-100
Blackburn with Darwen,2020-08-15,779,5,-100,-100
Blackburn with Darwen,2020-08-16,785,5,-100,-100
Blackburn with Darwen,2020-08-17,787,2,-100,-100
Blackburn with Darwen,2020-08-18,792,4,-100,-100
Blackburn with Darwen,2020-08-19,796,3,-100,-100
Blackburn with Darwen,2020-08-20,804,7,-100,-100
Blackburn with Darwen,2020-08-21,809,5,-100,-100
Blackburn with Darwen,2020-08-22,817,7,-100,-100
Blackburn with Darwen,2020-08-23,822,4,-100,-100
Blackburn with Darwen,2020-08-24,823,1,-100,-100
Blackburn with Darwen,2020-08-25,829,5,-100,-100
Blackburn with Darwen,2020-08-26,839,9,-100,-100
Blackburn with Darwen,2020-08-27,842,3,-100,-100
Blackburn with Darwen,2020-08-28,847,4,-100,-100
Blackburn with Darwen,2020-08-29,850,3,-100,-100
Blackburn with Darwen,2020-08-30,858,7,-100,-100
Blackburn with Darwen,2020-08-31,863,4,-100,-100
Blackburn with Darwen,2020-09-01,866,3,-100,-100
Blackburn with Darwen,2020-09-02,868,2,-100,-100
Blackburn with Darwen,2020-09-03,882,14,-100,-100
Blackburn with Darwen,2020-09-04,888,5,-100,-100
Blackburn with Darwen,2020-09-05,889,0,-100,-100
Blackburn with Darwen,2020-09-06,899,10,-100,-100
Blackburn with Darwen,2020-09-07,904,4,-100,-100
Blackburn with Darwen,2020-09-08,909,5,-100,-100
Blackburn with Darwen,2020-09-09,916,7,-100,-100
Blackburn with Darwen,2020-09-10,928,11,-100,-100
Blackburn with Darwen,2020-09-11,951,23,-100,-100
Blackburn with Darwen,2020-09-12,966,14,-100,-100
Blackburn with Darwen,2020-09-13,979,12,-100,-100
Blackburn with Darwen,2020-09-14,986,7,-100,-100
Blackburn with Darwen,2020-09-15,993,7,-100,-100
Blackburn with Darwen,2020-09-16,1010,16,-100,-100
Blackburn with Darwen,2020-09-17,1024,14,-100,-100
Blackburn with Darwen,2020-09-18,1043,18,-100,-100
Blackburn with Darwen,2020-09-19,1066,23,-100,-100
Blackburn with Darwen,2020-09-20,1078,11,-100,-100
Blackburn with Darwen,2020-09-21,1102,23,-100,-100
Blackburn with Darwen,2020-09-22,1124,22,-100,-100
Blackburn with Darwen,2020-09-23,1145,21,-100,-100
Blackburn with Darwen,2020-09-24,1155,10,-100,-100
Blackburn with Darwen,2020-09-25,1189,33,-100,-100
Blackburn with Darwen,2020-09-26,1206,16,-100,-100
Blackburn with Darwen,2020-09-27,1219,12,-100,-100
Blackburn with Darwen,2020-09-28,1225,6,-100,-100
Blackburn with Darwen,2020-09-29,1238,12,-100,-100
Blackburn with Darwen,2020-09-30,1259,21,-100,-100
Blackburn with Darwen,2020-10-01,1277,17,-100,-100
Blackburn with Darwen,2020-10-02,1287,10,-100,-100
Blackburn with Darwen,2020-10-03,1315,27,-100,-100
Blackburn with Darwen,2020-10-04,1372,56,-100,-100
Blackburn with Darwen,2020-10-05,1396,23,-100,-100
Blackburn with Darwen,2020-10-06,1439,43,-100,-100
Blackburn with Darwen,2020-10-07,1477,37,-100,-100
Blackburn with Darwen,2020-10-08,1531,53,-100,-100
Blackburn with Darwen,2020-10-09,1549,18,-100,-100
Blackburn with Darwen,2020-10-10,1589,40,-100,-100
Blackburn with Darwen,2020-10-11,1620,30,-100,-100
Blackburn with Darwen,2020-10-12,1692,71,-100,-100
Blackburn with Darwen,2020-10-13,1739,46,-100,-100
Blackburn with Darwen,2020-10-14,1779,40,-100,-100
Blackburn with Darwen,2020-10-15,1833,53,-100,-100
Blackburn with Darwen,2020-10-16,1875,42,-100,-100
Blackburn with Darwen,2020-10-17,1930,54,-100,-100
Blackburn with Darwen,2020-10-18,1990,59,-100,-100
Blackburn with Darwen,2020-10-19,2077,87,-100,-100
Blackburn with Darwen,2020-10-20,2150,72,-100,-100
Blackburn with Darwen,2020-10-21,2250,99,-100,-100
Blackburn with Darwen,2020-10-22,2320,70,-100,-100
Blackburn with Darwen,2020-10-23,2395,75,-100,-100
Blackburn with Darwen,2020-10-24,2441,45,-100,-100
Blackburn with Darwen,2020-10-25,2517,76,-100,-100
Blackburn with Darwen,2020-10-26,2610,93,-100,-100
Blackburn with Darwen,2020-10-27,2711,100,-100,-100
Blackburn with Darwen,2020-10-28,2787,76,-100,-100
Blackburn with Darwen,2020-10-29,2873,85,-100,-100
Blackburn with Darwen,2020-10-30,2955,81,-100,-100
Blackburn with Darwen,2020-10-31,3026,70,-100,-100
Blackburn with Darwen,2020-11-01,3099,73,-100,-100
Blackburn with Darwen,2020-11-02,3144,44,-100,-100
Blackburn with Darwen,2020-11-03,3205,60,-100,-100
Blackburn with Darwen,2020-11-04,3297,92,-100,-100
Blackburn with Darwen,2020-11-05,3383,85,-100,-100
Blackburn with Darwen,2020-11-06,3475,92,-100,-100
Blackburn with Darwen,2020-11-07,3543,67,-100,-100
Blackburn with Darwen,2020-11-08,3590,46,-100,-100
Blackburn with Darwen,2020-11-09,3637,47,-100,-100
Blackburn with Darwen,2020-11-10,3688,50,-100,-100
Blackburn with Darwen,2020-11-11,3764,76,-100,-100
Blackburn with Darwen,2020-11-12,3853,88,-100,-100
Blackburn with Darwen,2020-11-13,3908,55,-100,-100
Blackburn with Darwen,2020-11-14,3970,62,-100,-100
Blackburn with Darwen,2020-11-15,4016,46,-100,-100
Blackburn with Darwen,2020-11-16,4055,38,-100,-100
Blackburn with Darwen,2020-11-17,4077,22,-100,-100
Blackburn with Darwen,2020-11-18,4124,46,-100,-100
Blackburn with Darwen,2020-11-19,4172,48,-100,-100
Blackburn with Darwen,2020-11-20,4217,45,-100,-100
Blackburn with Darwen,2020-11-21,4246,28,-100,-100
Blackburn with Darwen,2020-11-22,4273,27,-100,-100
Blackburn with Darwen,2020-11-23,4295,22,-100,-100
Blackburn with Darwen,2020-11-24,4320,24,-100,-100
Blackburn with Darwen,2020-11-25,4351,30,-100,-100
Blackburn with Darwen,2020-11-26,4380,28,-100,-100
Blackburn with Darwen,2020-11-27,4412,32,-100,-100
Blackburn with Darwen,2020-11-28,4443,30,-100,-100
Blackburn with Darwen,2020-11-29,4474,31,-100,-100
Blackburn with Darwen,2020-11-30,4494,19,-100,-100
