areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Blackpool,2020-07-05,254,0,-100,-100
Blackpool,2020-07-06,254,0,-100,-100
Blackpool,2020-07-07,255,0,-100,-100
Blackpool,2020-07-08,255,0,-100,-100
Blackpool,2020-07-09,255,0,-100,-100
Blackpool,2020-07-10,256,0,-100,-100
Blackpool,2020-07-11,256,0,-100,-100
Blackpool,2020-07-12,257,0,-100,-100
Blackpool,2020-07-13,257,0,-100,-100
Blackpool,2020-07-14,258,0,-100,-100
Blackpool,2020-07-15,258,0,-100,-100
Blackpool,2020-07-16,258,0,-100,-100
Blackpool,2020-07-17,258,0,-100,-100
Blackpool,2020-07-18,258,0,-100,-100
Blackpool,2020-07-19,258,0,-100,-100
Blackpool,2020-07-20,259,0,-100,-100
Blackpool,2020-07-21,259,0,-100,-100
Blackpool,2020-07-22,259,0,-100,-100
Blackpool,2020-07-23,260,0,-100,-100
Blackpool,2020-07-24,260,0,-100,-100
Blackpool,2020-07-25,261,0,-100,-100
Blackpool,2020-07-26,261,0,-100,-100
Blackpool,2020-07-27,261,0,-100,-100
Blackpool,2020-07-28,261,0,-100,-100
Blackpool,2020-07-29,261,0,-100,-100
Blackpool,2020-07-30,262,0,-100,-100
Blackpool,2020-07-31,262,0,-100,-100
Blackpool,2020-08-01,262,0,-100,-100
Blackpool,2020-08-02,262,0,-100,-100
Blackpool,2020-08-03,262,0,-100,-100
Blackpool,2020-08-04,263,0,-100,-100
Blackpool,2020-08-05,264,0,-100,-100
Blackpool,2020-08-06,264,0,-100,-100
Blackpool,2020-08-07,265,0,-100,-100
Blackpool,2020-08-08,265,0,-100,-100
Blackpool,2020-08-09,266,0,-100,-100
Blackpool,2020-08-10,266,0,-100,-100
Blackpool,2020-08-11,266,0,-100,-100
Blackpool,2020-08-12,267,0,-100,-100
Blackpool,2020-08-13,267,0,-100,-100
Blackpool,2020-08-14,269,2,-100,-100
Blackpool,2020-08-15,270,1,-100,-100
Blackpool,2020-08-16,270,0,-100,-100
Blackpool,2020-08-17,270,0,-100,-100
Blackpool,2020-08-18,271,0,-100,-100
Blackpool,2020-08-19,271,0,-100,-100
Blackpool,2020-08-20,271,0,-100,-100
Blackpool,2020-08-21,271,0,-100,-100
Blackpool,2020-08-22,271,0,-100,-100
Blackpool,2020-08-23,272,0,-100,-100
Blackpool,2020-08-24,273,0,-100,-100
Blackpool,2020-08-25,273,0,-100,-100
Blackpool,2020-08-26,274,0,-100,-100
Blackpool,2020-08-27,275,1,-100,-100
Blackpool,2020-08-28,275,0,-100,-100
Blackpool,2020-08-29,275,0,-100,-100
Blackpool,2020-08-30,276,1,-100,-100
Blackpool,2020-08-31,276,0,-100,-100
Blackpool,2020-09-01,276,0,-100,-100
Blackpool,2020-09-02,277,0,-100,-100
Blackpool,2020-09-03,277,0,-100,-100
Blackpool,2020-09-04,278,0,-100,-100
Blackpool,2020-09-05,279,1,-100,-100
Blackpool,2020-09-06,281,2,-100,-100
Blackpool,2020-09-07,282,1,-100,-100
Blackpool,2020-09-08,283,1,-100,-100
Blackpool,2020-09-09,284,0,-100,-100
Blackpool,2020-09-10,285,1,-100,-100
