areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Blaenau Gwent,2020-07-05,141,0,-100,-100
Blaenau Gwent,2020-07-06,141,0,-100,-100
Blaenau Gwent,2020-07-07,141,0,-100,-100
Blaenau Gwent,2020-07-08,142,0,-100,-100
Blaenau Gwent,2020-07-09,142,0,-100,-100
Blaenau Gwent,2020-07-10,142,0,-100,-100
Blaenau Gwent,2020-07-11,142,0,-100,-100
Blaenau Gwent,2020-07-12,142,0,-100,-100
Blaenau Gwent,2020-07-13,143,0,-100,-100
Blaenau Gwent,2020-07-14,147,4,-100,-100
Blaenau Gwent,2020-07-15,147,0,-100,-100
Blaenau Gwent,2020-07-16,147,0,-100,-100
Blaenau Gwent,2020-07-17,147,0,-100,-100
Blaenau Gwent,2020-07-18,147,0,-100,-100
Blaenau Gwent,2020-07-19,147,0,-100,-100
Blaenau Gwent,2020-07-20,147,0,-100,-100
Blaenau Gwent,2020-07-21,148,0,-100,-100
Blaenau Gwent,2020-07-22,148,0,-100,-100
Blaenau Gwent,2020-07-23,148,0,-100,-100
Blaenau Gwent,2020-07-24,149,0,-100,-100
Blaenau Gwent,2020-07-25,149,0,-100,-100
Blaenau Gwent,2020-07-26,149,0,-100,-100
Blaenau Gwent,2020-07-27,149,0,-100,-100
Blaenau Gwent,2020-07-28,149,0,-100,-100
Blaenau Gwent,2020-07-29,151,1,-100,-100
Blaenau Gwent,2020-07-30,151,0,-100,-100
Blaenau Gwent,2020-07-31,151,0,-100,-100
Blaenau Gwent,2020-08-01,151,0,-100,-100
Blaenau Gwent,2020-08-02,151,0,-100,-100
Blaenau Gwent,2020-08-03,151,0,-100,-100
Blaenau Gwent,2020-08-04,151,0,-100,-100
Blaenau Gwent,2020-08-05,151,0,-100,-100
Blaenau Gwent,2020-08-06,151,0,-100,-100
Blaenau Gwent,2020-08-07,151,0,-100,-100
Blaenau Gwent,2020-08-08,151,0,-100,-100
Blaenau Gwent,2020-08-09,151,0,-100,-100
Blaenau Gwent,2020-08-10,151,0,-100,-100
Blaenau Gwent,2020-08-11,151,0,-100,-100
Blaenau Gwent,2020-08-12,151,0,-100,-100
Blaenau Gwent,2020-08-13,151,0,-100,-100
Blaenau Gwent,2020-08-14,151,0,-100,-100
Blaenau Gwent,2020-08-15,151,0,-100,-100
Blaenau Gwent,2020-08-16,151,0,-100,-100
Blaenau Gwent,2020-08-17,151,0,-100,-100
Blaenau Gwent,2020-08-18,151,0,-100,-100
Blaenau Gwent,2020-08-19,151,0,-100,-100
Blaenau Gwent,2020-08-20,151,0,-100,-100
Blaenau Gwent,2020-08-21,151,0,-100,-100
Blaenau Gwent,2020-08-22,151,0,-100,-100
Blaenau Gwent,2020-08-23,151,0,-100,-100
Blaenau Gwent,2020-08-24,151,0,-100,-100
Blaenau Gwent,2020-08-25,151,0,-100,-100
Blaenau Gwent,2020-08-26,151,0,-100,-100
Blaenau Gwent,2020-08-27,151,0,-100,-100
Blaenau Gwent,2020-08-28,152,0,-100,-100
Blaenau Gwent,2020-08-29,152,0,-100,-100
Blaenau Gwent,2020-08-30,152,0,-100,-100
Blaenau Gwent,2020-08-31,152,0,-100,-100
Blaenau Gwent,2020-09-01,152,0,-100,-100
Blaenau Gwent,2020-09-02,152,0,-100,-100
Blaenau Gwent,2020-09-03,152,0,-100,-100
Blaenau Gwent,2020-09-04,152,0,-100,-100
Blaenau Gwent,2020-09-05,153,0,-100,-100
Blaenau Gwent,2020-09-06,153,0,-100,-100
Blaenau Gwent,2020-09-07,154,0,-100,-100
Blaenau Gwent,2020-09-08,155,1,-100,-100
Blaenau Gwent,2020-09-09,156,0,-100,-100
Blaenau Gwent,2020-09-10,156,0,-100,-100
Blaenau Gwent,2020-09-11,156,0,-100,-100
Blaenau Gwent,2020-09-12,159,2,-100,-100
Blaenau Gwent,2020-09-13,160,1,-100,-100
Blaenau Gwent,2020-09-14,162,1,-100,-100
Blaenau Gwent,2020-09-15,162,0,-100,-100
Blaenau Gwent,2020-09-16,165,2,-100,-100
Blaenau Gwent,2020-09-17,169,4,-100,-100
Blaenau Gwent,2020-09-18,170,1,-100,-100
Blaenau Gwent,2020-09-19,173,2,-100,-100
Blaenau Gwent,2020-09-20,175,2,-100,-100
Blaenau Gwent,2020-09-21,183,8,-100,-100
Blaenau Gwent,2020-09-22,190,6,-100,-100
Blaenau Gwent,2020-09-23,209,18,-100,-100
Blaenau Gwent,2020-09-24,221,12,-100,-100
Blaenau Gwent,2020-09-25,235,14,-100,-100
Blaenau Gwent,2020-09-26,252,16,-100,-100
Blaenau Gwent,2020-09-27,262,9,-100,-100
Blaenau Gwent,2020-09-28,268,6,-100,-100
Blaenau Gwent,2020-09-29,278,10,-100,-100
Blaenau Gwent,2020-09-30,284,6,-100,-100
Blaenau Gwent,2020-10-01,290,5,-100,-100
Blaenau Gwent,2020-10-02,293,3,-100,-100
Blaenau Gwent,2020-10-03,298,5,-100,-100
