areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Bolton,2020-07-05,917,1,-100,-100
Bolton,2020-07-06,919,1,-100,-100
Bolton,2020-07-07,925,6,-100,-100
Bolton,2020-07-08,928,3,-100,-100
Bolton,2020-07-09,934,5,-100,-100
Bolton,2020-07-10,939,5,-100,-100
Bolton,2020-07-11,943,3,-100,-100
Bolton,2020-07-12,947,4,-100,-100
Bolton,2020-07-13,950,3,-100,-100
Bolton,2020-07-14,951,1,-100,-100
Bolton,2020-07-15,954,2,-100,-100
Bolton,2020-07-16,957,3,-100,-100
Bolton,2020-07-17,959,2,-100,-100
Bolton,2020-07-18,962,2,-100,-100
Bolton,2020-07-19,965,3,-100,-100
Bolton,2020-07-20,968,3,-100,-100
Bolton,2020-07-21,975,6,-100,-100
Bolton,2020-07-22,978,3,-100,-100
Bolton,2020-07-23,979,1,-100,-100
Bolton,2020-07-24,982,2,-100,-100
Bolton,2020-07-25,989,6,-100,-100
Bolton,2020-07-26,990,1,-100,-100
Bolton,2020-07-27,992,1,-100,-100
Bolton,2020-07-28,996,4,-100,-100
Bolton,2020-07-29,1001,5,-100,-100
Bolton,2020-07-30,1006,5,-100,-100
Bolton,2020-07-31,1011,5,-100,-100
Bolton,2020-08-01,1014,3,-100,-100
Bolton,2020-08-02,1019,4,-100,-100
Bolton,2020-08-03,1023,4,-100,-100
Bolton,2020-08-04,1028,4,-100,-100
Bolton,2020-08-05,1038,10,-100,-100
Bolton,2020-08-06,1046,7,-100,-100
Bolton,2020-08-07,1050,3,-100,-100
Bolton,2020-08-08,1054,4,-100,-100
Bolton,2020-08-09,1060,6,-100,-100
Bolton,2020-08-10,1064,4,-100,-100
Bolton,2020-08-11,1072,7,-100,-100
Bolton,2020-08-12,1079,6,-100,-100
Bolton,2020-08-13,1079,0,-100,-100
Bolton,2020-08-14,1091,12,-100,-100
Bolton,2020-08-15,1098,6,-100,-100
Bolton,2020-08-16,1101,3,-100,-100
Bolton,2020-08-17,1103,2,-100,-100
Bolton,2020-08-18,1106,2,-100,-100
Bolton,2020-08-19,1112,6,-100,-100
Bolton,2020-08-20,1116,3,-100,-100
Bolton,2020-08-21,1117,1,-100,-100
Bolton,2020-08-22,1119,2,-100,-100
Bolton,2020-08-23,1123,4,-100,-100
Bolton,2020-08-24,1129,5,-100,-100
Bolton,2020-08-25,1136,6,-100,-100
Bolton,2020-08-26,1139,3,-100,-100
Bolton,2020-08-27,1145,5,-100,-100
Bolton,2020-08-28,1157,12,-100,-100
Bolton,2020-08-29,1165,8,-100,-100
Bolton,2020-08-30,1200,34,-100,-100
Bolton,2020-08-31,1220,20,-100,-100
Bolton,2020-09-01,1237,16,-100,-100
Bolton,2020-09-02,1250,13,-100,-100
Bolton,2020-09-03,1271,21,-100,-100
Bolton,2020-09-04,1305,33,-100,-100
Bolton,2020-09-05,1319,13,-100,-100
Bolton,2020-09-06,1372,53,-100,-100
Bolton,2020-09-07,1395,22,-100,-100
Bolton,2020-09-08,1422,27,-100,-100
Bolton,2020-09-09,1446,23,-100,-100
Bolton,2020-09-10,1495,48,-100,-100
Bolton,2020-09-11,1551,56,-100,-100
Bolton,2020-09-12,1600,48,-100,-100
Bolton,2020-09-13,1649,48,-100,-100
Bolton,2020-09-14,1681,32,-100,-100
Bolton,2020-09-15,1722,41,-100,-100
Bolton,2020-09-16,1789,66,-100,-100
Bolton,2020-09-17,1827,38,-100,-100
Bolton,2020-09-18,1879,51,-100,-100
Bolton,2020-09-19,1926,46,-100,-100
Bolton,2020-09-20,1968,42,-100,-100
Bolton,2020-09-21,2027,59,-100,-100
Bolton,2020-09-22,2072,44,-100,-100
Bolton,2020-09-23,2117,44,-100,-100
Bolton,2020-09-24,2181,64,-100,-100
Bolton,2020-09-25,2245,64,-100,-100
Bolton,2020-09-26,2292,47,-100,-100
Bolton,2020-09-27,2327,34,-100,-100
Bolton,2020-09-28,2361,34,-100,-100
Bolton,2020-09-29,2388,26,-100,-100
Bolton,2020-09-30,2439,51,-100,-100
Bolton,2020-10-01,2481,41,-100,-100
Bolton,2020-10-02,2513,32,-100,-100
Bolton,2020-10-03,2588,74,-100,-100
Bolton,2020-10-04,2705,117,-100,-100
Bolton,2020-10-05,2768,63,-100,-100
Bolton,2020-10-06,2858,89,-100,-100
Bolton,2020-10-07,2921,63,-100,-100
Bolton,2020-10-08,2999,77,-100,-100
Bolton,2020-10-09,3034,35,-100,-100
Bolton,2020-10-10,3094,60,-100,-100
Bolton,2020-10-11,3150,55,-100,-100
Bolton,2020-10-12,3230,79,-100,-100
Bolton,2020-10-13,3325,95,-100,-100
Bolton,2020-10-14,3401,76,-100,-100
Bolton,2020-10-15,3478,76,-100,-100
Bolton,2020-10-16,3561,82,-100,-100
Bolton,2020-10-17,3652,90,-100,-100
Bolton,2020-10-18,3733,81,-100,-100
Bolton,2020-10-19,3895,162,-100,-100
Bolton,2020-10-20,4001,105,-100,-100
Bolton,2020-10-21,4116,114,-100,-100
Bolton,2020-10-22,4257,140,-100,-100
Bolton,2020-10-23,4358,101,-100,-100
Bolton,2020-10-24,4466,107,-100,-100
Bolton,2020-10-25,4555,88,-100,-100
Bolton,2020-10-26,4698,142,-100,-100
Bolton,2020-10-27,4833,134,-100,-100
Bolton,2020-10-28,4963,130,-100,-100
Bolton,2020-10-29,5097,133,-100,-100
Bolton,2020-10-30,5210,113,-100,-100
Bolton,2020-10-31,5339,128,-100,-100
Bolton,2020-11-01,5448,108,-100,-100
Bolton,2020-11-02,5550,102,-100,-100
Bolton,2020-11-03,5650,99,-100,-100
Bolton,2020-11-04,5783,132,-100,-100
Bolton,2020-11-05,5915,131,-100,-100
Bolton,2020-11-06,6019,104,-100,-100
Bolton,2020-11-07,6120,101,-100,-100
Bolton,2020-11-08,6212,91,-100,-100
Bolton,2020-11-09,6293,80,-100,0
Bolton,2020-11-10,6366,73,-100,0
Bolton,2020-11-11,6473,106,-100,0
Bolton,2020-11-12,6588,114,-100,0
Bolton,2020-11-13,6719,131,-100,0
Bolton,2020-11-14,6808,88,-100,0
Bolton,2020-11-15,6900,92,-100,0
Bolton,2020-11-16,6901,1,-100,0
Bolton,2020-11-17,6969,68,-100,0
Bolton,2020-11-18,7049,80,-100,0
Bolton,2020-11-19,7110,60,-100,0
Bolton,2020-11-20,7179,69,-100,0
Bolton,2020-11-21,7242,63,-100,0
Bolton,2020-11-22,7325,83,-100,0
Bolton,2020-11-23,7360,34,-100,0
Bolton,2020-11-24,7405,45,-100,0
Bolton,2020-11-25,7474,68,-100,0
Bolton,2020-11-26,7518,44,-100,0
