areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
"Bournemouth, Christchurch and Poole",2020-07-05,462,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-06,462,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-07,463,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-08,463,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-09,464,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-10,464,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-11,465,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-12,465,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-13,465,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-14,465,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-15,467,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-16,467,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-17,468,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-18,469,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-19,469,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-20,471,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-21,471,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-22,471,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-23,471,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-24,471,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-25,472,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-26,475,3,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-27,475,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-28,476,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-29,477,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-30,477,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-07-31,477,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-01,476,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-02,476,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-03,477,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-04,477,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-05,477,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-06,479,2,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-07,481,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-08,481,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-09,482,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-10,483,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-11,483,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-12,484,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-13,484,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-14,487,2,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-15,487,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-16,489,2,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-17,491,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-18,492,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-19,494,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-20,495,1,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-21,495,0,-100,-100
"Bournemouth, Christchurch and Poole",2020-08-22,498,2,-100,-100
