areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Bracknell Forest,2020-07-05,109,0,-100,-100
Bracknell Forest,2020-07-06,109,0,-100,-100
Bracknell Forest,2020-07-07,109,0,-100,-100
Bracknell Forest,2020-07-08,109,0,-100,-100
Bracknell Forest,2020-07-09,110,0,-100,-100
Bracknell Forest,2020-07-10,110,0,-100,-100
Bracknell Forest,2020-07-11,111,0,-100,-100
Bracknell Forest,2020-07-12,111,0,-100,-100
Bracknell Forest,2020-07-13,111,0,-100,-100
Bracknell Forest,2020-07-14,111,0,-100,-100
Bracknell Forest,2020-07-15,111,0,-100,-100
Bracknell Forest,2020-07-16,111,0,-100,-100
Bracknell Forest,2020-07-17,111,0,-100,-100
Bracknell Forest,2020-07-18,111,0,-100,-100
Bracknell Forest,2020-07-19,112,0,-100,-100
Bracknell Forest,2020-07-20,112,0,-100,-100
Bracknell Forest,2020-07-21,112,0,-100,-100
Bracknell Forest,2020-07-22,112,0,-100,-100
Bracknell Forest,2020-07-23,112,0,-100,-100
Bracknell Forest,2020-07-24,112,0,-100,-100
Bracknell Forest,2020-07-25,112,0,-100,-100
Bracknell Forest,2020-07-26,112,0,-100,-100
Bracknell Forest,2020-07-27,112,0,-100,-100
Bracknell Forest,2020-07-28,112,0,-100,-100
Bracknell Forest,2020-07-29,112,0,-100,-100
Bracknell Forest,2020-07-30,113,0,-100,-100
Bracknell Forest,2020-07-31,113,0,-100,-100
Bracknell Forest,2020-08-01,113,0,-100,-100
Bracknell Forest,2020-08-02,113,0,-100,-100
Bracknell Forest,2020-08-03,114,0,-100,-100
Bracknell Forest,2020-08-04,114,0,-100,-100
Bracknell Forest,2020-08-05,114,0,-100,-100
Bracknell Forest,2020-08-06,114,0,-100,-100
Bracknell Forest,2020-08-07,114,0,-100,-100
Bracknell Forest,2020-08-08,114,0,-100,-100
Bracknell Forest,2020-08-09,114,0,-100,-100
Bracknell Forest,2020-08-10,114,0,-100,-100
Bracknell Forest,2020-08-11,114,0,-100,-100
Bracknell Forest,2020-08-12,114,0,-100,-100
Bracknell Forest,2020-08-13,114,0,-100,-100
Bracknell Forest,2020-08-14,115,0,-100,-100
Bracknell Forest,2020-08-15,115,0,-100,-100
Bracknell Forest,2020-08-16,115,0,-100,-100
Bracknell Forest,2020-08-17,115,0,-100,-100
Bracknell Forest,2020-08-18,116,0,-100,-100
Bracknell Forest,2020-08-19,116,0,-100,-100
Bracknell Forest,2020-08-20,116,0,-100,-100
Bracknell Forest,2020-08-21,116,0,-100,-100
Bracknell Forest,2020-08-22,117,0,-100,-100
Bracknell Forest,2020-08-23,117,0,-100,-100
Bracknell Forest,2020-08-24,117,0,-100,-100
Bracknell Forest,2020-08-25,117,0,-100,-100
Bracknell Forest,2020-08-26,118,0,-100,-100
Bracknell Forest,2020-08-27,118,0,-100,-100
Bracknell Forest,2020-08-28,118,0,-100,-100
Bracknell Forest,2020-08-29,118,0,-100,-100
Bracknell Forest,2020-08-30,119,0,-100,-100
Bracknell Forest,2020-08-31,120,1,-100,-100
Bracknell Forest,2020-09-01,120,0,-100,-100
Bracknell Forest,2020-09-02,121,0,-100,-100
Bracknell Forest,2020-09-03,122,1,-100,-100
Bracknell Forest,2020-09-04,122,0,-100,-100
Bracknell Forest,2020-09-05,122,0,-100,-100
Bracknell Forest,2020-09-06,123,0,-100,-100
Bracknell Forest,2020-09-07,125,2,-100,-100
Bracknell Forest,2020-09-08,126,0,-100,-100
Bracknell Forest,2020-09-09,127,1,-100,-100
Bracknell Forest,2020-09-10,129,1,-100,-100
Bracknell Forest,2020-09-11,131,2,-100,-100
Bracknell Forest,2020-09-12,132,1,-100,-100
Bracknell Forest,2020-09-13,132,0,-100,-100
Bracknell Forest,2020-09-14,133,0,-100,-100
Bracknell Forest,2020-09-15,135,1,-100,-100
Bracknell Forest,2020-09-16,135,0,-100,-100
Bracknell Forest,2020-09-17,137,2,-100,-100
Bracknell Forest,2020-09-18,137,0,-100,-100
Bracknell Forest,2020-09-19,138,0,-100,-100
Bracknell Forest,2020-09-20,138,0,-100,-100
Bracknell Forest,2020-09-21,140,1,-100,-100
Bracknell Forest,2020-09-22,141,0,-100,-100
Bracknell Forest,2020-09-23,142,1,-100,-100
Bracknell Forest,2020-09-24,145,2,-100,-100
Bracknell Forest,2020-09-25,145,0,-100,-100
Bracknell Forest,2020-09-26,145,0,-100,-100
Bracknell Forest,2020-09-27,147,1,-100,-100
Bracknell Forest,2020-09-28,148,0,-100,-100
Bracknell Forest,2020-09-29,148,0,-100,-100
Bracknell Forest,2020-09-30,149,0,-100,-100
Bracknell Forest,2020-10-01,150,0,-100,-100
Bracknell Forest,2020-10-02,150,0,-100,-100
Bracknell Forest,2020-10-03,151,0,-100,-100
Bracknell Forest,2020-10-04,155,3,-100,-100
Bracknell Forest,2020-10-05,157,2,-100,-100
Bracknell Forest,2020-10-06,159,1,-100,-100
Bracknell Forest,2020-10-07,164,5,-100,-100
Bracknell Forest,2020-10-08,168,3,-100,-100
Bracknell Forest,2020-10-09,171,2,-100,-100
Bracknell Forest,2020-10-10,172,1,-100,-100
Bracknell Forest,2020-10-11,174,1,-100,-100
Bracknell Forest,2020-10-12,176,2,-100,-100
Bracknell Forest,2020-10-13,180,3,-100,-100
Bracknell Forest,2020-10-14,184,4,-100,-100
Bracknell Forest,2020-10-15,188,4,-100,-100
Bracknell Forest,2020-10-16,192,3,-100,-100
Bracknell Forest,2020-10-17,197,5,-100,-100
Bracknell Forest,2020-10-18,201,3,-100,-100
Bracknell Forest,2020-10-19,206,4,-100,-100
Bracknell Forest,2020-10-20,209,2,-100,-100
Bracknell Forest,2020-10-21,215,6,-100,-100
Bracknell Forest,2020-10-22,219,4,-100,-100
Bracknell Forest,2020-10-23,222,2,-100,-100
Bracknell Forest,2020-10-24,228,5,-100,-100
Bracknell Forest,2020-10-25,236,7,-100,-100
Bracknell Forest,2020-10-26,239,3,-100,-100
Bracknell Forest,2020-10-27,243,4,-100,-100
Bracknell Forest,2020-10-28,252,8,-100,-100
Bracknell Forest,2020-10-29,258,6,-100,-100
Bracknell Forest,2020-10-30,262,3,-100,-100
Bracknell Forest,2020-10-31,267,5,-100,-100
Bracknell Forest,2020-11-01,274,6,-100,-100
Bracknell Forest,2020-11-02,277,3,-100,-100
Bracknell Forest,2020-11-03,281,3,-100,-100
Bracknell Forest,2020-11-04,288,7,-100,-100
Bracknell Forest,2020-11-05,293,4,-100,-100
Bracknell Forest,2020-11-06,300,7,-100,-100
Bracknell Forest,2020-11-07,308,7,-100,-100
Bracknell Forest,2020-11-08,314,5,-100,-100
Bracknell Forest,2020-11-09,319,4,-100,-100
Bracknell Forest,2020-11-10,325,6,-100,-100
Bracknell Forest,2020-11-11,331,6,-100,-100
Bracknell Forest,2020-11-12,338,6,-100,-100
Bracknell Forest,2020-11-13,343,5,-100,-100
Bracknell Forest,2020-11-14,351,7,-100,-100
Bracknell Forest,2020-11-15,360,8,-100,-100
Bracknell Forest,2020-11-16,363,3,-100,-100
Bracknell Forest,2020-11-17,368,4,-100,-100
Bracknell Forest,2020-11-18,371,2,-100,-100
Bracknell Forest,2020-11-19,375,3,-100,-100
Bracknell Forest,2020-11-20,376,1,-100,-100
Bracknell Forest,2020-11-21,382,5,-100,-100
Bracknell Forest,2020-11-22,387,5,-100,-100
Bracknell Forest,2020-11-23,389,2,-100,-100
Bracknell Forest,2020-11-24,391,1,-100,-100
Bracknell Forest,2020-11-25,395,3,-100,-100
Bracknell Forest,2020-11-26,401,6,-100,-100
Bracknell Forest,2020-11-27,406,4,-100,-100
Bracknell Forest,2020-11-28,410,3,-100,-100
Bracknell Forest,2020-11-29,414,4,-100,-100
Bracknell Forest,2020-11-30,421,6,-100,-100
Bracknell Forest,2020-12-01,425,4,-100,-100
Bracknell Forest,2020-12-02,435,9,-100,-100
Bracknell Forest,2020-12-03,439,3,-100,-100
Bracknell Forest,2020-12-04,447,8,0,-100
Bracknell Forest,2020-12-05,459,11,0,-100
Bracknell Forest,2020-12-06,470,10,0,-100
Bracknell Forest,2020-12-07,477,7,0,-100
Bracknell Forest,2020-12-08,486,9,0,-100
Bracknell Forest,2020-12-09,496,9,0,-100
Bracknell Forest,2020-12-10,505,9,0,-100
Bracknell Forest,2020-12-11,516,11,0,-100
Bracknell Forest,2020-12-12,530,13,0,-100
Bracknell Forest,2020-12-13,545,14,0,-100
Bracknell Forest,2020-12-14,560,15,0,-100
Bracknell Forest,2020-12-15,570,10,0,-100
Bracknell Forest,2020-12-16,587,16,0,-100
Bracknell Forest,2020-12-17,610,23,0,-100
Bracknell Forest,2020-12-18,625,15,0,-100
Bracknell Forest,2020-12-19,650,24,0,-100
Bracknell Forest,2020-12-20,681,31,0,-100
Bracknell Forest,2020-12-21,701,19,0,-100
Bracknell Forest,2020-12-22,730,29,0,-100
Bracknell Forest,2020-12-23,758,28,0,-100
Bracknell Forest,2020-12-24,789,30,0,-100
Bracknell Forest,2020-12-25,812,23,0,-100
Bracknell Forest,2020-12-26,853,40,0,-100
Bracknell Forest,2020-12-27,880,26,0,-100
Bracknell Forest,2020-12-28,905,25,0,-100
Bracknell Forest,2020-12-29,949,44,0,-100
Bracknell Forest,2020-12-30,993,43,0,-100
Bracknell Forest,2020-12-31,1036,43,0,0
Bracknell Forest,2021-01-01,1085,49,0,0
Bracknell Forest,2021-01-02,1130,44,0,0
Bracknell Forest,2021-01-03,1171,41,0,0
Bracknell Forest,2021-01-04,1211,40,0,0
Bracknell Forest,2021-01-05,1254,42,0,0
Bracknell Forest,2021-01-06,1282,28,0,0
Bracknell Forest,2021-01-07,1313,30,0,0
Bracknell Forest,2021-01-08,1359,45,0,0
Bracknell Forest,2021-01-09,1415,56,0,0
Bracknell Forest,2021-01-10,1446,31,0,0
Bracknell Forest,2021-01-11,1475,28,0,0
Bracknell Forest,2021-01-12,1490,14,0,0
Bracknell Forest,2021-01-13,1508,17,0,0
Bracknell Forest,2021-01-14,1526,18,0,0
Bracknell Forest,2021-01-15,1549,22,0,0
Bracknell Forest,2021-01-16,1579,29,0,0
Bracknell Forest,2021-01-17,1605,25,0,0
Bracknell Forest,2021-01-18,1619,14,0,0
Bracknell Forest,2021-01-19,1635,15,0,0
Bracknell Forest,2021-01-20,1660,25,0,0
Bracknell Forest,2021-01-21,1672,12,0,0
Bracknell Forest,2021-01-22,1694,21,0,0
Bracknell Forest,2021-01-23,1712,18,0,0
Bracknell Forest,2021-01-24,1729,16,0,0
Bracknell Forest,2021-01-25,1740,11,0,0
Bracknell Forest,2021-01-26,1746,5,0,0
Bracknell Forest,2021-01-27,1759,13,0,0
Bracknell Forest,2021-01-28,1776,17,0,0
Bracknell Forest,2021-01-29,1792,15,0,0
Bracknell Forest,2021-01-30,1802,10,0,0
Bracknell Forest,2021-01-31,1816,13,0,0
Bracknell Forest,2021-02-01,1827,10,0,3
Bracknell Forest,2021-02-02,1840,13,0,0
Bracknell Forest,2021-02-03,1851,11,0,0
Bracknell Forest,2021-02-04,1863,11,0,4
Bracknell Forest,2021-02-05,1879,15,0,0
Bracknell Forest,2021-02-06,1888,9,0,1
Bracknell Forest,2021-02-07,1896,8,0,1
Bracknell Forest,2021-02-08,1902,6,0,0
Bracknell Forest,2021-02-09,1908,5,0,0
Bracknell Forest,2021-02-10,1915,6,0,1
Bracknell Forest,2021-02-11,1918,3,0,0
Bracknell Forest,2021-02-12,1924,6,0,0
Bracknell Forest,2021-02-13,1929,4,0,0
Bracknell Forest,2021-02-14,1931,2,0,0
Bracknell Forest,2021-02-15,1939,7,0,0
Bracknell Forest,2021-02-16,1941,2,0,0
Bracknell Forest,2021-02-17,1949,7,0,0
Bracknell Forest,2021-02-18,1955,5,0,0
Bracknell Forest,2021-02-19,1959,3,0,0
Bracknell Forest,2021-02-20,1961,2,0,0
Bracknell Forest,2021-02-21,1965,4,0,0
Bracknell Forest,2021-02-22,1971,5,0,0
Bracknell Forest,2021-02-23,1972,1,0,0
Bracknell Forest,2021-02-24,1976,3,0,0
Bracknell Forest,2021-02-25,1980,4,0,0
Bracknell Forest,2021-02-26,1983,2,0,0
Bracknell Forest,2021-02-27,1984,1,0,0
Bracknell Forest,2021-02-28,1986,1,0,0
Bracknell Forest,2021-03-01,1988,2,0,0
Bracknell Forest,2021-03-02,1989,0,0,0
Bracknell Forest,2021-03-03,1992,3,0,0
Bracknell Forest,2021-03-04,1994,2,0,0
Bracknell Forest,2021-03-05,1995,1,0,0
Bracknell Forest,2021-03-06,1996,0,0,0
Bracknell Forest,2021-03-07,1998,2,0,0
Bracknell Forest,2021-03-08,1999,1,0,0
Bracknell Forest,2021-03-09,2002,2,0,0
Bracknell Forest,2021-03-10,2005,2,0,0
Bracknell Forest,2021-03-11,2008,3,0,0
Bracknell Forest,2021-03-12,2009,1,0,1
Bracknell Forest,2021-03-13,2011,1,0,0
Bracknell Forest,2021-03-14,2013,1,0,0
Bracknell Forest,2021-03-15,2015,2,0,0
Bracknell Forest,2021-03-16,2015,0,0,0
Bracknell Forest,2021-03-17,2017,1,0,0
Bracknell Forest,2021-03-18,2019,2,0,0
Bracknell Forest,2021-03-19,2020,1,0,0
Bracknell Forest,2021-03-20,2022,1,0,0
Bracknell Forest,2021-03-21,2023,1,0,0
Bracknell Forest,2021-03-22,2024,1,0,0
Bracknell Forest,2021-03-23,2026,1,0,0
Bracknell Forest,2021-03-24,2028,1,0,0
Bracknell Forest,2021-03-25,2029,1,0,0
Bracknell Forest,2021-03-26,2032,2,0,0
Bracknell Forest,2021-03-27,2033,0,0,0
Bracknell Forest,2021-03-28,2036,3,0,2
Bracknell Forest,2021-03-29,2038,2,0,0
Bracknell Forest,2021-03-30,2041,2,0,0
Bracknell Forest,2021-03-31,2042,1,0,0
Bracknell Forest,2021-04-01,2045,2,0,0
Bracknell Forest,2021-04-02,2046,1,0,0
Bracknell Forest,2021-04-03,2047,0,0,0
Bracknell Forest,2021-04-04,2048,1,0,0
Bracknell Forest,2021-04-05,2049,0,0,0
Bracknell Forest,2021-04-06,2050,0,0,0
Bracknell Forest,2021-04-07,2051,0,0,0
Bracknell Forest,2021-04-08,2052,1,0,0
Bracknell Forest,2021-04-09,2046,0,0,0
Bracknell Forest,2021-04-10,2048,2,0,0
Bracknell Forest,2021-04-11,2049,0,0,0
Bracknell Forest,2021-04-12,2051,1,0,0
Bracknell Forest,2021-04-13,2051,0,0,0
Bracknell Forest,2021-04-14,2053,1,0,0
Bracknell Forest,2021-04-15,2055,2,0,0
Bracknell Forest,2021-04-16,2056,0,0,0
Bracknell Forest,2021-04-17,2057,1,0,0
Bracknell Forest,2021-04-18,2058,0,0,0
Bracknell Forest,2021-04-19,2060,1,0,0
Bracknell Forest,2021-04-20,2061,1,0,0
Bracknell Forest,2021-04-21,2062,0,0,0
Bracknell Forest,2021-04-22,2061,0,0,0
