areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Bradford,2020-07-05,1671,11,-100,-100
Bradford,2020-07-06,1677,5,-100,-100
Bradford,2020-07-07,1689,12,-100,-100
Bradford,2020-07-08,1705,15,-100,-100
Bradford,2020-07-09,1716,10,-100,-100
Bradford,2020-07-10,1725,8,-100,-100
Bradford,2020-07-11,1737,12,-100,-100
Bradford,2020-07-12,1745,8,-100,-100
Bradford,2020-07-13,1757,11,-100,-100
Bradford,2020-07-14,1771,14,-100,-100
Bradford,2020-07-15,1786,15,-100,-100
Bradford,2020-07-16,1800,13,-100,-100
Bradford,2020-07-17,1813,12,-100,-100
Bradford,2020-07-18,1823,10,-100,-100
Bradford,2020-07-19,1834,10,-100,-100
Bradford,2020-07-20,1847,13,-100,-100
Bradford,2020-07-21,1862,14,-100,-100
Bradford,2020-07-22,1882,20,-100,-100
Bradford,2020-07-23,1894,12,-100,-100
Bradford,2020-07-24,1903,9,-100,-100
Bradford,2020-07-25,1917,14,-100,-100
Bradford,2020-07-26,1933,15,-100,-100
Bradford,2020-07-27,1948,15,-100,-100
Bradford,2020-07-28,1964,16,-100,-100
Bradford,2020-07-29,1982,17,-100,-100
Bradford,2020-07-30,2000,18,-100,-100
Bradford,2020-07-31,2023,22,-100,-100
Bradford,2020-08-01,2036,12,-100,-100
Bradford,2020-08-02,2044,8,-100,-100
Bradford,2020-08-03,2068,24,-100,-100
Bradford,2020-08-04,2077,9,-100,-100
Bradford,2020-08-05,2094,16,-100,-100
Bradford,2020-08-06,2113,18,-100,-100
Bradford,2020-08-07,2134,21,-100,-100
Bradford,2020-08-08,2141,6,-100,-100
Bradford,2020-08-09,2170,29,-100,-100
Bradford,2020-08-10,2182,11,-100,-100
Bradford,2020-08-11,2201,19,-100,-100
Bradford,2020-08-12,2223,21,-100,-100
Bradford,2020-08-13,2223,0,-100,-100
Bradford,2020-08-14,2263,39,-100,-100
Bradford,2020-08-15,2280,17,-100,-100
Bradford,2020-08-16,2290,10,-100,-100
