areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Brent,2020-07-05,151,0,-100,-100
Brent,2020-07-06,151,0,-100,-100
Brent,2020-07-07,151,0,-100,-100
Brent,2020-07-08,152,0,-100,-100
Brent,2020-07-09,152,0,-100,-100
Brent,2020-07-10,152,0,-100,-100
Brent,2020-07-11,152,0,-100,-100
Brent,2020-07-12,152,0,-100,-100
Brent,2020-07-13,152,0,-100,-100
Brent,2020-07-14,153,0,-100,-100
Brent,2020-07-15,153,0,-100,-100
Brent,2020-07-16,153,0,-100,-100
Brent,2020-07-17,153,0,-100,-100
Brent,2020-07-18,153,0,-100,-100
Brent,2020-07-19,154,0,-100,-100
Brent,2020-07-20,153,0,-100,-100
Brent,2020-07-21,154,0,-100,-100
Brent,2020-07-22,154,0,-100,-100
Brent,2020-07-23,154,0,-100,-100
Brent,2020-07-24,155,0,-100,-100
Brent,2020-07-25,155,0,-100,-100
Brent,2020-07-26,156,0,-100,-100
Brent,2020-07-27,156,0,-100,-100
Brent,2020-07-28,156,0,-100,-100
Brent,2020-07-29,157,0,-100,-100
Brent,2020-07-30,157,0,-100,-100
Brent,2020-07-31,157,0,-100,-100
Brent,2020-08-01,158,0,-100,-100
Brent,2020-08-02,158,0,-100,-100
Brent,2020-08-03,158,0,-100,-100
Brent,2020-08-04,158,0,-100,-100
Brent,2020-08-05,158,0,-100,-100
Brent,2020-08-06,158,0,-100,-100
Brent,2020-08-07,159,0,-100,-100
Brent,2020-08-08,159,0,-100,-100
Brent,2020-08-09,160,0,-100,-100
Brent,2020-08-10,160,0,-100,-100
Brent,2020-08-11,160,0,-100,-100
Brent,2020-08-12,160,0,-100,-100
Brent,2020-08-13,160,0,-100,-100
Brent,2020-08-14,162,1,-100,-100
Brent,2020-08-15,162,0,-100,-100
Brent,2020-08-16,162,0,-100,-100
Brent,2020-08-17,163,0,-100,-100
Brent,2020-08-18,163,0,-100,-100
Brent,2020-08-19,163,0,-100,-100
Brent,2020-08-20,164,0,-100,-100
Brent,2020-08-21,164,0,-100,-100
Brent,2020-08-22,164,0,-100,-100
Brent,2020-08-23,164,0,-100,-100
Brent,2020-08-24,165,0,-100,-100
Brent,2020-08-25,165,0,-100,-100
