areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Bridgend,2020-07-05,369,0,-100,-100
Bridgend,2020-07-06,369,0,-100,-100
Bridgend,2020-07-07,369,0,-100,-100
Bridgend,2020-07-08,370,1,-100,-100
Bridgend,2020-07-09,371,0,-100,-100
Bridgend,2020-07-10,371,0,-100,-100
Bridgend,2020-07-11,371,0,-100,-100
Bridgend,2020-07-12,371,0,-100,-100
Bridgend,2020-07-13,371,0,-100,-100
Bridgend,2020-07-14,376,4,-100,-100
Bridgend,2020-07-15,376,0,-100,-100
Bridgend,2020-07-16,376,0,-100,-100
Bridgend,2020-07-17,376,0,-100,-100
Bridgend,2020-07-18,376,0,-100,-100
Bridgend,2020-07-19,376,0,-100,-100
Bridgend,2020-07-20,378,1,-100,-100
Bridgend,2020-07-21,378,0,-100,-100
Bridgend,2020-07-22,378,0,-100,-100
Bridgend,2020-07-23,379,0,-100,-100
Bridgend,2020-07-24,379,0,-100,-100
Bridgend,2020-07-25,380,0,-100,-100
Bridgend,2020-07-26,380,0,-100,-100
Bridgend,2020-07-27,380,0,-100,-100
Bridgend,2020-07-28,381,0,-100,-100
Bridgend,2020-07-29,381,0,-100,-100
Bridgend,2020-07-30,381,0,-100,-100
Bridgend,2020-07-31,381,0,-100,-100
Bridgend,2020-08-01,381,0,-100,-100
Bridgend,2020-08-02,381,0,-100,-100
Bridgend,2020-08-03,381,0,-100,-100
Bridgend,2020-08-04,381,0,-100,-100
Bridgend,2020-08-05,381,0,-100,-100
Bridgend,2020-08-06,383,1,-100,-100
Bridgend,2020-08-07,383,0,-100,-100
Bridgend,2020-08-08,383,0,-100,-100
Bridgend,2020-08-09,384,0,-100,-100
Bridgend,2020-08-10,385,0,-100,-100
Bridgend,2020-08-11,385,0,-100,-100
Bridgend,2020-08-12,385,0,-100,-100
Bridgend,2020-08-13,385,0,-100,-100
Bridgend,2020-08-14,385,0,-100,-100
Bridgend,2020-08-15,385,0,-100,-100
Bridgend,2020-08-16,385,0,-100,-100
Bridgend,2020-08-17,385,0,-100,-100
Bridgend,2020-08-18,385,0,-100,-100
Bridgend,2020-08-19,385,0,-100,-100
Bridgend,2020-08-20,385,0,-100,-100
Bridgend,2020-08-21,385,0,-100,-100
Bridgend,2020-08-22,385,0,-100,-100
Bridgend,2020-08-23,385,0,-100,-100
Bridgend,2020-08-24,385,0,-100,-100
Bridgend,2020-08-25,385,0,-100,-100
Bridgend,2020-08-26,385,0,-100,-100
Bridgend,2020-08-27,387,1,-100,-100
Bridgend,2020-08-28,388,1,-100,-100
Bridgend,2020-08-29,389,0,-100,-100
Bridgend,2020-08-30,391,1,-100,-100
Bridgend,2020-08-31,391,0,-100,-100
Bridgend,2020-09-01,391,0,-100,-100
Bridgend,2020-09-02,393,1,-100,-100
Bridgend,2020-09-03,399,6,-100,-100
Bridgend,2020-09-04,401,1,-100,-100
Bridgend,2020-09-05,403,1,-100,-100
Bridgend,2020-09-06,403,0,-100,-100
Bridgend,2020-09-07,406,2,-100,-100
Bridgend,2020-09-08,411,5,-100,-100
