areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Brighton and Hove,2020-07-05,553,0,-100,-100
Brighton and Hove,2020-07-06,554,1,-100,-100
Brighton and Hove,2020-07-07,554,0,-100,-100
Brighton and Hove,2020-07-08,556,1,-100,-100
Brighton and Hove,2020-07-09,556,0,-100,-100
Brighton and Hove,2020-07-10,556,0,-100,-100
Brighton and Hove,2020-07-11,558,2,-100,-100
Brighton and Hove,2020-07-12,560,1,-100,-100
Brighton and Hove,2020-07-13,560,0,-100,-100
Brighton and Hove,2020-07-14,562,1,-100,-100
Brighton and Hove,2020-07-15,562,0,-100,-100
Brighton and Hove,2020-07-16,565,2,-100,-100
Brighton and Hove,2020-07-17,566,1,-100,-100
Brighton and Hove,2020-07-18,567,0,-100,-100
Brighton and Hove,2020-07-19,567,0,-100,-100
Brighton and Hove,2020-07-20,567,0,-100,-100
Brighton and Hove,2020-07-21,567,0,-100,-100
Brighton and Hove,2020-07-22,567,0,-100,-100
Brighton and Hove,2020-07-23,571,3,-100,-100
Brighton and Hove,2020-07-24,573,1,-100,-100
Brighton and Hove,2020-07-25,573,0,-100,-100
Brighton and Hove,2020-07-26,575,2,-100,-100
Brighton and Hove,2020-07-27,581,5,-100,-100
Brighton and Hove,2020-07-28,583,1,-100,-100
Brighton and Hove,2020-07-29,585,2,-100,-100
Brighton and Hove,2020-07-30,586,0,-100,-100
Brighton and Hove,2020-07-31,586,0,-100,-100
Brighton and Hove,2020-08-01,588,1,-100,-100
Brighton and Hove,2020-08-02,588,0,-100,-100
Brighton and Hove,2020-08-03,588,0,-100,-100
Brighton and Hove,2020-08-04,589,0,-100,-100
Brighton and Hove,2020-08-05,590,0,-100,-100
Brighton and Hove,2020-08-06,590,0,-100,-100
Brighton and Hove,2020-08-07,592,2,-100,-100
Brighton and Hove,2020-08-08,594,1,-100,-100
Brighton and Hove,2020-08-09,595,1,-100,-100
Brighton and Hove,2020-08-10,595,0,-100,-100
Brighton and Hove,2020-08-11,596,1,-100,-100
Brighton and Hove,2020-08-12,596,0,-100,-100
Brighton and Hove,2020-08-13,596,0,-100,-100
Brighton and Hove,2020-08-14,598,1,-100,-100
Brighton and Hove,2020-08-15,599,1,-100,-100
Brighton and Hove,2020-08-16,602,2,-100,-100
Brighton and Hove,2020-08-17,603,0,-100,-100
Brighton and Hove,2020-08-18,604,0,-100,-100
Brighton and Hove,2020-08-19,605,1,-100,-100
Brighton and Hove,2020-08-20,607,2,-100,-100
Brighton and Hove,2020-08-21,608,0,-100,-100
Brighton and Hove,2020-08-22,609,1,-100,-100
Brighton and Hove,2020-08-23,612,2,-100,-100
Brighton and Hove,2020-08-24,614,2,-100,-100
Brighton and Hove,2020-08-25,620,5,-100,-100
Brighton and Hove,2020-08-26,621,1,-100,-100
Brighton and Hove,2020-08-27,621,0,-100,-100
Brighton and Hove,2020-08-28,623,2,-100,-100
Brighton and Hove,2020-08-29,625,2,-100,-100
Brighton and Hove,2020-08-30,628,2,-100,-100
Brighton and Hove,2020-08-31,633,5,-100,-100
Brighton and Hove,2020-09-01,638,5,-100,-100
Brighton and Hove,2020-09-02,643,4,-100,-100
Brighton and Hove,2020-09-03,643,0,-100,-100
Brighton and Hove,2020-09-04,644,0,-100,-100
Brighton and Hove,2020-09-05,648,3,-100,-100
Brighton and Hove,2020-09-06,650,2,-100,-100
Brighton and Hove,2020-09-07,655,5,-100,-100
Brighton and Hove,2020-09-08,664,8,-100,-100
Brighton and Hove,2020-09-09,668,4,-100,-100
Brighton and Hove,2020-09-10,672,3,-100,-100
Brighton and Hove,2020-09-11,677,5,-100,-100
Brighton and Hove,2020-09-12,692,14,-100,-100
Brighton and Hove,2020-09-13,695,2,-100,-100
Brighton and Hove,2020-09-14,699,4,-100,-100
Brighton and Hove,2020-09-15,707,7,-100,-100
Brighton and Hove,2020-09-16,717,10,-100,-100
Brighton and Hove,2020-09-17,722,5,-100,-100
Brighton and Hove,2020-09-18,729,6,-100,-100
Brighton and Hove,2020-09-19,734,5,-100,-100
Brighton and Hove,2020-09-20,734,0,-100,-100
Brighton and Hove,2020-09-21,736,1,-100,-100
Brighton and Hove,2020-09-22,739,2,-100,-100
Brighton and Hove,2020-09-23,740,1,-100,-100
Brighton and Hove,2020-09-24,747,6,-100,-100
Brighton and Hove,2020-09-25,751,4,-100,-100
Brighton and Hove,2020-09-26,755,4,-100,-100
Brighton and Hove,2020-09-27,762,6,-100,-100
Brighton and Hove,2020-09-28,765,2,-100,-100
Brighton and Hove,2020-09-29,771,5,-100,-100
Brighton and Hove,2020-09-30,781,10,-100,-100
Brighton and Hove,2020-10-01,793,11,-100,-100
Brighton and Hove,2020-10-02,800,7,-100,-100
Brighton and Hove,2020-10-03,815,15,-100,-100
Brighton and Hove,2020-10-04,845,29,-100,-100
Brighton and Hove,2020-10-05,865,20,-100,-100
Brighton and Hove,2020-10-06,875,10,-100,-100
Brighton and Hove,2020-10-07,919,43,-100,-100
Brighton and Hove,2020-10-08,951,32,-100,-100
Brighton and Hove,2020-10-09,973,21,-100,-100
Brighton and Hove,2020-10-10,995,22,-100,-100
Brighton and Hove,2020-10-11,1008,12,-100,-100
Brighton and Hove,2020-10-12,1018,10,-100,-100
Brighton and Hove,2020-10-13,1044,25,-100,-100
Brighton and Hove,2020-10-14,1093,49,-100,-100
Brighton and Hove,2020-10-15,1113,20,-100,-100
Brighton and Hove,2020-10-16,1148,34,-100,-100
Brighton and Hove,2020-10-17,1163,15,-100,-100
Brighton and Hove,2020-10-18,1185,22,-100,-100
Brighton and Hove,2020-10-19,1221,36,-100,-100
Brighton and Hove,2020-10-20,1251,29,-100,-100
Brighton and Hove,2020-10-21,1310,58,-100,-100
Brighton and Hove,2020-10-22,1341,31,-100,-100
Brighton and Hove,2020-10-23,1391,49,-100,-100
Brighton and Hove,2020-10-24,1451,60,-100,-100
Brighton and Hove,2020-10-25,1500,48,-100,-100
Brighton and Hove,2020-10-26,1543,43,-100,-100
Brighton and Hove,2020-10-27,1591,47,-100,-100
Brighton and Hove,2020-10-28,1654,62,-100,-100
Brighton and Hove,2020-10-29,1693,39,-100,-100
Brighton and Hove,2020-10-30,1771,78,-100,-100
Brighton and Hove,2020-10-31,1794,23,-100,-100
Brighton and Hove,2020-11-01,1830,36,-100,-100
Brighton and Hove,2020-11-02,1862,32,-100,-100
Brighton and Hove,2020-11-03,1886,23,-100,-100
Brighton and Hove,2020-11-04,1915,28,-100,-100
Brighton and Hove,2020-11-05,1940,25,-100,-100
Brighton and Hove,2020-11-06,2007,67,-100,-100
Brighton and Hove,2020-11-07,2060,53,-100,-100
Brighton and Hove,2020-11-08,2110,49,-100,-100
Brighton and Hove,2020-11-09,2162,52,-100,-100
Brighton and Hove,2020-11-10,2198,36,-100,-100
Brighton and Hove,2020-11-11,2239,41,-100,-100
Brighton and Hove,2020-11-12,2310,70,-100,-100
Brighton and Hove,2020-11-13,2387,77,-100,-100
Brighton and Hove,2020-11-14,2423,36,0,-100
Brighton and Hove,2020-11-15,2471,47,0,-100
Brighton and Hove,2020-11-16,2637,166,0,-100
Brighton and Hove,2020-11-17,2663,26,0,-100
Brighton and Hove,2020-11-18,2696,33,0,-100
Brighton and Hove,2020-11-19,2727,30,0,-100
Brighton and Hove,2020-11-20,2739,12,0,-100
Brighton and Hove,2020-11-21,2766,27,0,-100
Brighton and Hove,2020-11-22,2796,29,0,-100
Brighton and Hove,2020-11-23,2816,19,0,-100
Brighton and Hove,2020-11-24,2826,10,0,-100
Brighton and Hove,2020-11-25,2847,20,0,-100
Brighton and Hove,2020-11-26,2876,28,0,-100
Brighton and Hove,2020-11-27,2884,7,0,-100
Brighton and Hove,2020-11-28,2902,17,0,-100
Brighton and Hove,2020-11-29,2919,17,0,-100
Brighton and Hove,2020-11-30,2929,10,0,-100
Brighton and Hove,2020-12-01,2947,18,0,0
Brighton and Hove,2020-12-02,2970,23,0,0
Brighton and Hove,2020-12-03,2990,19,0,0
Brighton and Hove,2020-12-04,3018,28,0,0
Brighton and Hove,2020-12-05,3035,16,0,0
Brighton and Hove,2020-12-06,3049,14,0,0
Brighton and Hove,2020-12-07,3058,9,0,0
Brighton and Hove,2020-12-08,3074,15,1,0
Brighton and Hove,2020-12-09,3095,20,0,0
Brighton and Hove,2020-12-10,3133,38,0,1
Brighton and Hove,2020-12-11,3176,43,0,0
Brighton and Hove,2020-12-12,3202,26,0,0
Brighton and Hove,2020-12-13,3246,44,0,0
Brighton and Hove,2020-12-14,3267,20,0,0
Brighton and Hove,2020-12-15,3301,33,0,0
Brighton and Hove,2020-12-16,3359,58,0,0
Brighton and Hove,2020-12-17,3426,67,0,0
Brighton and Hove,2020-12-18,3493,66,0,0
Brighton and Hove,2020-12-19,3578,85,0,0
Brighton and Hove,2020-12-20,3671,92,0,0
Brighton and Hove,2020-12-21,3730,59,1,0
Brighton and Hove,2020-12-22,3800,70,0,0
Brighton and Hove,2020-12-23,3896,96,0,0
Brighton and Hove,2020-12-24,3968,72,0,0
Brighton and Hove,2020-12-25,4067,99,0,0
Brighton and Hove,2020-12-26,4221,153,0,0
Brighton and Hove,2020-12-27,4322,101,1,0
Brighton and Hove,2020-12-28,4418,96,0,0
Brighton and Hove,2020-12-29,4567,148,0,0
Brighton and Hove,2020-12-30,4726,159,1,0
