areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
"Bristol, City of",2020-07-05,1828,2,-100,-100
"Bristol, City of",2020-07-06,1830,2,-100,-100
"Bristol, City of",2020-07-07,1829,0,-100,-100
"Bristol, City of",2020-07-08,1830,1,-100,-100
"Bristol, City of",2020-07-09,1836,5,-100,-100
"Bristol, City of",2020-07-10,1840,4,-100,-100
"Bristol, City of",2020-07-11,1842,1,-100,-100
"Bristol, City of",2020-07-12,1843,1,-100,-100
"Bristol, City of",2020-07-13,1846,2,-100,-100
"Bristol, City of",2020-07-14,1848,1,-100,-100
"Bristol, City of",2020-07-15,1848,0,-100,-100
"Bristol, City of",2020-07-16,1852,4,-100,-100
"Bristol, City of",2020-07-17,1852,0,-100,-100
"Bristol, City of",2020-07-18,1852,0,-100,-100
"Bristol, City of",2020-07-19,1856,4,-100,-100
"Bristol, City of",2020-07-20,1859,2,-100,-100
"Bristol, City of",2020-07-21,1860,1,-100,-100
"Bristol, City of",2020-07-22,1862,1,-100,-100
"Bristol, City of",2020-07-23,1866,4,-100,-100
"Bristol, City of",2020-07-24,1872,5,-100,-100
"Bristol, City of",2020-07-25,1875,2,-100,-100
"Bristol, City of",2020-07-26,1882,7,-100,-100
"Bristol, City of",2020-07-27,1888,5,-100,-100
"Bristol, City of",2020-07-28,1893,5,-100,-100
"Bristol, City of",2020-07-29,1896,2,-100,-100
"Bristol, City of",2020-07-30,1906,9,-100,-100
"Bristol, City of",2020-07-31,1912,5,-100,-100
"Bristol, City of",2020-08-01,1918,5,-100,-100
"Bristol, City of",2020-08-02,1919,1,-100,-100
"Bristol, City of",2020-08-03,1922,2,-100,-100
"Bristol, City of",2020-08-04,1922,0,-100,-100
"Bristol, City of",2020-08-05,1925,2,-100,-100
"Bristol, City of",2020-08-06,1928,2,-100,-100
"Bristol, City of",2020-08-07,1928,0,-100,-100
"Bristol, City of",2020-08-08,1932,4,-100,-100
"Bristol, City of",2020-08-09,1935,2,-100,-100
"Bristol, City of",2020-08-10,1945,9,-100,-100
"Bristol, City of",2020-08-11,1952,7,-100,-100
"Bristol, City of",2020-08-12,1953,1,-100,-100
"Bristol, City of",2020-08-13,1953,0,-100,-100
"Bristol, City of",2020-08-14,1976,22,-100,-100
"Bristol, City of",2020-08-15,1982,5,-100,-100
"Bristol, City of",2020-08-16,1995,12,-100,-100
"Bristol, City of",2020-08-17,2000,5,-100,-100
"Bristol, City of",2020-08-18,2009,8,-100,-100
"Bristol, City of",2020-08-19,2016,7,-100,-100
"Bristol, City of",2020-08-20,2032,15,-100,-100
"Bristol, City of",2020-08-21,2037,5,-100,-100
"Bristol, City of",2020-08-22,2056,18,-100,-100
"Bristol, City of",2020-08-23,2059,2,-100,-100
"Bristol, City of",2020-08-24,2067,8,-100,-100
"Bristol, City of",2020-08-25,2089,21,-100,-100
"Bristol, City of",2020-08-26,2095,5,-100,-100
"Bristol, City of",2020-08-27,2103,8,-100,-100
"Bristol, City of",2020-08-28,2113,9,-100,-100
"Bristol, City of",2020-08-29,2119,5,-100,-100
"Bristol, City of",2020-08-30,2129,9,-100,-100
"Bristol, City of",2020-08-31,2136,7,-100,-100
"Bristol, City of",2020-09-01,2147,11,-100,-100
"Bristol, City of",2020-09-02,2157,9,-100,-100
"Bristol, City of",2020-09-03,2179,21,-100,-100
"Bristol, City of",2020-09-04,2195,15,-100,-100
"Bristol, City of",2020-09-05,2206,11,-100,-100
"Bristol, City of",2020-09-06,2222,15,-100,-100
"Bristol, City of",2020-09-07,2243,21,-100,-100
"Bristol, City of",2020-09-08,2250,7,-100,-100
"Bristol, City of",2020-09-09,2273,22,-100,-100
"Bristol, City of",2020-09-10,2293,19,-100,-100
"Bristol, City of",2020-09-11,2320,27,-100,-100
"Bristol, City of",2020-09-12,2337,17,-100,-100
"Bristol, City of",2020-09-13,2347,9,-100,-100
"Bristol, City of",2020-09-14,2356,8,-100,-100
"Bristol, City of",2020-09-15,2365,8,-100,-100
"Bristol, City of",2020-09-16,2372,7,-100,-100
"Bristol, City of",2020-09-17,2382,9,-100,-100
"Bristol, City of",2020-09-18,2400,18,-100,-100
"Bristol, City of",2020-09-19,2409,8,-100,-100
"Bristol, City of",2020-09-20,2419,9,-100,-100
"Bristol, City of",2020-09-21,2439,19,-100,-100
"Bristol, City of",2020-09-22,2469,29,-100,-100
"Bristol, City of",2020-09-23,2496,27,-100,-100
"Bristol, City of",2020-09-24,2513,17,-100,-100
"Bristol, City of",2020-09-25,2536,22,-100,-100
"Bristol, City of",2020-09-26,2563,27,-100,-100
"Bristol, City of",2020-09-27,2586,22,-100,-100
"Bristol, City of",2020-09-28,2593,7,-100,-100
"Bristol, City of",2020-09-29,2622,28,-100,-100
"Bristol, City of",2020-09-30,2637,15,-100,-100
"Bristol, City of",2020-10-01,2652,14,-100,-100
"Bristol, City of",2020-10-02,2666,14,-100,-100
"Bristol, City of",2020-10-03,2742,75,-100,-100
"Bristol, City of",2020-10-04,2869,127,-100,-100
"Bristol, City of",2020-10-05,2927,58,-100,-100
"Bristol, City of",2020-10-06,2987,59,-100,-100
"Bristol, City of",2020-10-07,3093,105,-100,-100
"Bristol, City of",2020-10-08,3209,115,-100,-100
"Bristol, City of",2020-10-09,3363,154,-100,-100
"Bristol, City of",2020-10-10,3479,115,-100,-100
"Bristol, City of",2020-10-11,3533,54,-100,-100
"Bristol, City of",2020-10-12,3627,94,-100,-100
"Bristol, City of",2020-10-13,3844,217,-100,-100
"Bristol, City of",2020-10-14,4091,247,-100,-100
"Bristol, City of",2020-10-15,4318,227,-100,-100
"Bristol, City of",2020-10-16,4552,234,-100,-100
"Bristol, City of",2020-10-17,4778,225,-100,-100
"Bristol, City of",2020-10-18,4930,151,-100,-100
"Bristol, City of",2020-10-19,5119,189,-100,-100
"Bristol, City of",2020-10-20,5458,338,-100,-100
"Bristol, City of",2020-10-21,5718,259,-100,-100
"Bristol, City of",2020-10-22,5996,278,-100,-100
"Bristol, City of",2020-10-23,6361,364,-100,-100
"Bristol, City of",2020-10-24,6739,378,-100,-100
"Bristol, City of",2020-10-25,7246,506,-100,-100
"Bristol, City of",2020-10-26,7563,317,-100,-100
"Bristol, City of",2020-10-27,7987,424,-100,-100
"Bristol, City of",2020-10-28,8410,422,-100,-100
"Bristol, City of",2020-10-29,8786,375,-100,-100
"Bristol, City of",2020-10-30,9145,359,-100,-100
"Bristol, City of",2020-10-31,9608,462,-100,-100
