areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Bromley,2020-07-05,525,0,-100,-100
Bromley,2020-07-06,525,0,-100,-100
Bromley,2020-07-07,525,0,-100,-100
Bromley,2020-07-08,526,0,-100,-100
Bromley,2020-07-09,526,0,-100,-100
Bromley,2020-07-10,526,0,-100,-100
Bromley,2020-07-11,527,0,-100,-100
Bromley,2020-07-12,527,0,-100,-100
Bromley,2020-07-13,527,0,-100,-100
Bromley,2020-07-14,528,0,-100,-100
Bromley,2020-07-15,528,0,-100,-100
Bromley,2020-07-16,529,1,-100,-100
Bromley,2020-07-17,529,0,-100,-100
Bromley,2020-07-18,529,0,-100,-100
Bromley,2020-07-19,529,0,-100,-100
Bromley,2020-07-20,529,0,-100,-100
Bromley,2020-07-21,529,0,-100,-100
Bromley,2020-07-22,529,0,-100,-100
Bromley,2020-07-23,529,0,-100,-100
Bromley,2020-07-24,530,0,-100,-100
Bromley,2020-07-25,530,0,-100,-100
Bromley,2020-07-26,530,0,-100,-100
Bromley,2020-07-27,531,0,-100,-100
Bromley,2020-07-28,531,0,-100,-100
Bromley,2020-07-29,532,0,-100,-100
Bromley,2020-07-30,532,0,-100,-100
Bromley,2020-07-31,532,0,-100,-100
Bromley,2020-08-01,533,0,-100,-100
Bromley,2020-08-02,533,0,-100,-100
Bromley,2020-08-03,534,0,-100,-100
Bromley,2020-08-04,534,0,-100,-100
Bromley,2020-08-05,535,0,-100,-100
Bromley,2020-08-06,535,0,-100,-100
Bromley,2020-08-07,537,1,-100,-100
Bromley,2020-08-08,537,0,-100,-100
Bromley,2020-08-09,539,2,-100,-100
Bromley,2020-08-10,539,0,-100,-100
Bromley,2020-08-11,540,1,-100,-100
Bromley,2020-08-12,541,1,-100,-100
Bromley,2020-08-13,541,0,-100,-100
Bromley,2020-08-14,544,3,-100,-100
Bromley,2020-08-15,545,1,-100,-100
Bromley,2020-08-16,546,0,-100,-100
Bromley,2020-08-17,546,0,-100,-100
Bromley,2020-08-18,548,2,-100,-100
Bromley,2020-08-19,549,1,-100,-100
Bromley,2020-08-20,551,1,-100,-100
Bromley,2020-08-21,552,1,-100,-100
Bromley,2020-08-22,555,2,-100,-100
Bromley,2020-08-23,555,0,-100,-100
Bromley,2020-08-24,557,1,-100,-100
Bromley,2020-08-25,561,4,-100,-100
Bromley,2020-08-26,562,0,-100,-100
Bromley,2020-08-27,564,2,-100,-100
Bromley,2020-08-28,567,3,-100,-100
Bromley,2020-08-29,568,1,-100,-100
Bromley,2020-08-30,569,1,-100,-100
Bromley,2020-08-31,570,0,-100,-100
Bromley,2020-09-01,572,1,-100,-100
Bromley,2020-09-02,572,0,-100,-100
Bromley,2020-09-03,574,2,-100,-100
Bromley,2020-09-04,577,3,-100,-100
Bromley,2020-09-05,580,2,-100,-100
Bromley,2020-09-06,583,3,-100,-100
Bromley,2020-09-07,585,1,-100,-100
Bromley,2020-09-08,589,4,-100,-100
Bromley,2020-09-09,592,2,-100,-100
Bromley,2020-09-10,593,1,-100,-100
Bromley,2020-09-11,595,1,-100,-100
Bromley,2020-09-12,599,3,-100,-100
Bromley,2020-09-13,600,1,-100,-100
Bromley,2020-09-14,603,3,-100,-100
Bromley,2020-09-15,605,2,-100,-100
Bromley,2020-09-16,608,3,-100,-100
Bromley,2020-09-17,610,1,-100,-100
Bromley,2020-09-18,614,3,-100,-100
Bromley,2020-09-19,615,1,-100,-100
Bromley,2020-09-20,617,2,-100,-100
Bromley,2020-09-21,620,2,-100,-100
Bromley,2020-09-22,624,3,-100,-100
Bromley,2020-09-23,627,3,-100,-100
Bromley,2020-09-24,632,5,-100,-100
Bromley,2020-09-25,636,3,-100,-100
Bromley,2020-09-26,638,1,-100,-100
Bromley,2020-09-27,642,4,-100,-100
Bromley,2020-09-28,645,3,-100,-100
Bromley,2020-09-29,650,4,-100,-100
Bromley,2020-09-30,652,2,-100,-100
Bromley,2020-10-01,657,5,-100,-100
Bromley,2020-10-02,661,3,-100,-100
Bromley,2020-10-03,673,12,-100,-100
Bromley,2020-10-04,691,17,-100,-100
Bromley,2020-10-05,699,8,-100,-100
Bromley,2020-10-06,707,7,-100,-100
Bromley,2020-10-07,724,17,-100,-100
Bromley,2020-10-08,734,9,-100,-100
Bromley,2020-10-09,749,15,-100,-100
Bromley,2020-10-10,759,9,-100,-100
Bromley,2020-10-11,764,5,-100,-100
Bromley,2020-10-12,769,4,-100,-100
Bromley,2020-10-13,780,11,-100,-100
Bromley,2020-10-14,798,17,-100,-100
Bromley,2020-10-15,817,18,-100,-100
Bromley,2020-10-16,831,13,-100,-100
Bromley,2020-10-17,847,16,-100,-100
Bromley,2020-10-18,862,14,-100,-100
Bromley,2020-10-19,881,18,-100,-100
Bromley,2020-10-20,888,7,-100,-100
Bromley,2020-10-21,921,32,-100,-100
Bromley,2020-10-22,934,13,-100,-100
Bromley,2020-10-23,950,15,-100,-100
Bromley,2020-10-24,973,22,-100,-100
Bromley,2020-10-25,990,16,-100,-100
Bromley,2020-10-26,1010,20,-100,-100
Bromley,2020-10-27,1034,23,-100,-100
Bromley,2020-10-28,1060,25,-100,-100
Bromley,2020-10-29,1075,15,-100,-100
Bromley,2020-10-30,1104,28,-100,-100
Bromley,2020-10-31,1115,11,-100,-100
Bromley,2020-11-01,1134,18,-100,-100
Bromley,2020-11-02,1143,8,-100,-100
Bromley,2020-11-03,1159,16,-100,-100
Bromley,2020-11-04,1170,10,-100,-100
Bromley,2020-11-05,1195,25,-100,-100
Bromley,2020-11-06,1216,20,-100,-100
Bromley,2020-11-07,1238,22,-100,-100
Bromley,2020-11-08,1253,14,-100,-100
Bromley,2020-11-09,1276,22,-100,-100
Bromley,2020-11-10,1288,11,-100,-100
Bromley,2020-11-11,1302,14,-100,-100
Bromley,2020-11-12,1343,41,-100,-100
Bromley,2020-11-13,1371,27,-100,-100
Bromley,2020-11-14,1398,27,-100,-100
Bromley,2020-11-15,1427,28,-100,-100
Bromley,2020-11-16,1422,0,-100,-100
Bromley,2020-11-17,1458,35,-100,-100
Bromley,2020-11-18,1477,19,-100,-100
Bromley,2020-11-19,1502,24,-100,-100
Bromley,2020-11-20,1518,15,-100,-100
Bromley,2020-11-21,1549,31,-100,-100
Bromley,2020-11-22,1578,29,-100,-100
Bromley,2020-11-23,1596,17,-100,-100
Bromley,2020-11-24,1607,11,-100,-100
Bromley,2020-11-25,1637,29,-100,-100
Bromley,2020-11-26,1664,26,-100,-100
