areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Buckinghamshire,2020-07-05,420,2,-100,-100
Buckinghamshire,2020-07-06,421,0,-100,-100
Buckinghamshire,2020-07-07,421,0,-100,-100
Buckinghamshire,2020-07-08,423,2,-100,-100
Buckinghamshire,2020-07-09,424,0,-100,-100
Buckinghamshire,2020-07-10,425,1,-100,-100
Buckinghamshire,2020-07-11,425,0,-100,-100
Buckinghamshire,2020-07-12,426,0,-100,-100
Buckinghamshire,2020-07-13,426,0,-100,-100
Buckinghamshire,2020-07-14,427,0,-100,-100
Buckinghamshire,2020-07-15,427,0,-100,-100
Buckinghamshire,2020-07-16,428,0,-100,-100
Buckinghamshire,2020-07-17,429,0,-100,-100
Buckinghamshire,2020-07-18,430,1,-100,-100
Buckinghamshire,2020-07-19,431,0,-100,-100
Buckinghamshire,2020-07-20,432,0,-100,-100
Buckinghamshire,2020-07-21,432,0,-100,-100
Buckinghamshire,2020-07-22,432,0,-100,-100
Buckinghamshire,2020-07-23,433,1,-100,-100
Buckinghamshire,2020-07-24,433,0,-100,-100
Buckinghamshire,2020-07-25,434,0,-100,-100
Buckinghamshire,2020-07-26,434,0,-100,-100
Buckinghamshire,2020-07-27,436,1,-100,-100
Buckinghamshire,2020-07-28,436,0,-100,-100
Buckinghamshire,2020-07-29,437,1,-100,-100
Buckinghamshire,2020-07-30,437,0,-100,-100
Buckinghamshire,2020-07-31,437,0,-100,-100
Buckinghamshire,2020-08-01,439,1,-100,-100
Buckinghamshire,2020-08-02,440,1,-100,-100
Buckinghamshire,2020-08-03,443,2,-100,-100
Buckinghamshire,2020-08-04,443,0,-100,-100
Buckinghamshire,2020-08-05,443,0,-100,-100
Buckinghamshire,2020-08-06,444,0,-100,-100
Buckinghamshire,2020-08-07,444,0,-100,-100
Buckinghamshire,2020-08-08,445,1,-100,-100
Buckinghamshire,2020-08-09,447,2,-100,-100
Buckinghamshire,2020-08-10,448,1,-100,-100
Buckinghamshire,2020-08-11,449,0,-100,-100
Buckinghamshire,2020-08-12,450,1,-100,-100
Buckinghamshire,2020-08-13,450,0,-100,-100
Buckinghamshire,2020-08-14,452,2,-100,-100
Buckinghamshire,2020-08-15,454,1,-100,-100
Buckinghamshire,2020-08-16,456,2,-100,-100
Buckinghamshire,2020-08-17,458,1,-100,-100
Buckinghamshire,2020-08-18,460,2,-100,-100
Buckinghamshire,2020-08-19,461,0,-100,-100
Buckinghamshire,2020-08-20,462,1,-100,-100
