areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Bury,2020-07-05,1026,5,-100,-100
Bury,2020-07-06,1026,0,-100,-100
Bury,2020-07-07,1028,1,-100,-100
Bury,2020-07-08,1029,0,-100,-100
Bury,2020-07-09,1030,1,-100,-100
Bury,2020-07-10,1031,0,-100,-100
Bury,2020-07-11,1034,2,-100,-100
Bury,2020-07-12,1034,0,-100,-100
Bury,2020-07-13,1035,1,-100,-100
Bury,2020-07-14,1035,0,-100,-100
Bury,2020-07-15,1036,0,-100,-100
Bury,2020-07-16,1039,3,-100,-100
Bury,2020-07-17,1042,2,-100,-100
Bury,2020-07-18,1043,1,-100,-100
Bury,2020-07-19,1047,4,-100,-100
Bury,2020-07-20,1048,0,-100,-100
Bury,2020-07-21,1050,1,-100,-100
Bury,2020-07-22,1053,3,-100,-100
Bury,2020-07-23,1055,1,-100,-100
Bury,2020-07-24,1056,1,-100,-100
Bury,2020-07-25,1058,1,-100,-100
Bury,2020-07-26,1064,6,-100,-100
Bury,2020-07-27,1064,0,-100,-100
Bury,2020-07-28,1070,5,-100,-100
Bury,2020-07-29,1074,4,-100,-100
Bury,2020-07-30,1080,5,-100,-100
Bury,2020-07-31,1080,0,-100,-100
Bury,2020-08-01,1080,0,-100,-100
Bury,2020-08-02,1092,11,-100,-100
Bury,2020-08-03,1094,2,-100,-100
Bury,2020-08-04,1099,4,-100,-100
Bury,2020-08-05,1108,8,-100,-100
Bury,2020-08-06,1117,8,-100,-100
Bury,2020-08-07,1125,8,-100,-100
Bury,2020-08-08,1127,2,-100,-100
Bury,2020-08-09,1133,5,-100,-100
Bury,2020-08-10,1135,2,-100,-100
Bury,2020-08-11,1140,4,-100,-100
Bury,2020-08-12,1145,4,-100,-100
Bury,2020-08-13,1145,0,-100,-100
Bury,2020-08-14,1164,19,-100,-100
Bury,2020-08-15,1174,9,-100,-100
Bury,2020-08-16,1181,7,-100,-100
Bury,2020-08-17,1183,1,-100,-100
Bury,2020-08-18,1191,8,-100,-100
Bury,2020-08-19,1199,7,-100,-100
Bury,2020-08-20,1204,5,-100,-100
Bury,2020-08-21,1212,8,-100,-100
Bury,2020-08-22,1219,6,-100,-100
Bury,2020-08-23,1231,12,-100,-100
Bury,2020-08-24,1237,5,-100,-100
Bury,2020-08-25,1243,6,-100,-100
Bury,2020-08-26,1248,4,-100,-100
Bury,2020-08-27,1254,6,-100,-100
Bury,2020-08-28,1262,7,-100,-100
Bury,2020-08-29,1268,6,-100,-100
Bury,2020-08-30,1280,12,-100,-100
Bury,2020-08-31,1286,5,-100,-100
Bury,2020-09-01,1291,4,-100,-100
Bury,2020-09-02,1295,4,-100,-100
Bury,2020-09-03,1304,9,-100,-100
Bury,2020-09-04,1318,13,-100,-100
Bury,2020-09-05,1325,7,-100,-100
Bury,2020-09-06,1350,24,-100,-100
Bury,2020-09-07,1363,12,-100,-100
Bury,2020-09-08,1378,15,-100,-100
Bury,2020-09-09,1391,12,-100,-100
Bury,2020-09-10,1406,15,-100,-100
Bury,2020-09-11,1432,25,-100,-100
Bury,2020-09-12,1448,16,-100,-100
Bury,2020-09-13,1470,21,-100,-100
Bury,2020-09-14,1491,20,-100,-100
Bury,2020-09-15,1515,24,-100,-100
Bury,2020-09-16,1543,28,-100,-100
Bury,2020-09-17,1572,28,-100,-100
Bury,2020-09-18,1628,55,-100,-100
Bury,2020-09-19,1669,41,-100,-100
Bury,2020-09-20,1692,23,-100,-100
Bury,2020-09-21,1747,54,-100,-100
Bury,2020-09-22,1791,44,-100,-100
Bury,2020-09-23,1836,44,-100,-100
Bury,2020-09-24,1879,43,-100,-100
Bury,2020-09-25,1943,63,-100,-100
Bury,2020-09-26,1980,37,-100,-100
Bury,2020-09-27,2021,41,-100,-100
Bury,2020-09-28,2058,37,-100,-100
Bury,2020-09-29,2093,35,-100,-100
Bury,2020-09-30,2133,39,-100,-100
Bury,2020-10-01,2172,39,-100,-100
Bury,2020-10-02,2213,41,-100,-100
Bury,2020-10-03,2276,62,-100,-100
Bury,2020-10-04,2434,157,-100,-100
Bury,2020-10-05,2504,70,-100,-100
Bury,2020-10-06,2598,93,-100,-100
Bury,2020-10-07,2688,90,-100,-100
Bury,2020-10-08,2780,91,-100,-100
Bury,2020-10-09,2830,50,-100,-100
Bury,2020-10-10,2904,73,-100,-100
Bury,2020-10-11,2993,89,-100,-100
Bury,2020-10-12,3065,71,-100,-100
Bury,2020-10-13,3165,99,-100,-100
Bury,2020-10-14,3254,89,-100,-100
Bury,2020-10-15,3351,96,-100,-100
Bury,2020-10-16,3425,74,-100,-100
Bury,2020-10-17,3516,91,-100,-100
Bury,2020-10-18,3618,102,-100,-100
Bury,2020-10-19,3734,115,-100,-100
Bury,2020-10-20,3849,115,-100,-100
Bury,2020-10-21,3980,130,-100,-100
Bury,2020-10-22,4113,132,-100,-100
Bury,2020-10-23,4212,99,-100,-100
Bury,2020-10-24,4298,85,-100,-100
Bury,2020-10-25,4405,107,-100,-100
Bury,2020-10-26,4557,152,-100,-100
Bury,2020-10-27,4697,140,-100,-100
Bury,2020-10-28,4829,131,-100,-100
Bury,2020-10-29,4968,139,-100,-100
Bury,2020-10-30,5094,126,-100,-100
Bury,2020-10-31,5238,143,-100,-100
Bury,2020-11-01,5372,134,-100,-100
Bury,2020-11-02,5470,98,-100,-100
Bury,2020-11-03,5586,115,-100,-100
Bury,2020-11-04,5740,154,-100,-100
Bury,2020-11-05,5900,159,-100,-100
Bury,2020-11-06,6012,112,-100,-100
Bury,2020-11-07,6149,136,-100,-100
Bury,2020-11-08,6246,97,-100,-100
Bury,2020-11-09,6330,83,-100,-100
Bury,2020-11-10,6437,107,-100,-100
Bury,2020-11-11,6544,107,-100,-100
Bury,2020-11-12,6709,165,-100,-100
Bury,2020-11-13,6854,144,-100,-100
Bury,2020-11-14,6942,87,-100,-100
Bury,2020-11-15,7033,91,-100,-100
Bury,2020-11-16,7003,0,-100,-100
Bury,2020-11-17,7065,62,-100,-100
Bury,2020-11-18,7170,104,-100,-100
Bury,2020-11-19,7243,73,-100,-100
Bury,2020-11-20,7332,89,-100,-100
Bury,2020-11-21,7391,58,-100,-100
Bury,2020-11-22,7454,62,-100,-100
Bury,2020-11-23,7490,36,-100,-100
Bury,2020-11-24,7531,40,-100,-100
Bury,2020-11-25,7600,69,-100,-100
Bury,2020-11-26,7647,46,-100,-100
Bury,2020-11-27,7708,61,-100,-100
Bury,2020-11-28,7757,49,-100,-100
Bury,2020-11-29,7796,39,-100,-100
Bury,2020-11-30,7814,17,-100,-100
Bury,2020-12-01,7867,53,-100,-100
Bury,2020-12-02,7941,74,-100,-100
Bury,2020-12-03,7989,47,-100,-100
Bury,2020-12-04,8040,50,-100,-100
Bury,2020-12-05,8102,62,-100,-100
Bury,2020-12-06,8141,39,-100,-100
Bury,2020-12-07,8178,37,-100,-100
Bury,2020-12-08,8207,28,-100,-100
Bury,2020-12-09,8292,84,-100,-100
Bury,2020-12-10,8338,46,-100,-100
Bury,2020-12-11,8386,47,-100,-100
Bury,2020-12-12,8432,45,-100,-100
Bury,2020-12-13,8470,37,-100,-100
Bury,2020-12-14,8491,20,-100,-100
Bury,2020-12-15,8537,46,-100,-100
Bury,2020-12-16,8593,55,-100,-100
Bury,2020-12-17,8625,32,-100,-100
Bury,2020-12-18,8656,30,0,-100
Bury,2020-12-19,8701,45,0,-100
Bury,2020-12-20,8749,48,0,-100
Bury,2020-12-21,8804,54,0,-100
Bury,2020-12-22,8851,46,0,-100
Bury,2020-12-23,8913,62,0,-100
Bury,2020-12-24,8982,69,0,-100
Bury,2020-12-25,9040,57,0,-100
Bury,2020-12-26,9059,19,0,-100
Bury,2020-12-27,9122,62,0,-100
Bury,2020-12-28,9175,53,0,-100
Bury,2020-12-29,9286,110,0,-100
Bury,2020-12-30,9352,66,0,-100
Bury,2020-12-31,9445,92,0,-100
Bury,2021-01-01,9537,91,0,-100
Bury,2021-01-02,9579,42,0,-100
Bury,2021-01-03,9649,69,0,-100
Bury,2021-01-04,9733,84,1,0
Bury,2021-01-05,9819,85,4,0
Bury,2021-01-06,9932,113,0,0
Bury,2021-01-07,10022,89,0,0
Bury,2021-01-08,10169,147,0,0
Bury,2021-01-09,10290,120,0,0
Bury,2021-01-10,10382,91,0,0
Bury,2021-01-11,10496,114,3,1
Bury,2021-01-12,10593,97,0,0
Bury,2021-01-13,10693,99,0,1
Bury,2021-01-14,10797,103,0,0
Bury,2021-01-15,10890,92,0,0
Bury,2021-01-16,10952,62,0,0
Bury,2021-01-17,11048,95,0,0
Bury,2021-01-18,11106,58,5,0
Bury,2021-01-19,11178,71,3,0
Bury,2021-01-20,11263,84,5,0
Bury,2021-01-21,11325,62,1,0
Bury,2021-01-22,11415,90,1,0
Bury,2021-01-23,11487,71,0,0
Bury,2021-01-24,11524,37,0,0
Bury,2021-01-25,11578,53,1,0
Bury,2021-01-26,11653,74,2,2
Bury,2021-01-27,11698,45,1,0
Bury,2021-01-28,11765,66,0,0
Bury,2021-01-29,11828,62,0,0
Bury,2021-01-30,11879,50,0,0
Bury,2021-01-31,11928,49,1,0
Bury,2021-02-01,11967,39,2,1
Bury,2021-02-02,12006,38,0,0
Bury,2021-02-03,12049,42,2,0
Bury,2021-02-04,12100,51,2,0
Bury,2021-02-05,12149,49,4,1
Bury,2021-02-06,12198,48,2,0
Bury,2021-02-07,12244,45,4,1
Bury,2021-02-08,12282,38,2,4
Bury,2021-02-09,12336,53,0,0
Bury,2021-02-10,12371,35,1,1
Bury,2021-02-11,12429,57,3,0
Bury,2021-02-12,12471,41,0,1
Bury,2021-02-13,12518,47,2,0
Bury,2021-02-14,12555,37,2,1
Bury,2021-02-15,12609,53,1,0
Bury,2021-02-16,12646,37,1,0
Bury,2021-02-17,12696,49,2,0
Bury,2021-02-18,12759,63,2,3
Bury,2021-02-19,12821,62,0,4
Bury,2021-02-20,12849,28,0,1
Bury,2021-02-21,12895,45,0,1
Bury,2021-02-22,12959,63,0,1
Bury,2021-02-23,12993,34,1,0
Bury,2021-02-24,13042,48,1,0
Bury,2021-02-25,13078,36,3,0
Bury,2021-02-26,13115,37,0,0
Bury,2021-02-27,13155,39,0,0
Bury,2021-02-28,13169,14,1,0
Bury,2021-03-01,13189,20,0,0
Bury,2021-03-02,13209,20,0,1
Bury,2021-03-03,13232,22,2,1
Bury,2021-03-04,13251,19,0,0
Bury,2021-03-05,13275,24,0,1
Bury,2021-03-06,13296,20,0,0
Bury,2021-03-07,13312,16,0,0
Bury,2021-03-08,13328,16,1,0
Bury,2021-03-09,13344,16,4,2
Bury,2021-03-10,13359,15,2,0
Bury,2021-03-11,13386,26,0,1
Bury,2021-03-12,13399,13,0,0
Bury,2021-03-13,13412,12,0,0
Bury,2021-03-14,13421,8,2,0
Bury,2021-03-15,13434,12,2,2
Bury,2021-03-16,13456,21,3,2
Bury,2021-03-17,13484,28,4,0
Bury,2021-03-18,13505,20,2,0
Bury,2021-03-19,13514,8,0,0
Bury,2021-03-20,13542,28,0,0
Bury,2021-03-21,13571,28,4,1
Bury,2021-03-22,13588,16,3,0
Bury,2021-03-23,13606,17,0,1
Bury,2021-03-24,13619,13,1,1
Bury,2021-03-25,13639,19,1,1
Bury,2021-03-26,13656,16,3,3
Bury,2021-03-27,13671,15,3,0
Bury,2021-03-28,13688,16,4,1
Bury,2021-03-29,13697,9,0,0
Bury,2021-03-30,13708,10,0,0
Bury,2021-03-31,13720,12,3,2
Bury,2021-04-01,13733,12,1,0
Bury,2021-04-02,13748,15,3,0
Bury,2021-04-03,13758,9,1,0
Bury,2021-04-04,13769,11,3,2
Bury,2021-04-05,13780,10,0,0
Bury,2021-04-06,13784,4,0,0
Bury,2021-04-07,13789,5,2,0
Bury,2021-04-08,13797,8,0,0
Bury,2021-04-09,13785,0,0,0
Bury,2021-04-10,13791,5,1,0
Bury,2021-04-11,13795,4,3,0
Bury,2021-04-12,13800,5,0,0
Bury,2021-04-13,13810,9,0,0
Bury,2021-04-14,13817,6,0,0
Bury,2021-04-15,13822,5,1,0
Bury,2021-04-16,13829,7,2,0
Bury,2021-04-17,13835,5,0,0
Bury,2021-04-18,13838,2,0,2
Bury,2021-04-19,13850,12,0,3
Bury,2021-04-20,13861,10,0,0
