areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Caerphilly,2020-07-05,132,0,-100,-100
Caerphilly,2020-07-06,132,0,-100,-100
Caerphilly,2020-07-07,133,0,-100,-100
Caerphilly,2020-07-08,133,0,-100,-100
Caerphilly,2020-07-09,133,0,-100,-100
Caerphilly,2020-07-10,133,0,-100,-100
Caerphilly,2020-07-11,133,0,-100,-100
Caerphilly,2020-07-12,133,0,-100,-100
Caerphilly,2020-07-13,133,0,-100,-100
Caerphilly,2020-07-14,136,2,-100,-100
Caerphilly,2020-07-15,136,0,-100,-100
Caerphilly,2020-07-16,136,0,-100,-100
Caerphilly,2020-07-17,136,0,-100,-100
Caerphilly,2020-07-18,136,0,-100,-100
Caerphilly,2020-07-19,136,0,-100,-100
Caerphilly,2020-07-20,136,0,-100,-100
Caerphilly,2020-07-21,136,0,-100,-100
Caerphilly,2020-07-22,136,0,-100,-100
Caerphilly,2020-07-23,136,0,-100,-100
Caerphilly,2020-07-24,137,0,-100,-100
Caerphilly,2020-07-25,137,0,-100,-100
Caerphilly,2020-07-26,137,0,-100,-100
Caerphilly,2020-07-27,137,0,-100,-100
Caerphilly,2020-07-28,137,0,-100,-100
Caerphilly,2020-07-29,137,0,-100,-100
Caerphilly,2020-07-30,137,0,-100,-100
Caerphilly,2020-07-31,137,0,-100,-100
Caerphilly,2020-08-01,137,0,-100,-100
Caerphilly,2020-08-02,137,0,-100,-100
Caerphilly,2020-08-03,137,0,-100,-100
Caerphilly,2020-08-04,137,0,-100,-100
Caerphilly,2020-08-05,137,0,-100,-100
Caerphilly,2020-08-06,137,0,-100,-100
Caerphilly,2020-08-07,137,0,-100,-100
Caerphilly,2020-08-08,137,0,-100,-100
Caerphilly,2020-08-09,137,0,-100,-100
Caerphilly,2020-08-10,137,0,-100,-100
Caerphilly,2020-08-11,137,0,-100,-100
Caerphilly,2020-08-12,137,0,-100,-100
Caerphilly,2020-08-13,137,0,-100,-100
Caerphilly,2020-08-14,137,0,-100,-100
Caerphilly,2020-08-15,138,0,-100,-100
Caerphilly,2020-08-16,138,0,-100,-100
Caerphilly,2020-08-17,138,0,-100,-100
Caerphilly,2020-08-18,138,0,-100,-100
Caerphilly,2020-08-19,138,0,-100,-100
Caerphilly,2020-08-20,138,0,-100,-100
