areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Calderdale,2020-07-05,201,0,-100,-100
Calderdale,2020-07-06,202,1,-100,-100
Calderdale,2020-07-07,203,0,-100,-100
Calderdale,2020-07-08,204,0,-100,-100
Calderdale,2020-07-09,206,2,-100,-100
Calderdale,2020-07-10,207,0,-100,-100
Calderdale,2020-07-11,211,4,-100,-100
Calderdale,2020-07-12,214,3,-100,-100
Calderdale,2020-07-13,215,0,-100,-100
Calderdale,2020-07-14,216,0,-100,-100
Calderdale,2020-07-15,217,1,-100,-100
Calderdale,2020-07-16,219,2,-100,-100
Calderdale,2020-07-17,223,3,-100,-100
Calderdale,2020-07-18,225,1,-100,-100
Calderdale,2020-07-19,227,2,-100,-100
Calderdale,2020-07-20,230,2,-100,-100
Calderdale,2020-07-21,231,0,-100,-100
Calderdale,2020-07-22,233,1,-100,-100
Calderdale,2020-07-23,235,2,-100,-100
Calderdale,2020-07-24,239,3,-100,-100
Calderdale,2020-07-25,242,3,-100,-100
Calderdale,2020-07-26,244,1,-100,-100
Calderdale,2020-07-27,247,2,-100,-100
Calderdale,2020-07-28,251,4,-100,-100
Calderdale,2020-07-29,254,3,-100,-100
Calderdale,2020-07-30,260,5,-100,-100
Calderdale,2020-07-31,265,4,-100,-100
Calderdale,2020-08-01,267,2,-100,-100
Calderdale,2020-08-02,270,3,-100,-100
Calderdale,2020-08-03,272,1,-100,-100
Calderdale,2020-08-04,276,4,-100,-100
Calderdale,2020-08-05,285,9,-100,-100
Calderdale,2020-08-06,289,3,-100,-100
Calderdale,2020-08-07,292,3,-100,-100
Calderdale,2020-08-08,294,1,-100,-100
Calderdale,2020-08-09,298,3,-100,-100
Calderdale,2020-08-10,302,4,-100,-100
Calderdale,2020-08-11,306,4,-100,-100
Calderdale,2020-08-12,311,4,-100,-100
Calderdale,2020-08-13,311,0,-100,-100
Calderdale,2020-08-14,319,7,-100,-100
Calderdale,2020-08-15,322,3,-100,-100
Calderdale,2020-08-16,325,3,-100,-100
Calderdale,2020-08-17,327,1,-100,-100
Calderdale,2020-08-18,330,3,-100,-100
Calderdale,2020-08-19,333,2,-100,-100
Calderdale,2020-08-20,337,3,-100,-100
Calderdale,2020-08-21,339,2,-100,-100
Calderdale,2020-08-22,343,3,-100,-100
Calderdale,2020-08-23,345,2,-100,-100
Calderdale,2020-08-24,346,0,-100,-100
Calderdale,2020-08-25,350,3,-100,-100
Calderdale,2020-08-26,352,2,-100,-100
Calderdale,2020-08-27,355,2,-100,-100
Calderdale,2020-08-28,356,1,-100,-100
Calderdale,2020-08-29,358,2,-100,-100
Calderdale,2020-08-30,360,1,-100,-100
Calderdale,2020-08-31,361,0,-100,-100
Calderdale,2020-09-01,364,3,-100,-100
Calderdale,2020-09-02,368,3,-100,-100
Calderdale,2020-09-03,370,2,-100,-100
Calderdale,2020-09-04,373,2,-100,-100
Calderdale,2020-09-05,374,1,-100,-100
Calderdale,2020-09-06,380,5,-100,-100
Calderdale,2020-09-07,386,5,-100,-100
Calderdale,2020-09-08,389,2,-100,-100
Calderdale,2020-09-09,395,6,-100,-100
Calderdale,2020-09-10,401,6,-100,-100
Calderdale,2020-09-11,406,4,-100,-100
Calderdale,2020-09-12,412,5,-100,-100
Calderdale,2020-09-13,416,3,-100,-100
Calderdale,2020-09-14,422,5,-100,-100
Calderdale,2020-09-15,426,4,-100,-100
Calderdale,2020-09-16,434,7,-100,-100
Calderdale,2020-09-17,437,3,-100,-100
Calderdale,2020-09-18,442,4,-100,-100
Calderdale,2020-09-19,447,5,-100,-100
Calderdale,2020-09-20,455,7,-100,-100
Calderdale,2020-09-21,461,5,-100,-100
Calderdale,2020-09-22,469,8,-100,-100
Calderdale,2020-09-23,479,10,-100,-100
Calderdale,2020-09-24,492,12,-100,-100
Calderdale,2020-09-25,500,8,-100,-100
Calderdale,2020-09-26,509,8,-100,-100
Calderdale,2020-09-27,514,5,-100,-100
Calderdale,2020-09-28,522,7,-100,-100
Calderdale,2020-09-29,529,7,-100,-100
Calderdale,2020-09-30,539,9,-100,-100
Calderdale,2020-10-01,547,8,-100,-100
Calderdale,2020-10-02,554,6,-100,-100
Calderdale,2020-10-03,568,14,-100,-100
Calderdale,2020-10-04,597,29,-100,-100
Calderdale,2020-10-05,618,21,-100,-100
Calderdale,2020-10-06,646,27,-100,-100
Calderdale,2020-10-07,667,20,-100,-100
Calderdale,2020-10-08,692,25,-100,-100
Calderdale,2020-10-09,702,10,-100,-100
Calderdale,2020-10-10,729,26,-100,-100
Calderdale,2020-10-11,749,20,-100,-100
Calderdale,2020-10-12,772,23,-100,-100
Calderdale,2020-10-13,798,25,-100,-100
Calderdale,2020-10-14,820,21,-100,-100
Calderdale,2020-10-15,838,18,-100,-100
Calderdale,2020-10-16,862,23,-100,-100
Calderdale,2020-10-17,891,28,-100,-100
Calderdale,2020-10-18,923,32,-100,-100
Calderdale,2020-10-19,955,32,-100,-100
Calderdale,2020-10-20,998,43,-100,-100
Calderdale,2020-10-21,1053,54,-100,-100
Calderdale,2020-10-22,1089,36,-100,-100
Calderdale,2020-10-23,1124,34,-100,-100
Calderdale,2020-10-24,1176,52,-100,-100
Calderdale,2020-10-25,1199,22,-100,-100
Calderdale,2020-10-26,1239,39,-100,-100
Calderdale,2020-10-27,1279,40,-100,-100
Calderdale,2020-10-28,1323,43,-100,-100
Calderdale,2020-10-29,1356,32,-100,-100
Calderdale,2020-10-30,1402,45,-100,-100
Calderdale,2020-10-31,1442,40,-100,-100
Calderdale,2020-11-01,1478,36,-100,-100
Calderdale,2020-11-02,1511,32,-100,-100
Calderdale,2020-11-03,1539,28,-100,-100
Calderdale,2020-11-04,1577,37,-100,-100
Calderdale,2020-11-05,1618,41,-100,-100
Calderdale,2020-11-06,1655,37,-100,-100
Calderdale,2020-11-07,1712,56,-100,-100
Calderdale,2020-11-08,1760,47,-100,-100
Calderdale,2020-11-09,1798,38,-100,-100
Calderdale,2020-11-10,1840,41,-100,-100
Calderdale,2020-11-11,1876,36,-100,-100
Calderdale,2020-11-12,1947,70,-100,-100
Calderdale,2020-11-13,1997,50,-100,-100
Calderdale,2020-11-14,2031,33,-100,-100
Calderdale,2020-11-15,2077,45,-100,-100
Calderdale,2020-11-16,2086,9,-100,-100
Calderdale,2020-11-17,2121,35,-100,-100
Calderdale,2020-11-18,2161,39,-100,-100
Calderdale,2020-11-19,2193,32,-100,-100
Calderdale,2020-11-20,2227,33,-100,-100
Calderdale,2020-11-21,2255,27,-100,-100
Calderdale,2020-11-22,2281,26,-100,-100
Calderdale,2020-11-23,2302,21,-100,-100
Calderdale,2020-11-24,2317,14,-100,-100
Calderdale,2020-11-25,2341,23,-100,-100
Calderdale,2020-11-26,2369,28,-100,-100
Calderdale,2020-11-27,2390,21,-100,-100
Calderdale,2020-11-28,2417,26,-100,-100
Calderdale,2020-11-29,2436,19,-100,-100
Calderdale,2020-11-30,2455,19,-100,-100
Calderdale,2020-12-01,2473,17,-100,-100
Calderdale,2020-12-02,2493,20,-100,-100
Calderdale,2020-12-03,2519,25,-100,-100
Calderdale,2020-12-04,2536,17,-100,-100
Calderdale,2020-12-05,2552,16,-100,-100
Calderdale,2020-12-06,2567,14,-100,-100
Calderdale,2020-12-07,2584,17,-100,-100
Calderdale,2020-12-08,2594,9,-100,-100
Calderdale,2020-12-09,2613,19,-100,-100
Calderdale,2020-12-10,2625,12,-100,-100
Calderdale,2020-12-11,2641,15,-100,-100
Calderdale,2020-12-12,2657,16,-100,-100
Calderdale,2020-12-13,2672,14,-100,-100
Calderdale,2020-12-14,2682,9,-100,-100
Calderdale,2020-12-15,2696,14,-100,0
Calderdale,2020-12-16,2716,19,-100,0
Calderdale,2020-12-17,2725,9,0,0
Calderdale,2020-12-18,2736,10,0,0
Calderdale,2020-12-19,2747,10,0,0
Calderdale,2020-12-20,2756,8,0,0
Calderdale,2020-12-21,2776,20,0,0
Calderdale,2020-12-22,2799,22,0,0
Calderdale,2020-12-23,2821,22,0,0
Calderdale,2020-12-24,2839,17,0,0
Calderdale,2020-12-25,2853,14,0,0
Calderdale,2020-12-26,2869,15,0,0
Calderdale,2020-12-27,2881,11,0,0
Calderdale,2020-12-28,2895,13,0,0
Calderdale,2020-12-29,2922,26,0,0
Calderdale,2020-12-30,2942,20,0,0
Calderdale,2020-12-31,2968,25,0,0
Calderdale,2021-01-01,2996,28,0,0
Calderdale,2021-01-02,3022,25,0,0
Calderdale,2021-01-03,3049,26,0,0
Calderdale,2021-01-04,3080,30,0,0
Calderdale,2021-01-05,3109,28,0,0
Calderdale,2021-01-06,3133,24,0,0
Calderdale,2021-01-07,3158,25,0,0
Calderdale,2021-01-08,3194,36,0,0
Calderdale,2021-01-09,3214,20,0,0
Calderdale,2021-01-10,3241,26,0,0
Calderdale,2021-01-11,3257,16,0,0
Calderdale,2021-01-12,3276,19,0,0
Calderdale,2021-01-13,3302,26,0,0
Calderdale,2021-01-14,3327,24,0,0
Calderdale,2021-01-15,3352,25,0,0
Calderdale,2021-01-16,3361,9,0,0
Calderdale,2021-01-17,3378,16,0,0
Calderdale,2021-01-18,3397,19,0,0
Calderdale,2021-01-19,3417,19,0,0
Calderdale,2021-01-20,3441,24,0,0
Calderdale,2021-01-21,3460,18,0,0
Calderdale,2021-01-22,3485,25,1,0
Calderdale,2021-01-23,3509,24,0,0
Calderdale,2021-01-24,3525,15,0,0
