areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Cambridgeshire,2020-07-05,1484,0,-100,-100
Cambridgeshire,2020-07-06,1486,2,-100,-100
Cambridgeshire,2020-07-07,1491,4,-100,-100
Cambridgeshire,2020-07-08,1493,2,-100,-100
Cambridgeshire,2020-07-09,1494,1,-100,-100
Cambridgeshire,2020-07-10,1496,2,-100,-100
Cambridgeshire,2020-07-11,1502,6,-100,-100
Cambridgeshire,2020-07-12,1503,0,-100,-100
Cambridgeshire,2020-07-13,1504,1,-100,-100
Cambridgeshire,2020-07-14,1506,1,-100,-100
Cambridgeshire,2020-07-15,1508,2,-100,-100
Cambridgeshire,2020-07-16,1511,3,-100,-100
Cambridgeshire,2020-07-17,1514,3,-100,-100
Cambridgeshire,2020-07-18,1520,6,-100,-100
Cambridgeshire,2020-07-19,1525,4,-100,-100
Cambridgeshire,2020-07-20,1527,2,-100,-100
Cambridgeshire,2020-07-21,1528,0,-100,-100
Cambridgeshire,2020-07-22,1529,1,-100,-100
Cambridgeshire,2020-07-23,1534,4,-100,-100
Cambridgeshire,2020-07-24,1542,8,-100,-100
Cambridgeshire,2020-07-25,1546,4,-100,-100
Cambridgeshire,2020-07-26,1551,4,-100,-100
Cambridgeshire,2020-07-27,1552,0,-100,-100
Cambridgeshire,2020-07-28,1554,2,-100,-100
Cambridgeshire,2020-07-29,1556,2,-100,-100
Cambridgeshire,2020-07-30,1558,2,-100,-100
Cambridgeshire,2020-07-31,1560,2,-100,-100
Cambridgeshire,2020-08-01,1566,5,-100,-100
Cambridgeshire,2020-08-02,1568,2,-100,-100
Cambridgeshire,2020-08-03,1571,2,-100,-100
Cambridgeshire,2020-08-04,1576,5,-100,-100
Cambridgeshire,2020-08-05,1577,0,-100,-100
Cambridgeshire,2020-08-06,1577,0,-100,-100
Cambridgeshire,2020-08-07,1577,0,-100,-100
Cambridgeshire,2020-08-08,1580,2,-100,-100
Cambridgeshire,2020-08-09,1583,3,-100,-100
Cambridgeshire,2020-08-10,1586,2,-100,-100
Cambridgeshire,2020-08-11,1597,10,-100,-100
Cambridgeshire,2020-08-12,1602,5,-100,-100
Cambridgeshire,2020-08-13,1602,0,-100,-100
Cambridgeshire,2020-08-14,1609,6,-100,-100
Cambridgeshire,2020-08-15,1612,3,-100,-100
Cambridgeshire,2020-08-16,1617,5,-100,-100
Cambridgeshire,2020-08-17,1620,2,-100,-100
