areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Camden,2020-07-05,239,0,-100,-100
Camden,2020-07-06,239,0,-100,-100
Camden,2020-07-07,239,0,-100,-100
Camden,2020-07-08,240,0,-100,-100
Camden,2020-07-09,240,0,-100,-100
Camden,2020-07-10,240,0,-100,-100
Camden,2020-07-11,240,0,-100,-100
Camden,2020-07-12,241,0,-100,-100
Camden,2020-07-13,241,0,-100,-100
Camden,2020-07-14,241,0,-100,-100
Camden,2020-07-15,241,0,-100,-100
Camden,2020-07-16,241,0,-100,-100
Camden,2020-07-17,242,0,-100,-100
Camden,2020-07-18,243,0,-100,-100
Camden,2020-07-19,243,0,-100,-100
Camden,2020-07-20,243,0,-100,-100
Camden,2020-07-21,243,0,-100,-100
Camden,2020-07-22,244,0,-100,-100
Camden,2020-07-23,243,0,-100,-100
Camden,2020-07-24,244,0,-100,-100
Camden,2020-07-25,245,1,-100,-100
Camden,2020-07-26,244,0,-100,-100
Camden,2020-07-27,245,0,-100,-100
Camden,2020-07-28,245,0,-100,-100
Camden,2020-07-29,245,0,-100,-100
Camden,2020-07-30,246,0,-100,-100
Camden,2020-07-31,247,1,-100,-100
Camden,2020-08-01,247,0,-100,-100
Camden,2020-08-02,247,0,-100,-100
Camden,2020-08-03,247,0,-100,-100
Camden,2020-08-04,249,1,-100,-100
Camden,2020-08-05,250,1,-100,-100
Camden,2020-08-06,249,0,-100,-100
Camden,2020-08-07,250,0,-100,-100
Camden,2020-08-08,251,1,-100,-100
Camden,2020-08-09,252,1,-100,-100
Camden,2020-08-10,254,2,-100,-100
Camden,2020-08-11,255,0,-100,-100
Camden,2020-08-12,255,0,-100,-100
Camden,2020-08-13,255,0,-100,-100
Camden,2020-08-14,257,1,-100,-100
Camden,2020-08-15,259,2,-100,-100
Camden,2020-08-16,260,1,-100,-100
Camden,2020-08-17,262,1,-100,-100
Camden,2020-08-18,262,0,-100,-100
Camden,2020-08-19,264,1,-100,-100
Camden,2020-08-20,265,1,-100,-100
Camden,2020-08-21,265,0,-100,-100
Camden,2020-08-22,268,2,-100,-100
Camden,2020-08-23,268,0,-100,-100
Camden,2020-08-24,270,1,-100,-100
Camden,2020-08-25,272,2,-100,-100
Camden,2020-08-26,274,2,-100,-100
Camden,2020-08-27,277,2,-100,-100
Camden,2020-08-28,279,2,-100,-100
Camden,2020-08-29,279,0,-100,-100
Camden,2020-08-30,282,2,-100,-100
Camden,2020-08-31,284,1,-100,-100
Camden,2020-09-01,285,1,-100,-100
Camden,2020-09-02,286,1,-100,-100
Camden,2020-09-03,287,1,-100,-100
Camden,2020-09-04,289,1,-100,-100
Camden,2020-09-05,290,1,-100,-100
Camden,2020-09-06,293,3,-100,-100
Camden,2020-09-07,294,1,-100,-100
Camden,2020-09-08,297,2,-100,-100
Camden,2020-09-09,299,2,-100,-100
Camden,2020-09-10,302,2,-100,-100
Camden,2020-09-11,307,4,-100,-100
Camden,2020-09-12,310,3,-100,-100
Camden,2020-09-13,312,2,-100,-100
Camden,2020-09-14,315,2,-100,-100
Camden,2020-09-15,318,2,-100,-100
Camden,2020-09-16,321,3,-100,-100
Camden,2020-09-17,324,3,-100,-100
Camden,2020-09-18,327,2,-100,-100
Camden,2020-09-19,329,1,-100,-100
Camden,2020-09-20,331,2,-100,-100
Camden,2020-09-21,332,1,-100,-100
Camden,2020-09-22,335,3,-100,-100
Camden,2020-09-23,341,5,-100,-100
Camden,2020-09-24,344,3,-100,-100
Camden,2020-09-25,349,4,-100,-100
Camden,2020-09-26,352,3,-100,-100
Camden,2020-09-27,354,2,-100,-100
Camden,2020-09-28,358,3,-100,-100
Camden,2020-09-29,360,2,-100,-100
Camden,2020-09-30,365,4,-100,-100
Camden,2020-10-01,367,2,-100,-100
Camden,2020-10-02,370,3,-100,-100
Camden,2020-10-03,377,6,-100,-100
Camden,2020-10-04,393,15,-100,-100
Camden,2020-10-05,403,10,-100,-100
Camden,2020-10-06,411,8,-100,-100
Camden,2020-10-07,417,6,-100,-100
Camden,2020-10-08,425,7,-100,-100
Camden,2020-10-09,445,19,-100,-100
Camden,2020-10-10,455,10,-100,-100
Camden,2020-10-11,458,3,-100,-100
Camden,2020-10-12,466,7,-100,-100
Camden,2020-10-13,486,19,-100,-100
Camden,2020-10-14,504,18,-100,-100
Camden,2020-10-15,523,18,-100,-100
Camden,2020-10-16,552,28,-100,-100
Camden,2020-10-17,565,13,-100,-100
Camden,2020-10-18,584,19,-100,-100
Camden,2020-10-19,601,16,-100,-100
Camden,2020-10-20,622,20,-100,-100
Camden,2020-10-21,650,28,-100,-100
Camden,2020-10-22,665,15,-100,-100
Camden,2020-10-23,679,13,-100,-100
Camden,2020-10-24,697,18,-100,-100
Camden,2020-10-25,711,14,-100,-100
Camden,2020-10-26,723,12,-100,-100
Camden,2020-10-27,739,15,-100,-100
Camden,2020-10-28,757,17,-100,-100
Camden,2020-10-29,775,17,-100,-100
Camden,2020-10-30,793,18,-100,-100
Camden,2020-10-31,804,10,-100,-100
Camden,2020-11-01,821,17,-100,-100
Camden,2020-11-02,831,9,-100,-100
Camden,2020-11-03,843,11,-100,-100
Camden,2020-11-04,860,17,-100,-100
Camden,2020-11-05,878,18,-100,-100
Camden,2020-11-06,890,11,-100,-100
Camden,2020-11-07,905,15,-100,-100
Camden,2020-11-08,919,13,-100,-100
Camden,2020-11-09,932,12,-100,-100
Camden,2020-11-10,943,11,-100,-100
Camden,2020-11-11,959,15,-100,-100
Camden,2020-11-12,995,35,-100,-100
Camden,2020-11-13,1018,22,-100,-100
Camden,2020-11-14,1036,18,-100,-100
Camden,2020-11-15,1058,21,-100,-100
Camden,2020-11-16,1043,0,-100,-100
Camden,2020-11-17,1056,13,-100,-100
Camden,2020-11-18,1073,17,-100,-100
Camden,2020-11-19,1085,11,-100,-100
Camden,2020-11-20,1091,6,-100,-100
Camden,2020-11-21,1105,13,-100,-100
Camden,2020-11-22,1123,18,-100,-100
Camden,2020-11-23,1131,7,-100,-100
Camden,2020-11-24,1135,3,-100,-100
Camden,2020-11-25,1152,17,-100,-100
Camden,2020-11-26,1166,14,-100,-100
Camden,2020-11-27,1178,12,-100,-100
Camden,2020-11-28,1193,15,-100,-100
Camden,2020-11-29,1201,7,-100,-100
Camden,2020-11-30,1215,13,-100,-100
Camden,2020-12-01,1225,10,0,-100
Camden,2020-12-02,1237,11,0,-100
Camden,2020-12-03,1251,13,0,-100
Camden,2020-12-04,1265,14,0,-100
Camden,2020-12-05,1279,13,0,-100
Camden,2020-12-06,1294,15,0,-100
Camden,2020-12-07,1309,14,0,0
Camden,2020-12-08,1319,9,0,0
Camden,2020-12-09,1330,11,0,0
Camden,2020-12-10,1354,23,0,0
Camden,2020-12-11,1385,30,0,0
Camden,2020-12-12,1408,22,0,0
Camden,2020-12-13,1433,25,0,0
Camden,2020-12-14,1459,26,0,0
Camden,2020-12-15,1483,23,0,0
Camden,2020-12-16,1536,53,0,0
Camden,2020-12-17,1569,32,0,0
Camden,2020-12-18,1611,41,0,0
Camden,2020-12-19,1660,49,0,0
Camden,2020-12-20,1720,59,0,0
Camden,2020-12-21,1787,67,0,1
Camden,2020-12-22,1853,65,0,1
Camden,2020-12-23,1910,57,1,1
Camden,2020-12-24,1983,73,0,0
Camden,2020-12-25,2038,54,0,0
Camden,2020-12-26,2098,59,0,0
Camden,2020-12-27,2175,77,0,0
Camden,2020-12-28,2267,91,0,1
Camden,2020-12-29,2375,107,1,1
Camden,2020-12-30,2483,108,0,0
Camden,2020-12-31,2541,57,1,1
Camden,2021-01-01,2646,104,0,0
Camden,2021-01-02,2738,91,0,0
Camden,2021-01-03,2832,94,0,0
Camden,2021-01-04,2893,60,3,0
Camden,2021-01-05,3001,108,0,1
Camden,2021-01-06,3095,93,0,0
Camden,2021-01-07,3172,76,0,0
Camden,2021-01-08,3275,103,0,0
Camden,2021-01-09,3380,104,1,1
Camden,2021-01-10,3484,104,0,0
Camden,2021-01-11,3544,59,0,0
Camden,2021-01-12,3602,58,0,0
Camden,2021-01-13,3678,76,0,0
Camden,2021-01-14,3741,62,2,1
Camden,2021-01-15,3810,69,0,0
Camden,2021-01-16,3868,57,0,0
Camden,2021-01-17,3942,74,0,0
Camden,2021-01-18,3984,41,0,0
Camden,2021-01-19,4022,37,1,0
Camden,2021-01-20,4060,38,0,1
Camden,2021-01-21,4113,53,1,0
Camden,2021-01-22,4166,52,0,0
Camden,2021-01-23,4201,34,0,0
Camden,2021-01-24,4253,52,0,0
Camden,2021-01-25,4275,21,1,0
Camden,2021-01-26,4304,29,0,0
Camden,2021-01-27,4325,20,0,0
Camden,2021-01-28,4351,25,0,0
Camden,2021-01-29,4390,39,0,1
Camden,2021-01-30,4401,11,0,0
Camden,2021-01-31,4415,13,0,0
Camden,2021-02-01,4428,13,0,1
Camden,2021-02-02,4451,22,0,1
Camden,2021-02-03,4469,18,1,0
Camden,2021-02-04,4492,22,0,0
Camden,2021-02-05,4503,10,0,0
Camden,2021-02-06,4515,11,0,0
Camden,2021-02-07,4528,12,0,0
Camden,2021-02-08,4537,9,0,1
Camden,2021-02-09,4543,6,0,0
Camden,2021-02-10,4557,13,0,0
Camden,2021-02-11,4565,8,0,0
Camden,2021-02-12,4571,6,0,0
Camden,2021-02-13,4583,11,0,0
Camden,2021-02-14,4591,7,0,0
Camden,2021-02-15,4593,2,0,0
Camden,2021-02-16,4602,8,1,0
Camden,2021-02-17,4608,6,0,0
Camden,2021-02-18,4619,11,0,0
Camden,2021-02-19,4627,7,0,0
Camden,2021-02-20,4638,11,0,1
Camden,2021-02-21,4644,5,0,0
Camden,2021-02-22,4650,5,0,0
Camden,2021-02-23,4654,4,0,0
Camden,2021-02-24,4661,6,0,0
Camden,2021-02-25,4668,7,0,0
Camden,2021-02-26,4673,5,1,0
Camden,2021-02-27,4679,5,0,0
Camden,2021-02-28,4680,1,0,0
Camden,2021-03-01,4685,4,0,1
Camden,2021-03-02,4690,4,0,1
Camden,2021-03-03,4692,2,0,0
Camden,2021-03-04,4698,5,0,0
Camden,2021-03-05,4701,3,0,0
Camden,2021-03-06,4707,5,0,0
Camden,2021-03-07,4710,3,0,0
Camden,2021-03-08,4712,1,0,0
Camden,2021-03-09,4717,5,0,0
Camden,2021-03-10,4719,2,0,1
Camden,2021-03-11,4725,5,0,0
Camden,2021-03-12,4728,3,0,0
Camden,2021-03-13,4733,4,0,0
Camden,2021-03-14,4735,2,0,0
Camden,2021-03-15,4735,0,0,1
Camden,2021-03-16,4740,5,0,0
Camden,2021-03-17,4742,2,0,1
Camden,2021-03-18,4748,5,0,0
Camden,2021-03-19,4749,1,0,0
Camden,2021-03-20,4752,3,0,0
Camden,2021-03-21,4754,1,0,0
Camden,2021-03-22,4756,2,0,1
Camden,2021-03-23,4760,3,0,0
Camden,2021-03-24,4763,2,0,1
Camden,2021-03-25,4769,5,0,1
Camden,2021-03-26,4771,2,0,0
Camden,2021-03-27,4773,2,0,0
Camden,2021-03-28,4776,3,0,1
Camden,2021-03-29,4777,0,0,0
Camden,2021-03-30,4778,1,0,1
Camden,2021-03-31,4782,3,0,0
Camden,2021-04-01,4784,2,0,0
Camden,2021-04-02,4787,3,0,0
Camden,2021-04-03,4788,1,0,0
Camden,2021-04-04,4791,2,0,0
Camden,2021-04-05,4793,2,0,0
Camden,2021-04-06,4792,0,0,0
Camden,2021-04-07,4795,2,0,0
Camden,2021-04-08,4796,1,0,0
Camden,2021-04-09,4786,0,0,0
Camden,2021-04-10,4790,3,0,0
Camden,2021-04-11,4791,1,0,0
Camden,2021-04-12,4792,1,0,0
Camden,2021-04-13,4797,4,0,0
Camden,2021-04-14,4799,1,0,0
Camden,2021-04-15,4803,4,0,1
Camden,2021-04-16,4805,2,0,0
Camden,2021-04-17,4807,1,0,0
Camden,2021-04-18,4808,0,0,0
Camden,2021-04-19,4810,2,0,0
Camden,2021-04-20,4813,2,0,0
Camden,2021-04-21,4817,4,0,0
Camden,2021-04-22,4821,3,0,0
Camden,2021-04-23,4823,2,0,0
Camden,2021-04-24,4826,3,0,0
Camden,2021-04-25,4828,1,0,0
Camden,2021-04-26,4830,1,0,0
Camden,2021-04-27,4834,4,0,0
Camden,2021-04-28,4835,1,0,0
Camden,2021-04-29,4837,1,0,0
Camden,2021-04-30,4838,0,0,0
Camden,2021-05-01,4839,1,0,0
Camden,2021-05-02,4841,1,0,0
Camden,2021-05-03,4843,2,0,0
Camden,2021-05-04,4845,2,0,0
Camden,2021-05-05,4846,1,0,0
Camden,2021-05-06,4850,3,0,0
Camden,2021-05-07,4852,2,0,0
Camden,2021-05-08,4854,1,0,0
Camden,2021-05-09,4856,2,0,1
Camden,2021-05-10,4860,3,0,0
Camden,2021-05-11,4863,3,0,0
Camden,2021-05-12,4864,0,0,0
Camden,2021-05-13,4866,1,0,0
