areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Cardiff,2020-07-05,482,0,-100,-100
Cardiff,2020-07-06,483,0,-100,-100
Cardiff,2020-07-07,483,0,-100,-100
Cardiff,2020-07-08,483,0,-100,-100
Cardiff,2020-07-09,483,0,-100,-100
Cardiff,2020-07-10,484,0,-100,-100
Cardiff,2020-07-11,484,0,-100,-100
Cardiff,2020-07-12,484,0,-100,-100
Cardiff,2020-07-13,484,0,-100,-100
Cardiff,2020-07-14,492,8,-100,-100
Cardiff,2020-07-15,492,0,-100,-100
Cardiff,2020-07-16,492,0,-100,-100
Cardiff,2020-07-17,493,0,-100,-100
Cardiff,2020-07-18,493,0,-100,-100
Cardiff,2020-07-19,493,0,-100,-100
Cardiff,2020-07-20,493,0,-100,-100
Cardiff,2020-07-21,493,0,-100,-100
Cardiff,2020-07-22,493,0,-100,-100
Cardiff,2020-07-23,494,0,-100,-100
Cardiff,2020-07-24,495,1,-100,-100
Cardiff,2020-07-25,496,0,-100,-100
Cardiff,2020-07-26,496,0,-100,-100
Cardiff,2020-07-27,496,0,-100,-100
Cardiff,2020-07-28,497,0,-100,-100
Cardiff,2020-07-29,497,0,-100,-100
Cardiff,2020-07-30,497,0,-100,-100
Cardiff,2020-07-31,497,0,-100,-100
Cardiff,2020-08-01,497,0,-100,-100
Cardiff,2020-08-02,497,0,-100,-100
Cardiff,2020-08-03,498,0,-100,-100
Cardiff,2020-08-04,498,0,-100,-100
Cardiff,2020-08-05,498,0,-100,-100
Cardiff,2020-08-06,498,0,-100,-100
Cardiff,2020-08-07,499,0,-100,-100
Cardiff,2020-08-08,499,0,-100,-100
Cardiff,2020-08-09,501,1,-100,-100
Cardiff,2020-08-10,501,0,-100,-100
Cardiff,2020-08-11,501,0,-100,-100
Cardiff,2020-08-12,501,0,-100,-100
Cardiff,2020-08-13,501,0,-100,-100
Cardiff,2020-08-14,502,0,-100,-100
Cardiff,2020-08-15,503,0,-100,-100
Cardiff,2020-08-16,504,0,-100,-100
Cardiff,2020-08-17,504,0,-100,-100
Cardiff,2020-08-18,504,0,-100,-100
Cardiff,2020-08-19,506,1,-100,-100
Cardiff,2020-08-20,506,0,-100,-100
Cardiff,2020-08-21,509,3,-100,-100
Cardiff,2020-08-22,513,3,-100,-100
Cardiff,2020-08-23,515,2,-100,-100
Cardiff,2020-08-24,516,0,-100,-100
Cardiff,2020-08-25,518,2,-100,-100
Cardiff,2020-08-26,521,2,-100,-100
Cardiff,2020-08-27,523,2,-100,-100
Cardiff,2020-08-28,524,1,-100,-100
Cardiff,2020-08-29,526,1,-100,-100
Cardiff,2020-08-30,528,1,-100,-100
Cardiff,2020-08-31,530,2,-100,-100
Cardiff,2020-09-01,534,4,-100,-100
Cardiff,2020-09-02,536,1,-100,-100
Cardiff,2020-09-03,537,1,-100,-100
Cardiff,2020-09-04,539,1,-100,-100
Cardiff,2020-09-05,541,1,-100,-100
Cardiff,2020-09-06,543,2,-100,-100
Cardiff,2020-09-07,546,3,-100,-100
Cardiff,2020-09-08,549,3,-100,-100
Cardiff,2020-09-09,552,2,-100,-100
Cardiff,2020-09-10,554,1,-100,-100
Cardiff,2020-09-11,555,0,-100,-100
Cardiff,2020-09-12,557,2,-100,-100
Cardiff,2020-09-13,560,3,-100,-100
Cardiff,2020-09-14,563,2,-100,-100
Cardiff,2020-09-15,565,1,-100,-100
Cardiff,2020-09-16,568,3,-100,-100
Cardiff,2020-09-17,572,3,-100,-100
Cardiff,2020-09-18,574,2,-100,-100
Cardiff,2020-09-19,578,3,-100,-100
Cardiff,2020-09-20,581,3,-100,-100
Cardiff,2020-09-21,588,6,-100,-100
Cardiff,2020-09-22,594,6,-100,-100
Cardiff,2020-09-23,602,7,-100,-100
Cardiff,2020-09-24,610,8,-100,-100
Cardiff,2020-09-25,616,6,-100,-100
Cardiff,2020-09-26,624,7,-100,-100
Cardiff,2020-09-27,636,11,-100,-100
Cardiff,2020-09-28,646,10,-100,-100
Cardiff,2020-09-29,657,11,-100,-100
Cardiff,2020-09-30,669,11,-100,-100
Cardiff,2020-10-01,686,16,-100,-100
Cardiff,2020-10-02,695,9,-100,-100
Cardiff,2020-10-03,708,12,-100,-100
Cardiff,2020-10-04,717,9,-100,-100
Cardiff,2020-10-05,736,19,-100,-100
Cardiff,2020-10-06,746,9,-100,-100
Cardiff,2020-10-07,769,23,-100,-100
Cardiff,2020-10-08,788,18,-100,-100
Cardiff,2020-10-09,819,30,-100,-100
Cardiff,2020-10-10,837,18,-100,-100
Cardiff,2020-10-11,847,9,-100,-100
Cardiff,2020-10-12,865,18,-100,-100
Cardiff,2020-10-13,889,23,-100,-100
Cardiff,2020-10-14,935,45,-100,-100
Cardiff,2020-10-15,975,40,-100,-100
Cardiff,2020-10-16,1013,37,-100,-100
Cardiff,2020-10-17,1038,25,-100,-100
Cardiff,2020-10-18,1091,52,-100,-100
Cardiff,2020-10-19,1113,22,-100,-100
Cardiff,2020-10-20,1161,47,-100,-100
Cardiff,2020-10-21,1209,47,-100,-100
Cardiff,2020-10-22,1256,47,-100,-100
Cardiff,2020-10-23,1274,18,-100,-100
Cardiff,2020-10-24,1337,62,-100,-100
Cardiff,2020-10-25,1370,33,-100,-100
Cardiff,2020-10-26,1413,42,-100,-100
Cardiff,2020-10-27,1456,43,-100,-100
