areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Carmarthenshire,2020-07-05,235,0,-100,-100
Carmarthenshire,2020-07-06,235,0,-100,-100
Carmarthenshire,2020-07-07,235,0,-100,-100
Carmarthenshire,2020-07-08,235,0,-100,-100
Carmarthenshire,2020-07-09,235,0,-100,-100
Carmarthenshire,2020-07-10,235,0,-100,-100
Carmarthenshire,2020-07-11,235,0,-100,-100
Carmarthenshire,2020-07-12,235,0,-100,-100
Carmarthenshire,2020-07-13,235,0,-100,-100
Carmarthenshire,2020-07-14,240,4,-100,-100
Carmarthenshire,2020-07-15,240,0,-100,-100
Carmarthenshire,2020-07-16,240,0,-100,-100
Carmarthenshire,2020-07-17,241,0,-100,-100
Carmarthenshire,2020-07-18,241,0,-100,-100
Carmarthenshire,2020-07-19,241,0,-100,-100
Carmarthenshire,2020-07-20,241,0,-100,-100
Carmarthenshire,2020-07-21,241,0,-100,-100
Carmarthenshire,2020-07-22,241,0,-100,-100
Carmarthenshire,2020-07-23,242,0,-100,-100
Carmarthenshire,2020-07-24,242,0,-100,-100
Carmarthenshire,2020-07-25,242,0,-100,-100
Carmarthenshire,2020-07-26,242,0,-100,-100
Carmarthenshire,2020-07-27,242,0,-100,-100
Carmarthenshire,2020-07-28,242,0,-100,-100
Carmarthenshire,2020-07-29,243,0,-100,-100
Carmarthenshire,2020-07-30,243,0,-100,-100
Carmarthenshire,2020-07-31,243,0,-100,-100
Carmarthenshire,2020-08-01,243,0,-100,-100
Carmarthenshire,2020-08-02,244,0,-100,-100
Carmarthenshire,2020-08-03,244,0,-100,-100
Carmarthenshire,2020-08-04,244,0,-100,-100
Carmarthenshire,2020-08-05,244,0,-100,-100
Carmarthenshire,2020-08-06,244,0,-100,-100
Carmarthenshire,2020-08-07,245,0,-100,-100
Carmarthenshire,2020-08-08,245,0,-100,-100
Carmarthenshire,2020-08-09,245,0,-100,-100
Carmarthenshire,2020-08-10,246,0,-100,-100
Carmarthenshire,2020-08-11,246,0,-100,-100
Carmarthenshire,2020-08-12,246,0,-100,-100
Carmarthenshire,2020-08-13,247,0,-100,-100
Carmarthenshire,2020-08-14,247,0,-100,-100
Carmarthenshire,2020-08-15,247,0,-100,-100
Carmarthenshire,2020-08-16,248,0,-100,-100
Carmarthenshire,2020-08-17,248,0,-100,-100
Carmarthenshire,2020-08-18,249,0,-100,-100
Carmarthenshire,2020-08-19,249,0,-100,-100
Carmarthenshire,2020-08-20,249,0,-100,-100
Carmarthenshire,2020-08-21,249,0,-100,-100
Carmarthenshire,2020-08-22,249,0,-100,-100
Carmarthenshire,2020-08-23,249,0,-100,-100
Carmarthenshire,2020-08-24,249,0,-100,-100
Carmarthenshire,2020-08-25,250,0,-100,-100
Carmarthenshire,2020-08-26,250,0,-100,-100
Carmarthenshire,2020-08-27,251,0,-100,-100
Carmarthenshire,2020-08-28,251,0,-100,-100
Carmarthenshire,2020-08-29,252,0,-100,-100
Carmarthenshire,2020-08-30,253,0,-100,-100
Carmarthenshire,2020-08-31,253,0,-100,-100
Carmarthenshire,2020-09-01,253,0,-100,-100
Carmarthenshire,2020-09-02,253,0,-100,-100
Carmarthenshire,2020-09-03,254,0,-100,-100
Carmarthenshire,2020-09-04,254,0,-100,-100
Carmarthenshire,2020-09-05,255,0,-100,-100
Carmarthenshire,2020-09-06,256,1,-100,-100
Carmarthenshire,2020-09-07,258,1,-100,-100
Carmarthenshire,2020-09-08,259,0,-100,-100
Carmarthenshire,2020-09-09,260,1,-100,-100
Carmarthenshire,2020-09-10,262,2,-100,-100
Carmarthenshire,2020-09-11,263,1,-100,-100
Carmarthenshire,2020-09-12,265,1,-100,-100
Carmarthenshire,2020-09-13,265,0,-100,-100
Carmarthenshire,2020-09-14,266,0,-100,-100
Carmarthenshire,2020-09-15,266,0,-100,-100
Carmarthenshire,2020-09-16,267,0,-100,-100
Carmarthenshire,2020-09-17,268,0,-100,-100
Carmarthenshire,2020-09-18,271,3,-100,-100
Carmarthenshire,2020-09-19,274,3,-100,-100
Carmarthenshire,2020-09-20,279,5,-100,-100
Carmarthenshire,2020-09-21,283,3,-100,-100
Carmarthenshire,2020-09-22,288,4,-100,-100
Carmarthenshire,2020-09-23,293,5,-100,-100
Carmarthenshire,2020-09-24,301,7,-100,-100
Carmarthenshire,2020-09-25,304,3,-100,-100
Carmarthenshire,2020-09-26,309,4,-100,-100
Carmarthenshire,2020-09-27,317,8,-100,-100
Carmarthenshire,2020-09-28,322,5,-100,-100
Carmarthenshire,2020-09-29,327,4,-100,-100
Carmarthenshire,2020-09-30,332,5,-100,-100
Carmarthenshire,2020-10-01,336,4,-100,-100
Carmarthenshire,2020-10-02,341,4,-100,-100
Carmarthenshire,2020-10-03,348,6,-100,-100
Carmarthenshire,2020-10-04,349,1,-100,-100
Carmarthenshire,2020-10-05,355,6,-100,-100
Carmarthenshire,2020-10-06,356,1,-100,-100
Carmarthenshire,2020-10-07,363,7,-100,-100
Carmarthenshire,2020-10-08,369,5,-100,-100
Carmarthenshire,2020-10-09,376,6,-100,-100
Carmarthenshire,2020-10-10,383,6,-100,-100
Carmarthenshire,2020-10-11,386,3,-100,-100
Carmarthenshire,2020-10-12,387,1,-100,-100
Carmarthenshire,2020-10-13,394,6,-100,-100
Carmarthenshire,2020-10-14,403,9,-100,-100
Carmarthenshire,2020-10-15,412,9,-100,-100
Carmarthenshire,2020-10-16,421,8,-100,-100
Carmarthenshire,2020-10-17,426,5,-100,-100
Carmarthenshire,2020-10-18,432,5,-100,-100
Carmarthenshire,2020-10-19,435,3,-100,-100
Carmarthenshire,2020-10-20,445,10,-100,-100
Carmarthenshire,2020-10-21,454,8,-100,-100
Carmarthenshire,2020-10-22,463,9,-100,-100
Carmarthenshire,2020-10-23,470,6,-100,-100
Carmarthenshire,2020-10-24,482,11,-100,-100
Carmarthenshire,2020-10-25,485,3,-100,-100
Carmarthenshire,2020-10-26,507,21,-100,-100
Carmarthenshire,2020-10-27,520,13,-100,-100
Carmarthenshire,2020-10-28,533,12,-100,-100
Carmarthenshire,2020-10-29,541,8,-100,-100
Carmarthenshire,2020-10-30,559,17,-100,-100
Carmarthenshire,2020-10-31,576,17,-100,-100
Carmarthenshire,2020-11-01,594,17,-100,-100
Carmarthenshire,2020-11-02,608,14,-100,-100
Carmarthenshire,2020-11-03,619,10,-100,-100
Carmarthenshire,2020-11-04,632,12,-100,-100
Carmarthenshire,2020-11-05,643,11,-100,-100
Carmarthenshire,2020-11-06,666,22,-100,-100
Carmarthenshire,2020-11-07,674,8,-100,-100
Carmarthenshire,2020-11-08,683,8,-100,-100
Carmarthenshire,2020-11-09,703,19,-100,-100
Carmarthenshire,2020-11-10,705,2,-100,-100
Carmarthenshire,2020-11-11,719,14,-100,-100
Carmarthenshire,2020-11-12,730,11,-100,-100
Carmarthenshire,2020-11-13,741,10,-100,-100
Carmarthenshire,2020-11-14,760,19,-100,-100
Carmarthenshire,2020-11-15,776,15,-100,-100
Carmarthenshire,2020-11-16,788,12,-100,-100
Carmarthenshire,2020-11-17,802,13,-100,-100
Carmarthenshire,2020-11-18,815,13,-100,-100
Carmarthenshire,2020-11-19,828,12,-100,-100
Carmarthenshire,2020-11-20,847,19,-100,-100
Carmarthenshire,2020-11-21,867,19,-100,-100
Carmarthenshire,2020-11-22,886,18,-100,-100
Carmarthenshire,2020-11-23,898,12,-100,-100
Carmarthenshire,2020-11-24,908,9,-100,-100
Carmarthenshire,2020-11-25,929,21,-100,-100
Carmarthenshire,2020-11-26,949,19,-100,-100
Carmarthenshire,2020-11-27,968,19,-100,-100
Carmarthenshire,2020-11-28,987,19,-100,-100
Carmarthenshire,2020-11-29,1001,13,-100,-100
Carmarthenshire,2020-11-30,1014,13,-100,-100
Carmarthenshire,2020-12-01,1027,12,-100,-100
Carmarthenshire,2020-12-02,1054,27,-100,-100
Carmarthenshire,2020-12-03,1080,25,-100,-100
Carmarthenshire,2020-12-04,1105,25,-100,-100
Carmarthenshire,2020-12-05,1130,24,-100,-100
Carmarthenshire,2020-12-06,1164,33,-100,-100
Carmarthenshire,2020-12-07,1193,29,-100,-100
Carmarthenshire,2020-12-08,1207,14,-100,-100
Carmarthenshire,2020-12-09,1244,36,-100,-100
Carmarthenshire,2020-12-10,1275,30,-100,-100
Carmarthenshire,2020-12-11,1317,41,-100,-100
Carmarthenshire,2020-12-12,1369,52,-100,-100
Carmarthenshire,2020-12-13,1369,0,-100,-100
Carmarthenshire,2020-12-14,1389,19,-100,-100
Carmarthenshire,2020-12-15,1396,7,-100,-100
Carmarthenshire,2020-12-16,1404,8,-100,-100
Carmarthenshire,2020-12-17,1657,253,-100,-100
Carmarthenshire,2020-12-18,1723,65,-100,-100
Carmarthenshire,2020-12-19,1784,61,-100,-100
Carmarthenshire,2020-12-20,1836,51,-100,-100
Carmarthenshire,2020-12-21,1883,47,-100,-100
Carmarthenshire,2020-12-22,1938,54,-100,-100
Carmarthenshire,2020-12-23,1994,55,-100,-100
Carmarthenshire,2020-12-24,2026,31,-100,-100
Carmarthenshire,2020-12-25,2026,0,-100,-100
Carmarthenshire,2020-12-26,2057,31,-100,-100
Carmarthenshire,2020-12-27,2134,76,-100,-100
Carmarthenshire,2020-12-28,2163,29,-100,-100
Carmarthenshire,2020-12-29,2196,33,-100,-100
Carmarthenshire,2020-12-30,2253,56,-100,-100
Carmarthenshire,2020-12-31,2279,26,-100,-100
Carmarthenshire,2021-01-01,2279,0,-100,-100
Carmarthenshire,2021-01-02,2310,31,-100,-100
Carmarthenshire,2021-01-03,2372,62,-100,-100
Carmarthenshire,2021-01-04,2407,34,-100,-100
Carmarthenshire,2021-01-05,2435,28,-100,-100
Carmarthenshire,2021-01-06,2460,24,-100,-100
Carmarthenshire,2021-01-07,2482,22,-100,-100
Carmarthenshire,2021-01-08,2515,32,-100,-100
Carmarthenshire,2021-01-09,2538,23,-100,-100
Carmarthenshire,2021-01-10,2563,24,-100,-100
Carmarthenshire,2021-01-11,2590,27,-100,-100
Carmarthenshire,2021-01-12,2615,24,-100,-100
