areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Central Bedfordshire,2020-07-05,221,0,-100,-100
Central Bedfordshire,2020-07-06,221,0,-100,-100
Central Bedfordshire,2020-07-07,222,1,-100,-100
Central Bedfordshire,2020-07-08,223,0,-100,-100
Central Bedfordshire,2020-07-09,223,0,-100,-100
Central Bedfordshire,2020-07-10,224,0,-100,-100
Central Bedfordshire,2020-07-11,224,0,-100,-100
Central Bedfordshire,2020-07-12,225,0,-100,-100
Central Bedfordshire,2020-07-13,225,0,-100,-100
Central Bedfordshire,2020-07-14,225,0,-100,-100
Central Bedfordshire,2020-07-15,225,0,-100,-100
Central Bedfordshire,2020-07-16,226,0,-100,-100
Central Bedfordshire,2020-07-17,227,1,-100,-100
Central Bedfordshire,2020-07-18,228,0,-100,-100
Central Bedfordshire,2020-07-19,229,0,-100,-100
Central Bedfordshire,2020-07-20,229,0,-100,-100
Central Bedfordshire,2020-07-21,229,0,-100,-100
Central Bedfordshire,2020-07-22,229,0,-100,-100
Central Bedfordshire,2020-07-23,230,1,-100,-100
Central Bedfordshire,2020-07-24,230,0,-100,-100
Central Bedfordshire,2020-07-25,230,0,-100,-100
Central Bedfordshire,2020-07-26,231,0,-100,-100
Central Bedfordshire,2020-07-27,231,0,-100,-100
Central Bedfordshire,2020-07-28,231,0,-100,-100
Central Bedfordshire,2020-07-29,231,0,-100,-100
Central Bedfordshire,2020-07-30,232,0,-100,-100
Central Bedfordshire,2020-07-31,232,0,-100,-100
Central Bedfordshire,2020-08-01,233,1,-100,-100
Central Bedfordshire,2020-08-02,233,0,-100,-100
Central Bedfordshire,2020-08-03,233,0,-100,-100
Central Bedfordshire,2020-08-04,234,0,-100,-100
Central Bedfordshire,2020-08-05,234,0,-100,-100
Central Bedfordshire,2020-08-06,234,0,-100,-100
Central Bedfordshire,2020-08-07,235,0,-100,-100
Central Bedfordshire,2020-08-08,235,0,-100,-100
Central Bedfordshire,2020-08-09,236,0,-100,-100
Central Bedfordshire,2020-08-10,237,0,-100,-100
Central Bedfordshire,2020-08-11,237,0,-100,-100
Central Bedfordshire,2020-08-12,237,0,-100,-100
Central Bedfordshire,2020-08-13,237,0,-100,-100
Central Bedfordshire,2020-08-14,239,1,-100,-100
Central Bedfordshire,2020-08-15,239,0,-100,-100
Central Bedfordshire,2020-08-16,240,0,-100,-100
Central Bedfordshire,2020-08-17,240,0,-100,-100
Central Bedfordshire,2020-08-18,240,0,-100,-100
Central Bedfordshire,2020-08-19,241,0,-100,-100
Central Bedfordshire,2020-08-20,241,0,-100,-100
Central Bedfordshire,2020-08-21,242,0,-100,-100
Central Bedfordshire,2020-08-22,242,0,-100,-100
Central Bedfordshire,2020-08-23,243,0,-100,-100
Central Bedfordshire,2020-08-24,244,1,-100,-100
Central Bedfordshire,2020-08-25,244,0,-100,-100
Central Bedfordshire,2020-08-26,245,0,-100,-100
Central Bedfordshire,2020-08-27,246,0,-100,-100
Central Bedfordshire,2020-08-28,246,0,-100,-100
Central Bedfordshire,2020-08-29,247,0,-100,-100
Central Bedfordshire,2020-08-30,248,0,-100,-100
Central Bedfordshire,2020-08-31,248,0,-100,-100
Central Bedfordshire,2020-09-01,249,0,-100,-100
Central Bedfordshire,2020-09-02,249,0,-100,-100
Central Bedfordshire,2020-09-03,250,0,-100,-100
Central Bedfordshire,2020-09-04,251,1,-100,-100
Central Bedfordshire,2020-09-05,252,0,-100,-100
Central Bedfordshire,2020-09-06,252,0,-100,-100
Central Bedfordshire,2020-09-07,253,0,-100,-100
Central Bedfordshire,2020-09-08,253,0,-100,-100
Central Bedfordshire,2020-09-09,254,0,-100,-100
Central Bedfordshire,2020-09-10,254,0,-100,-100
Central Bedfordshire,2020-09-11,255,0,-100,-100
Central Bedfordshire,2020-09-12,257,1,-100,-100
Central Bedfordshire,2020-09-13,258,1,-100,-100
Central Bedfordshire,2020-09-14,258,0,-100,-100
Central Bedfordshire,2020-09-15,260,1,-100,-100
Central Bedfordshire,2020-09-16,261,1,-100,-100
Central Bedfordshire,2020-09-17,262,0,-100,-100
Central Bedfordshire,2020-09-18,263,1,-100,-100
