areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Ceredigion,2020-07-05,30,0,-100,-100
Ceredigion,2020-07-06,30,0,-100,-100
Ceredigion,2020-07-07,30,0,-100,-100
Ceredigion,2020-07-08,30,0,-100,-100
Ceredigion,2020-07-09,30,0,-100,-100
Ceredigion,2020-07-10,30,0,-100,-100
Ceredigion,2020-07-11,30,0,-100,-100
Ceredigion,2020-07-12,30,0,-100,-100
Ceredigion,2020-07-13,30,0,-100,-100
Ceredigion,2020-07-14,33,2,-100,-100
Ceredigion,2020-07-15,33,0,-100,-100
Ceredigion,2020-07-16,33,0,-100,-100
Ceredigion,2020-07-17,33,0,-100,-100
Ceredigion,2020-07-18,33,0,-100,-100
Ceredigion,2020-07-19,33,0,-100,-100
Ceredigion,2020-07-20,34,0,-100,-100
Ceredigion,2020-07-21,34,0,-100,-100
Ceredigion,2020-07-22,34,0,-100,-100
Ceredigion,2020-07-23,34,0,-100,-100
Ceredigion,2020-07-24,34,0,-100,-100
Ceredigion,2020-07-25,34,0,-100,-100
Ceredigion,2020-07-26,34,0,-100,-100
Ceredigion,2020-07-27,34,0,-100,-100
Ceredigion,2020-07-28,34,0,-100,-100
Ceredigion,2020-07-29,34,0,-100,-100
Ceredigion,2020-07-30,34,0,-100,-100
Ceredigion,2020-07-31,34,0,-100,-100
Ceredigion,2020-08-01,34,0,-100,-100
Ceredigion,2020-08-02,34,0,-100,-100
Ceredigion,2020-08-03,34,0,-100,-100
Ceredigion,2020-08-04,35,1,-100,-100
Ceredigion,2020-08-05,35,0,-100,-100
Ceredigion,2020-08-06,36,0,-100,-100
Ceredigion,2020-08-07,37,1,-100,-100
Ceredigion,2020-08-08,38,1,-100,-100
Ceredigion,2020-08-09,38,0,-100,-100
Ceredigion,2020-08-10,38,0,-100,-100
Ceredigion,2020-08-11,38,0,-100,-100
Ceredigion,2020-08-12,38,0,-100,-100
Ceredigion,2020-08-13,38,0,-100,-100
Ceredigion,2020-08-14,38,0,-100,-100
Ceredigion,2020-08-15,38,0,-100,-100
Ceredigion,2020-08-16,38,0,-100,-100
Ceredigion,2020-08-17,38,0,-100,-100
Ceredigion,2020-08-18,38,0,-100,-100
Ceredigion,2020-08-19,38,0,-100,-100
Ceredigion,2020-08-20,38,0,-100,-100
Ceredigion,2020-08-21,38,0,-100,-100
Ceredigion,2020-08-22,38,0,-100,-100
Ceredigion,2020-08-23,38,0,-100,-100
Ceredigion,2020-08-24,38,0,-100,-100
Ceredigion,2020-08-25,38,0,-100,-100
Ceredigion,2020-08-26,40,1,-100,-100
Ceredigion,2020-08-27,40,0,-100,-100
Ceredigion,2020-08-28,40,0,-100,-100
Ceredigion,2020-08-29,40,0,-100,-100
Ceredigion,2020-08-30,41,1,-100,-100
Ceredigion,2020-08-31,42,0,-100,-100
Ceredigion,2020-09-01,42,0,-100,-100
Ceredigion,2020-09-02,42,0,-100,-100
Ceredigion,2020-09-03,42,0,-100,-100
Ceredigion,2020-09-04,42,0,-100,-100
Ceredigion,2020-09-05,43,0,-100,-100
Ceredigion,2020-09-06,43,0,-100,-100
Ceredigion,2020-09-07,43,0,-100,-100
Ceredigion,2020-09-08,44,0,-100,-100
Ceredigion,2020-09-09,44,0,-100,-100
Ceredigion,2020-09-10,45,0,-100,-100
Ceredigion,2020-09-11,45,0,-100,-100
Ceredigion,2020-09-12,49,4,-100,-100
Ceredigion,2020-09-13,49,0,-100,-100
Ceredigion,2020-09-14,49,0,-100,-100
Ceredigion,2020-09-15,49,0,-100,-100
Ceredigion,2020-09-16,49,0,-100,-100
Ceredigion,2020-09-17,49,0,-100,-100
Ceredigion,2020-09-18,49,0,-100,-100
Ceredigion,2020-09-19,49,0,-100,-100
Ceredigion,2020-09-20,49,0,-100,-100
Ceredigion,2020-09-21,50,0,-100,-100
Ceredigion,2020-09-22,50,0,-100,-100
Ceredigion,2020-09-23,50,0,-100,-100
Ceredigion,2020-09-24,51,0,-100,-100
Ceredigion,2020-09-25,51,0,-100,-100
Ceredigion,2020-09-26,51,0,-100,-100
Ceredigion,2020-09-27,53,2,-100,-100
Ceredigion,2020-09-28,53,0,-100,-100
Ceredigion,2020-09-29,59,5,-100,-100
Ceredigion,2020-09-30,59,0,-100,-100
Ceredigion,2020-10-01,61,2,-100,-100
Ceredigion,2020-10-02,63,1,-100,-100
Ceredigion,2020-10-03,63,0,-100,-100
Ceredigion,2020-10-04,64,0,-100,-100
Ceredigion,2020-10-05,68,3,-100,-100
Ceredigion,2020-10-06,68,0,-100,-100
Ceredigion,2020-10-07,76,7,-100,-100
Ceredigion,2020-10-08,78,2,-100,-100
Ceredigion,2020-10-09,79,1,-100,-100
Ceredigion,2020-10-10,81,1,-100,-100
Ceredigion,2020-10-11,81,0,-100,-100
Ceredigion,2020-10-12,81,0,-100,-100
Ceredigion,2020-10-13,83,1,-100,-100
Ceredigion,2020-10-14,85,2,-100,-100
Ceredigion,2020-10-15,88,2,-100,-100
Ceredigion,2020-10-16,90,2,-100,-100
Ceredigion,2020-10-17,91,1,-100,-100
Ceredigion,2020-10-18,92,1,-100,-100
Ceredigion,2020-10-19,94,1,-100,-100
Ceredigion,2020-10-20,95,1,-100,-100
Ceredigion,2020-10-21,97,1,-100,-100
Ceredigion,2020-10-22,101,4,-100,-100
Ceredigion,2020-10-23,105,3,-100,-100
Ceredigion,2020-10-24,108,2,-100,-100
Ceredigion,2020-10-25,109,1,-100,-100
Ceredigion,2020-10-26,114,5,-100,-100
Ceredigion,2020-10-27,118,3,-100,-100
Ceredigion,2020-10-28,120,1,-100,-100
Ceredigion,2020-10-29,122,2,-100,-100
Ceredigion,2020-10-30,123,1,-100,-100
Ceredigion,2020-10-31,124,1,-100,-100
Ceredigion,2020-11-01,125,0,-100,-100
Ceredigion,2020-11-02,130,5,-100,-100
Ceredigion,2020-11-03,133,2,-100,-100
Ceredigion,2020-11-04,134,1,-100,-100
Ceredigion,2020-11-05,136,2,-100,-100
Ceredigion,2020-11-06,143,6,-100,-100
Ceredigion,2020-11-07,144,1,-100,-100
Ceredigion,2020-11-08,152,7,-100,-100
Ceredigion,2020-11-09,176,24,-100,-100
Ceredigion,2020-11-10,177,1,-100,-100
Ceredigion,2020-11-11,179,2,-100,-100
Ceredigion,2020-11-12,182,2,-100,-100
Ceredigion,2020-11-13,189,6,-100,-100
Ceredigion,2020-11-14,194,5,-100,-100
Ceredigion,2020-11-15,199,4,-100,-100
Ceredigion,2020-11-16,205,6,-100,-100
Ceredigion,2020-11-17,211,6,-100,-100
Ceredigion,2020-11-18,216,4,-100,-100
Ceredigion,2020-11-19,220,3,-100,-100
Ceredigion,2020-11-20,225,5,-100,-100
Ceredigion,2020-11-21,227,2,-100,-100
Ceredigion,2020-11-22,238,11,-100,-100
Ceredigion,2020-11-23,248,9,-100,-100
Ceredigion,2020-11-24,253,5,-100,-100
Ceredigion,2020-11-25,264,11,-100,-100
Ceredigion,2020-11-26,272,7,-100,-100
Ceredigion,2020-11-27,284,11,-100,-100
Ceredigion,2020-11-28,293,8,-100,-100
Ceredigion,2020-11-29,305,12,-100,-100
Ceredigion,2020-11-30,308,3,-100,-100
Ceredigion,2020-12-01,313,4,-100,-100
Ceredigion,2020-12-02,319,6,-100,-100
Ceredigion,2020-12-03,325,5,-100,-100
Ceredigion,2020-12-04,341,15,-100,-100
Ceredigion,2020-12-05,358,16,-100,-100
Ceredigion,2020-12-06,363,5,-100,-100
Ceredigion,2020-12-07,374,11,-100,-100
Ceredigion,2020-12-08,377,2,-100,-100
Ceredigion,2020-12-09,390,13,-100,-100
Ceredigion,2020-12-10,401,11,-100,-100
Ceredigion,2020-12-11,417,15,-100,-100
Ceredigion,2020-12-12,428,11,-100,-100
Ceredigion,2020-12-13,428,0,-100,-100
Ceredigion,2020-12-14,431,2,-100,-100
Ceredigion,2020-12-15,434,3,-100,-100
Ceredigion,2020-12-16,438,4,-100,-100
Ceredigion,2020-12-17,482,44,-100,-100
Ceredigion,2020-12-18,501,18,-100,-100
Ceredigion,2020-12-19,513,12,-100,-100
Ceredigion,2020-12-20,523,9,-100,-100
Ceredigion,2020-12-21,537,14,-100,-100
Ceredigion,2020-12-22,549,11,-100,-100
Ceredigion,2020-12-23,566,17,-100,-100
Ceredigion,2020-12-24,576,9,-100,-100
Ceredigion,2020-12-25,576,0,-100,-100
Ceredigion,2020-12-26,579,3,-100,-100
Ceredigion,2020-12-27,599,19,-100,-100
Ceredigion,2020-12-28,602,3,-100,-100
Ceredigion,2020-12-29,609,7,-100,-100
