areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Cheshire East,2020-07-05,1200,2,-100,-100
Cheshire East,2020-07-06,1203,3,-100,-100
Cheshire East,2020-07-07,1205,1,-100,-100
Cheshire East,2020-07-08,1206,1,-100,-100
Cheshire East,2020-07-09,1207,1,-100,-100
Cheshire East,2020-07-10,1208,1,-100,-100
Cheshire East,2020-07-11,1210,2,-100,-100
Cheshire East,2020-07-12,1211,0,-100,-100
Cheshire East,2020-07-13,1212,1,-100,-100
Cheshire East,2020-07-14,1212,0,-100,-100
Cheshire East,2020-07-15,1213,0,-100,-100
Cheshire East,2020-07-16,1216,2,-100,-100
Cheshire East,2020-07-17,1217,1,-100,-100
Cheshire East,2020-07-18,1221,3,-100,-100
Cheshire East,2020-07-19,1223,2,-100,-100
Cheshire East,2020-07-20,1223,0,-100,-100
Cheshire East,2020-07-21,1224,0,-100,-100
Cheshire East,2020-07-22,1224,0,-100,-100
Cheshire East,2020-07-23,1224,0,-100,-100
Cheshire East,2020-07-24,1225,0,-100,-100
Cheshire East,2020-07-25,1226,1,-100,-100
Cheshire East,2020-07-26,1226,0,-100,-100
Cheshire East,2020-07-27,1227,0,-100,-100
Cheshire East,2020-07-28,1228,1,-100,-100
Cheshire East,2020-07-29,1230,2,-100,-100
Cheshire East,2020-07-30,1230,0,-100,-100
Cheshire East,2020-07-31,1233,2,-100,-100
Cheshire East,2020-08-01,1235,2,-100,-100
Cheshire East,2020-08-02,1240,4,-100,-100
Cheshire East,2020-08-03,1242,2,-100,-100
Cheshire East,2020-08-04,1243,1,-100,-100
Cheshire East,2020-08-05,1247,3,-100,-100
Cheshire East,2020-08-06,1250,2,-100,-100
Cheshire East,2020-08-07,1251,1,-100,-100
Cheshire East,2020-08-08,1254,2,-100,-100
Cheshire East,2020-08-09,1254,0,-100,-100
Cheshire East,2020-08-10,1256,2,-100,-100
Cheshire East,2020-08-11,1259,2,-100,-100
Cheshire East,2020-08-12,1260,1,-100,-100
Cheshire East,2020-08-13,1260,0,-100,-100
Cheshire East,2020-08-14,1267,6,-100,-100
