areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Cheshire West and Chester,2020-07-05,917,1,-100,-100
Cheshire West and Chester,2020-07-06,921,3,-100,-100
Cheshire West and Chester,2020-07-07,922,1,-100,-100
Cheshire West and Chester,2020-07-08,922,0,-100,-100
Cheshire West and Chester,2020-07-09,925,2,-100,-100
Cheshire West and Chester,2020-07-10,927,2,-100,-100
Cheshire West and Chester,2020-07-11,932,4,-100,-100
Cheshire West and Chester,2020-07-12,937,5,-100,-100
Cheshire West and Chester,2020-07-13,937,0,-100,-100
Cheshire West and Chester,2020-07-14,939,1,-100,-100
Cheshire West and Chester,2020-07-15,939,0,-100,-100
Cheshire West and Chester,2020-07-16,940,0,-100,-100
Cheshire West and Chester,2020-07-17,944,3,-100,-100
Cheshire West and Chester,2020-07-18,945,1,-100,-100
Cheshire West and Chester,2020-07-19,946,0,-100,-100
Cheshire West and Chester,2020-07-20,948,2,-100,-100
Cheshire West and Chester,2020-07-21,949,0,-100,-100
Cheshire West and Chester,2020-07-22,951,1,-100,-100
Cheshire West and Chester,2020-07-23,952,1,-100,-100
Cheshire West and Chester,2020-07-24,953,0,-100,-100
Cheshire West and Chester,2020-07-25,954,1,-100,-100
Cheshire West and Chester,2020-07-26,958,3,-100,-100
Cheshire West and Chester,2020-07-27,959,1,-100,-100
Cheshire West and Chester,2020-07-28,960,0,-100,-100
Cheshire West and Chester,2020-07-29,961,0,-100,-100
Cheshire West and Chester,2020-07-30,963,1,-100,-100
Cheshire West and Chester,2020-07-31,964,1,-100,-100
Cheshire West and Chester,2020-08-01,966,1,-100,-100
Cheshire West and Chester,2020-08-02,968,1,-100,-100
Cheshire West and Chester,2020-08-03,970,1,-100,-100
Cheshire West and Chester,2020-08-04,971,1,-100,-100
Cheshire West and Chester,2020-08-05,971,0,-100,-100
Cheshire West and Chester,2020-08-06,972,0,-100,-100
Cheshire West and Chester,2020-08-07,974,1,-100,-100
Cheshire West and Chester,2020-08-08,976,2,-100,-100
Cheshire West and Chester,2020-08-09,978,1,-100,-100
Cheshire West and Chester,2020-08-10,980,2,-100,-100
Cheshire West and Chester,2020-08-11,981,0,-100,-100
Cheshire West and Chester,2020-08-12,982,0,-100,-100
Cheshire West and Chester,2020-08-13,982,0,-100,-100
Cheshire West and Chester,2020-08-14,983,0,-100,-100
Cheshire West and Chester,2020-08-15,984,1,-100,-100
Cheshire West and Chester,2020-08-16,986,1,-100,-100
Cheshire West and Chester,2020-08-17,987,1,-100,-100
Cheshire West and Chester,2020-08-18,991,3,-100,-100
Cheshire West and Chester,2020-08-19,992,0,-100,-100
Cheshire West and Chester,2020-08-20,993,0,-100,-100
Cheshire West and Chester,2020-08-21,996,2,-100,-100
Cheshire West and Chester,2020-08-22,996,0,-100,-100
Cheshire West and Chester,2020-08-23,999,2,-100,-100
Cheshire West and Chester,2020-08-24,1000,1,-100,-100
Cheshire West and Chester,2020-08-25,1004,3,-100,-100
Cheshire West and Chester,2020-08-26,1005,0,-100,-100
Cheshire West and Chester,2020-08-27,1005,0,-100,-100
Cheshire West and Chester,2020-08-28,1009,4,-100,-100
Cheshire West and Chester,2020-08-29,1011,1,-100,-100
Cheshire West and Chester,2020-08-30,1013,1,-100,-100
Cheshire West and Chester,2020-08-31,1015,2,-100,-100
Cheshire West and Chester,2020-09-01,1016,0,-100,-100
Cheshire West and Chester,2020-09-02,1021,4,-100,-100
Cheshire West and Chester,2020-09-03,1023,2,-100,-100
Cheshire West and Chester,2020-09-04,1027,3,-100,-100
Cheshire West and Chester,2020-09-05,1029,1,-100,-100
Cheshire West and Chester,2020-09-06,1033,4,-100,-100
Cheshire West and Chester,2020-09-07,1040,7,-100,-100
Cheshire West and Chester,2020-09-08,1045,4,-100,-100
Cheshire West and Chester,2020-09-09,1049,3,-100,-100
Cheshire West and Chester,2020-09-10,1053,4,-100,-100
Cheshire West and Chester,2020-09-11,1063,9,-100,-100
Cheshire West and Chester,2020-09-12,1071,8,-100,-100
Cheshire West and Chester,2020-09-13,1080,8,-100,-100
Cheshire West and Chester,2020-09-14,1085,4,-100,-100
Cheshire West and Chester,2020-09-15,1094,8,-100,-100
Cheshire West and Chester,2020-09-16,1101,7,-100,-100
Cheshire West and Chester,2020-09-17,1105,3,-100,-100
Cheshire West and Chester,2020-09-18,1118,12,-100,-100
Cheshire West and Chester,2020-09-19,1129,10,-100,-100
Cheshire West and Chester,2020-09-20,1138,8,-100,-100
Cheshire West and Chester,2020-09-21,1149,11,-100,-100
Cheshire West and Chester,2020-09-22,1160,10,-100,-100
Cheshire West and Chester,2020-09-23,1171,11,-100,-100
Cheshire West and Chester,2020-09-24,1184,12,-100,-100
Cheshire West and Chester,2020-09-25,1204,19,-100,-100
Cheshire West and Chester,2020-09-26,1218,14,-100,-100
Cheshire West and Chester,2020-09-27,1232,13,-100,-100
Cheshire West and Chester,2020-09-28,1246,14,-100,-100
Cheshire West and Chester,2020-09-29,1267,20,-100,-100
Cheshire West and Chester,2020-09-30,1290,23,-100,-100
Cheshire West and Chester,2020-10-01,1312,22,-100,-100
Cheshire West and Chester,2020-10-02,1322,9,-100,-100
Cheshire West and Chester,2020-10-03,1347,25,-100,-100
Cheshire West and Chester,2020-10-04,1425,77,-100,-100
Cheshire West and Chester,2020-10-05,1458,32,-100,-100
Cheshire West and Chester,2020-10-06,1507,49,-100,-100
Cheshire West and Chester,2020-10-07,1546,38,-100,-100
Cheshire West and Chester,2020-10-08,1595,49,-100,-100
Cheshire West and Chester,2020-10-09,1617,22,-100,-100
Cheshire West and Chester,2020-10-10,1668,50,-100,-100
Cheshire West and Chester,2020-10-11,1705,36,-100,-100
Cheshire West and Chester,2020-10-12,1756,51,-100,-100
Cheshire West and Chester,2020-10-13,1808,51,-100,-100
Cheshire West and Chester,2020-10-14,1852,43,-100,-100
Cheshire West and Chester,2020-10-15,1905,53,-100,-100
Cheshire West and Chester,2020-10-16,1944,39,-100,-100
Cheshire West and Chester,2020-10-17,1982,37,-100,-100
Cheshire West and Chester,2020-10-18,2036,53,-100,-100
Cheshire West and Chester,2020-10-19,2091,54,-100,-100
Cheshire West and Chester,2020-10-20,2151,60,-100,-100
Cheshire West and Chester,2020-10-21,2194,42,-100,-100
Cheshire West and Chester,2020-10-22,2246,52,-100,-100
Cheshire West and Chester,2020-10-23,2289,42,-100,-100
Cheshire West and Chester,2020-10-24,2357,68,-100,-100
Cheshire West and Chester,2020-10-25,2404,46,-100,-100
Cheshire West and Chester,2020-10-26,2456,52,-100,-100
Cheshire West and Chester,2020-10-27,2516,60,-100,-100
Cheshire West and Chester,2020-10-28,2587,70,-100,-100
Cheshire West and Chester,2020-10-29,2643,56,-100,-100
