areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
City of Edinburgh,2023-01-05,38461,0,-100,-100
City of Edinburgh,2023-01-04,38461,0,-100,-100
City of Edinburgh,2023-01-03,38461,0,-100,-100
City of Edinburgh,2023-01-02,38461,0,-100,-100
City of Edinburgh,2023-01-01,38461,0,-100,-100
City of Edinburgh,2022-12-31,38461,0,-100,-100
City of Edinburgh,2022-12-30,38461,0,-100,-100
City of Edinburgh,2022-12-29,38461,0,-100,-100
City of Edinburgh,2022-12-28,38461,0,-100,-100
City of Edinburgh,2022-12-27,38461,0,-100,-100
City of Edinburgh,2022-12-26,38461,0,-100,-100
City of Edinburgh,2022-12-25,38461,0,-100,-100
City of Edinburgh,2022-12-24,38461,0,-100,-100
City of Edinburgh,2022-12-23,38461,0,-100,-100
City of Edinburgh,2022-12-22,38461,0,-100,-100
City of Edinburgh,2022-12-21,38461,55,-100,-100
City of Edinburgh,2022-12-20,38405,0,-100,-100
City of Edinburgh,2022-12-19,38405,0,-100,-100
City of Edinburgh,2022-12-18,38405,0,0,5
City of Edinburgh,2022-12-17,38405,0,0,3
City of Edinburgh,2022-12-16,38405,0,0,4
City of Edinburgh,2022-12-15,38405,0,0,4
City of Edinburgh,2022-12-14,38405,50,0,4
City of Edinburgh,2022-12-13,38355,0,0,4
City of Edinburgh,2022-12-12,38355,0,0,5
City of Edinburgh,2022-12-11,38355,0,0,4
City of Edinburgh,2022-12-10,38355,0,0,2
City of Edinburgh,2022-12-09,38355,0,0,3
City of Edinburgh,2022-12-08,38355,0,0,3
City of Edinburgh,2022-12-07,38355,37,0,4
City of Edinburgh,2022-12-06,38318,0,0,4
City of Edinburgh,2022-12-05,38318,0,0,5
City of Edinburgh,2022-12-04,38318,0,0,4
City of Edinburgh,2022-12-03,38318,0,0,2
City of Edinburgh,2022-12-02,38318,0,0,3
City of Edinburgh,2022-12-01,38318,0,0,2
City of Edinburgh,2022-11-30,38318,33,0,3
City of Edinburgh,2022-11-29,38285,0,0,4
City of Edinburgh,2022-11-28,38285,0,0,3
City of Edinburgh,2022-11-27,38285,0,0,3
City of Edinburgh,2022-11-26,38285,0,0,1
City of Edinburgh,2022-11-25,38285,0,0,1
City of Edinburgh,2022-11-24,38285,0,0,4
City of Edinburgh,2022-11-23,38285,28,0,2
City of Edinburgh,2022-11-22,38257,0,0,3
City of Edinburgh,2022-11-21,38257,0,0,3
City of Edinburgh,2022-11-20,38257,0,0,3
City of Edinburgh,2022-11-19,38257,0,0,2
City of Edinburgh,2022-11-18,38257,0,0,1
City of Edinburgh,2022-11-17,38257,0,0,3
City of Edinburgh,2022-11-16,38257,37,0,1
City of Edinburgh,2022-11-15,38219,0,0,3
City of Edinburgh,2022-11-14,38219,0,0,3
City of Edinburgh,2022-11-13,38219,0,0,2
City of Edinburgh,2022-11-12,38219,0,0,3
City of Edinburgh,2022-11-11,38219,0,0,3
City of Edinburgh,2022-11-10,38219,0,0,3
City of Edinburgh,2022-11-09,38219,38,0,2
City of Edinburgh,2022-11-08,38180,0,0,3
City of Edinburgh,2022-11-07,38180,0,0,5
City of Edinburgh,2022-11-06,38180,0,0,2
City of Edinburgh,2022-11-05,38180,0,0,3
City of Edinburgh,2022-11-04,38180,0,0,3
City of Edinburgh,2022-11-03,38180,0,0,3
City of Edinburgh,2022-11-02,38180,50,0,4
City of Edinburgh,2022-11-01,38129,0,0,3
