areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Clackmannanshire,2023-01-05,42710,0,-100,-100
Clackmannanshire,2023-01-04,42710,0,-100,-100
Clackmannanshire,2023-01-03,42710,0,-100,-100
Clackmannanshire,2023-01-02,42710,0,-100,-100
Clackmannanshire,2023-01-01,42710,0,-100,-100
Clackmannanshire,2022-12-31,42710,0,-100,-100
Clackmannanshire,2022-12-30,42710,0,-100,-100
Clackmannanshire,2022-12-29,42710,0,-100,-100
Clackmannanshire,2022-12-28,42710,0,-100,-100
Clackmannanshire,2022-12-27,42710,0,-100,-100
Clackmannanshire,2022-12-26,42710,0,-100,-100
Clackmannanshire,2022-12-25,42710,0,-100,-100
Clackmannanshire,2022-12-24,42710,0,-100,-100
Clackmannanshire,2022-12-23,42710,0,-100,-100
Clackmannanshire,2022-12-22,42710,0,-100,-100
Clackmannanshire,2022-12-21,42710,33,-100,-100
Clackmannanshire,2022-12-20,42676,0,-100,-100
Clackmannanshire,2022-12-19,42676,0,-100,-100
Clackmannanshire,2022-12-18,42676,0,0,3
Clackmannanshire,2022-12-17,42676,0,0,3
Clackmannanshire,2022-12-16,42676,0,0,1
Clackmannanshire,2022-12-15,42676,0,0,5
Clackmannanshire,2022-12-14,42676,29,0,3
Clackmannanshire,2022-12-13,42647,0,0,1
Clackmannanshire,2022-12-12,42647,0,0,1
Clackmannanshire,2022-12-11,42647,0,0,3
Clackmannanshire,2022-12-10,42647,0,0,1
Clackmannanshire,2022-12-09,42647,0,0,0
Clackmannanshire,2022-12-08,42647,0,0,1
Clackmannanshire,2022-12-07,42647,37,0,1
Clackmannanshire,2022-12-06,42610,0,0,3
Clackmannanshire,2022-12-05,42610,0,0,1
Clackmannanshire,2022-12-04,42610,0,0,7
Clackmannanshire,2022-12-03,42610,0,0,1
Clackmannanshire,2022-12-02,42610,0,1,0
Clackmannanshire,2022-12-01,42610,0,0,5
Clackmannanshire,2022-11-30,42610,29,0,3
Clackmannanshire,2022-11-29,42581,0,0,1
Clackmannanshire,2022-11-28,42581,0,0,1
Clackmannanshire,2022-11-27,42581,0,0,0
Clackmannanshire,2022-11-26,42581,0,0,1
Clackmannanshire,2022-11-25,42581,0,0,3
Clackmannanshire,2022-11-24,42581,0,0,7
Clackmannanshire,2022-11-23,42581,29,0,5
Clackmannanshire,2022-11-22,42552,0,0,3
Clackmannanshire,2022-11-21,42552,0,0,0
Clackmannanshire,2022-11-20,42552,0,0,1
Clackmannanshire,2022-11-19,42552,0,0,1
Clackmannanshire,2022-11-18,42552,0,0,3
Clackmannanshire,2022-11-17,42552,0,0,0
Clackmannanshire,2022-11-16,42552,40,0,0
Clackmannanshire,2022-11-15,42511,0,0,0
Clackmannanshire,2022-11-14,42511,0,0,5
Clackmannanshire,2022-11-13,42511,0,0,7
Clackmannanshire,2022-11-12,42511,0,0,1
Clackmannanshire,2022-11-11,42511,0,0,1
Clackmannanshire,2022-11-10,42511,0,0,0
Clackmannanshire,2022-11-09,42511,40,0,0
Clackmannanshire,2022-11-08,42470,0,0,5
Clackmannanshire,2022-11-07,42470,0,0,7
Clackmannanshire,2022-11-06,42470,0,0,1
Clackmannanshire,2022-11-05,42470,0,0,5
Clackmannanshire,2022-11-04,42470,0,0,7
Clackmannanshire,2022-11-03,42470,0,0,5
Clackmannanshire,2022-11-02,42470,37,0,0
Clackmannanshire,2022-11-01,42433,0,0,3
Clackmannanshire,2022-10-31,42433,0,0,9
Clackmannanshire,2022-10-30,42433,0,0,0
Clackmannanshire,2022-10-29,42433,0,0,1
Clackmannanshire,2022-10-28,42433,0,0,1
Clackmannanshire,2022-10-27,42433,0,0,1
Clackmannanshire,2022-10-26,42433,74,0,3
Clackmannanshire,2022-10-25,42359,0,0,3
Clackmannanshire,2022-10-24,42359,0,0,11
Clackmannanshire,2022-10-23,42359,0,0,7
Clackmannanshire,2022-10-22,42359,0,0,1
Clackmannanshire,2022-10-21,42359,0,0,5
Clackmannanshire,2022-10-20,42359,0,1,3
Clackmannanshire,2022-10-19,42359,76,0,5
Clackmannanshire,2022-10-18,42283,0,1,9
Clackmannanshire,2022-10-17,42283,0,1,5
Clackmannanshire,2022-10-16,42283,0,1,7
Clackmannanshire,2022-10-15,42283,0,0,0
Clackmannanshire,2022-10-14,42283,0,0,9
Clackmannanshire,2022-10-13,42283,0,0,0
Clackmannanshire,2022-10-12,42283,68,3,15
Clackmannanshire,2022-10-11,42214,0,0,3
Clackmannanshire,2022-10-10,42214,0,0,15
Clackmannanshire,2022-10-09,42214,0,1,1
Clackmannanshire,2022-10-08,42214,0,1,3
Clackmannanshire,2022-10-07,42214,0,0,9
Clackmannanshire,2022-10-06,42214,0,0,5
Clackmannanshire,2022-10-05,42214,72,1,5
Clackmannanshire,2022-10-04,42142,0,0,7
Clackmannanshire,2022-10-03,42142,0,0,5
Clackmannanshire,2022-10-02,42142,0,0,13
Clackmannanshire,2022-10-01,42142,0,0,5
Clackmannanshire,2022-09-30,42142,0,0,13
Clackmannanshire,2022-09-29,42142,0,0,7
Clackmannanshire,2022-09-28,42142,56,0,3
Clackmannanshire,2022-09-27,42086,0,0,7
Clackmannanshire,2022-09-26,42086,0,0,1
Clackmannanshire,2022-09-25,42086,0,0,7
Clackmannanshire,2022-09-24,42086,0,0,5
Clackmannanshire,2022-09-23,42086,0,0,3
Clackmannanshire,2022-09-22,42086,52,0,7
Clackmannanshire,2022-09-21,42033,0,0,5
Clackmannanshire,2022-09-20,42033,0,0,0
Clackmannanshire,2022-09-19,42033,0,0,3
Clackmannanshire,2022-09-18,42033,0,1,3
Clackmannanshire,2022-09-17,42033,0,0,3
Clackmannanshire,2022-09-16,42033,0,0,0
Clackmannanshire,2022-09-15,42033,0,0,1
Clackmannanshire,2022-09-14,42033,91,0,5
Clackmannanshire,2022-09-13,41941,0,0,5
Clackmannanshire,2022-09-12,41941,0,0,5
Clackmannanshire,2022-09-11,41941,0,0,9
Clackmannanshire,2022-09-10,41941,0,0,5
Clackmannanshire,2022-09-09,41941,0,0,5
Clackmannanshire,2022-09-08,41941,0,0,9
Clackmannanshire,2022-09-07,41941,97,1,3
Clackmannanshire,2022-09-06,41844,0,0,3
Clackmannanshire,2022-09-05,41844,0,0,19
Clackmannanshire,2022-09-04,41844,0,0,9
Clackmannanshire,2022-09-03,41844,0,0,3
Clackmannanshire,2022-09-02,41844,0,0,5
Clackmannanshire,2022-09-01,41844,0,0,9
Clackmannanshire,2022-08-31,41844,83,1,7
Clackmannanshire,2022-08-30,41760,0,1,13
Clackmannanshire,2022-08-29,41760,0,3,7
Clackmannanshire,2022-08-28,41760,0,0,17
Clackmannanshire,2022-08-27,41760,0,0,11
Clackmannanshire,2022-08-26,41760,0,0,7
Clackmannanshire,2022-08-25,41760,0,0,3
Clackmannanshire,2022-08-24,41760,68,0,3
Clackmannanshire,2022-08-23,41692,0,1,5
Clackmannanshire,2022-08-22,41692,0,1,7
Clackmannanshire,2022-08-21,41692,0,0,1
Clackmannanshire,2022-08-20,41692,0,0,0
Clackmannanshire,2022-08-19,41692,0,0,7
Clackmannanshire,2022-08-18,41692,0,0,7
Clackmannanshire,2022-08-17,41692,79,0,7
Clackmannanshire,2022-08-16,41612,0,1,3
Clackmannanshire,2022-08-15,41612,0,0,3
Clackmannanshire,2022-08-14,41612,0,0,7
Clackmannanshire,2022-08-13,41612,0,0,0
Clackmannanshire,2022-08-12,41612,0,0,0
Clackmannanshire,2022-08-11,41612,0,0,7
Clackmannanshire,2022-08-10,41612,76,0,13
Clackmannanshire,2022-08-09,41536,0,0,1
Clackmannanshire,2022-08-08,41536,0,1,11
Clackmannanshire,2022-08-07,41536,0,0,1
Clackmannanshire,2022-08-06,41536,0,0,3
Clackmannanshire,2022-08-05,41536,0,0,9
Clackmannanshire,2022-08-04,41536,0,3,7
Clackmannanshire,2022-08-03,41536,97,0,5
Clackmannanshire,2022-08-02,41438,0,1,3
Clackmannanshire,2022-08-01,41438,0,0,13
Clackmannanshire,2022-07-31,41438,0,1,0
Clackmannanshire,2022-07-30,41438,0,0,3
Clackmannanshire,2022-07-29,41438,0,0,5
Clackmannanshire,2022-07-28,41438,0,0,7
Clackmannanshire,2022-07-27,41438,140,0,9
Clackmannanshire,2022-07-26,41298,0,1,7
Clackmannanshire,2022-07-25,41298,0,1,19
Clackmannanshire,2022-07-24,41298,0,0,7
Clackmannanshire,2022-07-23,41298,0,0,9
Clackmannanshire,2022-07-22,41298,0,0,9
Clackmannanshire,2022-07-21,41298,0,3,17
Clackmannanshire,2022-07-20,41298,241,1,23
Clackmannanshire,2022-07-19,41056,0,1,9
Clackmannanshire,2022-07-18,41056,0,5,11
Clackmannanshire,2022-07-17,41056,0,0,9
Clackmannanshire,2022-07-16,41056,0,3,7
Clackmannanshire,2022-07-15,41056,0,0,33
Clackmannanshire,2022-07-14,41056,0,5,19
Clackmannanshire,2022-07-13,41056,310,3,27
Clackmannanshire,2022-07-12,40746,0,3,21
Clackmannanshire,2022-07-11,40746,0,7,40
Clackmannanshire,2022-07-10,40746,0,1,35
Clackmannanshire,2022-07-09,40746,0,1,17
Clackmannanshire,2022-07-08,40746,0,0,35
Clackmannanshire,2022-07-07,40746,0,3,37
Clackmannanshire,2022-07-06,40746,477,3,25
Clackmannanshire,2022-07-05,40269,0,0,19
Clackmannanshire,2022-07-04,40269,0,1,42
Clackmannanshire,2022-07-03,40269,0,3,38
Clackmannanshire,2022-07-02,40269,0,7,44
Clackmannanshire,2022-07-01,40269,0,7,27
Clackmannanshire,2022-06-30,40269,0,3,38
Clackmannanshire,2022-06-29,40269,294,0,25
Clackmannanshire,2022-06-28,39974,0,0,40
Clackmannanshire,2022-06-27,39974,0,1,35
Clackmannanshire,2022-06-26,39974,0,0,48
Clackmannanshire,2022-06-25,39974,0,1,52
Clackmannanshire,2022-06-24,39974,0,1,48
Clackmannanshire,2022-06-23,39974,0,1,50
Clackmannanshire,2022-06-22,39974,235,5,44
Clackmannanshire,2022-06-21,39738,0,5,40
Clackmannanshire,2022-06-20,39738,0,1,33
Clackmannanshire,2022-06-19,39738,0,1,44
Clackmannanshire,2022-06-18,39738,0,1,19
Clackmannanshire,2022-06-17,39738,0,1,17
Clackmannanshire,2022-06-16,39738,0,1,17
Clackmannanshire,2022-06-15,39738,204,1,21
Clackmannanshire,2022-06-14,39534,0,1,31
Clackmannanshire,2022-06-13,39534,0,1,23
Clackmannanshire,2022-06-12,39534,0,1,27
Clackmannanshire,2022-06-11,39534,0,3,11
Clackmannanshire,2022-06-10,39534,0,1,23
Clackmannanshire,2022-06-09,39534,0,5,15
Clackmannanshire,2022-06-08,39534,58,0,15
Clackmannanshire,2022-06-07,39475,0,3,25
Clackmannanshire,2022-06-06,39475,0,0,17
Clackmannanshire,2022-06-05,39475,0,3,27
Clackmannanshire,2022-06-04,39475,0,0,3
Clackmannanshire,2022-06-03,39475,0,0,7
Clackmannanshire,2022-06-02,39475,74,1,7
Clackmannanshire,2022-06-01,39401,0,5,19
Clackmannanshire,2022-05-31,39401,0,1,11
Clackmannanshire,2022-05-30,39401,40,0,33
Clackmannanshire,2022-05-29,39360,0,1,19
Clackmannanshire,2022-05-28,39360,0,0,1
Clackmannanshire,2022-05-27,39360,0,0,11
Clackmannanshire,2022-05-26,39360,37,0,1
Clackmannanshire,2022-05-25,39323,0,3,11
Clackmannanshire,2022-05-24,39323,0,0,9
Clackmannanshire,2022-05-23,39323,46,1,5
