areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Conwy,2020-07-05,101,0,-100,-100
Conwy,2020-07-06,101,0,-100,-100
Conwy,2020-07-07,101,0,-100,-100
Conwy,2020-07-08,101,0,-100,-100
Conwy,2020-07-09,101,0,-100,-100
Conwy,2020-07-10,101,0,-100,-100
Conwy,2020-07-11,101,0,-100,-100
Conwy,2020-07-12,102,0,-100,-100
Conwy,2020-07-13,102,0,-100,-100
Conwy,2020-07-14,106,3,-100,-100
Conwy,2020-07-15,106,0,-100,-100
Conwy,2020-07-16,106,0,-100,-100
Conwy,2020-07-17,107,0,-100,-100
Conwy,2020-07-18,107,0,-100,-100
Conwy,2020-07-19,107,0,-100,-100
Conwy,2020-07-20,107,0,-100,-100
Conwy,2020-07-21,108,0,-100,-100
Conwy,2020-07-22,108,0,-100,-100
Conwy,2020-07-23,108,0,-100,-100
Conwy,2020-07-24,108,0,-100,-100
Conwy,2020-07-25,108,0,-100,-100
Conwy,2020-07-26,108,0,-100,-100
Conwy,2020-07-27,108,0,-100,-100
Conwy,2020-07-28,108,0,-100,-100
Conwy,2020-07-29,108,0,-100,-100
Conwy,2020-07-30,108,0,-100,-100
Conwy,2020-07-31,108,0,-100,-100
Conwy,2020-08-01,108,0,-100,-100
Conwy,2020-08-02,109,0,-100,-100
Conwy,2020-08-03,109,0,-100,-100
Conwy,2020-08-04,109,0,-100,-100
Conwy,2020-08-05,109,0,-100,-100
Conwy,2020-08-06,109,0,-100,-100
Conwy,2020-08-07,109,0,-100,-100
Conwy,2020-08-08,109,0,-100,-100
Conwy,2020-08-09,109,0,-100,-100
Conwy,2020-08-10,110,0,-100,-100
Conwy,2020-08-11,110,0,-100,-100
Conwy,2020-08-12,110,0,-100,-100
Conwy,2020-08-13,110,0,-100,-100
Conwy,2020-08-14,110,0,-100,-100
Conwy,2020-08-15,110,0,-100,-100
Conwy,2020-08-16,110,0,-100,-100
Conwy,2020-08-17,110,0,-100,-100
Conwy,2020-08-18,110,0,-100,-100
Conwy,2020-08-19,110,0,-100,-100
Conwy,2020-08-20,111,0,-100,-100
Conwy,2020-08-21,111,0,-100,-100
Conwy,2020-08-22,111,0,-100,-100
Conwy,2020-08-23,111,0,-100,-100
Conwy,2020-08-24,111,0,-100,-100
Conwy,2020-08-25,111,0,-100,-100
Conwy,2020-08-26,111,0,-100,-100
Conwy,2020-08-27,111,0,-100,-100
Conwy,2020-08-28,111,0,-100,-100
Conwy,2020-08-29,111,0,-100,-100
Conwy,2020-08-30,111,0,-100,-100
Conwy,2020-08-31,111,0,-100,-100
Conwy,2020-09-01,112,0,-100,-100
Conwy,2020-09-02,112,0,-100,-100
Conwy,2020-09-03,112,0,-100,-100
Conwy,2020-09-04,112,0,-100,-100
Conwy,2020-09-05,113,0,-100,-100
Conwy,2020-09-06,113,0,-100,-100
Conwy,2020-09-07,113,0,-100,-100
Conwy,2020-09-08,113,0,-100,-100
Conwy,2020-09-09,114,0,-100,-100
Conwy,2020-09-10,114,0,-100,-100
Conwy,2020-09-11,115,0,-100,-100
Conwy,2020-09-12,116,1,-100,-100
Conwy,2020-09-13,116,0,-100,-100
Conwy,2020-09-14,118,1,-100,-100
Conwy,2020-09-15,119,0,-100,-100
Conwy,2020-09-16,119,0,-100,-100
Conwy,2020-09-17,120,0,-100,-100
Conwy,2020-09-18,121,1,-100,-100
Conwy,2020-09-19,122,1,-100,-100
Conwy,2020-09-20,122,0,-100,-100
Conwy,2020-09-21,123,0,-100,-100
Conwy,2020-09-22,124,0,-100,-100
Conwy,2020-09-23,124,0,-100,-100
