areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
County Durham,2020-07-05,1181,0,-100,-100
County Durham,2020-07-06,1183,2,-100,-100
County Durham,2020-07-07,1183,0,-100,-100
County Durham,2020-07-08,1184,0,-100,-100
County Durham,2020-07-09,1184,0,-100,-100
County Durham,2020-07-10,1185,0,-100,-100
County Durham,2020-07-11,1186,0,-100,-100
County Durham,2020-07-12,1189,3,-100,-100
County Durham,2020-07-13,1189,0,-100,-100
County Durham,2020-07-14,1189,0,-100,-100
County Durham,2020-07-15,1189,0,-100,-100
County Durham,2020-07-16,1190,1,-100,-100
County Durham,2020-07-17,1191,0,-100,-100
County Durham,2020-07-18,1191,0,-100,-100
County Durham,2020-07-19,1193,2,-100,-100
County Durham,2020-07-20,1193,0,-100,-100
County Durham,2020-07-21,1194,0,-100,-100
County Durham,2020-07-22,1194,0,-100,-100
County Durham,2020-07-23,1194,0,-100,-100
County Durham,2020-07-24,1195,0,-100,-100
County Durham,2020-07-25,1197,1,-100,-100
County Durham,2020-07-26,1197,0,-100,-100
County Durham,2020-07-27,1197,0,-100,-100
County Durham,2020-07-28,1198,1,-100,-100
County Durham,2020-07-29,1200,1,-100,-100
County Durham,2020-07-30,1200,0,-100,-100
County Durham,2020-07-31,1201,0,-100,-100
County Durham,2020-08-01,1201,0,-100,-100
County Durham,2020-08-02,1203,1,-100,-100
County Durham,2020-08-03,1203,0,-100,-100
County Durham,2020-08-04,1203,0,-100,-100
County Durham,2020-08-05,1204,0,-100,-100
County Durham,2020-08-06,1204,0,-100,-100
County Durham,2020-08-07,1204,0,-100,-100
County Durham,2020-08-08,1205,0,-100,-100
County Durham,2020-08-09,1206,0,-100,-100
County Durham,2020-08-10,1206,0,-100,-100
County Durham,2020-08-11,1208,1,-100,-100
County Durham,2020-08-12,1208,0,-100,-100
County Durham,2020-08-13,1208,0,-100,-100
County Durham,2020-08-14,1211,2,-100,-100
County Durham,2020-08-15,1211,0,-100,-100
County Durham,2020-08-16,1216,5,-100,-100
County Durham,2020-08-17,1219,2,-100,-100
County Durham,2020-08-18,1222,2,-100,-100
County Durham,2020-08-19,1223,1,-100,-100
County Durham,2020-08-20,1226,2,-100,-100
County Durham,2020-08-21,1226,0,-100,-100
County Durham,2020-08-22,1230,3,-100,-100
County Durham,2020-08-23,1232,1,-100,-100
County Durham,2020-08-24,1236,3,-100,-100
