areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Coventry,2020-07-05,359,2,-100,-100
Coventry,2020-07-06,357,0,-100,-100
Coventry,2020-07-07,358,0,-100,-100
Coventry,2020-07-08,358,0,-100,-100
Coventry,2020-07-09,359,1,-100,-100
Coventry,2020-07-10,359,0,-100,-100
Coventry,2020-07-11,360,0,-100,-100
Coventry,2020-07-12,361,0,-100,-100
Coventry,2020-07-13,361,0,-100,-100
Coventry,2020-07-14,361,0,-100,-100
Coventry,2020-07-15,362,0,-100,-100
Coventry,2020-07-16,363,1,-100,-100
Coventry,2020-07-17,364,1,-100,-100
Coventry,2020-07-18,364,0,-100,-100
Coventry,2020-07-19,366,1,-100,-100
Coventry,2020-07-20,367,1,-100,-100
Coventry,2020-07-21,368,1,-100,-100
Coventry,2020-07-22,369,0,-100,-100
Coventry,2020-07-23,369,0,-100,-100
Coventry,2020-07-24,371,1,-100,-100
Coventry,2020-07-25,372,1,-100,-100
Coventry,2020-07-26,374,2,-100,-100
Coventry,2020-07-27,376,1,-100,-100
Coventry,2020-07-28,378,1,-100,-100
Coventry,2020-07-29,380,1,-100,-100
Coventry,2020-07-30,382,2,-100,-100
Coventry,2020-07-31,383,1,-100,-100
Coventry,2020-08-01,387,3,-100,-100
Coventry,2020-08-02,388,0,-100,-100
Coventry,2020-08-03,391,3,-100,-100
Coventry,2020-08-04,393,1,-100,-100
Coventry,2020-08-05,395,2,-100,-100
Coventry,2020-08-06,395,0,-100,-100
Coventry,2020-08-07,397,1,-100,-100
Coventry,2020-08-08,398,1,-100,-100
Coventry,2020-08-09,402,3,-100,-100
Coventry,2020-08-10,404,2,-100,-100
Coventry,2020-08-11,408,3,-100,-100
Coventry,2020-08-12,411,2,-100,-100
Coventry,2020-08-13,411,0,-100,-100
Coventry,2020-08-14,416,5,-100,-100
Coventry,2020-08-15,419,2,-100,-100
Coventry,2020-08-16,423,4,-100,-100
Coventry,2020-08-17,426,2,-100,-100
Coventry,2020-08-18,430,4,-100,-100
Coventry,2020-08-19,431,1,-100,-100
Coventry,2020-08-20,434,2,-100,-100
Coventry,2020-08-21,434,0,-100,-100
Coventry,2020-08-22,437,2,-100,-100
Coventry,2020-08-23,439,1,-100,-100
Coventry,2020-08-24,439,0,-100,-100
Coventry,2020-08-25,441,2,-100,-100
Coventry,2020-08-26,445,3,-100,-100
Coventry,2020-08-27,448,3,-100,-100
Coventry,2020-08-28,450,2,-100,-100
Coventry,2020-08-29,454,4,-100,-100
Coventry,2020-08-30,457,2,-100,-100
Coventry,2020-08-31,459,1,-100,-100
Coventry,2020-09-01,460,1,-100,-100
Coventry,2020-09-02,463,2,-100,-100
Coventry,2020-09-03,465,1,-100,-100
Coventry,2020-09-04,470,5,-100,-100
Coventry,2020-09-05,471,1,-100,-100
Coventry,2020-09-06,476,5,-100,-100
Coventry,2020-09-07,480,3,-100,-100
