areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Croydon,2020-07-05,970,0,-100,-100
Croydon,2020-07-06,971,1,-100,-100
Croydon,2020-07-07,972,0,-100,-100
Croydon,2020-07-08,972,0,-100,-100
Croydon,2020-07-09,974,2,-100,-100
Croydon,2020-07-10,974,0,-100,-100
Croydon,2020-07-11,975,1,-100,-100
Croydon,2020-07-12,976,1,-100,-100
Croydon,2020-07-13,978,1,-100,-100
Croydon,2020-07-14,978,0,-100,-100
Croydon,2020-07-15,978,0,-100,-100
Croydon,2020-07-16,978,0,-100,-100
Croydon,2020-07-17,979,0,-100,-100
Croydon,2020-07-18,980,1,-100,-100
Croydon,2020-07-19,981,1,-100,-100
Croydon,2020-07-20,981,0,-100,-100
Croydon,2020-07-21,981,0,-100,-100
Croydon,2020-07-22,981,0,-100,-100
Croydon,2020-07-23,982,1,-100,-100
Croydon,2020-07-24,984,1,-100,-100
Croydon,2020-07-25,984,0,-100,-100
Croydon,2020-07-26,984,0,-100,-100
Croydon,2020-07-27,986,2,-100,-100
Croydon,2020-07-28,987,0,-100,-100
Croydon,2020-07-29,989,2,-100,-100
Croydon,2020-07-30,991,2,-100,-100
Croydon,2020-07-31,992,0,-100,-100
Croydon,2020-08-01,992,0,-100,-100
Croydon,2020-08-02,993,0,-100,-100
Croydon,2020-08-03,994,1,-100,-100
Croydon,2020-08-04,994,0,-100,-100
Croydon,2020-08-05,995,1,-100,-100
Croydon,2020-08-06,997,1,-100,-100
Croydon,2020-08-07,998,1,-100,-100
Croydon,2020-08-08,999,1,-100,-100
Croydon,2020-08-09,1001,1,-100,-100
Croydon,2020-08-10,1002,1,-100,-100
Croydon,2020-08-11,1003,1,-100,-100
Croydon,2020-08-12,1004,1,-100,-100
Croydon,2020-08-13,1004,0,-100,-100
Croydon,2020-08-14,1006,2,-100,-100
Croydon,2020-08-15,1006,0,-100,-100
Croydon,2020-08-16,1009,2,-100,-100
Croydon,2020-08-17,1011,2,-100,-100
Croydon,2020-08-18,1013,2,-100,-100
Croydon,2020-08-19,1015,2,-100,-100
Croydon,2020-08-20,1020,4,-100,-100
Croydon,2020-08-21,1021,1,-100,-100
Croydon,2020-08-22,1024,3,-100,-100
Croydon,2020-08-23,1027,2,-100,-100
Croydon,2020-08-24,1028,0,-100,-100
Croydon,2020-08-25,1030,2,-100,-100
Croydon,2020-08-26,1032,2,-100,-100
Croydon,2020-08-27,1035,3,-100,-100
Croydon,2020-08-28,1039,3,-100,-100
Croydon,2020-08-29,1040,1,-100,-100
Croydon,2020-08-30,1042,2,-100,-100
Croydon,2020-08-31,1043,1,-100,-100
Croydon,2020-09-01,1048,4,-100,-100
Croydon,2020-09-02,1056,8,-100,-100
Croydon,2020-09-03,1060,3,-100,-100
Croydon,2020-09-04,1065,5,-100,-100
Croydon,2020-09-05,1068,2,-100,-100
Croydon,2020-09-06,1073,5,-100,-100
Croydon,2020-09-07,1078,4,-100,-100
Croydon,2020-09-08,1084,6,-100,-100
Croydon,2020-09-09,1089,4,-100,-100
Croydon,2020-09-10,1091,2,-100,-100
Croydon,2020-09-11,1100,8,-100,-100
Croydon,2020-09-12,1107,7,-100,-100
Croydon,2020-09-13,1111,3,-100,-100
Croydon,2020-09-14,1115,4,-100,-100
Croydon,2020-09-15,1120,4,-100,-100
Croydon,2020-09-16,1122,2,-100,-100
Croydon,2020-09-17,1125,2,-100,-100
Croydon,2020-09-18,1130,4,-100,-100
Croydon,2020-09-19,1133,3,-100,-100
Croydon,2020-09-20,1138,4,-100,-100
Croydon,2020-09-21,1144,5,-100,-100
Croydon,2020-09-22,1146,2,-100,-100
Croydon,2020-09-23,1150,3,-100,-100
Croydon,2020-09-24,1162,12,-100,-100
Croydon,2020-09-25,1170,7,-100,-100
Croydon,2020-09-26,1172,1,-100,-100
Croydon,2020-09-27,1180,7,-100,-100
Croydon,2020-09-28,1185,5,-100,-100
Croydon,2020-09-29,1198,13,-100,-100
Croydon,2020-09-30,1206,8,-100,-100
Croydon,2020-10-01,1215,8,-100,-100
Croydon,2020-10-02,1232,16,-100,-100
Croydon,2020-10-03,1247,14,-100,-100
Croydon,2020-10-04,1289,42,-100,-100
Croydon,2020-10-05,1317,28,-100,-100
Croydon,2020-10-06,1335,17,-100,-100
Croydon,2020-10-07,1353,17,-100,-100
Croydon,2020-10-08,1384,31,-100,-100
Croydon,2020-10-09,1403,18,-100,-100
Croydon,2020-10-10,1416,13,-100,-100
Croydon,2020-10-11,1432,15,-100,-100
Croydon,2020-10-12,1443,11,-100,-100
Croydon,2020-10-13,1468,25,-100,-100
Croydon,2020-10-14,1501,33,-100,-100
Croydon,2020-10-15,1533,32,-100,-100
Croydon,2020-10-16,1548,15,-100,-100
Croydon,2020-10-17,1569,20,-100,-100
Croydon,2020-10-18,1590,21,-100,-100
Croydon,2020-10-19,1616,25,-100,-100
Croydon,2020-10-20,1642,26,-100,-100
Croydon,2020-10-21,1688,45,-100,-100
Croydon,2020-10-22,1713,24,-100,-100
Croydon,2020-10-23,1751,38,-100,-100
Croydon,2020-10-24,1784,32,-100,-100
Croydon,2020-10-25,1821,37,-100,-100
Croydon,2020-10-26,1858,36,-100,-100
Croydon,2020-10-27,1889,31,-100,-100
Croydon,2020-10-28,1934,45,-100,-100
Croydon,2020-10-29,1956,22,-100,-100
Croydon,2020-10-30,2008,52,-100,-100
Croydon,2020-10-31,2041,32,-100,-100
Croydon,2020-11-01,2076,34,-100,-100
Croydon,2020-11-02,2110,34,-100,-100
Croydon,2020-11-03,2139,29,-100,-100
Croydon,2020-11-04,2171,31,-100,-100
Croydon,2020-11-05,2223,52,-100,-100
Croydon,2020-11-06,2253,29,-100,-100
Croydon,2020-11-07,2291,37,-100,-100
Croydon,2020-11-08,2320,28,-100,-100
Croydon,2020-11-09,2357,36,-100,-100
Croydon,2020-11-10,2383,26,-100,-100
Croydon,2020-11-11,2410,26,-100,-100
Croydon,2020-11-12,2480,69,-100,-100
Croydon,2020-11-13,2559,78,-100,-100
Croydon,2020-11-14,2594,35,-100,-100
Croydon,2020-11-15,2641,46,-100,-100
Croydon,2020-11-16,2608,0,-100,-100
Croydon,2020-11-17,2665,57,-100,-100
Croydon,2020-11-18,2700,34,-100,-100
Croydon,2020-11-19,2739,39,-100,-100
Croydon,2020-11-20,2776,36,-100,-100
Croydon,2020-11-21,2839,63,-100,-100
Croydon,2020-11-22,2902,62,-100,-100
Croydon,2020-11-23,2945,43,-100,-100
Croydon,2020-11-24,2967,21,-100,-100
Croydon,2020-11-25,3020,53,-100,-100
Croydon,2020-11-26,3054,33,-100,-100
Croydon,2020-11-27,3093,38,-100,-100
Croydon,2020-11-28,3128,35,-100,-100
Croydon,2020-11-29,3165,36,-100,-100
Croydon,2020-11-30,3187,22,-100,0
Croydon,2020-12-01,3229,41,-100,0
Croydon,2020-12-02,3291,62,-100,0
Croydon,2020-12-03,3328,37,-100,0
Croydon,2020-12-04,3385,56,0,0
Croydon,2020-12-05,3436,51,0,0
Croydon,2020-12-06,3496,59,0,0
Croydon,2020-12-07,3546,49,0,0
Croydon,2020-12-08,3578,32,0,0
Croydon,2020-12-09,3642,64,0,0
Croydon,2020-12-10,3733,91,0,0
Croydon,2020-12-11,3832,98,0,0
Croydon,2020-12-12,3915,83,0,0
Croydon,2020-12-13,4005,89,0,0
Croydon,2020-12-14,4117,112,0,0
Croydon,2020-12-15,4212,94,0,0
Croydon,2020-12-16,4363,150,0,0
Croydon,2020-12-17,4518,155,0,0
Croydon,2020-12-18,4666,147,0,0
Croydon,2020-12-19,4843,177,0,0
Croydon,2020-12-20,5074,230,0,0
Croydon,2020-12-21,5250,176,0,0
Croydon,2020-12-22,5448,197,0,0
Croydon,2020-12-23,5643,195,1,0
Croydon,2020-12-24,5834,190,0,0
Croydon,2020-12-25,6091,257,0,0
Croydon,2020-12-26,6365,274,0,0
Croydon,2020-12-27,6614,248,0,0
Croydon,2020-12-28,6893,278,0,1
Croydon,2020-12-29,7179,286,2,0
Croydon,2020-12-30,7481,301,0,0
Croydon,2020-12-31,7735,254,1,2
Croydon,2021-01-01,8097,361,0,0
Croydon,2021-01-02,8427,330,1,0
Croydon,2021-01-03,8746,318,0,1
Croydon,2021-01-04,9048,302,3,1
Croydon,2021-01-05,9366,318,4,2
Croydon,2021-01-06,9731,364,2,0
Croydon,2021-01-07,10029,298,2,2
Croydon,2021-01-08,10470,440,4,1
Croydon,2021-01-09,10807,337,2,0
Croydon,2021-01-10,11150,343,2,0
Croydon,2021-01-11,11450,299,3,1
Croydon,2021-01-12,11652,202,2,2
Croydon,2021-01-13,11924,272,1,2
Croydon,2021-01-14,12198,274,1,0
Croydon,2021-01-15,12443,244,3,0
Croydon,2021-01-16,12677,233,1,0
Croydon,2021-01-17,12964,287,0,1
Croydon,2021-01-18,13147,183,5,1
Croydon,2021-01-19,13321,174,2,0
Croydon,2021-01-20,13438,116,2,0
Croydon,2021-01-21,13673,235,0,0
Croydon,2021-01-22,13898,225,3,1
Croydon,2021-01-23,14039,140,0,0
Croydon,2021-01-24,14199,160,0,0
Croydon,2021-01-25,14268,68,3,1
Croydon,2021-01-26,14356,87,1,0
Croydon,2021-01-27,14433,77,1,0
Croydon,2021-01-28,14542,108,3,0
Croydon,2021-01-29,14686,144,0,2
Croydon,2021-01-30,14762,76,0,0
Croydon,2021-01-31,14834,72,1,0
Croydon,2021-02-01,14902,67,3,2
Croydon,2021-02-02,14966,64,1,1
Croydon,2021-02-03,15034,67,0,1
Croydon,2021-02-04,15109,75,0,1
Croydon,2021-02-05,15174,64,0,0
Croydon,2021-02-06,15229,54,0,0
Croydon,2021-02-07,15298,69,1,0
Croydon,2021-02-08,15332,33,1,1
Croydon,2021-02-09,15370,38,1,0
Croydon,2021-02-10,15403,33,0,0
Croydon,2021-02-11,15441,37,0,1
Croydon,2021-02-12,15478,36,0,1
Croydon,2021-02-13,15506,28,0,0
Croydon,2021-02-14,15534,27,0,0
Croydon,2021-02-15,15556,21,0,0
Croydon,2021-02-16,15580,24,0,1
Croydon,2021-02-17,15602,22,0,1
Croydon,2021-02-18,15645,42,0,1
Croydon,2021-02-19,15675,30,0,1
Croydon,2021-02-20,15703,28,0,0
Croydon,2021-02-21,15735,31,1,0
Croydon,2021-02-22,15762,27,1,1
Croydon,2021-02-23,15782,19,0,0
Croydon,2021-02-24,15797,15,0,0
Croydon,2021-02-25,15820,23,0,0
Croydon,2021-02-26,15835,14,0,0
Croydon,2021-02-27,15858,22,0,0
Croydon,2021-02-28,15868,10,0,0
Croydon,2021-03-01,15882,13,0,1
Croydon,2021-03-02,15895,13,0,1
Croydon,2021-03-03,15909,13,0,0
Croydon,2021-03-04,15926,17,0,0
Croydon,2021-03-05,15937,10,0,0
Croydon,2021-03-06,15946,9,0,0
Croydon,2021-03-07,15953,7,0,0
Croydon,2021-03-08,15960,6,0,2
Croydon,2021-03-09,15975,15,1,1
Croydon,2021-03-10,15987,11,0,0
Croydon,2021-03-11,15999,12,0,1
Croydon,2021-03-12,16013,14,0,1
Croydon,2021-03-13,16023,10,0,0
Croydon,2021-03-14,16034,11,0,1
Croydon,2021-03-15,16043,8,0,1
Croydon,2021-03-16,16051,7,0,1
Croydon,2021-03-17,16061,10,0,1
Croydon,2021-03-18,16069,7,0,1
Croydon,2021-03-19,16075,5,0,1
Croydon,2021-03-20,16080,4,1,0
Croydon,2021-03-21,16086,6,0,1
Croydon,2021-03-22,16092,5,0,2
Croydon,2021-03-23,16099,6,0,1
Croydon,2021-03-24,16106,7,0,3
Croydon,2021-03-25,16114,7,0,1
Croydon,2021-03-26,16120,5,0,1
Croydon,2021-03-27,16125,4,1,0
Croydon,2021-03-28,16131,6,0,4
Croydon,2021-03-29,16136,5,0,2
Croydon,2021-03-30,16144,7,0,1
Croydon,2021-03-31,16149,4,0,2
Croydon,2021-04-01,16153,4,0,0
Croydon,2021-04-02,16155,2,1,0
Croydon,2021-04-03,16159,3,0,1
Croydon,2021-04-04,16161,2,0,1
Croydon,2021-04-05,16163,2,0,0
Croydon,2021-04-06,16167,4,0,0
Croydon,2021-04-07,16172,4,0,1
Croydon,2021-04-08,16177,4,1,0
Croydon,2021-04-09,16169,0,0,0
Croydon,2021-04-10,16171,2,0,1
Croydon,2021-04-11,16172,1,0,1
Croydon,2021-04-12,16180,7,0,0
Croydon,2021-04-13,16185,5,0,1
Croydon,2021-04-14,16191,5,1,1
Croydon,2021-04-15,16193,2,0,0
Croydon,2021-04-16,16195,2,0,0
Croydon,2021-04-17,16199,4,1,0
Croydon,2021-04-18,16201,1,0,2
Croydon,2021-04-19,16204,3,0,2
Croydon,2021-04-20,16215,11,0,1
Croydon,2021-04-21,16219,4,0,2
Croydon,2021-04-22,16223,4,0,1
Croydon,2021-04-23,16233,9,0,1
Croydon,2021-04-24,16237,4,0,0
Croydon,2021-04-25,16238,0,0,2
Croydon,2021-04-26,16244,5,0,2
Croydon,2021-04-27,16252,8,0,2
Croydon,2021-04-28,16255,3,0,2
Croydon,2021-04-29,16263,7,0,1
Croydon,2021-04-30,16270,6,2,1
Croydon,2021-05-01,16274,4,0,0
Croydon,2021-05-02,16279,4,0,0
Croydon,2021-05-03,16280,1,0,2
Croydon,2021-05-04,16285,5,0,0
Croydon,2021-05-05,16290,4,0,1
Croydon,2021-05-06,16295,5,0,2
Croydon,2021-05-07,16302,6,1,1
Croydon,2021-05-08,16310,7,0,1
Croydon,2021-05-09,16318,8,0,2
Croydon,2021-05-10,16327,8,1,2
Croydon,2021-05-11,16335,7,1,1
Croydon,2021-05-12,16345,9,0,2
Croydon,2021-05-13,16352,7,2,2
Croydon,2021-05-14,16364,12,0,1
Croydon,2021-05-15,16369,4,0,0
Croydon,2021-05-16,16375,5,2,1
Croydon,2021-05-17,16384,8,4,1
Croydon,2021-05-18,16383,0,2,1
Croydon,2021-05-19,16392,8,1,0
Croydon,2021-05-20,16405,12,1,1
Croydon,2021-05-21,16418,13,2,0
Croydon,2021-05-22,16433,15,1,0
Croydon,2021-05-23,16439,5,3,3
Croydon,2021-05-24,16453,13,4,1
Croydon,2021-05-25,16462,9,1,1
Croydon,2021-05-26,16473,10,2,0
Croydon,2021-05-27,16484,11,3,1
Croydon,2021-05-28,16504,20,1,0
Croydon,2021-05-29,16518,13,2,1
Croydon,2021-05-30,16528,9,2,2
Croydon,2021-05-31,16545,17,4,1
Croydon,2021-06-01,16555,9,2,0
Croydon,2021-06-02,16568,12,4,1
Croydon,2021-06-03,16588,19,4,2
Croydon,2021-06-04,16606,18,6,0
Croydon,2021-06-05,16624,17,4,1
Croydon,2021-06-06,16640,16,4,0
Croydon,2021-06-07,16660,19,6,2
Croydon,2021-06-08,16684,24,1,1
Croydon,2021-06-09,16709,25,3,1
Croydon,2021-06-10,16728,18,4,0
Croydon,2021-06-11,16751,22,2,1
Croydon,2021-06-12,16771,19,1,1
Croydon,2021-06-13,16789,18,3,3
Croydon,2021-06-14,16808,18,5,1
Croydon,2021-06-15,16819,10,6,1
Croydon,2021-06-16,16840,21,1,0
Croydon,2021-06-17,16863,22,5,2
Croydon,2021-06-18,16888,25,2,1
Croydon,2021-06-19,16908,19,3,1
Croydon,2021-06-20,16925,16,5,3
Croydon,2021-06-21,16951,26,5,0
Croydon,2021-06-22,16971,19,9,0
Croydon,2021-06-23,17004,32,5,3
Croydon,2021-06-24,17034,29,3,2
Croydon,2021-06-25,17052,18,4,3
Croydon,2021-06-26,17078,25,8,1
Croydon,2021-06-27,17103,24,8,4
Croydon,2021-06-28,17152,49,13,3
Croydon,2021-06-29,17191,38,11,5
Croydon,2021-06-30,17242,51,7,4
Croydon,2021-07-01,17291,48,7,5
Croydon,2021-07-02,17343,52,8,4
Croydon,2021-07-03,17397,53,12,2
Croydon,2021-07-04,17439,42,12,5
Croydon,2021-07-05,17501,61,12,2
