areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Cumbria,2020-07-05,906,0,-100,-100
Cumbria,2020-07-06,906,0,-100,-100
Cumbria,2020-07-07,907,1,-100,-100
Cumbria,2020-07-08,911,3,-100,-100
Cumbria,2020-07-09,914,3,-100,-100
Cumbria,2020-07-10,915,0,-100,-100
Cumbria,2020-07-11,916,0,-100,-100
Cumbria,2020-07-12,916,0,-100,-100
Cumbria,2020-07-13,918,1,-100,-100
Cumbria,2020-07-14,919,1,-100,-100
Cumbria,2020-07-15,921,1,-100,-100
Cumbria,2020-07-16,923,1,-100,-100
Cumbria,2020-07-17,926,3,-100,-100
Cumbria,2020-07-18,930,4,-100,-100
Cumbria,2020-07-19,933,2,-100,-100
Cumbria,2020-07-20,936,3,-100,-100
Cumbria,2020-07-21,937,0,-100,-100
Cumbria,2020-07-22,939,2,-100,-100
Cumbria,2020-07-23,942,2,-100,-100
Cumbria,2020-07-24,945,3,-100,-100
Cumbria,2020-07-25,946,0,-100,-100
Cumbria,2020-07-26,948,2,-100,-100
Cumbria,2020-07-27,950,1,-100,-100
Cumbria,2020-07-28,952,2,-100,-100
Cumbria,2020-07-29,957,5,-100,-100
Cumbria,2020-07-30,960,3,-100,-100
Cumbria,2020-07-31,962,2,-100,-100
Cumbria,2020-08-01,966,3,-100,-100
Cumbria,2020-08-02,969,3,-100,-100
Cumbria,2020-08-03,972,3,-100,-100
Cumbria,2020-08-04,974,1,-100,-100
Cumbria,2020-08-05,975,1,-100,-100
Cumbria,2020-08-06,980,5,-100,-100
Cumbria,2020-08-07,984,4,-100,-100
Cumbria,2020-08-08,989,4,-100,-100
Cumbria,2020-08-09,991,1,-100,-100
Cumbria,2020-08-10,992,1,-100,-100
Cumbria,2020-08-11,993,1,-100,-100
Cumbria,2020-08-12,996,3,-100,-100
Cumbria,2020-08-13,996,0,-100,-100
Cumbria,2020-08-14,1005,8,-100,-100
Cumbria,2020-08-15,1007,2,-100,-100
Cumbria,2020-08-16,1007,0,-100,-100
Cumbria,2020-08-17,1011,3,-100,-100
Cumbria,2020-08-18,1013,2,-100,-100
Cumbria,2020-08-19,1013,0,-100,-100
Cumbria,2020-08-20,1015,1,-100,-100
Cumbria,2020-08-21,1018,2,-100,-100
Cumbria,2020-08-22,1018,0,-100,-100
Cumbria,2020-08-23,1019,1,-100,-100
Cumbria,2020-08-24,1022,2,-100,-100
Cumbria,2020-08-25,1022,0,-100,-100
Cumbria,2020-08-26,1024,2,-100,-100
Cumbria,2020-08-27,1025,1,-100,-100
Cumbria,2020-08-28,1026,1,-100,-100
Cumbria,2020-08-29,1026,0,-100,-100
Cumbria,2020-08-30,1031,4,-100,-100
Cumbria,2020-08-31,1033,2,-100,-100
Cumbria,2020-09-01,1033,0,-100,-100
Cumbria,2020-09-02,1035,1,-100,-100
Cumbria,2020-09-03,1037,2,-100,-100
Cumbria,2020-09-04,1041,3,-100,-100
Cumbria,2020-09-05,1043,2,-100,-100
Cumbria,2020-09-06,1046,3,-100,-100
Cumbria,2020-09-07,1050,4,-100,-100
Cumbria,2020-09-08,1053,2,-100,-100
Cumbria,2020-09-09,1056,3,-100,-100
Cumbria,2020-09-10,1059,2,-100,-100
Cumbria,2020-09-11,1065,6,-100,-100
Cumbria,2020-09-12,1072,6,-100,-100
Cumbria,2020-09-13,1075,3,-100,-100
Cumbria,2020-09-14,1077,1,-100,-100
Cumbria,2020-09-15,1081,4,-100,-100
Cumbria,2020-09-16,1087,6,-100,-100
Cumbria,2020-09-17,1092,5,-100,-100
Cumbria,2020-09-18,1101,8,-100,-100
Cumbria,2020-09-19,1107,6,-100,-100
Cumbria,2020-09-20,1113,5,-100,-100
Cumbria,2020-09-21,1118,4,-100,-100
Cumbria,2020-09-22,1127,9,-100,-100
Cumbria,2020-09-23,1137,10,-100,-100
Cumbria,2020-09-24,1149,11,-100,-100
Cumbria,2020-09-25,1162,13,-100,-100
Cumbria,2020-09-26,1174,11,-100,-100
Cumbria,2020-09-27,1183,9,-100,-100
Cumbria,2020-09-28,1189,5,-100,-100
Cumbria,2020-09-29,1200,11,-100,-100
Cumbria,2020-09-30,1211,10,-100,-100
Cumbria,2020-10-01,1221,9,-100,-100
Cumbria,2020-10-02,1232,10,-100,-100
Cumbria,2020-10-03,1250,18,-100,-100
Cumbria,2020-10-04,1301,51,-100,-100
Cumbria,2020-10-05,1327,25,-100,-100
Cumbria,2020-10-06,1353,26,-100,-100
Cumbria,2020-10-07,1383,29,-100,-100
Cumbria,2020-10-08,1412,28,-100,-100
Cumbria,2020-10-09,1449,37,-100,-100
Cumbria,2020-10-10,1486,37,-100,-100
Cumbria,2020-10-11,1509,22,-100,-100
Cumbria,2020-10-12,1533,24,-100,-100
Cumbria,2020-10-13,1556,23,-100,-100
Cumbria,2020-10-14,1595,38,-100,-100
Cumbria,2020-10-15,1638,43,-100,-100
Cumbria,2020-10-16,1672,34,-100,-100
Cumbria,2020-10-17,1709,36,-100,-100
Cumbria,2020-10-18,1724,14,-100,-100
Cumbria,2020-10-19,1755,31,-100,-100
Cumbria,2020-10-20,1808,53,-100,-100
Cumbria,2020-10-21,1877,68,-100,-100
Cumbria,2020-10-22,1925,47,-100,-100
Cumbria,2020-10-23,1959,34,-100,-100
