areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Denbighshire,2020-07-05,986,0,-100,-100
Denbighshire,2020-07-06,987,1,-100,-100
Denbighshire,2020-07-07,987,0,-100,-100
Denbighshire,2020-07-08,987,0,-100,-100
Denbighshire,2020-07-09,987,0,-100,-100
Denbighshire,2020-07-10,989,1,-100,-100
Denbighshire,2020-07-11,989,0,-100,-100
Denbighshire,2020-07-12,990,1,-100,-100
Denbighshire,2020-07-13,990,0,-100,-100
Denbighshire,2020-07-14,1052,61,-100,-100
Denbighshire,2020-07-15,1053,1,-100,-100
Denbighshire,2020-07-16,1053,0,-100,-100
Denbighshire,2020-07-17,1054,1,-100,-100
Denbighshire,2020-07-18,1057,2,-100,-100
Denbighshire,2020-07-19,1059,1,-100,-100
Denbighshire,2020-07-20,1059,0,-100,-100
Denbighshire,2020-07-21,1061,2,-100,-100
Denbighshire,2020-07-22,1063,1,-100,-100
Denbighshire,2020-07-23,1065,2,-100,-100
Denbighshire,2020-07-24,1068,2,-100,-100
Denbighshire,2020-07-25,1068,0,-100,-100
Denbighshire,2020-07-26,1068,0,-100,-100
Denbighshire,2020-07-27,1071,2,-100,-100
Denbighshire,2020-07-28,1074,2,-100,-100
Denbighshire,2020-07-29,1076,2,-100,-100
Denbighshire,2020-07-30,1076,0,-100,-100
Denbighshire,2020-07-31,1087,10,-100,-100
Denbighshire,2020-08-01,1090,2,-100,-100
Denbighshire,2020-08-02,1096,5,-100,-100
Denbighshire,2020-08-03,1098,2,-100,-100
Denbighshire,2020-08-04,1098,0,-100,-100
Denbighshire,2020-08-05,1101,2,-100,-100
Denbighshire,2020-08-06,1104,2,-100,-100
Denbighshire,2020-08-07,1107,2,-100,-100
Denbighshire,2020-08-08,1107,0,-100,-100
Denbighshire,2020-08-09,1108,1,-100,-100
Denbighshire,2020-08-10,1109,1,-100,-100
Denbighshire,2020-08-11,1109,0,-100,-100
Denbighshire,2020-08-12,1109,0,-100,-100
Denbighshire,2020-08-13,1111,1,-100,-100
Denbighshire,2020-08-14,1112,1,-100,-100
Denbighshire,2020-08-15,1112,0,-100,-100
Denbighshire,2020-08-16,1115,2,-100,-100
Denbighshire,2020-08-17,1115,0,-100,-100
Denbighshire,2020-08-18,1118,2,-100,-100
Denbighshire,2020-08-19,1120,2,-100,-100
Denbighshire,2020-08-20,1122,1,-100,-100
Denbighshire,2020-08-21,1122,0,-100,-100
Denbighshire,2020-08-22,1122,0,-100,-100
Denbighshire,2020-08-23,1122,0,-100,-100
Denbighshire,2020-08-24,1123,1,-100,-100
Denbighshire,2020-08-25,1124,1,-100,-100
Denbighshire,2020-08-26,1124,0,-100,-100
Denbighshire,2020-08-27,1126,1,-100,-100
Denbighshire,2020-08-28,1129,2,-100,-100
Denbighshire,2020-08-29,1129,0,-100,-100
Denbighshire,2020-08-30,1131,2,-100,-100
Denbighshire,2020-08-31,1131,0,-100,-100
Denbighshire,2020-09-01,1131,0,-100,-100
Denbighshire,2020-09-02,1131,0,-100,-100
Denbighshire,2020-09-03,1131,0,-100,-100
Denbighshire,2020-09-04,1131,0,-100,-100
Denbighshire,2020-09-05,1131,0,-100,-100
Denbighshire,2020-09-06,1133,1,-100,-100
Denbighshire,2020-09-07,1137,4,-100,-100
