areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Derby,2020-07-05,326,0,-100,-100
Derby,2020-07-06,327,0,-100,-100
Derby,2020-07-07,328,1,-100,-100
Derby,2020-07-08,330,1,-100,-100
Derby,2020-07-09,330,0,-100,-100
Derby,2020-07-10,331,0,-100,-100
Derby,2020-07-11,333,1,-100,-100
Derby,2020-07-12,334,0,-100,-100
Derby,2020-07-13,334,0,-100,-100
Derby,2020-07-14,334,0,-100,-100
Derby,2020-07-15,334,0,-100,-100
Derby,2020-07-16,335,1,-100,-100
Derby,2020-07-17,336,0,-100,-100
Derby,2020-07-18,336,0,-100,-100
Derby,2020-07-19,338,1,-100,-100
Derby,2020-07-20,338,0,-100,-100
Derby,2020-07-21,338,0,-100,-100
Derby,2020-07-22,338,0,-100,-100
Derby,2020-07-23,339,0,-100,-100
Derby,2020-07-24,339,0,-100,-100
Derby,2020-07-25,339,0,-100,-100
Derby,2020-07-26,340,0,-100,-100
Derby,2020-07-27,340,0,-100,-100
Derby,2020-07-28,340,0,-100,-100
Derby,2020-07-29,340,0,-100,-100
Derby,2020-07-30,341,0,-100,-100
Derby,2020-07-31,341,0,-100,-100
Derby,2020-08-01,342,1,-100,-100
Derby,2020-08-02,343,0,-100,-100
Derby,2020-08-03,344,1,-100,-100
Derby,2020-08-04,345,1,-100,-100
Derby,2020-08-05,346,0,-100,-100
Derby,2020-08-06,346,0,-100,-100
Derby,2020-08-07,347,0,-100,-100
Derby,2020-08-08,347,0,-100,-100
Derby,2020-08-09,347,0,-100,-100
Derby,2020-08-10,348,0,-100,-100
Derby,2020-08-11,349,1,-100,-100
Derby,2020-08-12,349,0,-100,-100
Derby,2020-08-13,349,0,-100,-100
Derby,2020-08-14,354,4,-100,-100
Derby,2020-08-15,354,0,-100,-100
Derby,2020-08-16,355,0,-100,-100
Derby,2020-08-17,356,1,-100,-100
Derby,2020-08-18,357,1,-100,-100
Derby,2020-08-19,358,0,-100,-100
Derby,2020-08-20,358,0,-100,-100
Derby,2020-08-21,359,0,-100,-100
Derby,2020-08-22,360,1,-100,-100
Derby,2020-08-23,361,0,-100,-100
Derby,2020-08-24,362,0,-100,-100
Derby,2020-08-25,363,1,-100,-100
Derby,2020-08-26,364,0,-100,-100
Derby,2020-08-27,364,0,-100,-100
Derby,2020-08-28,364,0,-100,-100
Derby,2020-08-29,365,0,-100,-100
Derby,2020-08-30,365,0,-100,-100
Derby,2020-08-31,366,0,-100,-100
Derby,2020-09-01,367,1,-100,-100
Derby,2020-09-02,368,0,-100,-100
Derby,2020-09-03,368,0,-100,-100
Derby,2020-09-04,370,1,-100,-100
Derby,2020-09-05,373,2,-100,-100
Derby,2020-09-06,374,1,-100,-100
Derby,2020-09-07,377,2,-100,-100
Derby,2020-09-08,378,1,-100,-100
Derby,2020-09-09,379,0,-100,-100
Derby,2020-09-10,380,1,-100,-100
Derby,2020-09-11,384,4,-100,-100
Derby,2020-09-12,385,1,-100,-100
Derby,2020-09-13,386,1,-100,-100
Derby,2020-09-14,389,2,-100,-100
Derby,2020-09-15,391,1,-100,-100
Derby,2020-09-16,393,2,-100,-100
Derby,2020-09-17,397,3,-100,-100
Derby,2020-09-18,403,6,-100,-100
Derby,2020-09-19,406,2,-100,-100
Derby,2020-09-20,408,2,-100,-100
Derby,2020-09-21,414,5,-100,-100
Derby,2020-09-22,416,2,-100,-100
Derby,2020-09-23,421,5,-100,-100
Derby,2020-09-24,424,3,-100,-100
Derby,2020-09-25,430,5,-100,-100
Derby,2020-09-26,434,4,-100,-100
Derby,2020-09-27,436,2,-100,-100
Derby,2020-09-28,438,2,-100,-100
Derby,2020-09-29,441,2,-100,-100
Derby,2020-09-30,446,4,-100,-100
Derby,2020-10-01,450,4,-100,-100
Derby,2020-10-02,455,5,-100,-100
Derby,2020-10-03,462,6,-100,-100
Derby,2020-10-04,480,17,-100,-100
Derby,2020-10-05,486,5,-100,-100
Derby,2020-10-06,494,8,-100,-100
Derby,2020-10-07,504,9,-100,-100
Derby,2020-10-08,516,12,-100,-100
Derby,2020-10-09,527,10,-100,-100
Derby,2020-10-10,537,10,-100,-100
Derby,2020-10-11,550,12,-100,-100
Derby,2020-10-12,561,11,-100,-100
Derby,2020-10-13,580,19,-100,-100
Derby,2020-10-14,592,11,-100,-100
Derby,2020-10-15,614,22,-100,-100
Derby,2020-10-16,622,7,-100,-100
Derby,2020-10-17,633,11,-100,-100
Derby,2020-10-18,653,19,-100,-100
Derby,2020-10-19,674,21,-100,-100
Derby,2020-10-20,697,23,-100,-100
Derby,2020-10-21,727,29,-100,-100
Derby,2020-10-22,762,34,-100,-100
Derby,2020-10-23,789,27,-100,-100
Derby,2020-10-24,827,38,-100,-100
Derby,2020-10-25,859,31,-100,-100
Derby,2020-10-26,894,35,-100,-100
Derby,2020-10-27,928,34,-100,-100
Derby,2020-10-28,964,35,-100,-100
Derby,2020-10-29,995,31,-100,-100
Derby,2020-10-30,1040,44,-100,-100
Derby,2020-10-31,1079,38,-100,-100
Derby,2020-11-01,1127,47,-100,-100
Derby,2020-11-02,1156,29,-100,-100
Derby,2020-11-03,1191,35,-100,-100
Derby,2020-11-04,1231,39,-100,-100
Derby,2020-11-05,1266,34,-100,-100
Derby,2020-11-06,1312,46,-100,-100
Derby,2020-11-07,1351,38,-100,-100
Derby,2020-11-08,1388,37,-100,-100
Derby,2020-11-09,1442,53,-100,-100
Derby,2020-11-10,1496,54,-100,-100
Derby,2020-11-11,1524,27,-100,-100
Derby,2020-11-12,1581,57,-100,-100
Derby,2020-11-13,1617,35,-100,-100
Derby,2020-11-14,1642,25,-100,-100
Derby,2020-11-15,1698,56,-100,-100
Derby,2020-11-16,1707,8,-100,-100
Derby,2020-11-17,1737,30,-100,-100
Derby,2020-11-18,1762,24,-100,-100
Derby,2020-11-19,1784,21,-100,-100
Derby,2020-11-20,1813,28,-100,-100
Derby,2020-11-21,1854,40,-100,-100
Derby,2020-11-22,1876,22,-100,-100
Derby,2020-11-23,1896,20,-100,-100
Derby,2020-11-24,1908,11,-100,-100
Derby,2020-11-25,1927,19,-100,-100
Derby,2020-11-26,1948,21,-100,-100
Derby,2020-11-27,1975,27,-100,-100
Derby,2020-11-28,1993,18,-100,-100
Derby,2020-11-29,2006,12,-100,-100
Derby,2020-11-30,2012,6,-100,-100
Derby,2020-12-01,2023,10,-100,-100
Derby,2020-12-02,2039,16,-100,0
Derby,2020-12-03,2051,11,-100,0
Derby,2020-12-04,2065,14,-100,0
Derby,2020-12-05,2086,20,-100,0
Derby,2020-12-06,2099,13,0,0
Derby,2020-12-07,2111,11,0,0
Derby,2020-12-08,2124,13,0,0
Derby,2020-12-09,2135,11,0,0
Derby,2020-12-10,2163,27,0,0
Derby,2020-12-11,2182,18,0,0
Derby,2020-12-12,2198,15,0,0
Derby,2020-12-13,2219,21,0,0
Derby,2020-12-14,2233,13,0,0
Derby,2020-12-15,2249,16,0,0
Derby,2020-12-16,2278,28,0,0
Derby,2020-12-17,2295,17,0,0
Derby,2020-12-18,2326,31,0,0
Derby,2020-12-19,2339,12,0,0
Derby,2020-12-20,2361,22,0,0
Derby,2020-12-21,2384,23,0,0
Derby,2020-12-22,2409,24,0,1
Derby,2020-12-23,2434,25,0,0
Derby,2020-12-24,2456,22,0,0
Derby,2020-12-25,2490,33,0,0
Derby,2020-12-26,2519,29,0,0
Derby,2020-12-27,2531,11,0,0
Derby,2020-12-28,2568,36,0,0
Derby,2020-12-29,2606,38,1,0
Derby,2020-12-30,2645,38,0,0
Derby,2020-12-31,2700,54,0,0
Derby,2021-01-01,2768,68,0,0
Derby,2021-01-02,2816,48,0,0
Derby,2021-01-03,2836,19,0,0
Derby,2021-01-04,2915,79,0,0
Derby,2021-01-05,2975,60,0,0
Derby,2021-01-06,3054,78,0,0
Derby,2021-01-07,3116,61,0,0
Derby,2021-01-08,3187,71,0,0
Derby,2021-01-09,3251,63,0,0
Derby,2021-01-10,3307,56,0,0
Derby,2021-01-11,3384,76,1,0
Derby,2021-01-12,3441,56,1,0
Derby,2021-01-13,3510,69,1,0
Derby,2021-01-14,3594,84,0,0
Derby,2021-01-15,3661,67,1,1
Derby,2021-01-16,3730,68,0,0
Derby,2021-01-17,3776,45,0,0
Derby,2021-01-18,3831,55,1,1
Derby,2021-01-19,3873,42,1,0
Derby,2021-01-20,3940,66,2,0
Derby,2021-01-21,4005,65,0,0
Derby,2021-01-22,4063,57,0,0
