areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Derbyshire,2020-07-05,965,1,-100,-100
Derbyshire,2020-07-06,965,0,-100,-100
Derbyshire,2020-07-07,967,1,-100,-100
Derbyshire,2020-07-08,968,1,-100,-100
Derbyshire,2020-07-09,971,2,-100,-100
Derbyshire,2020-07-10,971,0,-100,-100
Derbyshire,2020-07-11,971,0,-100,-100
Derbyshire,2020-07-12,972,1,-100,-100
Derbyshire,2020-07-13,973,0,-100,-100
Derbyshire,2020-07-14,973,0,-100,-100
Derbyshire,2020-07-15,974,0,-100,-100
Derbyshire,2020-07-16,975,1,-100,-100
Derbyshire,2020-07-17,976,1,-100,-100
Derbyshire,2020-07-18,978,1,-100,-100
Derbyshire,2020-07-19,980,1,-100,-100
Derbyshire,2020-07-20,981,1,-100,-100
Derbyshire,2020-07-21,981,0,-100,-100
Derbyshire,2020-07-22,982,0,-100,-100
Derbyshire,2020-07-23,983,1,-100,-100
Derbyshire,2020-07-24,985,1,-100,-100
Derbyshire,2020-07-25,985,0,-100,-100
Derbyshire,2020-07-26,991,5,-100,-100
Derbyshire,2020-07-27,992,0,-100,-100
Derbyshire,2020-07-28,993,0,-100,-100
Derbyshire,2020-07-29,994,1,-100,-100
Derbyshire,2020-07-30,996,1,-100,-100
Derbyshire,2020-07-31,997,1,-100,-100
Derbyshire,2020-08-01,999,1,-100,-100
Derbyshire,2020-08-02,1000,1,-100,-100
Derbyshire,2020-08-03,1002,1,-100,-100
Derbyshire,2020-08-04,1005,3,-100,-100
Derbyshire,2020-08-05,1009,3,-100,-100
Derbyshire,2020-08-06,1009,0,-100,-100
Derbyshire,2020-08-07,1012,2,-100,-100
Derbyshire,2020-08-08,1012,0,-100,-100
Derbyshire,2020-08-09,1015,2,-100,-100
Derbyshire,2020-08-10,1016,1,-100,-100
Derbyshire,2020-08-11,1019,3,-100,-100
Derbyshire,2020-08-12,1021,1,-100,-100
Derbyshire,2020-08-13,1021,0,-100,-100
Derbyshire,2020-08-14,1027,6,-100,-100
Derbyshire,2020-08-15,1028,1,-100,-100
Derbyshire,2020-08-16,1029,1,-100,-100
Derbyshire,2020-08-17,1030,0,-100,-100
Derbyshire,2020-08-18,1032,2,-100,-100
Derbyshire,2020-08-19,1034,1,-100,-100
Derbyshire,2020-08-20,1035,1,-100,-100
Derbyshire,2020-08-21,1036,0,-100,-100
Derbyshire,2020-08-22,1038,1,-100,-100
Derbyshire,2020-08-23,1040,2,-100,-100
Derbyshire,2020-08-24,1040,0,-100,-100
Derbyshire,2020-08-25,1042,1,-100,-100
Derbyshire,2020-08-26,1044,1,-100,-100
Derbyshire,2020-08-27,1048,3,-100,-100
Derbyshire,2020-08-28,1049,0,-100,-100
Derbyshire,2020-08-29,1050,1,-100,-100
Derbyshire,2020-08-30,1055,4,-100,-100
Derbyshire,2020-08-31,1056,1,-100,-100
Derbyshire,2020-09-01,1058,2,-100,-100
Derbyshire,2020-09-02,1060,2,-100,-100
Derbyshire,2020-09-03,1063,3,-100,-100
Derbyshire,2020-09-04,1067,3,-100,-100
Derbyshire,2020-09-05,1070,3,-100,-100
Derbyshire,2020-09-06,1075,5,-100,-100
Derbyshire,2020-09-07,1086,10,-100,-100
Derbyshire,2020-09-08,1090,4,-100,-100
Derbyshire,2020-09-09,1096,5,-100,-100
Derbyshire,2020-09-10,1102,6,-100,-100
Derbyshire,2020-09-11,1118,15,-100,-100
Derbyshire,2020-09-12,1127,8,-100,-100
Derbyshire,2020-09-13,1140,13,-100,-100
Derbyshire,2020-09-14,1148,8,-100,-100
Derbyshire,2020-09-15,1156,8,-100,-100
Derbyshire,2020-09-16,1167,10,-100,-100
Derbyshire,2020-09-17,1174,6,-100,-100
Derbyshire,2020-09-18,1183,9,-100,-100
Derbyshire,2020-09-19,1192,9,-100,-100
Derbyshire,2020-09-20,1202,10,-100,-100
Derbyshire,2020-09-21,1210,7,-100,-100
Derbyshire,2020-09-22,1220,10,-100,-100
Derbyshire,2020-09-23,1237,17,-100,-100
Derbyshire,2020-09-24,1250,12,-100,-100
Derbyshire,2020-09-25,1264,14,-100,-100
Derbyshire,2020-09-26,1275,11,-100,-100
Derbyshire,2020-09-27,1291,15,-100,-100
Derbyshire,2020-09-28,1300,9,-100,-100
Derbyshire,2020-09-29,1314,13,-100,-100
Derbyshire,2020-09-30,1331,16,-100,-100
Derbyshire,2020-10-01,1345,13,-100,-100
Derbyshire,2020-10-02,1357,12,-100,-100
Derbyshire,2020-10-03,1384,26,-100,-100
Derbyshire,2020-10-04,1446,62,-100,-100
Derbyshire,2020-10-05,1483,37,-100,-100
Derbyshire,2020-10-06,1525,41,-100,-100
Derbyshire,2020-10-07,1564,38,-100,-100
Derbyshire,2020-10-08,1614,50,-100,-100
Derbyshire,2020-10-09,1657,42,-100,-100
Derbyshire,2020-10-10,1693,36,-100,-100
Derbyshire,2020-10-11,1734,41,-100,-100
Derbyshire,2020-10-12,1789,54,-100,-100
Derbyshire,2020-10-13,1842,52,-100,-100
Derbyshire,2020-10-14,1904,61,-100,-100
Derbyshire,2020-10-15,1968,63,-100,-100
Derbyshire,2020-10-16,2002,34,-100,-100
Derbyshire,2020-10-17,2057,55,-100,-100
Derbyshire,2020-10-18,2117,60,-100,-100
Derbyshire,2020-10-19,2207,89,-100,-100
Derbyshire,2020-10-20,2304,97,-100,-100
Derbyshire,2020-10-21,2414,109,-100,-100
Derbyshire,2020-10-22,2506,91,-100,-100
Derbyshire,2020-10-23,2601,94,-100,-100
Derbyshire,2020-10-24,2706,105,-100,-100
Derbyshire,2020-10-25,2806,100,-100,-100
Derbyshire,2020-10-26,2908,101,-100,-100
Derbyshire,2020-10-27,3027,118,-100,-100
Derbyshire,2020-10-28,3129,101,-100,-100
Derbyshire,2020-10-29,3246,116,-100,-100
Derbyshire,2020-10-30,3371,125,-100,-100
Derbyshire,2020-10-31,3498,126,-100,-100
Derbyshire,2020-11-01,3635,137,-100,-100
Derbyshire,2020-11-02,3720,85,-100,-100
Derbyshire,2020-11-03,3828,107,-100,-100
Derbyshire,2020-11-04,3928,99,-100,-100
Derbyshire,2020-11-05,4055,127,-100,-100
Derbyshire,2020-11-06,4163,108,-100,-100
Derbyshire,2020-11-07,4294,130,-100,-100
Derbyshire,2020-11-08,4407,112,-100,-100
Derbyshire,2020-11-09,4527,120,-100,-100
Derbyshire,2020-11-10,4669,141,-100,-100
Derbyshire,2020-11-11,4764,94,-100,-100
Derbyshire,2020-11-12,4901,137,-100,-100
Derbyshire,2020-11-13,5016,114,-100,-100
Derbyshire,2020-11-14,5118,102,-100,-100
Derbyshire,2020-11-15,5243,125,-100,-100
Derbyshire,2020-11-16,5203,0,-100,-100
Derbyshire,2020-11-17,5298,95,-100,-100
Derbyshire,2020-11-18,5385,86,-100,-100
Derbyshire,2020-11-19,5461,76,-100,-100
Derbyshire,2020-11-20,5535,74,-100,-100
Derbyshire,2020-11-21,5625,90,-100,-100
Derbyshire,2020-11-22,5697,72,-100,-100
Derbyshire,2020-11-23,5772,74,-100,-100
Derbyshire,2020-11-24,5804,31,-100,-100
Derbyshire,2020-11-25,5866,61,-100,-100
Derbyshire,2020-11-26,5926,60,-100,0
Derbyshire,2020-11-27,5978,51,-100,0
Derbyshire,2020-11-28,6021,43,-100,0
Derbyshire,2020-11-29,6054,32,-100,0
Derbyshire,2020-11-30,6094,39,-100,0
Derbyshire,2020-12-01,6128,34,-100,0
Derbyshire,2020-12-02,6189,60,-100,0
Derbyshire,2020-12-03,6215,26,-100,0
Derbyshire,2020-12-04,6260,44,-100,0
Derbyshire,2020-12-05,6320,60,-100,0
Derbyshire,2020-12-06,6365,44,-100,0
Derbyshire,2020-12-07,6403,38,-100,0
Derbyshire,2020-12-08,6434,31,-100,0
Derbyshire,2020-12-09,6481,46,-100,0
Derbyshire,2020-12-10,6542,60,-100,0
Derbyshire,2020-12-11,6594,52,-100,0
Derbyshire,2020-12-12,6667,72,-100,0
Derbyshire,2020-12-13,6723,56,-100,0
Derbyshire,2020-12-14,6757,33,-100,0
Derbyshire,2020-12-15,6809,52,0,0
Derbyshire,2020-12-16,6860,51,0,0
Derbyshire,2020-12-17,6910,50,0,0
Derbyshire,2020-12-18,6985,74,0,0
Derbyshire,2020-12-19,7039,54,0,0
Derbyshire,2020-12-20,7111,71,0,0
Derbyshire,2020-12-21,7179,68,0,1
Derbyshire,2020-12-22,7256,77,1,1
Derbyshire,2020-12-23,7329,72,1,1
Derbyshire,2020-12-24,7425,95,0,0
Derbyshire,2020-12-25,7507,82,0,0
Derbyshire,2020-12-26,7576,69,0,0
Derbyshire,2020-12-27,7606,29,0,0
Derbyshire,2020-12-28,7710,103,4,0
Derbyshire,2020-12-29,7820,110,3,0
Derbyshire,2020-12-30,7915,94,3,0
Derbyshire,2020-12-31,8019,103,2,0
Derbyshire,2021-01-01,8148,129,0,0
