areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Derry City and Strabane,2022-05-20,41215,9,-100,-100
Derry City and Strabane,2022-05-19,41206,11,-100,-100
Derry City and Strabane,2022-05-18,41195,7,-100,-100
Derry City and Strabane,2022-05-17,41188,17,-100,-100
Derry City and Strabane,2022-05-16,41170,45,-100,-100
Derry City and Strabane,2022-05-15,41124,0,-100,-100
Derry City and Strabane,2022-05-14,41124,0,-100,-100
Derry City and Strabane,2022-05-13,41124,0,-100,-100
Derry City and Strabane,2022-05-12,41124,0,-100,-100
Derry City and Strabane,2022-05-11,41124,0,-100,-100
Derry City and Strabane,2022-05-10,41124,6,-100,-100
Derry City and Strabane,2022-05-09,41118,21,-100,-100
Derry City and Strabane,2022-05-08,41096,0,-100,-100
Derry City and Strabane,2022-05-07,41096,0,-100,-100
Derry City and Strabane,2022-05-06,41096,8,-100,-100
Derry City and Strabane,2022-05-05,41088,14,-100,-100
Derry City and Strabane,2022-05-04,41073,15,-100,-100
Derry City and Strabane,2022-05-03,41058,30,-100,-100
Derry City and Strabane,2022-05-02,41027,0,-100,-100
Derry City and Strabane,2022-05-01,41027,0,-100,-100
Derry City and Strabane,2022-04-30,41027,0,-100,-100
Derry City and Strabane,2022-04-29,41027,15,-100,-100
Derry City and Strabane,2022-04-28,41012,17,-100,-100
Derry City and Strabane,2022-04-27,40994,13,-100,-100
Derry City and Strabane,2022-04-26,40981,25,-100,-100
Derry City and Strabane,2022-04-25,40955,53,-100,-100
Derry City and Strabane,2022-04-24,40902,0,-100,-100
Derry City and Strabane,2022-04-23,40902,0,-100,-100
Derry City and Strabane,2022-04-22,40902,41,-100,-100
Derry City and Strabane,2022-04-21,40861,41,-100,-100
Derry City and Strabane,2022-04-20,40819,21,-100,-100
Derry City and Strabane,2022-04-19,40797,107,-100,-100
Derry City and Strabane,2022-04-18,40689,0,-100,-100
Derry City and Strabane,2022-04-17,40689,0,-100,-100
Derry City and Strabane,2022-04-16,40689,0,-100,-100
Derry City and Strabane,2022-04-15,40689,0,-100,-100
Derry City and Strabane,2022-04-14,40689,33,-100,-100
Derry City and Strabane,2022-04-13,40656,29,-100,-100
Derry City and Strabane,2022-04-12,40626,44,-100,-100
Derry City and Strabane,2022-04-11,40581,91,-100,-100
Derry City and Strabane,2022-04-10,40490,0,-100,-100
Derry City and Strabane,2022-04-09,40490,0,-100,-100
Derry City and Strabane,2022-04-08,40490,43,-100,-100
Derry City and Strabane,2022-04-07,40447,38,-100,-100
Derry City and Strabane,2022-04-06,40409,45,-100,-100
Derry City and Strabane,2022-04-05,40363,71,-100,-100
Derry City and Strabane,2022-04-04,40292,131,-100,-100
Derry City and Strabane,2022-04-03,40161,0,-100,-100
Derry City and Strabane,2022-04-02,40161,0,-100,-100
Derry City and Strabane,2022-04-01,40161,60,-100,-100
Derry City and Strabane,2022-03-31,40100,84,-100,-100
Derry City and Strabane,2022-03-30,40016,78,-100,-100
Derry City and Strabane,2022-03-29,39938,99,-100,-100
Derry City and Strabane,2022-03-28,39838,225,-100,-100
Derry City and Strabane,2022-03-27,39613,0,-100,-100
Derry City and Strabane,2022-03-26,39613,0,-100,-100
Derry City and Strabane,2022-03-25,39613,103,-100,-100
Derry City and Strabane,2022-03-24,39510,159,-100,-100
Derry City and Strabane,2022-03-23,39351,135,-100,-100
Derry City and Strabane,2022-03-22,39215,168,-100,-100
Derry City and Strabane,2022-03-21,39047,310,-100,-100
Derry City and Strabane,2022-03-20,38736,0,-100,-100
Derry City and Strabane,2022-03-19,38736,0,-100,-100
Derry City and Strabane,2022-03-18,38736,223,-100,-100
Derry City and Strabane,2022-03-17,38513,0,-100,-100
Derry City and Strabane,2022-03-16,38513,128,-100,-100
Derry City and Strabane,2022-03-15,38385,133,-100,-100
Derry City and Strabane,2022-03-14,38252,285,-100,-100
Derry City and Strabane,2022-03-13,37966,0,-100,-100
Derry City and Strabane,2022-03-12,37966,0,-100,-100
Derry City and Strabane,2022-03-11,37966,116,-100,-100
Derry City and Strabane,2022-03-10,37850,126,-100,-100
Derry City and Strabane,2022-03-09,37723,139,-100,-100
Derry City and Strabane,2022-03-08,37584,136,-100,-100
Derry City and Strabane,2022-03-07,37447,292,-100,-100
Derry City and Strabane,2022-03-06,37154,0,-100,-100
Derry City and Strabane,2022-03-05,37154,0,-100,-100
Derry City and Strabane,2022-03-04,37154,246,-100,-100
Derry City and Strabane,2022-03-03,36908,7,-100,-100
Derry City and Strabane,2022-03-02,36901,133,-100,-100
Derry City and Strabane,2022-03-01,36767,140,-100,-100
Derry City and Strabane,2022-02-28,36627,246,-100,-100
Derry City and Strabane,2022-02-27,36380,0,-100,-100
Derry City and Strabane,2022-02-26,36380,0,-100,-100
Derry City and Strabane,2022-02-25,36380,88,-100,-100
Derry City and Strabane,2022-02-24,36292,125,-100,-100
Derry City and Strabane,2022-02-23,36166,109,-100,-100
Derry City and Strabane,2022-02-22,36056,148,-100,-100
Derry City and Strabane,2022-02-21,35907,309,-100,-100
Derry City and Strabane,2022-02-20,35598,0,-100,-100
Derry City and Strabane,2022-02-19,35598,0,-100,-100
Derry City and Strabane,2022-02-18,35598,135,-100,-100
Derry City and Strabane,2022-02-17,35463,172,-100,-100
Derry City and Strabane,2022-02-16,35291,148,-100,-100
Derry City and Strabane,2022-02-15,35142,129,-100,-100
Derry City and Strabane,2022-02-14,35013,305,-100,-100
Derry City and Strabane,2022-02-13,34708,0,-100,-100
Derry City and Strabane,2022-02-12,34708,0,-100,-100
Derry City and Strabane,2022-02-11,34708,132,-100,-100
Derry City and Strabane,2022-02-10,34576,136,-100,-100
Derry City and Strabane,2022-02-09,34440,137,-100,-100
Derry City and Strabane,2022-02-08,34302,133,-100,-100
Derry City and Strabane,2022-02-07,34169,295,-100,-100
Derry City and Strabane,2022-02-06,33873,0,-100,-100
Derry City and Strabane,2022-02-05,33873,0,-100,-100
Derry City and Strabane,2022-02-04,33873,111,-100,-100
Derry City and Strabane,2022-02-03,33762,134,-100,-100
Derry City and Strabane,2022-02-02,33628,118,-100,-100
Derry City and Strabane,2022-02-01,33509,139,-100,-100
Derry City and Strabane,2022-01-31,33369,947,-100,-100
Derry City and Strabane,2022-01-30,32422,0,-100,-100
Derry City and Strabane,2022-01-29,32422,0,-100,-100
Derry City and Strabane,2022-01-28,32422,99,-100,-100
Derry City and Strabane,2022-01-27,32322,114,-100,-100
Derry City and Strabane,2022-01-26,32207,123,-100,-100
Derry City and Strabane,2022-01-25,32084,155,-100,-100
Derry City and Strabane,2022-01-24,31928,324,-100,-100
Derry City and Strabane,2022-01-23,31603,0,-100,-100
Derry City and Strabane,2022-01-22,31603,0,-100,-100
Derry City and Strabane,2022-01-21,31603,123,-100,-100
Derry City and Strabane,2022-01-20,31479,149,-100,-100
Derry City and Strabane,2022-01-19,31330,165,-100,-100
Derry City and Strabane,2022-01-18,31164,142,-100,-100
Derry City and Strabane,2022-01-17,31021,355,-100,-100
Derry City and Strabane,2022-01-16,30666,0,-100,-100
Derry City and Strabane,2022-01-15,30666,0,-100,-100
Derry City and Strabane,2022-01-14,30666,136,-100,-100
Derry City and Strabane,2022-01-13,30530,163,-100,-100
Derry City and Strabane,2022-01-12,30366,138,-100,-100
Derry City and Strabane,2022-01-11,30227,221,-100,-100
Derry City and Strabane,2022-01-10,30006,637,-100,-100
Derry City and Strabane,2022-01-09,29368,0,-100,-100
Derry City and Strabane,2022-01-08,29368,0,-100,-100
Derry City and Strabane,2022-01-07,29368,494,-100,-100
Derry City and Strabane,2022-01-06,28874,479,-100,-100
Derry City and Strabane,2022-01-05,28395,634,-100,-100
Derry City and Strabane,2022-01-04,27760,2588,-100,-100
Derry City and Strabane,2022-01-03,25172,0,-100,-100
Derry City and Strabane,2022-01-02,25172,0,-100,-100
Derry City and Strabane,2022-01-01,25172,0,-100,-100
Derry City and Strabane,2021-12-31,25172,743,-100,-100
Derry City and Strabane,2021-12-30,24429,391,-100,-100
Derry City and Strabane,2021-12-29,24038,1734,-100,-100
Derry City and Strabane,2021-12-28,22303,0,-100,-100
Derry City and Strabane,2021-12-27,22303,0,-100,-100
Derry City and Strabane,2021-12-26,22303,0,-100,-100
Derry City and Strabane,2021-12-25,22303,0,-100,-100
Derry City and Strabane,2021-12-24,22303,189,-100,-100
Derry City and Strabane,2021-12-23,22114,176,-100,-100
Derry City and Strabane,2021-12-22,21937,218,-100,-100
Derry City and Strabane,2021-12-21,21719,105,-100,-100
Derry City and Strabane,2021-12-20,21613,354,-100,-100
Derry City and Strabane,2021-12-19,21259,0,-100,-100
Derry City and Strabane,2021-12-18,21259,0,-100,-100
Derry City and Strabane,2021-12-17,21259,118,-100,-100
Derry City and Strabane,2021-12-16,21141,111,-100,-100
Derry City and Strabane,2021-12-15,21029,107,-100,-100
Derry City and Strabane,2021-12-14,20921,91,-100,-100
Derry City and Strabane,2021-12-13,20829,232,-100,-100
Derry City and Strabane,2021-12-12,20597,0,-100,-100
Derry City and Strabane,2021-12-11,20597,0,-100,-100
Derry City and Strabane,2021-12-10,20597,78,-100,-100
Derry City and Strabane,2021-12-09,20518,89,-100,-100
Derry City and Strabane,2021-12-08,20428,95,-100,-100
Derry City and Strabane,2021-12-07,20333,88,-100,-100
Derry City and Strabane,2021-12-06,20244,214,-100,-100
Derry City and Strabane,2021-12-05,20030,0,-100,-100
Derry City and Strabane,2021-12-04,20030,0,-100,-100
Derry City and Strabane,2021-12-03,20030,90,-100,-100
Derry City and Strabane,2021-12-02,19940,82,-100,-100
Derry City and Strabane,2021-12-01,19857,82,-100,-100
Derry City and Strabane,2021-11-30,19775,69,-100,-100
Derry City and Strabane,2021-11-29,19706,166,-100,-100
Derry City and Strabane,2021-11-28,19540,0,-100,-100
Derry City and Strabane,2021-11-27,19540,0,-100,-100
Derry City and Strabane,2021-11-26,19540,78,-100,-100
Derry City and Strabane,2021-11-25,19462,60,-100,-100
Derry City and Strabane,2021-11-24,19401,85,-100,-100
Derry City and Strabane,2021-11-23,19316,68,-100,-100
Derry City and Strabane,2021-11-22,19248,183,-100,-100
Derry City and Strabane,2021-11-21,19064,0,-100,-100
Derry City and Strabane,2021-11-20,19064,0,-100,-100
Derry City and Strabane,2021-11-19,19064,63,-100,-100
Derry City and Strabane,2021-11-18,19000,70,-100,-100
