areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Devon,2020-07-05,224,0,-100,-100
Devon,2020-07-06,224,0,-100,-100
Devon,2020-07-07,225,0,-100,-100
Devon,2020-07-08,225,0,-100,-100
Devon,2020-07-09,226,0,-100,-100
Devon,2020-07-10,226,0,-100,-100
Devon,2020-07-11,227,0,-100,-100
Devon,2020-07-12,227,0,-100,-100
Devon,2020-07-13,228,0,-100,-100
Devon,2020-07-14,228,0,-100,-100
Devon,2020-07-15,228,0,-100,-100
Devon,2020-07-16,229,0,-100,-100
Devon,2020-07-17,229,0,-100,-100
Devon,2020-07-18,230,0,-100,-100
Devon,2020-07-19,230,0,-100,-100
Devon,2020-07-20,231,0,-100,-100
Devon,2020-07-21,231,0,-100,-100
Devon,2020-07-22,231,0,-100,-100
Devon,2020-07-23,232,0,-100,-100
Devon,2020-07-24,232,0,-100,-100
Devon,2020-07-25,233,0,-100,-100
Devon,2020-07-26,233,0,-100,-100
Devon,2020-07-27,234,0,-100,-100
Devon,2020-07-28,234,0,-100,-100
Devon,2020-07-29,234,0,-100,-100
Devon,2020-07-30,234,0,-100,-100
Devon,2020-07-31,235,0,-100,-100
Devon,2020-08-01,235,0,-100,-100
Devon,2020-08-02,235,0,-100,-100
Devon,2020-08-03,236,0,-100,-100
Devon,2020-08-04,237,0,-100,-100
Devon,2020-08-05,237,0,-100,-100
Devon,2020-08-06,237,0,-100,-100
Devon,2020-08-07,237,0,-100,-100
Devon,2020-08-08,237,0,-100,-100
Devon,2020-08-09,237,0,-100,-100
Devon,2020-08-10,238,0,-100,-100
Devon,2020-08-11,238,0,-100,-100
Devon,2020-08-12,238,0,-100,-100
Devon,2020-08-13,238,0,-100,-100
Devon,2020-08-14,239,1,-100,-100
Devon,2020-08-15,239,0,-100,-100
Devon,2020-08-16,240,0,-100,-100
Devon,2020-08-17,240,0,-100,-100
Devon,2020-08-18,241,0,-100,-100
Devon,2020-08-19,242,1,-100,-100
Devon,2020-08-20,242,0,-100,-100
Devon,2020-08-21,244,1,-100,-100
Devon,2020-08-22,245,1,-100,-100
Devon,2020-08-23,246,1,-100,-100
Devon,2020-08-24,247,1,-100,-100
Devon,2020-08-25,249,1,-100,-100
Devon,2020-08-26,250,0,-100,-100
Devon,2020-08-27,251,1,-100,-100
Devon,2020-08-28,253,1,-100,-100
Devon,2020-08-29,254,1,-100,-100
Devon,2020-08-30,255,0,-100,-100
Devon,2020-08-31,256,1,-100,-100
Devon,2020-09-01,257,0,-100,-100
Devon,2020-09-02,257,0,-100,-100
Devon,2020-09-03,258,0,-100,-100
Devon,2020-09-04,260,1,-100,-100
Devon,2020-09-05,261,1,-100,-100
Devon,2020-09-06,264,2,-100,-100
Devon,2020-09-07,266,2,-100,-100
Devon,2020-09-08,268,1,-100,-100
Devon,2020-09-09,270,2,-100,-100
Devon,2020-09-10,271,1,-100,-100
Devon,2020-09-11,274,2,-100,-100
Devon,2020-09-12,275,1,-100,-100
Devon,2020-09-13,276,1,-100,-100
Devon,2020-09-14,277,1,-100,-100
Devon,2020-09-15,278,1,-100,-100
Devon,2020-09-16,280,2,-100,-100
Devon,2020-09-17,281,0,-100,-100
Devon,2020-09-18,283,1,-100,-100
Devon,2020-09-19,283,0,-100,-100
Devon,2020-09-20,285,1,-100,-100
Devon,2020-09-21,286,0,-100,-100
Devon,2020-09-22,290,3,-100,-100
Devon,2020-09-23,293,3,-100,-100
Devon,2020-09-24,295,2,-100,-100
Devon,2020-09-25,300,5,-100,-100
Devon,2020-09-26,305,4,-100,-100
Devon,2020-09-27,309,3,-100,-100
Devon,2020-09-28,311,2,-100,-100
Devon,2020-09-29,316,4,-100,-100
Devon,2020-09-30,321,5,-100,-100
Devon,2020-10-01,326,4,-100,-100
Devon,2020-10-02,335,8,-100,-100
Devon,2020-10-03,347,12,-100,-100
Devon,2020-10-04,379,31,-100,-100
Devon,2020-10-05,409,30,-100,-100
Devon,2020-10-06,425,15,-100,-100
Devon,2020-10-07,445,19,-100,-100
Devon,2020-10-08,483,38,-100,-100
Devon,2020-10-09,507,24,-100,-100
Devon,2020-10-10,531,23,-100,-100
Devon,2020-10-11,542,11,-100,-100
Devon,2020-10-12,553,11,-100,-100
Devon,2020-10-13,575,21,-100,-100
Devon,2020-10-14,600,25,-100,-100
Devon,2020-10-15,625,25,-100,-100
Devon,2020-10-16,639,14,-100,-100
Devon,2020-10-17,660,20,-100,-100
Devon,2020-10-18,670,10,-100,-100
Devon,2020-10-19,682,12,-100,-100
Devon,2020-10-20,703,21,-100,-100
Devon,2020-10-21,725,21,-100,-100
Devon,2020-10-22,749,23,-100,-100
Devon,2020-10-23,764,15,-100,-100
Devon,2020-10-24,777,13,-100,-100
Devon,2020-10-25,800,23,-100,-100
Devon,2020-10-26,816,15,-100,-100
Devon,2020-10-27,838,21,-100,-100
Devon,2020-10-28,857,19,-100,-100
Devon,2020-10-29,872,14,-100,-100
Devon,2020-10-30,897,24,-100,-100
Devon,2020-10-31,929,31,-100,-100
Devon,2020-11-01,953,24,-100,-100
Devon,2020-11-02,968,14,-100,-100
Devon,2020-11-03,993,25,-100,-100
Devon,2020-11-04,1018,25,-100,-100
Devon,2020-11-05,1037,19,-100,-100
Devon,2020-11-06,1062,25,-100,-100
Devon,2020-11-07,1084,21,-100,-100
Devon,2020-11-08,1101,17,-100,-100
Devon,2020-11-09,1124,23,-100,-100
Devon,2020-11-10,1140,15,-100,-100
Devon,2020-11-11,1164,23,-100,-100
Devon,2020-11-12,1204,39,-100,-100
Devon,2020-11-13,1226,22,-100,-100
Devon,2020-11-14,1283,57,-100,-100
Devon,2020-11-15,1311,27,-100,-100
Devon,2020-11-16,1253,0,-100,-100
Devon,2020-11-17,1279,26,-100,-100
Devon,2020-11-18,1295,15,-100,-100
Devon,2020-11-19,1321,26,-100,-100
Devon,2020-11-20,1344,22,-100,-100
Devon,2020-11-21,1361,17,-100,-100
Devon,2020-11-22,1380,18,-100,-100
Devon,2020-11-23,1400,20,-100,-100
Devon,2020-11-24,1416,16,-100,-100
Devon,2020-11-25,1433,16,-100,-100
Devon,2020-11-26,1461,27,-100,-100
Devon,2020-11-27,1474,12,-100,-100
