areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Doncaster,2020-07-05,3835,13,-100,-100
Doncaster,2020-07-06,3838,3,-100,-100
Doncaster,2020-07-07,3844,5,-100,-100
Doncaster,2020-07-08,3850,5,-100,-100
Doncaster,2020-07-09,3872,21,-100,-100
Doncaster,2020-07-10,3879,7,-100,-100
Doncaster,2020-07-11,3881,1,-100,-100
Doncaster,2020-07-12,3883,1,-100,-100
Doncaster,2020-07-13,3895,11,-100,-100
Doncaster,2020-07-14,3893,0,-100,-100
Doncaster,2020-07-15,3907,13,-100,-100
Doncaster,2020-07-16,3911,3,-100,-100
Doncaster,2020-07-17,3922,11,-100,-100
Doncaster,2020-07-18,3930,7,-100,-100
Doncaster,2020-07-19,3928,0,-100,-100
Doncaster,2020-07-20,3930,1,-100,-100
Doncaster,2020-07-21,3928,0,-100,-100
Doncaster,2020-07-22,3930,1,-100,-100
Doncaster,2020-07-23,3932,1,-100,-100
Doncaster,2020-07-24,3934,1,-100,-100
Doncaster,2020-07-25,3936,1,-100,-100
Doncaster,2020-07-26,3944,7,-100,-100
Doncaster,2020-07-27,3946,1,-100,-100
Doncaster,2020-07-28,3948,1,-100,-100
Doncaster,2020-07-29,3950,1,-100,-100
Doncaster,2020-07-30,3953,3,-100,-100
Doncaster,2020-07-31,3955,1,-100,-100
Doncaster,2020-08-01,3955,0,-100,-100
Doncaster,2020-08-02,3959,3,-100,-100
Doncaster,2020-08-03,3963,3,-100,-100
Doncaster,2020-08-04,3965,1,-100,-100
Doncaster,2020-08-05,3963,0,-100,-100
Doncaster,2020-08-06,3971,7,-100,-100
Doncaster,2020-08-07,3977,5,-100,-100
Doncaster,2020-08-08,3975,0,-100,-100
Doncaster,2020-08-09,3981,5,-100,-100
Doncaster,2020-08-10,3987,5,-100,-100
Doncaster,2020-08-11,3991,3,-100,-100
Doncaster,2020-08-12,3996,5,-100,-100
Doncaster,2020-08-13,3996,0,-100,-100
Doncaster,2020-08-14,4002,5,-100,-100
Doncaster,2020-08-15,4004,1,-100,-100
Doncaster,2020-08-16,4004,0,-100,-100
Doncaster,2020-08-17,4006,1,-100,-100
Doncaster,2020-08-18,4012,5,-100,-100
Doncaster,2020-08-19,4014,1,-100,-100
Doncaster,2020-08-20,4014,0,-100,-100
Doncaster,2020-08-21,4020,5,-100,-100
Doncaster,2020-08-22,4022,1,-100,-100
Doncaster,2020-08-23,4028,5,-100,-100
Doncaster,2020-08-24,4031,3,-100,-100
Doncaster,2020-08-25,4031,0,-100,-100
Doncaster,2020-08-26,4035,3,-100,-100
Doncaster,2020-08-27,4041,5,-100,-100
Doncaster,2020-08-28,4039,0,-100,-100
Doncaster,2020-08-29,4041,1,-100,-100
Doncaster,2020-08-30,4047,5,-100,-100
Doncaster,2020-08-31,4051,3,-100,-100
Doncaster,2020-09-01,4051,0,-100,-100
Doncaster,2020-09-02,4061,9,-100,-100
Doncaster,2020-09-03,4061,0,-100,-100
Doncaster,2020-09-04,4065,3,-100,-100
Doncaster,2020-09-05,4069,3,-100,-100
Doncaster,2020-09-06,4080,11,-100,-100
Doncaster,2020-09-07,4100,19,-100,-100
Doncaster,2020-09-08,4111,11,-100,-100
Doncaster,2020-09-09,4121,9,-100,-100
Doncaster,2020-09-10,4143,21,-100,-100
Doncaster,2020-09-11,4158,15,-100,-100
Doncaster,2020-09-12,4170,11,-100,-100
Doncaster,2020-09-13,4199,29,-100,-100
Doncaster,2020-09-14,4217,17,-100,-100
Doncaster,2020-09-15,4242,25,-100,-100
Doncaster,2020-09-16,4275,33,-100,-100
Doncaster,2020-09-17,4293,17,-100,-100
Doncaster,2020-09-18,4328,35,-100,-100
Doncaster,2020-09-19,4369,40,-100,-100
Doncaster,2020-09-20,4421,52,-100,-100
Doncaster,2020-09-21,4468,46,-100,-100
Doncaster,2020-09-22,4511,42,-100,-100
Doncaster,2020-09-23,4556,44,-100,-100
Doncaster,2020-09-24,4605,48,-100,-100
Doncaster,2020-09-25,4669,64,-100,-100
Doncaster,2020-09-26,4712,42,-100,-100
Doncaster,2020-09-27,4745,33,-100,-100
Doncaster,2020-09-28,4772,27,-100,-100
Doncaster,2020-09-29,4829,56,-100,-100
Doncaster,2020-09-30,4911,81,-100,-100
Doncaster,2020-10-01,4985,74,-100,-100
Doncaster,2020-10-02,5002,17,-100,-100
Doncaster,2020-10-03,5131,128,-100,-100
Doncaster,2020-10-04,5396,265,-100,-100
Doncaster,2020-10-05,5542,146,-100,-100
Doncaster,2020-10-06,5734,191,-100,-100
Doncaster,2020-10-07,5899,165,-100,-100
Doncaster,2020-10-08,6069,169,-100,-100
Doncaster,2020-10-09,6172,103,-100,-100
Doncaster,2020-10-10,6350,177,-100,-100
Doncaster,2020-10-11,6523,173,-100,-100
Doncaster,2020-10-12,6675,152,-100,-100
Doncaster,2020-10-13,6878,202,-100,-100
Doncaster,2020-10-14,7190,311,-100,-100
Doncaster,2020-10-15,7447,257,-100,-100
Doncaster,2020-10-16,7656,208,-100,-100
Doncaster,2020-10-17,7919,263,-100,-100
Doncaster,2020-10-18,8241,321,-100,-100
Doncaster,2020-10-19,8598,356,-100,-100
Doncaster,2020-10-20,9112,514,-100,-100
Doncaster,2020-10-21,9664,551,-100,-100
Doncaster,2020-10-22,10146,481,-100,-100
Doncaster,2020-10-23,10483,337,-100,-100
Doncaster,2020-10-24,11043,559,-100,-100
Doncaster,2020-10-25,11448,405,-100,-100
Doncaster,2020-10-26,11895,446,-100,-100
Doncaster,2020-10-27,12478,582,-100,-100
Doncaster,2020-10-28,13029,551,-100,-100
Doncaster,2020-10-29,13653,623,-100,-100
Doncaster,2020-10-30,14162,508,-100,-100
Doncaster,2020-10-31,14663,501,-100,-100
Doncaster,2020-11-01,15119,456,-100,-100
Doncaster,2020-11-02,15455,335,-100,-100
Doncaster,2020-11-03,15858,403,-100,-100
Doncaster,2020-11-04,16260,401,-100,-100
Doncaster,2020-11-05,16829,569,-100,-100
Doncaster,2020-11-06,17241,411,-100,-100
Doncaster,2020-11-07,17679,438,-100,-100
Doncaster,2020-11-08,18023,343,-100,-100
Doncaster,2020-11-09,18223,200,-100,-100
Doncaster,2020-11-10,18533,310,-100,-100
Doncaster,2020-11-11,18836,302,-100,-100
Doncaster,2020-11-12,19284,448,-100,-100
Doncaster,2020-11-13,19674,389,-100,-100
Doncaster,2020-11-14,20023,348,-100,-100
Doncaster,2020-11-15,20286,263,-100,-100
Doncaster,2020-11-16,20298,11,-100,-100
Doncaster,2020-11-17,20491,193,-100,-100
Doncaster,2020-11-18,20775,284,-100,-100
Doncaster,2020-11-19,21078,302,-100,-100
Doncaster,2020-11-20,21321,243,-100,-100
Doncaster,2020-11-21,21528,206,-100,-100
Doncaster,2020-11-22,21680,152,-100,-100
Doncaster,2020-11-23,21824,144,-100,-100
Doncaster,2020-11-24,21992,167,-100,-100
Doncaster,2020-11-25,22166,173,-100,-100
Doncaster,2020-11-26,22394,228,-100,-100
Doncaster,2020-11-27,22595,200,-100,-100
Doncaster,2020-11-28,22790,194,-100,-100
Doncaster,2020-11-29,22906,116,-100,-100
Doncaster,2020-11-30,23029,122,-100,-100
Doncaster,2020-12-01,23228,198,-100,-100
Doncaster,2020-12-02,23413,185,-100,-100
Doncaster,2020-12-03,23659,245,-100,-100
Doncaster,2020-12-04,23877,218,-100,-100
Doncaster,2020-12-05,24047,169,-100,-100
Doncaster,2020-12-06,24201,154,-100,-100
Doncaster,2020-12-07,24324,122,-100,-100
Doncaster,2020-12-08,24488,163,-100,-100
Doncaster,2020-12-09,24677,189,-100,-100
Doncaster,2020-12-10,24850,173,-100,-100
Doncaster,2020-12-11,25057,206,-100,-100
Doncaster,2020-12-12,25221,163,-100,-100
Doncaster,2020-12-13,25365,144,-100,-100
Doncaster,2020-12-14,25517,152,-100,-100
Doncaster,2020-12-15,25697,179,-100,-100
Doncaster,2020-12-16,25849,152,-100,-100
Doncaster,2020-12-17,26088,239,-100,-100
Doncaster,2020-12-18,26293,204,-100,-100
Doncaster,2020-12-19,26428,134,-100,-100
Doncaster,2020-12-20,26504,76,-100,-100
Doncaster,2020-12-21,26628,124,-100,-100
Doncaster,2020-12-22,26802,173,-100,-100
Doncaster,2020-12-23,26989,187,-100,1
Doncaster,2020-12-24,27414,425,-100,0
Doncaster,2020-12-25,27502,87,-100,0
Doncaster,2020-12-26,27629,126,-100,0
Doncaster,2020-12-27,27812,183,-100,0
Doncaster,2020-12-28,28139,327,-100,0
Doncaster,2020-12-29,28403,263,-100,0
Doncaster,2020-12-30,28689,286,1,1
Doncaster,2020-12-31,28910,220,0,0
Doncaster,2021-01-01,29153,243,0,1
Doncaster,2021-01-02,29444,290,0,0
Doncaster,2021-01-03,29615,171,0,0
Doncaster,2021-01-04,29941,325,0,0
Doncaster,2021-01-05,30411,469,0,0
Doncaster,2021-01-06,30795,384,0,0
Doncaster,2021-01-07,31156,360,3,0
Doncaster,2021-01-08,31491,335,9,5
Doncaster,2021-01-09,31785,294,0,0
Doncaster,2021-01-10,32131,345,1,0
Doncaster,2021-01-11,32452,321,0,1
Doncaster,2021-01-12,32647,194,3,0
Doncaster,2021-01-13,32963,315,3,0
Doncaster,2021-01-14,33263,300,5,0
Doncaster,2021-01-15,33470,206,0,0
Doncaster,2021-01-16,33630,159,1,0
Doncaster,2021-01-17,33790,159,0,0
Doncaster,2021-01-18,34070,280,3,0
Doncaster,2021-01-19,34295,224,1,0
Doncaster,2021-01-20,34583,288,0,0
Doncaster,2021-01-21,34839,255,0,3
Doncaster,2021-01-22,34993,154,1,0
Doncaster,2021-01-23,35199,206,0,0
Doncaster,2021-01-24,35334,134,5,0
Doncaster,2021-01-25,35494,159,9,0
Doncaster,2021-01-26,35665,171,3,0
Doncaster,2021-01-27,35813,148,1,0
Doncaster,2021-01-28,36055,241,7,3
Doncaster,2021-01-29,36266,210,0,0
Doncaster,2021-01-30,36424,157,1,0
Doncaster,2021-01-31,36564,140,3,1
Doncaster,2021-02-01,36870,306,5,1
Doncaster,2021-02-02,37016,146,7,11
Doncaster,2021-02-03,37206,189,7,9
Doncaster,2021-02-04,37354,148,7,9
Doncaster,2021-02-05,37500,146,0,9
Doncaster,2021-02-06,37711,210,1,9
