areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Dorset,2020-07-05,505,0,-100,-100
Dorset,2020-07-06,505,0,-100,-100
Dorset,2020-07-07,506,0,-100,-100
Dorset,2020-07-08,506,0,-100,-100
Dorset,2020-07-09,507,0,-100,-100
Dorset,2020-07-10,508,0,-100,-100
Dorset,2020-07-11,508,0,-100,-100
Dorset,2020-07-12,508,0,-100,-100
Dorset,2020-07-13,511,3,-100,-100
Dorset,2020-07-14,511,0,-100,-100
Dorset,2020-07-15,511,0,-100,-100
Dorset,2020-07-16,511,0,-100,-100
Dorset,2020-07-17,511,0,-100,-100
Dorset,2020-07-18,513,1,-100,-100
Dorset,2020-07-19,515,1,-100,-100
Dorset,2020-07-20,516,0,-100,-100
Dorset,2020-07-21,516,0,-100,-100
Dorset,2020-07-22,516,0,-100,-100
Dorset,2020-07-23,517,1,-100,-100
Dorset,2020-07-24,518,0,-100,-100
Dorset,2020-07-25,518,0,-100,-100
Dorset,2020-07-26,518,0,-100,-100
Dorset,2020-07-27,519,0,-100,-100
Dorset,2020-07-28,519,0,-100,-100
Dorset,2020-07-29,519,0,-100,-100
Dorset,2020-07-30,519,0,-100,-100
Dorset,2020-07-31,522,2,-100,-100
Dorset,2020-08-01,522,0,-100,-100
Dorset,2020-08-02,522,0,-100,-100
Dorset,2020-08-03,523,0,-100,-100
Dorset,2020-08-04,524,0,-100,-100
Dorset,2020-08-05,524,0,-100,-100
Dorset,2020-08-06,524,0,-100,-100
Dorset,2020-08-07,526,1,-100,-100
Dorset,2020-08-08,527,1,-100,-100
Dorset,2020-08-09,528,0,-100,-100
Dorset,2020-08-10,528,0,-100,-100
Dorset,2020-08-11,532,3,-100,-100
Dorset,2020-08-12,532,0,-100,-100
Dorset,2020-08-13,532,0,-100,-100
Dorset,2020-08-14,535,3,-100,-100
Dorset,2020-08-15,537,1,-100,-100
Dorset,2020-08-16,539,2,-100,-100
Dorset,2020-08-17,540,0,-100,-100
Dorset,2020-08-18,540,0,-100,-100
Dorset,2020-08-19,541,0,-100,-100
Dorset,2020-08-20,542,0,-100,-100
Dorset,2020-08-21,546,4,-100,-100
Dorset,2020-08-22,546,0,-100,-100
Dorset,2020-08-23,547,0,-100,-100
Dorset,2020-08-24,549,1,-100,-100
Dorset,2020-08-25,551,2,-100,-100
Dorset,2020-08-26,553,1,-100,-100
Dorset,2020-08-27,553,0,-100,-100
Dorset,2020-08-28,555,1,-100,-100
Dorset,2020-08-29,555,0,-100,-100
Dorset,2020-08-30,556,1,-100,-100
Dorset,2020-08-31,559,2,-100,-100
Dorset,2020-09-01,560,0,-100,-100
Dorset,2020-09-02,561,1,-100,-100
Dorset,2020-09-03,563,1,-100,-100
Dorset,2020-09-04,563,0,-100,-100
Dorset,2020-09-05,566,3,-100,-100
Dorset,2020-09-06,579,12,-100,-100
Dorset,2020-09-07,583,4,-100,-100
Dorset,2020-09-08,591,7,-100,-100
Dorset,2020-09-09,595,4,-100,-100
Dorset,2020-09-10,598,2,-100,-100
Dorset,2020-09-11,598,0,-100,-100
Dorset,2020-09-12,601,3,-100,-100
Dorset,2020-09-13,603,1,-100,-100
Dorset,2020-09-14,606,3,-100,-100
Dorset,2020-09-15,611,5,-100,-100
Dorset,2020-09-16,614,2,-100,-100
Dorset,2020-09-17,614,0,-100,-100
Dorset,2020-09-18,615,1,-100,-100
Dorset,2020-09-19,620,4,-100,-100
Dorset,2020-09-20,626,5,-100,-100
Dorset,2020-09-21,627,1,-100,-100
Dorset,2020-09-22,631,3,-100,-100
Dorset,2020-09-23,632,1,-100,-100
Dorset,2020-09-24,635,2,-100,-100
Dorset,2020-09-25,640,5,-100,-100
Dorset,2020-09-26,643,3,-100,-100
Dorset,2020-09-27,648,5,-100,-100
Dorset,2020-09-28,651,2,-100,-100
Dorset,2020-09-29,657,5,-100,-100
Dorset,2020-09-30,661,4,-100,-100
Dorset,2020-10-01,667,5,-100,-100
Dorset,2020-10-02,675,7,-100,-100
Dorset,2020-10-03,689,14,-100,-100
Dorset,2020-10-04,709,19,-100,-100
Dorset,2020-10-05,722,13,-100,-100
Dorset,2020-10-06,734,11,-100,-100
Dorset,2020-10-07,755,21,-100,-100
Dorset,2020-10-08,788,32,-100,-100
Dorset,2020-10-09,806,17,-100,-100
Dorset,2020-10-10,825,19,-100,-100
Dorset,2020-10-11,840,14,-100,-100
Dorset,2020-10-12,860,20,-100,-100
Dorset,2020-10-13,902,42,-100,-100
Dorset,2020-10-14,939,36,-100,-100
Dorset,2020-10-15,974,35,-100,-100
Dorset,2020-10-16,995,21,-100,-100
Dorset,2020-10-17,1041,45,-100,-100
Dorset,2020-10-18,1069,27,-100,-100
Dorset,2020-10-19,1090,21,-100,-100
Dorset,2020-10-20,1138,47,-100,-100
Dorset,2020-10-21,1177,39,-100,-100
Dorset,2020-10-22,1226,48,-100,-100
Dorset,2020-10-23,1291,65,-100,-100
Dorset,2020-10-24,1348,57,-100,-100
Dorset,2020-10-25,1408,60,-100,-100
Dorset,2020-10-26,1466,57,-100,-100
Dorset,2020-10-27,1507,41,-100,-100
Dorset,2020-10-28,1565,57,-100,-100
Dorset,2020-10-29,1600,34,-100,-100
Dorset,2020-10-30,1657,57,-100,-100
Dorset,2020-10-31,1704,46,-100,-100
Dorset,2020-11-01,1748,44,-100,-100
Dorset,2020-11-02,1798,49,-100,-100
Dorset,2020-11-03,1847,49,-100,-100
Dorset,2020-11-04,1890,43,-100,-100
Dorset,2020-11-05,1925,35,-100,-100
Dorset,2020-11-06,1977,51,-100,-100
Dorset,2020-11-07,2015,38,-100,-100
Dorset,2020-11-08,2056,40,-100,-100
Dorset,2020-11-09,2096,40,-100,-100
Dorset,2020-11-10,2134,38,-100,-100
Dorset,2020-11-11,2180,45,-100,-100
Dorset,2020-11-12,2243,62,-100,-100
Dorset,2020-11-13,2295,52,-100,-100
Dorset,2020-11-14,2412,116,-100,-100
Dorset,2020-11-15,2466,54,-100,-100
Dorset,2020-11-16,2351,0,-100,-100
Dorset,2020-11-17,2386,35,-100,-100
Dorset,2020-11-18,2416,29,-100,-100
Dorset,2020-11-19,2452,35,-100,-100
Dorset,2020-11-20,2502,49,-100,-100
Dorset,2020-11-21,2534,32,-100,-100
Dorset,2020-11-22,2564,30,-100,-100
Dorset,2020-11-23,2581,16,-100,-100
Dorset,2020-11-24,2595,14,-100,-100
Dorset,2020-11-25,2623,27,-100,-100
Dorset,2020-11-26,2639,15,-100,-100
Dorset,2020-11-27,2654,15,-100,-100
Dorset,2020-11-28,2677,22,-100,-100
Dorset,2020-11-29,2697,20,-100,-100
Dorset,2020-11-30,2717,20,-100,-100
Dorset,2020-12-01,2729,11,-100,-100
Dorset,2020-12-02,2754,24,-100,-100
Dorset,2020-12-03,2766,11,-100,-100
Dorset,2020-12-04,2785,19,-100,0
Dorset,2020-12-05,2804,18,-100,0
Dorset,2020-12-06,2832,28,-100,0
Dorset,2020-12-07,2852,19,-100,0
Dorset,2020-12-08,2866,14,-100,0
Dorset,2020-12-09,2881,15,-100,0
Dorset,2020-12-10,2893,11,-100,0
Dorset,2020-12-11,2920,27,0,0
Dorset,2020-12-12,2939,18,0,0
Dorset,2020-12-13,2964,24,0,0
Dorset,2020-12-14,2989,25,0,0
Dorset,2020-12-15,3016,27,0,0
Dorset,2020-12-16,3058,42,0,0
Dorset,2020-12-17,3096,38,0,0
Dorset,2020-12-18,3123,27,0,0
Dorset,2020-12-19,3160,36,0,0
Dorset,2020-12-20,3188,27,0,0
Dorset,2020-12-21,3250,62,0,0
Dorset,2020-12-22,3296,45,0,0
Dorset,2020-12-23,3332,36,0,0
Dorset,2020-12-24,3360,27,0,0
Dorset,2020-12-25,3409,49,0,0
Dorset,2020-12-26,3517,107,0,0
Dorset,2020-12-27,3571,54,0,0
Dorset,2020-12-28,3673,102,0,0
Dorset,2020-12-29,3762,88,2,0
Dorset,2020-12-30,3870,107,0,0
Dorset,2020-12-31,3967,97,0,0
Dorset,2021-01-01,4102,134,0,0
Dorset,2021-01-02,4260,158,0,0
Dorset,2021-01-03,4366,105,0,0
Dorset,2021-01-04,4593,227,3,0
Dorset,2021-01-05,4778,184,1,0
Dorset,2021-01-06,4954,176,0,0
Dorset,2021-01-07,5035,80,1,0
Dorset,2021-01-08,5246,211,2,0
Dorset,2021-01-09,5411,164,1,1
Dorset,2021-01-10,5561,149,2,0
Dorset,2021-01-11,5722,160,1,0
Dorset,2021-01-12,5834,112,1,1
Dorset,2021-01-13,5928,93,3,0
Dorset,2021-01-14,6146,218,3,0
Dorset,2021-01-15,6348,202,5,0
Dorset,2021-01-16,6488,139,0,0
Dorset,2021-01-17,6635,147,0,0
Dorset,2021-01-18,6775,139,5,0
Dorset,2021-01-19,6870,95,0,0
Dorset,2021-01-20,7025,154,1,0
Dorset,2021-01-21,7143,117,0,0
Dorset,2021-01-22,7301,158,0,2
Dorset,2021-01-23,7447,146,2,0
Dorset,2021-01-24,7558,110,0,0
Dorset,2021-01-25,7633,75,5,0
Dorset,2021-01-26,7688,54,5,0
Dorset,2021-01-27,7808,120,2,0
Dorset,2021-01-28,7959,151,1,0
Dorset,2021-01-29,8055,95,4,0
Dorset,2021-01-30,8159,104,0,1
Dorset,2021-01-31,8239,80,2,0
Dorset,2021-02-01,8303,63,3,4
Dorset,2021-02-02,8361,58,2,3
Dorset,2021-02-03,8424,63,4,3
Dorset,2021-02-04,8514,89,1,0
Dorset,2021-02-05,8598,83,3,2
Dorset,2021-02-06,8678,80,0,0
Dorset,2021-02-07,8734,55,0,0
Dorset,2021-02-08,8784,49,0,3
Dorset,2021-02-09,8826,41,0,0
Dorset,2021-02-10,8855,29,1,3
Dorset,2021-02-11,8913,57,0,1
Dorset,2021-02-12,9007,94,1,0
Dorset,2021-02-13,9048,40,0,0
Dorset,2021-02-14,9083,34,0,0
Dorset,2021-02-15,9108,25,0,0
Dorset,2021-02-16,9138,29,0,0
Dorset,2021-02-17,9174,36,0,0
Dorset,2021-02-18,9218,43,1,0
Dorset,2021-02-19,9289,71,0,0
Dorset,2021-02-20,9315,26,0,0
Dorset,2021-02-21,9353,37,0,0
Dorset,2021-02-22,9366,13,0,0
Dorset,2021-02-23,9393,27,0,0
Dorset,2021-02-24,9422,28,0,0
Dorset,2021-02-25,9442,20,0,1
Dorset,2021-02-26,9483,40,0,0
Dorset,2021-02-27,9495,11,0,0
Dorset,2021-02-28,9513,17,0,1
Dorset,2021-03-01,9523,10,0,0
Dorset,2021-03-02,9533,10,0,2
Dorset,2021-03-03,9548,15,3,0
Dorset,2021-03-04,9568,19,0,0
Dorset,2021-03-05,9578,10,0,0
Dorset,2021-03-06,9592,14,0,0
Dorset,2021-03-07,9624,32,0,1
Dorset,2021-03-08,9638,13,1,0
Dorset,2021-03-09,9651,13,0,1
Dorset,2021-03-10,9663,11,0,5
Dorset,2021-03-11,9677,13,0,1
Dorset,2021-03-12,9703,26,0,0
Dorset,2021-03-13,9718,15,0,1
Dorset,2021-03-14,9725,6,1,2
Dorset,2021-03-15,9736,10,0,5
Dorset,2021-03-16,9744,7,2,0
Dorset,2021-03-17,9760,16,0,0
Dorset,2021-03-18,9771,10,0,2
Dorset,2021-03-19,9781,10,0,2
Dorset,2021-03-20,9800,19,0,0
Dorset,2021-03-21,9817,16,4,2
Dorset,2021-03-22,9833,16,0,1
Dorset,2021-03-23,9843,10,1,4
Dorset,2021-03-24,9857,13,8,9
