areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Dudley,2020-07-05,244,0,-100,-100
Dudley,2020-07-06,244,0,-100,-100
Dudley,2020-07-07,244,0,-100,-100
Dudley,2020-07-08,244,0,-100,-100
Dudley,2020-07-09,244,0,-100,-100
Dudley,2020-07-10,244,0,-100,-100
Dudley,2020-07-11,244,0,-100,-100
Dudley,2020-07-12,244,0,-100,-100
Dudley,2020-07-13,245,0,-100,-100
Dudley,2020-07-14,245,0,-100,-100
Dudley,2020-07-15,245,0,-100,-100
Dudley,2020-07-16,245,0,-100,-100
Dudley,2020-07-17,245,0,-100,-100
Dudley,2020-07-18,245,0,-100,-100
Dudley,2020-07-19,246,0,-100,-100
Dudley,2020-07-20,246,0,-100,-100
Dudley,2020-07-21,246,0,-100,-100
Dudley,2020-07-22,246,0,-100,-100
Dudley,2020-07-23,246,0,-100,-100
Dudley,2020-07-24,246,0,-100,-100
Dudley,2020-07-25,247,0,-100,-100
Dudley,2020-07-26,247,0,-100,-100
Dudley,2020-07-27,248,0,-100,-100
Dudley,2020-07-28,249,1,-100,-100
Dudley,2020-07-29,249,0,-100,-100
Dudley,2020-07-30,250,0,-100,-100
Dudley,2020-07-31,250,0,-100,-100
Dudley,2020-08-01,250,0,-100,-100
Dudley,2020-08-02,250,0,-100,-100
Dudley,2020-08-03,251,0,-100,-100
Dudley,2020-08-04,251,0,-100,-100
Dudley,2020-08-05,251,0,-100,-100
Dudley,2020-08-06,251,0,-100,-100
Dudley,2020-08-07,251,0,-100,-100
Dudley,2020-08-08,252,0,-100,-100
Dudley,2020-08-09,253,0,-100,-100
Dudley,2020-08-10,254,1,-100,-100
Dudley,2020-08-11,254,0,-100,-100
Dudley,2020-08-12,255,0,-100,-100
Dudley,2020-08-13,255,0,-100,-100
Dudley,2020-08-14,255,0,-100,-100
Dudley,2020-08-15,256,0,-100,-100
Dudley,2020-08-16,256,0,-100,-100
Dudley,2020-08-17,257,0,-100,-100
Dudley,2020-08-18,258,1,-100,-100
Dudley,2020-08-19,259,0,-100,-100
Dudley,2020-08-20,259,0,-100,-100
Dudley,2020-08-21,259,0,-100,-100
Dudley,2020-08-22,260,0,-100,-100
Dudley,2020-08-23,261,0,-100,-100
Dudley,2020-08-24,261,0,-100,-100
Dudley,2020-08-25,262,0,-100,-100
Dudley,2020-08-26,263,0,-100,-100
Dudley,2020-08-27,264,1,-100,-100
Dudley,2020-08-28,264,0,-100,-100
Dudley,2020-08-29,265,0,-100,-100
Dudley,2020-08-30,266,1,-100,-100
Dudley,2020-08-31,266,0,-100,-100
Dudley,2020-09-01,268,1,-100,-100
Dudley,2020-09-02,270,1,-100,-100
Dudley,2020-09-03,271,0,-100,-100
Dudley,2020-09-04,272,1,-100,-100
Dudley,2020-09-05,273,0,-100,-100
Dudley,2020-09-06,275,2,-100,-100
Dudley,2020-09-07,278,2,-100,-100
Dudley,2020-09-08,280,2,-100,-100
Dudley,2020-09-09,282,2,-100,-100
Dudley,2020-09-10,285,2,-100,-100
Dudley,2020-09-11,289,3,-100,-100
Dudley,2020-09-12,292,3,-100,-100
Dudley,2020-09-13,295,3,-100,-100
Dudley,2020-09-14,298,2,-100,-100
Dudley,2020-09-15,299,1,-100,-100
Dudley,2020-09-16,302,3,-100,-100
Dudley,2020-09-17,304,2,-100,-100
Dudley,2020-09-18,307,2,-100,-100
Dudley,2020-09-19,308,1,-100,-100
Dudley,2020-09-20,313,4,-100,-100
Dudley,2020-09-21,316,2,-100,-100
Dudley,2020-09-22,322,6,-100,-100
Dudley,2020-09-23,328,5,-100,-100
Dudley,2020-09-24,331,3,-100,-100
Dudley,2020-09-25,335,4,-100,-100
Dudley,2020-09-26,341,5,-100,-100
Dudley,2020-09-27,346,5,-100,-100
Dudley,2020-09-28,348,2,-100,-100
Dudley,2020-09-29,352,4,-100,-100
Dudley,2020-09-30,357,4,-100,-100
Dudley,2020-10-01,362,5,-100,-100
Dudley,2020-10-02,365,2,-100,-100
Dudley,2020-10-03,372,7,-100,-100
Dudley,2020-10-04,388,15,-100,-100
Dudley,2020-10-05,394,6,-100,-100
Dudley,2020-10-06,401,6,-100,-100
Dudley,2020-10-07,409,8,-100,-100
Dudley,2020-10-08,419,10,-100,-100
Dudley,2020-10-09,425,6,-100,-100
Dudley,2020-10-10,433,7,-100,-100
Dudley,2020-10-11,440,7,-100,-100
Dudley,2020-10-12,447,7,-100,-100
Dudley,2020-10-13,455,8,-100,-100
Dudley,2020-10-14,472,16,-100,-100
Dudley,2020-10-15,484,12,-100,-100
Dudley,2020-10-16,496,12,-100,-100
Dudley,2020-10-17,506,9,-100,-100
Dudley,2020-10-18,519,12,-100,-100
Dudley,2020-10-19,529,10,-100,-100
Dudley,2020-10-20,548,18,-100,-100
Dudley,2020-10-21,575,27,-100,-100
Dudley,2020-10-22,590,15,-100,-100
Dudley,2020-10-23,614,23,-100,-100
Dudley,2020-10-24,635,21,-100,-100
Dudley,2020-10-25,645,9,-100,-100
Dudley,2020-10-26,671,26,-100,-100
Dudley,2020-10-27,697,25,-100,-100
Dudley,2020-10-28,730,33,-100,-100
Dudley,2020-10-29,762,31,-100,-100
Dudley,2020-10-30,793,31,-100,-100
Dudley,2020-10-31,816,22,-100,-100
Dudley,2020-11-01,866,50,-100,-100
Dudley,2020-11-02,889,22,-100,-100
Dudley,2020-11-03,917,28,-100,-100
Dudley,2020-11-04,962,44,-100,-100
Dudley,2020-11-05,997,35,-100,-100
Dudley,2020-11-06,1047,50,-100,-100
Dudley,2020-11-07,1079,31,-100,-100
Dudley,2020-11-08,1115,36,-100,-100
Dudley,2020-11-09,1156,41,-100,-100
Dudley,2020-11-10,1209,52,-100,-100
Dudley,2020-11-11,1235,26,-100,-100
Dudley,2020-11-12,1314,78,-100,-100
Dudley,2020-11-13,1360,46,-100,-100
Dudley,2020-11-14,1411,51,-100,-100
Dudley,2020-11-15,1460,48,-100,-100
Dudley,2020-11-16,1515,55,-100,0
Dudley,2020-11-17,1552,36,-100,0
Dudley,2020-11-18,1573,21,-100,0
Dudley,2020-11-19,1620,46,-100,0
Dudley,2020-11-20,1665,45,-100,0
Dudley,2020-11-21,1718,52,-100,0
Dudley,2020-11-22,1743,24,-100,0
Dudley,2020-11-23,1782,39,-100,0
Dudley,2020-11-24,1795,13,0,0
Dudley,2020-11-25,1834,38,0,0
Dudley,2020-11-26,1867,33,0,0
Dudley,2020-11-27,1893,25,0,0
Dudley,2020-11-28,1915,22,0,0
Dudley,2020-11-29,1935,19,0,0
Dudley,2020-11-30,1965,30,0,0
Dudley,2020-12-01,1987,21,0,0
Dudley,2020-12-02,2001,14,0,0
Dudley,2020-12-03,2016,14,0,0
Dudley,2020-12-04,2036,20,0,0
Dudley,2020-12-05,2054,17,0,0
Dudley,2020-12-06,2074,20,0,0
Dudley,2020-12-07,2092,17,0,0
Dudley,2020-12-08,2101,9,0,0
Dudley,2020-12-09,2116,15,0,0
Dudley,2020-12-10,2135,19,0,0
Dudley,2020-12-11,2157,21,0,0
Dudley,2020-12-12,2172,14,0,0
Dudley,2020-12-13,2192,20,0,0
Dudley,2020-12-14,2207,14,0,0
Dudley,2020-12-15,2220,12,0,0
Dudley,2020-12-16,2240,20,0,0
Dudley,2020-12-17,2253,12,0,0
Dudley,2020-12-18,2274,21,0,0
Dudley,2020-12-19,2286,12,0,0
Dudley,2020-12-20,2323,37,0,0
Dudley,2020-12-21,2344,20,0,0
Dudley,2020-12-22,2368,23,0,0
Dudley,2020-12-23,2411,43,0,0
Dudley,2020-12-24,2432,20,0,0
Dudley,2020-12-25,2463,31,0,0
Dudley,2020-12-26,2488,25,0,0
Dudley,2020-12-27,2501,12,0,0
Dudley,2020-12-28,2524,22,0,0
Dudley,2020-12-29,2576,52,0,0
Dudley,2020-12-30,2612,36,2,0
Dudley,2020-12-31,2671,58,1,0
Dudley,2021-01-01,2701,30,0,0
Dudley,2021-01-02,2787,85,0,0
Dudley,2021-01-03,2830,43,0,0
Dudley,2021-01-04,2910,79,1,0
Dudley,2021-01-05,2968,57,2,0
Dudley,2021-01-06,3037,69,1,0
Dudley,2021-01-07,3096,59,1,1
Dudley,2021-01-08,3154,57,0,0
Dudley,2021-01-09,3210,55,1,0
Dudley,2021-01-10,3253,43,1,0
Dudley,2021-01-11,3317,63,2,0
Dudley,2021-01-12,3376,59,2,0
Dudley,2021-01-13,3429,52,0,0
Dudley,2021-01-14,3481,52,1,0
Dudley,2021-01-15,3577,96,3,0
Dudley,2021-01-16,3633,56,1,0
Dudley,2021-01-17,3679,45,1,0
Dudley,2021-01-18,3737,58,3,0
Dudley,2021-01-19,3790,52,2,1
Dudley,2021-01-20,3850,60,1,0
Dudley,2021-01-21,3917,66,1,0
Dudley,2021-01-22,3969,52,2,0
Dudley,2021-01-23,4015,45,0,0
Dudley,2021-01-24,4058,42,0,0
Dudley,2021-01-25,4089,30,1,0
Dudley,2021-01-26,4106,17,2,0
Dudley,2021-01-27,4153,46,0,0
Dudley,2021-01-28,4202,48,1,0
Dudley,2021-01-29,4241,39,1,0
Dudley,2021-01-30,4280,38,0,0
Dudley,2021-01-31,4317,36,0,0
Dudley,2021-02-01,4337,19,0,0
Dudley,2021-02-02,4358,21,1,0
Dudley,2021-02-03,4388,30,1,0
Dudley,2021-02-04,4412,23,0,0
Dudley,2021-02-05,4431,19,0,0
Dudley,2021-02-06,4452,21,0,0
Dudley,2021-02-07,4472,19,0,0
Dudley,2021-02-08,4493,21,0,0
Dudley,2021-02-09,4504,11,0,0
Dudley,2021-02-10,4521,17,0,0
Dudley,2021-02-11,4540,18,0,0
Dudley,2021-02-12,4558,18,0,0
Dudley,2021-02-13,4577,18,0,0
Dudley,2021-02-14,4595,17,0,0
Dudley,2021-02-15,4604,9,0,0
Dudley,2021-02-16,4619,14,0,0
Dudley,2021-02-17,4640,21,0,0
Dudley,2021-02-18,4653,12,0,0
Dudley,2021-02-19,4669,16,0,0
Dudley,2021-02-20,4682,12,0,0
Dudley,2021-02-21,4694,11,0,0
Dudley,2021-02-22,4708,13,0,0
