areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Dumfries and Galloway,2023-01-05,33309,0,-100,-100
Dumfries and Galloway,2023-01-04,33309,0,-100,-100
Dumfries and Galloway,2023-01-03,33309,0,-100,-100
Dumfries and Galloway,2023-01-02,33309,0,-100,-100
Dumfries and Galloway,2023-01-01,33309,0,-100,-100
Dumfries and Galloway,2022-12-31,33309,0,-100,-100
Dumfries and Galloway,2022-12-30,33309,0,-100,-100
Dumfries and Galloway,2022-12-29,33309,0,-100,-100
Dumfries and Galloway,2022-12-28,33309,0,-100,-100
Dumfries and Galloway,2022-12-27,33309,0,-100,-100
Dumfries and Galloway,2022-12-26,33309,0,-100,-100
Dumfries and Galloway,2022-12-25,33309,0,-100,-100
Dumfries and Galloway,2022-12-24,33309,0,-100,-100
Dumfries and Galloway,2022-12-23,33309,0,-100,-100
Dumfries and Galloway,2022-12-22,33309,0,-100,-100
Dumfries and Galloway,2022-12-21,33309,46,-100,-100
Dumfries and Galloway,2022-12-20,33262,0,-100,-100
Dumfries and Galloway,2022-12-19,33262,0,-100,-100
Dumfries and Galloway,2022-12-18,33262,0,0,8
Dumfries and Galloway,2022-12-17,33262,0,0,3
Dumfries and Galloway,2022-12-16,33262,0,0,8
Dumfries and Galloway,2022-12-15,33262,0,0,4
Dumfries and Galloway,2022-12-14,33262,41,0,3
Dumfries and Galloway,2022-12-13,33221,0,0,7
Dumfries and Galloway,2022-12-12,33221,0,0,3
Dumfries and Galloway,2022-12-11,33221,0,0,5
Dumfries and Galloway,2022-12-10,33221,0,0,0
Dumfries and Galloway,2022-12-09,33221,0,0,4
Dumfries and Galloway,2022-12-08,33221,0,0,1
Dumfries and Galloway,2022-12-07,33221,18,0,2
Dumfries and Galloway,2022-12-06,33203,0,0,6
Dumfries and Galloway,2022-12-05,33203,0,0,2
Dumfries and Galloway,2022-12-04,33203,0,0,1
Dumfries and Galloway,2022-12-03,33203,0,0,2
Dumfries and Galloway,2022-12-02,33203,0,0,0
Dumfries and Galloway,2022-12-01,33203,0,0,2
Dumfries and Galloway,2022-11-30,33203,25,0,1
Dumfries and Galloway,2022-11-29,33177,0,0,2
Dumfries and Galloway,2022-11-28,33177,0,0,2
Dumfries and Galloway,2022-11-27,33177,0,0,5
Dumfries and Galloway,2022-11-26,33177,0,0,0
Dumfries and Galloway,2022-11-25,33177,0,0,0
Dumfries and Galloway,2022-11-24,33177,0,0,1
Dumfries and Galloway,2022-11-23,33177,32,0,0
Dumfries and Galloway,2022-11-22,33145,0,0,2
Dumfries and Galloway,2022-11-21,33145,0,2,2
Dumfries and Galloway,2022-11-20,33145,0,0,6
Dumfries and Galloway,2022-11-19,33145,0,0,1
Dumfries and Galloway,2022-11-18,33145,0,0,0
Dumfries and Galloway,2022-11-17,33145,0,0,1
Dumfries and Galloway,2022-11-16,33145,48,0,0
Dumfries and Galloway,2022-11-15,33096,0,0,4
Dumfries and Galloway,2022-11-14,33096,0,0,6
Dumfries and Galloway,2022-11-13,33096,0,0,4
Dumfries and Galloway,2022-11-12,33096,0,0,4
Dumfries and Galloway,2022-11-11,33096,0,0,2
Dumfries and Galloway,2022-11-10,33096,0,1,4
Dumfries and Galloway,2022-11-09,33096,45,0,2
Dumfries and Galloway,2022-11-08,33050,0,0,3
Dumfries and Galloway,2022-11-07,33050,0,1,5
Dumfries and Galloway,2022-11-06,33050,0,0,3
Dumfries and Galloway,2022-11-05,33050,0,0,2
Dumfries and Galloway,2022-11-04,33050,0,0,1
