areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Dundee City,2023-01-05,39049,0,-100,-100
Dundee City,2023-01-04,39049,0,-100,-100
Dundee City,2023-01-03,39049,0,-100,-100
Dundee City,2023-01-02,39049,0,-100,-100
Dundee City,2023-01-01,39049,0,-100,-100
Dundee City,2022-12-31,39049,0,-100,-100
Dundee City,2022-12-30,39049,0,-100,-100
Dundee City,2022-12-29,39049,0,-100,-100
Dundee City,2022-12-28,39049,0,-100,-100
Dundee City,2022-12-27,39049,0,-100,-100
Dundee City,2022-12-26,39049,0,-100,-100
Dundee City,2022-12-25,39049,0,-100,-100
Dundee City,2022-12-24,39049,0,-100,-100
Dundee City,2022-12-23,39049,0,-100,-100
Dundee City,2022-12-22,39049,0,-100,-100
Dundee City,2022-12-21,39049,34,-100,-100
Dundee City,2022-12-20,39014,0,-100,-100
Dundee City,2022-12-19,39014,0,-100,-100
Dundee City,2022-12-18,39014,0,0,2
Dundee City,2022-12-17,39014,0,0,1
Dundee City,2022-12-16,39014,0,0,2
Dundee City,2022-12-15,39014,0,0,2
Dundee City,2022-12-14,39014,24,0,2
Dundee City,2022-12-13,38990,0,0,2
Dundee City,2022-12-12,38990,0,0,1
Dundee City,2022-12-11,38990,0,0,4
Dundee City,2022-12-10,38990,0,0,1
Dundee City,2022-12-09,38990,0,0,2
Dundee City,2022-12-08,38990,0,0,2
Dundee City,2022-12-07,38990,31,0,1
Dundee City,2022-12-06,38958,0,0,3
Dundee City,2022-12-05,38958,0,0,0
Dundee City,2022-12-04,38958,0,0,4
Dundee City,2022-12-03,38958,0,0,0
Dundee City,2022-12-02,38958,0,0,0
Dundee City,2022-12-01,38958,0,0,1
Dundee City,2022-11-30,38958,33,0,3
Dundee City,2022-11-29,38924,0,0,4
Dundee City,2022-11-28,38924,0,0,3
Dundee City,2022-11-27,38924,0,1,2
Dundee City,2022-11-26,38924,0,0,1
Dundee City,2022-11-25,38924,0,0,1
Dundee City,2022-11-24,38924,0,0,2
Dundee City,2022-11-23,38924,32,0,3
Dundee City,2022-11-22,38892,0,0,0
Dundee City,2022-11-21,38892,0,0,4
Dundee City,2022-11-20,38892,0,0,2
Dundee City,2022-11-19,38892,0,0,1
Dundee City,2022-11-18,38892,0,0,1
Dundee City,2022-11-17,38892,0,0,4
Dundee City,2022-11-16,38892,49,0,1
Dundee City,2022-11-15,38842,0,0,4
Dundee City,2022-11-14,38842,0,0,4
Dundee City,2022-11-13,38842,0,0,4
Dundee City,2022-11-12,38842,0,0,4
Dundee City,2022-11-11,38842,0,1,4
Dundee City,2022-11-10,38842,0,0,3
Dundee City,2022-11-09,38842,51,0,4
Dundee City,2022-11-08,38791,0,0,6
Dundee City,2022-11-07,38791,0,0,3
Dundee City,2022-11-06,38791,0,0,3
Dundee City,2022-11-05,38791,0,0,3
Dundee City,2022-11-04,38791,0,0,2
Dundee City,2022-11-03,38791,0,0,4
Dundee City,2022-11-02,38791,73,0,5
Dundee City,2022-11-01,38717,0,2,7
Dundee City,2022-10-31,38717,0,0,8
Dundee City,2022-10-30,38717,0,0,6
Dundee City,2022-10-29,38717,0,0,5
Dundee City,2022-10-28,38717,0,0,6
Dundee City,2022-10-27,38717,0,0,4
Dundee City,2022-10-26,38717,63,0,9
Dundee City,2022-10-25,38653,0,0,8
Dundee City,2022-10-24,38653,0,1,8
Dundee City,2022-10-23,38653,0,0,6
Dundee City,2022-10-22,38653,0,0,5
Dundee City,2022-10-21,38653,0,1,5
Dundee City,2022-10-20,38653,0,2,6
Dundee City,2022-10-19,38653,59,0,6
Dundee City,2022-10-18,38593,0,0,3
Dundee City,2022-10-17,38593,0,0,6
Dundee City,2022-10-16,38593,0,0,7
Dundee City,2022-10-15,38593,0,0,4
Dundee City,2022-10-14,38593,0,0,10
Dundee City,2022-10-13,38593,0,0,5
Dundee City,2022-10-12,38593,49,0,6
Dundee City,2022-10-11,38544,0,0,6
Dundee City,2022-10-10,38544,0,0,4
Dundee City,2022-10-09,38544,0,0,9
