areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Ealing,2020-07-05,409,0,-100,-100
Ealing,2020-07-06,409,0,-100,-100
Ealing,2020-07-07,410,0,-100,-100
Ealing,2020-07-08,410,0,-100,-100
Ealing,2020-07-09,410,0,-100,-100
Ealing,2020-07-10,410,0,-100,-100
Ealing,2020-07-11,411,1,-100,-100
Ealing,2020-07-12,411,0,-100,-100
Ealing,2020-07-13,411,0,-100,-100
Ealing,2020-07-14,411,0,-100,-100
Ealing,2020-07-15,412,0,-100,-100
Ealing,2020-07-16,413,0,-100,-100
Ealing,2020-07-17,414,0,-100,-100
Ealing,2020-07-18,414,0,-100,-100
Ealing,2020-07-19,415,0,-100,-100
Ealing,2020-07-20,415,0,-100,-100
Ealing,2020-07-21,417,1,-100,-100
Ealing,2020-07-22,417,0,-100,-100
Ealing,2020-07-23,419,1,-100,-100
Ealing,2020-07-24,419,0,-100,-100
Ealing,2020-07-25,420,0,-100,-100
Ealing,2020-07-26,421,0,-100,-100
Ealing,2020-07-27,421,0,-100,-100
Ealing,2020-07-28,422,0,-100,-100
Ealing,2020-07-29,423,0,-100,-100
Ealing,2020-07-30,424,1,-100,-100
Ealing,2020-07-31,424,0,-100,-100
Ealing,2020-08-01,425,0,-100,-100
Ealing,2020-08-02,425,0,-100,-100
Ealing,2020-08-03,427,1,-100,-100
Ealing,2020-08-04,429,1,-100,-100
Ealing,2020-08-05,430,1,-100,-100
Ealing,2020-08-06,431,0,-100,-100
Ealing,2020-08-07,434,2,-100,-100
Ealing,2020-08-08,435,1,-100,-100
Ealing,2020-08-09,436,1,-100,-100
Ealing,2020-08-10,437,1,-100,-100
Ealing,2020-08-11,437,0,-100,-100
Ealing,2020-08-12,439,1,-100,-100
Ealing,2020-08-13,439,0,-100,-100
Ealing,2020-08-14,442,2,-100,-100
Ealing,2020-08-15,443,1,-100,-100
Ealing,2020-08-16,445,2,-100,-100
Ealing,2020-08-17,447,1,-100,-100
Ealing,2020-08-18,449,1,-100,-100
Ealing,2020-08-19,450,1,-100,-100
Ealing,2020-08-20,454,3,-100,-100
Ealing,2020-08-21,456,1,-100,-100
Ealing,2020-08-22,457,1,-100,-100
Ealing,2020-08-23,458,0,-100,-100
Ealing,2020-08-24,462,3,-100,-100
Ealing,2020-08-25,465,3,-100,-100
Ealing,2020-08-26,468,3,-100,-100
Ealing,2020-08-27,471,2,-100,-100
Ealing,2020-08-28,473,1,-100,-100
Ealing,2020-08-29,474,1,-100,-100
Ealing,2020-08-30,475,1,-100,-100
Ealing,2020-08-31,477,1,-100,-100
Ealing,2020-09-01,479,2,-100,-100
Ealing,2020-09-02,481,1,-100,-100
Ealing,2020-09-03,483,2,-100,-100
Ealing,2020-09-04,484,1,-100,-100
Ealing,2020-09-05,487,2,-100,-100
Ealing,2020-09-06,491,3,-100,-100
Ealing,2020-09-07,496,4,-100,-100
Ealing,2020-09-08,498,2,-100,-100
Ealing,2020-09-09,501,2,-100,-100
Ealing,2020-09-10,507,5,-100,-100
Ealing,2020-09-11,511,4,-100,-100
Ealing,2020-09-12,515,3,-100,-100
Ealing,2020-09-13,518,3,-100,-100
Ealing,2020-09-14,521,3,-100,-100
Ealing,2020-09-15,523,2,-100,-100
Ealing,2020-09-16,526,2,-100,-100
Ealing,2020-09-17,527,1,-100,-100
Ealing,2020-09-18,530,3,-100,-100
Ealing,2020-09-19,534,3,-100,-100
Ealing,2020-09-20,536,2,-100,-100
Ealing,2020-09-21,540,4,-100,-100
Ealing,2020-09-22,545,4,-100,-100
Ealing,2020-09-23,550,5,-100,-100
Ealing,2020-09-24,559,9,-100,-100
Ealing,2020-09-25,565,6,-100,-100
Ealing,2020-09-26,570,4,-100,-100
Ealing,2020-09-27,577,7,-100,-100
Ealing,2020-09-28,582,4,-100,-100
Ealing,2020-09-29,589,7,-100,-100
Ealing,2020-09-30,596,6,-100,-100
Ealing,2020-10-01,603,6,-100,-100
Ealing,2020-10-02,609,5,-100,-100
Ealing,2020-10-03,621,12,-100,-100
Ealing,2020-10-04,641,19,-100,-100
Ealing,2020-10-05,653,12,-100,-100
Ealing,2020-10-06,668,14,-100,-100
Ealing,2020-10-07,692,24,-100,-100
Ealing,2020-10-08,706,13,-100,-100
Ealing,2020-10-09,730,24,-100,-100
Ealing,2020-10-10,748,17,-100,-100
Ealing,2020-10-11,755,6,-100,-100
Ealing,2020-10-12,768,13,-100,-100
Ealing,2020-10-13,787,18,-100,-100
Ealing,2020-10-14,813,26,-100,-100
Ealing,2020-10-15,838,25,-100,-100
Ealing,2020-10-16,857,18,-100,-100
Ealing,2020-10-17,876,18,-100,-100
Ealing,2020-10-18,892,15,-100,-100
Ealing,2020-10-19,924,31,-100,-100
Ealing,2020-10-20,940,16,-100,-100
Ealing,2020-10-21,985,44,-100,-100
Ealing,2020-10-22,1009,24,-100,-100
Ealing,2020-10-23,1035,25,-100,-100
Ealing,2020-10-24,1065,29,-100,-100
Ealing,2020-10-25,1093,28,-100,-100
Ealing,2020-10-26,1119,26,-100,-100
Ealing,2020-10-27,1153,34,-100,-100
Ealing,2020-10-28,1191,37,-100,-100
Ealing,2020-10-29,1212,21,-100,-100
Ealing,2020-10-30,1243,31,-100,-100
Ealing,2020-10-31,1259,16,-100,-100
Ealing,2020-11-01,1282,22,-100,-100
Ealing,2020-11-02,1304,22,-100,-100
Ealing,2020-11-03,1325,20,-100,-100
Ealing,2020-11-04,1361,35,-100,-100
Ealing,2020-11-05,1396,35,-100,-100
Ealing,2020-11-06,1421,24,-100,-100
Ealing,2020-11-07,1459,38,-100,-100
Ealing,2020-11-08,1479,19,-100,-100
Ealing,2020-11-09,1506,26,-100,-100
Ealing,2020-11-10,1520,14,-100,-100
Ealing,2020-11-11,1559,38,-100,-100
Ealing,2020-11-12,1609,49,-100,-100
Ealing,2020-11-13,1647,38,-100,-100
Ealing,2020-11-14,1685,37,-100,-100
Ealing,2020-11-15,1715,30,-100,-100
Ealing,2020-11-16,1726,11,-100,-100
Ealing,2020-11-17,1763,36,-100,-100
Ealing,2020-11-18,1787,23,-100,-100
Ealing,2020-11-19,1807,20,-100,-100
Ealing,2020-11-20,1827,19,-100,-100
Ealing,2020-11-21,1851,24,-100,-100
