areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
East Ayrshire,2023-01-05,43844,0,-100,-100
East Ayrshire,2023-01-04,43844,0,-100,-100
East Ayrshire,2023-01-03,43844,0,-100,-100
East Ayrshire,2023-01-02,43844,0,-100,-100
East Ayrshire,2023-01-01,43844,0,-100,-100
East Ayrshire,2022-12-31,43844,0,-100,-100
East Ayrshire,2022-12-30,43844,0,-100,-100
East Ayrshire,2022-12-29,43844,0,-100,-100
East Ayrshire,2022-12-28,43844,0,-100,-100
East Ayrshire,2022-12-27,43844,0,-100,-100
East Ayrshire,2022-12-26,43844,0,-100,-100
East Ayrshire,2022-12-25,43844,0,-100,-100
East Ayrshire,2022-12-24,43844,0,-100,-100
East Ayrshire,2022-12-23,43844,0,-100,-100
East Ayrshire,2022-12-22,43844,0,-100,-100
East Ayrshire,2022-12-21,43844,80,-100,-100
East Ayrshire,2022-12-20,43763,0,-100,-100
East Ayrshire,2022-12-19,43763,0,-100,-100
East Ayrshire,2022-12-18,43763,0,0,2
East Ayrshire,2022-12-17,43763,0,0,4
East Ayrshire,2022-12-16,43763,0,0,3
East Ayrshire,2022-12-15,43763,0,0,5
East Ayrshire,2022-12-14,43763,32,0,4
East Ayrshire,2022-12-13,43731,0,0,9
East Ayrshire,2022-12-12,43731,0,0,4
East Ayrshire,2022-12-11,43731,0,0,4
East Ayrshire,2022-12-10,43731,0,0,1
East Ayrshire,2022-12-09,43731,0,0,4
East Ayrshire,2022-12-08,43731,0,0,1
East Ayrshire,2022-12-07,43731,31,0,3
East Ayrshire,2022-12-06,43700,0,0,3
East Ayrshire,2022-12-05,43700,0,0,1
East Ayrshire,2022-12-04,43700,0,0,8
East Ayrshire,2022-12-03,43700,0,0,1
East Ayrshire,2022-12-02,43700,0,0,3
East Ayrshire,2022-12-01,43700,0,0,2
East Ayrshire,2022-11-30,43700,34,0,1
East Ayrshire,2022-11-29,43666,0,0,0
East Ayrshire,2022-11-28,43666,0,0,1
East Ayrshire,2022-11-27,43666,0,0,1
