areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
East Dunbartonshire,2023-01-05,43922,0,-100,-100
East Dunbartonshire,2023-01-04,43922,0,-100,-100
East Dunbartonshire,2023-01-03,43922,0,-100,-100
East Dunbartonshire,2023-01-02,43922,0,-100,-100
East Dunbartonshire,2023-01-01,43922,0,-100,-100
East Dunbartonshire,2022-12-31,43922,0,-100,-100
East Dunbartonshire,2022-12-30,43922,0,-100,-100
East Dunbartonshire,2022-12-29,43922,0,-100,-100
East Dunbartonshire,2022-12-28,43922,0,-100,-100
East Dunbartonshire,2022-12-27,43922,0,-100,-100
East Dunbartonshire,2022-12-26,43922,0,-100,-100
East Dunbartonshire,2022-12-25,43922,0,-100,-100
East Dunbartonshire,2022-12-24,43922,0,-100,-100
East Dunbartonshire,2022-12-23,43922,0,-100,-100
East Dunbartonshire,2022-12-22,43922,0,-100,-100
East Dunbartonshire,2022-12-21,43922,79,-100,-100
East Dunbartonshire,2022-12-20,43843,0,-100,-100
East Dunbartonshire,2022-12-19,43843,0,-100,-100
East Dunbartonshire,2022-12-18,43843,0,0,6
East Dunbartonshire,2022-12-17,43843,0,0,4
East Dunbartonshire,2022-12-16,43843,0,0,5
East Dunbartonshire,2022-12-15,43843,0,0,4
East Dunbartonshire,2022-12-14,43843,51,0,4
East Dunbartonshire,2022-12-13,43792,0,0,6
East Dunbartonshire,2022-12-12,43792,0,0,16
East Dunbartonshire,2022-12-11,43792,0,0,0
East Dunbartonshire,2022-12-10,43792,0,0,3
East Dunbartonshire,2022-12-09,43792,0,0,2
East Dunbartonshire,2022-12-08,43792,0,0,2
East Dunbartonshire,2022-12-07,43792,43,0,1
East Dunbartonshire,2022-12-06,43748,0,0,3
East Dunbartonshire,2022-12-05,43748,0,0,5
East Dunbartonshire,2022-12-04,43748,0,0,3
East Dunbartonshire,2022-12-03,43748,0,0,3
East Dunbartonshire,2022-12-02,43748,0,0,2
East Dunbartonshire,2022-12-01,43748,0,0,0
East Dunbartonshire,2022-11-30,43748,53,0,5
East Dunbartonshire,2022-11-29,43695,0,0,6
East Dunbartonshire,2022-11-28,43695,0,0,2
East Dunbartonshire,2022-11-27,43695,0,0,9
East Dunbartonshire,2022-11-26,43695,0,0,3
East Dunbartonshire,2022-11-25,43695,0,0,0
East Dunbartonshire,2022-11-24,43695,0,0,3
East Dunbartonshire,2022-11-23,43695,33,0,4
East Dunbartonshire,2022-11-22,43662,0,0,5
East Dunbartonshire,2022-11-21,43662,0,0,5
East Dunbartonshire,2022-11-20,43662,0,0,1
East Dunbartonshire,2022-11-19,43662,0,0,0
East Dunbartonshire,2022-11-18,43662,0,0,0
East Dunbartonshire,2022-11-17,43662,0,0,1
East Dunbartonshire,2022-11-16,43662,52,0,6
East Dunbartonshire,2022-11-15,43610,0,0,3
East Dunbartonshire,2022-11-14,43610,0,0,3
East Dunbartonshire,2022-11-13,43610,0,0,3
East Dunbartonshire,2022-11-12,43610,0,0,3
East Dunbartonshire,2022-11-11,43610,0,0,2
East Dunbartonshire,2022-11-10,43610,0,0,7
East Dunbartonshire,2022-11-09,43610,41,0,3
East Dunbartonshire,2022-11-08,43568,0,0,6
East Dunbartonshire,2022-11-07,43568,0,0,4
East Dunbartonshire,2022-11-06,43568,0,0,4
East Dunbartonshire,2022-11-05,43568,0,0,1
East Dunbartonshire,2022-11-04,43568,0,0,3
