areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
East Lothian,2023-01-05,38297,0,-100,-100
East Lothian,2023-01-04,38297,0,-100,-100
East Lothian,2023-01-03,38297,0,-100,-100
East Lothian,2023-01-02,38297,0,-100,-100
East Lothian,2023-01-01,38297,0,-100,-100
East Lothian,2022-12-31,38297,0,-100,-100
East Lothian,2022-12-30,38297,0,-100,-100
East Lothian,2022-12-29,38297,0,-100,-100
East Lothian,2022-12-28,38297,0,-100,-100
East Lothian,2022-12-27,38297,0,-100,-100
East Lothian,2022-12-26,38297,0,-100,-100
East Lothian,2022-12-25,38297,0,-100,-100
East Lothian,2022-12-24,38297,0,-100,-100
East Lothian,2022-12-23,38297,0,-100,-100
East Lothian,2022-12-22,38297,0,-100,-100
East Lothian,2022-12-21,38297,50,-100,-100
East Lothian,2022-12-20,38247,0,-100,-100
East Lothian,2022-12-19,38247,0,-100,-100
East Lothian,2022-12-18,38247,0,0,3
East Lothian,2022-12-17,38247,0,0,6
East Lothian,2022-12-16,38247,0,0,7
East Lothian,2022-12-15,38247,0,0,6
East Lothian,2022-12-14,38247,50,0,4
East Lothian,2022-12-13,38197,0,0,5
East Lothian,2022-12-12,38197,0,0,2
East Lothian,2022-12-11,38197,0,0,6
East Lothian,2022-12-10,38197,0,0,2
East Lothian,2022-12-09,38197,0,0,0
East Lothian,2022-12-08,38197,0,0,7
East Lothian,2022-12-07,38197,29,0,4
East Lothian,2022-12-06,38167,0,0,5
East Lothian,2022-12-05,38167,0,0,1
East Lothian,2022-12-04,38167,0,0,2
East Lothian,2022-12-03,38167,0,0,1
East Lothian,2022-12-02,38167,0,0,0
East Lothian,2022-12-01,38167,0,0,1
East Lothian,2022-11-30,38167,44,0,0
East Lothian,2022-11-29,38123,0,0,3
East Lothian,2022-11-28,38123,0,0,1
East Lothian,2022-11-27,38123,0,0,5
East Lothian,2022-11-26,38123,0,0,5
East Lothian,2022-11-25,38123,0,0,2
East Lothian,2022-11-24,38123,0,0,7
East Lothian,2022-11-23,38123,31,0,4
East Lothian,2022-11-22,38091,0,0,4
East Lothian,2022-11-21,38091,0,0,2
East Lothian,2022-11-20,38091,0,0,6
East Lothian,2022-11-19,38091,0,0,0
East Lothian,2022-11-18,38091,0,0,3
East Lothian,2022-11-17,38091,0,1,1
East Lothian,2022-11-16,38091,27,0,1
East Lothian,2022-11-15,38063,0,0,1
East Lothian,2022-11-14,38063,0,0,1
East Lothian,2022-11-13,38063,0,0,1
East Lothian,2022-11-12,38063,0,0,1
East Lothian,2022-11-11,38063,0,0,2
East Lothian,2022-11-10,38063,0,0,2
East Lothian,2022-11-09,38063,37,0,0
East Lothian,2022-11-08,38025,0,0,2
East Lothian,2022-11-07,38025,0,0,4
East Lothian,2022-11-06,38025,0,0,4
East Lothian,2022-11-05,38025,0,0,2
