areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
East Renfrewshire,2023-01-05,43870,0,-100,-100
East Renfrewshire,2023-01-04,43870,0,-100,-100
East Renfrewshire,2023-01-03,43870,0,-100,-100
East Renfrewshire,2023-01-02,43870,0,-100,-100
East Renfrewshire,2023-01-01,43870,0,-100,-100
East Renfrewshire,2022-12-31,43870,0,-100,-100
East Renfrewshire,2022-12-30,43870,0,-100,-100
East Renfrewshire,2022-12-29,43870,0,-100,-100
East Renfrewshire,2022-12-28,43870,0,-100,-100
East Renfrewshire,2022-12-27,43870,0,-100,-100
East Renfrewshire,2022-12-26,43870,0,-100,-100
East Renfrewshire,2022-12-25,43870,0,-100,-100
East Renfrewshire,2022-12-24,43870,0,-100,-100
East Renfrewshire,2022-12-23,43870,0,-100,-100
East Renfrewshire,2022-12-22,43870,0,-100,-100
East Renfrewshire,2022-12-21,43870,68,-100,-100
East Renfrewshire,2022-12-20,43801,0,-100,-100
East Renfrewshire,2022-12-19,43801,0,-100,-100
East Renfrewshire,2022-12-18,43801,0,0,3
East Renfrewshire,2022-12-17,43801,0,0,6
East Renfrewshire,2022-12-16,43801,0,0,8
East Renfrewshire,2022-12-15,43801,0,0,9
East Renfrewshire,2022-12-14,43801,44,0,6
East Renfrewshire,2022-12-13,43757,0,0,6
East Renfrewshire,2022-12-12,43757,0,0,6
East Renfrewshire,2022-12-11,43757,0,0,5
East Renfrewshire,2022-12-10,43757,0,0,3
East Renfrewshire,2022-12-09,43757,0,0,5
East Renfrewshire,2022-12-08,43757,0,1,3
East Renfrewshire,2022-12-07,43757,46,0,4
East Renfrewshire,2022-12-06,43710,0,0,2
East Renfrewshire,2022-12-05,43710,0,0,3
East Renfrewshire,2022-12-04,43710,0,0,7
East Renfrewshire,2022-12-03,43710,0,0,3
East Renfrewshire,2022-12-02,43710,0,0,2
East Renfrewshire,2022-12-01,43710,0,0,3
East Renfrewshire,2022-11-30,43710,34,0,4
East Renfrewshire,2022-11-29,43675,0,0,6
East Renfrewshire,2022-11-28,43675,0,0,4
East Renfrewshire,2022-11-27,43675,0,0,3
East Renfrewshire,2022-11-26,43675,0,1,2
East Renfrewshire,2022-11-25,43675,0,0,2
East Renfrewshire,2022-11-24,43675,0,1,4
East Renfrewshire,2022-11-23,43675,37,3,4
East Renfrewshire,2022-11-22,43638,0,0,0
East Renfrewshire,2022-11-21,43638,0,0,4
East Renfrewshire,2022-11-20,43638,0,0,2
East Renfrewshire,2022-11-19,43638,0,0,3
East Renfrewshire,2022-11-18,43638,0,0,4
East Renfrewshire,2022-11-17,43638,0,0,4
East Renfrewshire,2022-11-16,43638,44,0,1
East Renfrewshire,2022-11-15,43593,0,0,5
East Renfrewshire,2022-11-14,43593,0,1,4
East Renfrewshire,2022-11-13,43593,0,0,4
East Renfrewshire,2022-11-12,43593,0,0,1
East Renfrewshire,2022-11-11,43593,0,0,1
East Renfrewshire,2022-11-10,43593,0,0,1
East Renfrewshire,2022-11-09,43593,43,0,7
East Renfrewshire,2022-11-08,43549,0,1,3
East Renfrewshire,2022-11-07,43549,0,0,3
East Renfrewshire,2022-11-06,43549,0,0,6
East Renfrewshire,2022-11-05,43549,0,0,1
East Renfrewshire,2022-11-04,43549,0,0,1
East Renfrewshire,2022-11-03,43549,0,0,5
East Renfrewshire,2022-11-02,43549,41,1,5
East Renfrewshire,2022-11-01,43508,0,0,2
East Renfrewshire,2022-10-31,43508,0,0,5
East Renfrewshire,2022-10-30,43508,0,0,4
East Renfrewshire,2022-10-29,43508,0,0,0
East Renfrewshire,2022-10-28,43508,0,0,3
East Renfrewshire,2022-10-27,43508,0,0,4
East Renfrewshire,2022-10-26,43508,53,0,5
East Renfrewshire,2022-10-25,43455,0,0,5
East Renfrewshire,2022-10-24,43455,0,1,7
East Renfrewshire,2022-10-23,43455,0,0,3
East Renfrewshire,2022-10-22,43455,0,1,3
East Renfrewshire,2022-10-21,43455,0,0,6
East Renfrewshire,2022-10-20,43455,0,0,5
East Renfrewshire,2022-10-19,43455,64,1,4
East Renfrewshire,2022-10-18,43390,0,2,5
East Renfrewshire,2022-10-17,43390,0,1,4
East Renfrewshire,2022-10-16,43390,0,0,6
East Renfrewshire,2022-10-15,43390,0,0,3
East Renfrewshire,2022-10-14,43390,0,0,11
East Renfrewshire,2022-10-13,43390,0,0,4
East Renfrewshire,2022-10-12,43390,69,0,7
East Renfrewshire,2022-10-11,43320,0,1,10
East Renfrewshire,2022-10-10,43320,0,0,6
East Renfrewshire,2022-10-09,43320,0,0,5
East Renfrewshire,2022-10-08,43320,0,1,9
East Renfrewshire,2022-10-07,43320,0,2,12
East Renfrewshire,2022-10-06,43320,0,0,6
East Renfrewshire,2022-10-05,43320,48,1,6
East Renfrewshire,2022-10-04,43271,0,0,5
East Renfrewshire,2022-10-03,43271,0,0,7
East Renfrewshire,2022-10-02,43271,0,1,6
East Renfrewshire,2022-10-01,43271,0,1,4
East Renfrewshire,2022-09-30,43271,0,0,3
East Renfrewshire,2022-09-29,43271,0,0,6
East Renfrewshire,2022-09-28,43271,69,0,4
East Renfrewshire,2022-09-27,43202,0,1,7
East Renfrewshire,2022-09-26,43202,0,1,6
East Renfrewshire,2022-09-25,43202,0,0,7
East Renfrewshire,2022-09-24,43202,0,0,6
East Renfrewshire,2022-09-23,43202,0,0,3
East Renfrewshire,2022-09-22,43202,45,0,4
East Renfrewshire,2022-09-21,43156,0,0,13
East Renfrewshire,2022-09-20,43156,0,0,13
East Renfrewshire,2022-09-19,43156,0,1,7
East Renfrewshire,2022-09-18,43156,0,0,0
East Renfrewshire,2022-09-17,43156,0,0,4
East Renfrewshire,2022-09-16,43156,0,0,0
East Renfrewshire,2022-09-15,43156,0,0,2
East Renfrewshire,2022-09-14,43156,49,0,9
East Renfrewshire,2022-09-13,43106,0,1,7
East Renfrewshire,2022-09-12,43106,0,0,4
East Renfrewshire,2022-09-11,43106,0,1,4
East Renfrewshire,2022-09-10,43106,0,0,9
East Renfrewshire,2022-09-09,43106,0,1,5
East Renfrewshire,2022-09-08,43106,0,0,7
East Renfrewshire,2022-09-07,43106,55,0,4
East Renfrewshire,2022-09-06,43051,0,0,1
East Renfrewshire,2022-09-05,43051,0,0,4
East Renfrewshire,2022-09-04,43051,0,0,2
East Renfrewshire,2022-09-03,43051,0,0,4
East Renfrewshire,2022-09-02,43051,0,1,6
East Renfrewshire,2022-09-01,43051,0,0,2
East Renfrewshire,2022-08-31,43051,59,0,9
East Renfrewshire,2022-08-30,42991,0,0,3
East Renfrewshire,2022-08-29,42991,0,0,10
East Renfrewshire,2022-08-28,42991,0,0,5
East Renfrewshire,2022-08-27,42991,0,0,6
East Renfrewshire,2022-08-26,42991,0,0,7
East Renfrewshire,2022-08-25,42991,0,0,7
East Renfrewshire,2022-08-24,42991,61,0,5
East Renfrewshire,2022-08-23,42930,0,0,6
East Renfrewshire,2022-08-22,42930,0,1,15
East Renfrewshire,2022-08-21,42930,0,2,6
East Renfrewshire,2022-08-20,42930,0,0,11
East Renfrewshire,2022-08-19,42930,0,0,7
East Renfrewshire,2022-08-18,42930,0,1,2
East Renfrewshire,2022-08-17,42930,77,0,4
East Renfrewshire,2022-08-16,42853,0,1,11
East Renfrewshire,2022-08-15,42853,0,0,3
East Renfrewshire,2022-08-14,42853,0,0,4
East Renfrewshire,2022-08-13,42853,0,1,9
East Renfrewshire,2022-08-12,42853,0,0,3
East Renfrewshire,2022-08-11,42853,0,1,8
East Renfrewshire,2022-08-10,42853,93,0,7
East Renfrewshire,2022-08-09,42759,0,1,11
East Renfrewshire,2022-08-08,42759,0,0,13
East Renfrewshire,2022-08-07,42759,0,0,8
East Renfrewshire,2022-08-06,42759,0,1,6
East Renfrewshire,2022-08-05,42759,0,0,7
East Renfrewshire,2022-08-04,42759,0,1,13
East Renfrewshire,2022-08-03,42759,117,4,12
East Renfrewshire,2022-08-02,42642,0,0,11
East Renfrewshire,2022-08-01,42642,0,1,8
East Renfrewshire,2022-07-31,42642,0,1,9
East Renfrewshire,2022-07-30,42642,0,1,10
East Renfrewshire,2022-07-29,42642,0,0,9
East Renfrewshire,2022-07-28,42642,0,0,13
East Renfrewshire,2022-07-27,42642,165,0,10
East Renfrewshire,2022-07-26,42476,0,1,14
